t,x,y,fh,fv,r,s,frame:
0,-158,146,0,0,0,-37,0
1,-158,146,0,0,0,-37,0
2,-158,146,0,0,0,-37,0
3,-158,146,0,0,0,-37,0
4,-158,146,0,0,0,-37,0
5,-158,146,0,0,0,-37,0
6,-158,146,0,0,0,-37,0
7,-158,146,0,0,0,-37,0
8,-158,146,0,0,0,-37,0
9,-158,146,0,0,0,-37,0
10,-158,146,0,0,0,-37,0
11,-158,146,0,0,0,-37,0
12,-158,146,0,0,0,-37,0
13,-158,146,0,0,0,-37,0
14,-158,146,0,0,0,-37,0
15,-158,146,0,0,0,-37,0
16,-158,146,0,0,0,-37,0
17,-158,146,0,0,0,-37,0
18,-158,146,0,0,0,-37,0
19,-158,146,0,0,0,-37,0
20,-158,146,0,0,0,-37,0
21,-158,146,0,0,0,-37,0
22,-158,146,0,0,0,-37,0
23,-158,146,0,0,0,-37,0
24,-158,146,0,0,0,-37,0
25,-158,146,0,0,0,-37,0
26,-158,146,0,0,0,-37,0
27,-158,146,0,0,0,-37,0
28,-158,146,0,0,0,-37,0
29,-158,146,0,0,0,-37,0
30,-158,146,0,0,0,-37,0
31,-158,146,0,0,0,-37,0
32,-158,146,0,0,0,-37,0
33,-158,146,0,0,0,-37,0
34,-158,146,0,0,0,-37,0
35,-158,146,0,0,0,-37,0
36,-158,146,0,0,0,-37,0
37,-158,146,0,0,0,-37,0
38,-158,146,0,0,0,-37,0
39,-158,146,0,0,0,-37,0
40,-158,146,0,0,0,-37,0
41,-158,146,0,0,0,-37,0
42,-158,146,0,0,0,-37,0
43,-158,146,0,0,0,-37,0
44,-158,146,0,0,0,-37,0
45,-158,146,0,0,0,-37,0
46,-158,146,0,0,0,-37,0
47,-158,146,0,0,0,-37,0
48,-158,146,0,0,0,-37,0
49,-158,146,0,0,0,-37,0
50,-158,146,0,0,0,-37,0
51,-158,146,0,0,0,-37,0
52,-158,146,0,0,0,-37,0
53,-158,146,0,0,0,-37,0
54,-158,146,0,0,0,-37,0
55,-158,146,0,0,0,-37,0
56,-158,146,0,0,0,-37,0
57,-157,145,0,0,0,-37,0
58,-156,145,0,0,0,-37,0
59,-156,145,0,0,0,-37,0
60,-155,145,0,0,0,-37,0
61,-155,144,0,0,0,-37,0
62,-155,144,0,0,0,-37,0
63,-155,144,0,0,0,-37,0
64,-155,144,0,0,0,-37,0
65,-152,146,0,0,0,-37,0
66,-151,148,0,0,0,-37,0
67,-149,150,0,0,0,-37,0
68,-147,153,0,0,0,-37,0
69,-147,154,0,0,0,-37,0
70,-147,154,0,0,0,-37,0
71,-147,154,0,0,0,-37,0
72,-147,154,0,0,0,-37,0
73,-147,154,0,0,0,-37,0
74,-145,152,0,0,0,-37,0
75,-142,149,0,0,0,-37,0
76,-138,146,0,0,0,-37,0
77,-134,144,0,0,0,-37,0
78,-131,143,0,0,0,-37,0
79,-130,142,0,0,0,-37,0
80,-130,142,0,0,0,-37,0
81,-130,142,0,0,0,-37,0
82,-129,143,0,0,0,-37,0
83,-127,145,0,0,0,-37,0
84,-126,147,0,0,0,-37,0
85,-124,149,0,0,0,-37,0
86,-123,151,0,0,0,-37,0
87,-122,152,0,0,0,-37,0
88,-122,152,0,0,0,-37,0
89,-121,153,0,0,0,-37,0
90,-120,154,0,0,0,-37,0
91,-120,154,0,0,0,-37,0
92,-120,154,0,0,0,-37,0
93,-120,154,0,0,0,-37,0
94,-120,154,0,0,0,-37,0
95,-120,154,0,0,0,-37,0
96,-120,154,0,0,0,-37,0
97,-118,152,0,0,0,-37,0
98,-114,149,0,0,0,-37,0
99,-108,145,0,0,0,-37,0
100,-105,143,0,0,0,-37,0
101,-104,142,0,0,0,-37,0
102,-104,142,0,0,0,-37,0
103,-104,142,0,0,0,-37,0
104,-104,142,0,0,0,-37,0
105,-102,145,0,0,0,-37,0
106,-99,148,0,0,0,-37,0
107,-97,152,0,0,0,-37,0
108,-95,155,0,0,0,-37,0
109,-93,156,0,0,0,-37,0
110,-93,157,0,0,0,-37,0
111,-93,157,0,0,0,-37,0
112,-93,157,0,0,0,-37,0
113,-93,157,0,0,0,-37,0
114,-92,157,0,0,0,-37,0
115,-88,154,0,0,0,-37,0
116,-82,151,0,0,0,-37,0
117,-75,147,0,0,0,-37,0
118,-69,143,0,0,0,-37,0
119,-64,140,0,0,0,-37,0
120,-62,140,0,0,0,-37,0
121,-62,140,0,0,0,-37,0
122,-62,140,0,0,0,-37,0
123,-62,140,0,0,0,-37,0
124,-62,140,0,0,0,-37,0
125,-60,143,0,0,0,-37,0
126,-59,145,0,0,0,-37,0
127,-58,148,0,0,0,-37,0
128,-55,152,0,0,0,-37,0
129,-54,154,0,0,0,-37,0
130,-53,156,0,0,0,-37,0
131,-53,157,0,0,0,-37,0
132,-53,157,0,0,0,-37,0
133,-53,157,0,0,0,-37,0
134,-53,157,0,0,0,-37,0
135,-52,157,0,0,0,-37,0
136,-49,153,0,0,0,-37,0
137,-45,149,0,0,0,-37,0
138,-40,145,0,0,0,-37,0
139,-35,142,0,0,0,-37,0
140,-31,139,0,0,0,-37,0
141,-29,138,0,0,0,-37,0
142,-28,138,0,0,0,-37,0
143,-28,138,0,0,0,-37,0
144,-27,138,0,0,0,-37,0
145,-24,141,0,0,0,-37,0
146,-20,145,0,0,0,-37,0
147,-18,148,0,0,0,-37,0
148,-16,150,0,0,0,-37,0
149,-15,152,0,0,0,-37,0
150,-15,153,0,0,0,-37,0
151,-14,155,0,0,0,-37,0
152,-14,156,0,0,0,-37,0
153,-13,157,0,0,0,-37,0
154,-13,158,0,0,0,-37,0
155,-12,158,0,0,0,-37,0
156,-12,158,0,0,0,-37,0
157,-12,158,0,0,0,-37,0
158,-12,158,0,0,0,-37,0
159,-12,158,0,0,0,-37,0
160,-12,158,0,0,0,-37,0
161,-12,158,0,0,0,-37,0
162,-12,158,0,0,0,-37,0
163,-12,158,0,0,0,-37,0
164,-12,158,0,0,0,-37,0
165,-12,158,0,0,0,-37,0
166,-12,158,0,0,0,-37,0
167,-12,158,0,0,0,-37,0
168,-12,158,0,0,0,-37,0
169,-12,158,0,0,0,-37,0
170,-12,158,0,0,0,-37,0
171,-12,158,0,0,0,-37,0
172,-12,158,0,0,0,-37,0
173,-12,158,0,0,0,-37,0
174,-12,158,0,0,0,-37,0
175,-12,158,0,0,0,-37,0
176,-12,158,0,0,0,-37,0
177,-12,159,1,0,0,-37,0
178,-12,159,1,0,0,-37,0
179,-12,159,1,0,0,-37,0
180,-12,159,1,0,0,-37,0
181,-12,159,1,0,0,-37,0
182,-12,159,1,0,0,-37,0
183,-12,159,1,0,0,-37,0
184,-12,159,1,0,0,-37,0
185,-12,159,1,0,0,-37,0
186,-12,159,1,0,0,-37,0
187,-12,159,1,0,0,-37,0
188,-12,159,1,0,0,-37,0
189,-12,159,1,0,0,-37,0
190,-12,159,1,0,0,-37,0
191,-12,159,1,0,0,-37,0
192,-12,159,1,0,0,-37,0
193,-12,159,1,0,0,-37,0
194,-12,159,1,0,0,-37,0
195,-12,159,1,0,0,-37,0
196,-12,158,1,0,0,-37,0
197,-12,158,1,0,0,-37,0
198,-11,157,1,0,0,-37,0
199,-10,155,1,0,0,-37,0
200,-9,153,1,0,0,-37,0
201,-9,152,1,0,0,-37,0
202,-9,150,1,0,0,-37,0
203,-8,149,1,0,0,-37,0
204,-8,148,1,0,0,-37,0
205,-8,147,1,0,0,-37,0
206,-8,147,1,0,0,-37,0
207,-8,147,1,0,0,-37,0
208,-8,147,1,0,0,-37,0
209,-8,147,1,0,0,-37,0
210,-8,147,1,0,0,-37,0
