t,x,y,fh,fv,r,s,frame:
0,1,94,0,0,0,-28,0
1,1,94,0,0,0,-28,0
2,1,94,0,0,0,-28,0
3,1,94,0,0,0,-28,0
4,1,94,0,0,0,-28,0
5,1,94,0,0,0,-28,0
6,1,94,0,0,0,-28,0
7,1,94,0,0,0,-28,0
8,1,94,0,0,0,-28,0
9,1,94,0,0,0,-28,0
10,1,94,0,0,0,-28,0
11,1,94,0,0,0,-28,0
12,1,94,0,0,0,-28,0
13,1,94,0,0,0,-28,0
14,1,94,0,0,0,-28,0
15,1,94,0,0,0,-28,0
16,1,94,0,0,0,-28,0
17,1,94,0,0,0,-28,0
18,1,94,0,0,0,-28,0
19,1,94,0,0,0,-28,0
20,1,94,0,0,0,-28,0
21,1,94,0,0,0,-28,0
22,1,94,0,0,0,-28,0
23,1,94,0,0,0,-28,0
24,1,94,0,0,0,-28,0
25,1,94,0,0,0,-28,0
26,1,94,0,0,0,-28,0
27,1,94,0,0,0,-28,0
28,1,94,0,0,0,-28,0
29,1,94,0,0,0,-28,0
30,1,94,0,0,0,-28,0
31,1,94,0,0,0,-28,0
32,1,94,0,0,0,-28,0
33,1,94,0,0,0,-28,0
34,1,94,0,0,0,-28,0
35,1,94,0,0,0,-28,0
36,1,94,0,0,0,-28,0
37,1,94,0,0,0,-28,0
38,1,94,0,0,0,-28,0
39,1,94,0,0,0,-28,0
40,1,94,0,0,0,-28,0
41,1,94,0,0,0,-28,0
42,1,94,0,0,0,-28,0
43,1,94,0,0,0,-28,0
44,1,94,0,0,0,-28,0
45,1,94,0,0,0,-28,0
46,1,94,0,0,0,-28,0
47,1,94,0,0,0,-28,0
48,1,94,0,0,0,-28,0
49,1,94,0,0,0,-28,0
50,1,94,0,0,0,-28,0
51,1,94,1,0,0,-28,0
52,1,94,1,0,0,-28,0
53,1,94,1,0,0,-28,0
54,1,94,1,0,0,-28,0
55,1,94,1,0,0,-28,0
56,1,94,1,0,0,-28,0
57,1,94,1,0,0,-28,0
58,1,94,1,0,0,-28,0
59,1,94,1,0,0,-28,0
60,1,94,1,0,0,-28,0
61,1,94,1,0,0,-28,0
62,1,94,1,0,0,-28,0
63,1,94,1,0,0,-28,0
64,1,94,1,0,0,-28,0
65,1,94,1,0,0,-28,0
66,1,94,1,0,0,-28,0
67,1,94,1,0,0,-28,0
68,1,94,1,0,0,-28,0
69,1,94,1,0,0,-28,0
70,1,94,1,0,0,-28,0
71,1,94,1,0,0,-28,0
72,1,94,1,0,0,-28,0
73,1,94,1,0,0,-28,0
74,1,94,1,0,0,-28,0
75,1,94,1,0,0,-28,0
76,1,94,1,0,0,-28,0
77,1,94,1,0,0,-28,0
78,1,94,1,0,0,-28,0
79,1,94,1,0,0,-28,0
80,1,94,1,0,0,-28,0
81,1,94,1,0,0,-28,0
82,1,94,1,0,0,-28,0
83,1,94,1,0,0,-28,0
84,1,94,1,0,0,-28,0
85,1,94,1,0,0,-28,0
86,1,94,1,0,0,-28,0
87,1,94,1,0,0,-28,0
88,1,94,1,0,0,-28,0
