t,x,y,fh,fv,r,s,frame:
0,-637,32,0,0,0,-88,0
1,-637,32,0,0,0,-88,0
2,-637,32,0,0,0,-88,0
3,-637,32,0,0,0,-88,0
4,-637,32,0,0,0,-88,0
5,-637,32,0,0,0,-88,0
6,-637,32,0,0,0,-88,0
7,-637,32,0,0,0,-88,0
8,-637,31,0,0,0,-88,0
9,-636,29,0,0,0,-88,0
10,-636,28,0,0,0,-88,0
11,-635,26,0,0,0,-88,0
12,-634,25,0,0,0,-88,0
13,-634,24,0,0,0,-88,0
14,-634,23,0,0,0,-88,0
15,-634,23,0,0,0,-88,0
16,-634,23,0,0,0,-88,0
17,-632,23,0,0,0,-88,0
18,-631,22,0,0,0,-88,0
19,-627,20,0,0,0,-88,0
20,-624,18,0,0,0,-88,0
21,-622,16,0,0,0,-88,0
22,-621,15,0,0,0,-88,0
23,-620,12,0,0,0,-88,0
24,-620,8,0,0,0,-88,0
25,-619,5,0,0,0,-88,0
26,-619,3,0,0,0,-88,0
27,-619,0,0,0,0,-88,0
28,-618,-3,0,0,0,-88,0
29,-618,-6,0,0,0,-88,0
30,-617,-9,0,0,0,-88,0
31,-617,-12,0,0,0,-88,0
32,-617,-17,0,0,0,-88,0
33,-616,-22,0,0,0,-88,0
34,-616,-28,0,0,0,-88,0
35,-616,-33,0,0,0,-88,0
36,-615,-37,0,0,0,-88,0
37,-615,-41,0,0,0,-88,0
38,-614,-47,0,0,0,-88,0
39,-614,-51,0,0,0,-88,0
40,-614,-55,0,0,0,-88,0
41,-614,-57,0,0,0,-88,0
42,-614,-59,0,0,0,-88,0
43,-614,-64,0,0,0,-88,0
44,-614,-65,0,0,0,-88,0
45,-613,-71,0,0,0,-88,0
46,-613,-75,0,0,0,-88,0
47,-613,-79,0,0,0,-88,0
48,-612,-84,0,0,0,-88,0
49,-612,-87,0,0,0,-88,0
50,-612,-90,0,0,0,-88,0
51,-611,-94,0,0,0,-88,0
52,-611,-97,0,0,0,-88,0
53,-610,-101,0,0,0,-88,0
54,-610,-104,0,0,0,-88,0
55,-610,-107,0,0,0,-88,0
56,-609,-110,0,0,0,-88,0
57,-609,-112,0,0,0,-88,0
58,-609,-114,0,0,0,-88,0
59,-608,-117,0,0,0,-88,0
60,-608,-119,0,0,0,-88,0
61,-608,-121,0,0,0,-88,0
62,-607,-123,0,0,0,-88,0
63,-607,-126,0,0,0,-88,0
64,-607,-128,0,0,0,-88,0
65,-607,-128,0,0,0,-88,0
66,-607,-129,0,0,0,-88,0
67,-607,-130,0,0,0,-88,0
68,-606,-131,0,0,0,-88,0
69,-606,-131,0,0,0,-88,0
70,-606,-131,0,0,0,-88,0
71,-606,-131,0,0,0,-88,0
72,-606,-131,0,0,0,-88,0
73,-606,-131,0,0,0,-88,0
74,-606,-131,0,0,0,-88,0
75,-606,-131,0,0,0,-88,0
76,-606,-131,0,0,0,-88,0
77,-606,-128,0,0,0,-88,0
78,-606,-125,0,0,0,-88,0
79,-606,-121,0,0,0,-88,0
80,-606,-117,0,0,0,-88,0
81,-606,-113,0,0,0,-88,0
82,-606,-106,0,0,0,-88,0
83,-606,-102,0,0,0,-88,0
84,-606,-98,0,0,0,-88,0
85,-606,-92,0,0,0,-88,0
86,-606,-89,0,0,0,-88,0
87,-606,-81,0,0,0,-88,0
88,-606,-74,0,0,0,-88,0
89,-606,-65,0,0,0,-88,0
90,-606,-62,0,0,0,-88,0
91,-606,-56,0,0,0,-88,0
92,-606,-50,0,0,0,-88,0
93,-606,-44,0,0,0,-88,0
94,-607,-39,0,0,0,-88,0
95,-607,-34,0,0,0,-88,0
96,-608,-26,0,0,0,-88,0
