t,x,y,fh,fv,r,s,frame:
0,320,-164,0,0,0,-117,0
1,320,-164,0,0,0,-117,0
2,320,-164,0,0,0,-117,0
3,320,-164,0,0,0,-117,0
4,320,-164,0,0,0,-117,0
5,320,-164,0,0,0,-117,0
6,320,-164,0,0,0,-117,0
7,319,-164,0,0,0,-117,0
8,319,-164,0,0,0,-117,0
9,318,-164,0,0,0,-117,0
10,318,-164,0,0,0,-117,0
11,317,-164,0,0,0,-117,0
12,316,-164,0,0,0,-117,0
13,314,-164,0,0,0,-117,0
14,313,-164,0,0,0,-117,0
15,310,-164,0,0,0,-117,0
16,307,-164,0,0,0,-117,0
17,303,-164,0,0,0,-117,0
18,300,-164,0,0,0,-117,0
19,297,-164,0,0,0,-117,0
20,295,-164,0,0,0,-117,0
21,292,-164,0,0,0,-117,0
22,289,-164,0,0,0,-117,0
23,286,-164,0,0,0,-117,0
24,284,-164,0,0,0,-117,0
25,282,-164,0,0,0,-117,0
26,280,-164,0,0,0,-117,0
27,278,-164,0,0,0,-117,0
28,276,-164,0,0,0,-117,0
29,275,-164,0,0,0,-117,0
30,271,-164,0,0,0,-117,0
31,267,-165,0,0,0,-117,0
32,263,-165,0,0,0,-117,0
33,262,-165,0,0,0,-117,0
34,259,-165,0,0,0,-117,0
35,256,-166,0,0,0,-117,0
36,253,-166,0,0,0,-117,0
37,249,-166,0,0,0,-117,0
38,249,-166,0,0,0,-117,0
39,244,-167,0,0,0,-117,0
40,238,-167,0,0,0,-117,0
41,234,-167,0,0,0,-117,0
42,226,-167,0,0,0,-117,0
43,222,-167,0,0,0,-117,0
44,217,-167,0,0,0,-117,0
45,215,-167,0,0,0,-117,0
46,208,-167,0,0,0,-117,0
47,203,-167,0,0,0,-117,0
48,200,-167,0,0,0,-117,0
49,191,-165,0,0,0,-117,0
50,185,-165,0,0,0,-117,0
51,181,-165,0,0,0,-117,0
52,176,-165,0,0,0,-117,0
53,172,-164,0,0,0,-117,0
54,168,-164,0,0,0,-117,0
55,164,-163,0,0,0,-117,0
56,159,-163,0,0,0,-117,0
57,155,-162,0,0,0,-117,0
58,150,-162,0,0,0,-117,0
59,144,-162,0,0,0,-117,0
60,140,-162,0,0,0,-117,0
61,135,-162,0,0,0,-117,0
62,129,-161,0,0,0,-117,0
63,123,-161,0,0,0,-117,0
64,116,-160,0,0,0,-117,0
65,110,-159,0,0,0,-117,0
66,105,-159,0,0,0,-117,0
67,100,-158,0,0,0,-117,0
68,97,-158,0,0,0,-117,0
69,88,-158,0,0,0,-117,0
70,86,-157,0,0,0,-117,0
71,80,-157,0,0,0,-117,0
72,74,-157,0,0,0,-117,0
73,69,-157,0,0,0,-117,0
74,63,-156,0,0,0,-117,0
75,57,-156,0,0,0,-117,0
76,50,-156,0,0,0,-117,0
77,42,-156,0,0,0,-117,0
78,34,-156,0,0,0,-117,0
79,24,-156,0,0,0,-117,0
80,17,-156,0,0,0,-117,0
81,10,-156,0,0,0,-117,0
82,3,-156,0,0,0,-117,0
83,-1,-156,0,0,0,-117,0
84,-9,-156,0,0,0,-117,0
85,-15,-156,0,0,0,-117,0
86,-21,-156,0,0,0,-117,0
87,-28,-157,0,0,0,-117,0
88,-33,-157,0,0,0,-117,0
89,-38,-157,0,0,0,-117,0
90,-47,-157,0,0,0,-117,0
91,-52,-157,0,0,0,-117,0
92,-59,-157,0,0,0,-117,0
93,-66,-157,0,0,0,-117,0
94,-73,-157,0,0,0,-117,0
95,-80,-157,0,0,0,-117,0
96,-87,-157,0,0,0,-117,0
97,-93,-157,0,0,0,-117,0
