t,x,y,fh,fv,r,s,frame:
0,166,196,0,0,0,-130,1
1,166,196,0,0,0,-130,1
2,166,196,0,0,0,-130,1
3,166,196,0,0,0,-130,1
4,166,196,0,0,0,-130,1
5,166,196,0,0,0,-130,1
6,166,196,0,0,0,-130,1
7,166,196,0,0,0,-130,1
8,166,196,0,0,0,-130,1
9,166,196,0,0,0,-130,1
10,166,196,0,0,0,-130,1
11,166,196,0,0,0,-130,1
12,166,196,0,0,0,-130,1
13,166,196,0,0,0,-130,1
14,166,196,0,0,0,-130,1
15,166,196,0,0,0,-130,1
16,166,196,0,0,0,-130,1
17,166,196,0,0,0,-130,1
18,166,196,0,0,0,-130,1
19,166,196,0,0,0,-130,1
20,166,196,0,0,0,-130,1
21,166,196,0,0,0,-130,1
22,166,196,0,0,0,-130,1
23,166,196,0,0,0,-130,1
24,166,196,0,0,0,-130,1
25,166,196,0,0,0,-130,1
26,166,196,0,0,0,-130,1
27,166,196,0,0,0,-130,1
28,166,196,0,0,0,-130,1
29,166,196,0,0,0,-130,1
30,166,196,0,0,0,-130,1
31,166,196,0,0,0,-130,1
32,166,196,0,0,0,-130,1
33,166,196,0,0,0,-130,1
34,166,196,0,0,0,-130,1
35,166,196,0,0,0,-130,1
36,166,196,0,0,0,-130,1
37,166,196,0,0,0,-130,1
38,166,196,0,0,0,-130,1
39,166,196,0,0,0,-130,1
40,166,196,0,0,0,-130,1
41,166,196,0,0,0,-130,1
42,166,196,0,0,0,-130,1
43,166,196,0,0,0,-130,1
44,166,196,0,0,0,-130,1
45,166,196,0,0,0,-130,1
46,166,196,0,0,0,-130,1
47,166,196,0,0,0,-130,1
48,166,196,0,0,0,-130,1
49,166,196,0,0,0,-130,1
50,166,196,0,0,0,-130,1
51,166,196,0,0,0,-130,1
52,166,196,0,0,0,-130,1
53,166,196,0,0,0,-130,1
54,166,196,0,0,0,-130,1
55,166,196,0,0,0,-130,1
56,166,196,0,0,0,-130,1
57,166,196,0,0,0,-130,1
58,166,196,0,0,0,-130,1
59,166,196,0,0,0,-130,1
60,166,196,0,0,0,-130,1
61,166,196,0,0,0,-130,1
62,166,196,0,0,0,-130,1
63,166,196,0,0,0,-130,1
64,166,196,0,0,0,-130,1
65,166,196,0,0,0,-130,1
66,166,196,0,0,0,-130,1
67,166,196,0,0,0,-130,1
68,166,196,0,0,0,-130,1
69,166,196,0,0,0,-130,1
70,166,196,0,0,0,-130,1
71,166,196,0,0,0,-130,1
72,166,196,0,0,0,-130,1
73,166,196,0,0,0,-130,1
74,166,196,0,0,0,-130,1
75,166,196,0,0,0,-130,1
76,166,196,0,0,0,-130,1
77,166,196,0,0,0,-130,1
78,166,196,0,0,0,-130,1
79,166,196,0,0,0,-130,1
80,166,196,0,0,0,-130,1
81,166,196,0,0,0,-130,1
82,166,196,0,0,0,-130,1
83,166,196,0,0,0,-130,1
84,166,196,0,0,0,-130,1
85,166,196,0,0,0,-130,1
86,166,196,0,0,0,-130,1
87,166,196,0,0,0,-130,1
88,166,196,0,0,0,-130,1
89,166,196,0,0,0,-130,1
90,166,196,0,0,0,-130,1
91,166,196,0,0,0,-130,1
92,166,196,0,0,0,-130,1
93,166,196,0,0,0,-130,1
94,166,196,0,0,0,-130,1
95,166,196,0,0,0,-130,1
96,166,196,0,0,0,-130,1
97,166,196,0,0,0,-130,1
98,166,196,0,0,0,-130,1
99,166,196,0,0,0,-130,1
100,166,196,0,0,0,-130,1
101,166,196,0,0,0,-130,1
102,166,196,0,0,0,-130,1
103,166,196,0,0,0,-130,1
104,166,196,0,0,0,-130,1
105,166,196,0,0,0,-130,1
106,166,196,0,0,0,-130,1
107,166,196,0,0,0,-130,1
108,166,196,0,0,0,-130,1
109,166,196,0,0,0,-130,1
110,166,196,0,0,0,-130,1
111,166,196,0,0,0,-130,1
112,166,196,0,0,0,-130,1
113,166,196,0,0,0,-130,1
114,166,196,0,0,0,-130,1
115,166,196,0,0,0,-130,1
116,166,196,0,0,0,-130,1
117,166,196,0,0,0,-130,1
118,166,196,0,0,0,-130,1
119,166,196,0,0,0,-130,1
120,166,196,0,0,0,-130,1
121,166,196,0,0,0,-130,1
122,166,196,0,0,0,-130,1
123,166,196,0,0,0,-130,1
124,166,196,0,0,0,-130,1
125,166,196,0,0,0,-130,1
126,166,196,0,0,0,-130,1
127,166,196,0,0,0,-130,1
128,166,196,0,0,0,-130,1
129,166,196,0,0,0,-130,1
130,166,196,0,0,0,-130,1
131,166,196,0,0,0,-130,1
132,166,196,0,0,0,-130,1
133,166,196,0,0,0,-130,1
134,166,196,0,0,0,-130,1
135,166,196,0,0,0,-130,1
136,166,196,0,0,0,-130,1
137,166,196,0,0,0,-130,1
138,166,196,0,0,0,-130,1
139,166,196,0,0,0,-130,1
140,166,196,0,0,0,-130,1
141,166,196,0,0,0,-130,1
142,166,196,0,0,0,-130,1
143,166,196,0,0,0,-130,1
144,166,196,0,0,0,-130,1
145,166,196,0,0,0,-130,1
146,166,196,0,0,0,-130,1
147,166,196,0,0,0,-130,1
148,166,196,0,0,0,-130,1
149,166,196,0,0,0,-130,1
150,166,196,0,0,0,-130,1
151,166,196,0,0,0,-130,1
152,166,196,0,0,0,-130,1
153,166,196,0,0,0,-130,1
154,166,196,0,0,0,-130,1
155,166,196,0,0,0,-130,1
156,166,196,0,0,0,-130,1
157,166,196,0,0,0,-130,1
158,166,196,0,0,0,-130,1
159,166,196,0,0,0,-130,1
160,166,196,0,0,0,-130,1
161,166,196,0,0,0,-130,1
162,166,196,0,0,0,-130,1
163,166,196,0,0,0,-130,1
164,166,196,0,0,0,-130,1
165,166,196,0,0,0,-130,1
166,166,196,0,0,0,-130,1
167,166,196,0,0,0,-130,1
168,166,196,0,0,0,-130,1
169,166,196,0,0,0,-130,1
170,166,196,0,0,0,-130,1
171,166,196,0,0,0,-130,1
172,166,196,0,0,0,-130,1
173,166,196,0,0,0,-130,1
174,166,196,0,0,0,-130,1
175,166,196,0,0,0,-130,1
176,166,196,0,0,0,-130,1
177,166,196,0,0,0,-130,1
178,166,196,0,0,0,-130,1
179,166,196,0,0,0,-130,1
180,166,196,0,0,0,-130,1
181,166,196,0,0,0,-130,1
182,166,196,0,0,0,-130,1
183,166,196,0,0,0,-130,1
184,166,196,0,0,0,-130,1
185,166,196,0,0,0,-130,1
186,166,196,0,0,0,-130,1
187,166,196,0,0,0,-130,1
188,166,196,0,0,0,-130,1
189,166,196,0,0,0,-130,1
190,166,196,0,0,0,-130,1
191,166,196,0,0,0,-130,1
192,166,196,0,0,0,-130,1
193,169,192,0,0,0,-130,0
194,169,192,0,0,0,-130,0
195,169,192,0,0,0,-130,0
196,169,192,0,0,0,-130,0
197,169,192,0,0,0,-130,0
198,169,192,0,0,0,-130,0
199,169,192,0,0,0,-130,0
200,169,192,0,0,0,-130,0
201,169,192,0,0,0,-130,0
202,169,192,0,0,0,-130,0
