t,x,y,fh,fv,r,s,frame:
0,-634,127,0,0,0,-66,0
1,-634,127,0,0,0,-66,0
2,-634,127,0,0,0,-66,0
3,-634,127,0,0,0,-66,0
4,-634,127,0,0,0,-66,0
5,-634,127,0,0,0,-66,0
6,-634,127,0,0,0,-66,0
7,-634,127,0,0,0,-66,0
8,-634,127,0,0,0,-66,0
9,-634,127,0,0,0,-66,0
10,-634,127,0,0,0,-66,0
11,-634,127,0,0,0,-66,0
12,-634,127,0,0,0,-66,0
13,-634,127,0,0,0,-66,0
14,-634,127,0,0,0,-66,0
15,-634,127,0,0,0,-66,0
16,-634,127,0,0,0,-66,0
17,-632,125,0,0,0,-66,0
18,-626,123,0,0,0,-66,0
19,-622,121,0,0,0,-66,0
20,-619,120,0,0,0,-66,0
21,-615,119,0,0,0,-66,0
22,-613,118,0,0,0,-66,0
23,-612,118,0,0,0,-66,0
24,-610,118,0,0,0,-66,0
25,-607,117,0,0,0,-66,0
26,-602,117,0,0,0,-66,0
27,-598,117,0,0,0,-66,0
28,-594,117,0,0,0,-66,0
29,-592,118,0,0,0,-66,0
30,-589,118,0,0,0,-66,0
31,-587,119,0,0,0,-66,0
32,-585,120,0,0,0,-66,0
33,-584,120,0,0,0,-66,0
34,-582,122,0,0,0,-66,0
35,-579,125,0,0,0,-66,0
36,-576,127,0,0,0,-66,0
37,-574,128,0,0,0,-66,0
38,-572,129,0,0,0,-66,0
39,-571,130,0,0,0,-66,0
40,-571,130,0,0,0,-66,0
41,-571,130,0,0,0,-66,0
42,-570,130,0,0,0,-66,0
43,-565,129,0,0,0,-66,0
44,-563,128,0,0,0,-66,0
45,-558,126,0,0,0,-66,0
46,-554,125,0,0,0,-66,0
47,-550,123,0,0,0,-66,0
48,-547,121,0,0,0,-66,0
49,-544,120,0,0,0,-66,0
50,-542,120,0,0,0,-66,0
51,-541,119,0,0,0,-66,0
52,-539,119,0,0,0,-66,0
53,-535,118,0,0,0,-66,0
54,-534,118,0,0,0,-66,0
55,-531,118,0,0,0,-66,0
56,-529,118,0,0,0,-66,0
57,-528,119,0,0,0,-66,0
58,-526,120,0,0,0,-66,0
59,-524,121,0,0,0,-66,0
60,-523,122,0,0,0,-66,0
61,-521,123,0,0,0,-66,0
62,-520,124,0,0,0,-66,0
63,-518,125,0,0,0,-66,0
64,-517,126,0,0,0,-66,0
65,-517,127,0,0,0,-66,0
66,-516,127,0,0,0,-66,0
67,-515,127,0,0,0,-66,0
68,-515,127,0,0,0,-66,0
69,-515,127,0,0,0,-66,0
70,-515,127,0,0,0,-66,0
71,-513,127,0,0,0,-66,0
72,-510,126,0,0,0,-66,0
73,-507,125,0,0,0,-66,0
74,-506,124,0,0,0,-66,0
75,-502,123,0,0,0,-66,0
76,-499,121,0,0,0,-66,0
77,-497,120,0,0,0,-66,0
78,-494,119,0,0,0,-66,0
79,-491,119,0,0,0,-66,0
80,-490,119,0,0,0,-66,0
81,-489,119,0,0,0,-66,0
82,-489,119,0,0,0,-66,0
83,-489,119,0,0,0,-66,0
84,-488,119,0,0,0,-66,0
85,-485,121,0,0,0,-66,0
86,-484,122,0,0,0,-66,0
87,-481,125,0,0,0,-66,0
88,-474,128,0,0,0,-66,0
89,-471,129,0,0,0,-66,0
90,-471,129,0,0,0,-66,0
91,-469,129,0,0,0,-66,0
92,-467,129,0,0,0,-66,0
93,-465,129,0,0,0,-66,0
94,-462,127,0,0,0,-66,0
95,-457,125,0,0,0,-66,0
96,-453,123,0,0,0,-66,0
97,-448,121,0,0,0,-66,0
98,-445,119,0,0,0,-66,0
99,-442,118,0,0,0,-66,0
100,-440,117,0,0,0,-66,0
101,-440,117,0,0,0,-66,0
102,-440,117,0,0,0,-66,0
103,-440,117,0,0,0,-66,0
104,-439,117,0,0,0,-66,0
105,-437,119,0,0,0,-66,0
106,-434,122,0,0,0,-66,0
