t,x,y,fh,fv,r,s,frame:
0,288,129,1,0,1,-60,0
1,288,129,1,0,1,-60,0
2,288,129,1,0,1,-60,0
3,288,129,1,0,1,-60,0
4,288,129,1,0,1,-60,0
5,288,129,1,0,2,-60,0
6,288,129,1,0,3,-60,0
7,288,128,1,0,4,-60,0
8,288,126,1,0,5,-60,0
9,288,120,1,0,4,-60,0
10,288,115,1,0,3,-60,0
11,288,109,1,0,2,-60,0
12,288,104,1,0,1,-60,0
13,288,100,1,0,0,-60,0
14,288,97,1,0,-1,-60,0
15,288,96,1,0,0,-60,0
16,288,95,1,0,1,-60,0
17,288,95,1,0,2,-60,0
18,288,95,1,0,3,-60,0
19,288,94,1,0,4,-60,0
20,287,93,1,0,5,-60,0
21,287,90,1,0,4,-60,0
22,287,86,1,0,3,-60,0
23,287,83,1,0,2,-60,0
24,287,80,1,0,1,-60,0
25,287,77,1,0,0,-60,0
26,287,74,1,0,0,-60,0
27,287,73,1,0,0,-60,0
28,287,72,1,0,0,-60,0
29,287,71,1,0,1,-60,0
30,287,71,1,0,2,-60,0
31,287,70,1,0,3,-60,0
32,287,70,1,0,4,-60,0
33,287,70,1,0,3,-60,0
34,287,69,1,0,2,-60,0
35,287,68,1,0,1,-60,0
36,287,66,1,0,0,-60,0
37,287,65,1,0,-1,-60,0
38,287,64,1,0,-1,-60,0
39,287,64,1,0,-1,-60,0
40,287,64,1,0,0,-60,0
41,287,64,1,0,1,-60,0
42,287,64,1,0,2,-60,0
43,287,64,1,0,3,-60,0
44,287,64,1,0,4,-60,0
45,287,64,1,0,5,-60,0
46,287,64,1,0,4,-60,0
47,287,64,1,0,3,-60,0
48,287,64,1,0,2,-60,0
49,287,64,1,0,1,-60,0
50,287,64,1,0,0,-60,0
51,287,65,1,0,-1,-60,0
52,288,68,1,0,-2,-60,0
53,288,71,1,0,-1,-60,0
54,288,74,1,0,0,-60,0
55,288,75,1,0,1,-60,0
56,288,76,1,0,2,-60,0
57,288,79,1,0,3,-60,0
58,288,83,1,0,4,-60,0
59,289,86,1,0,3,-60,0
60,289,89,1,0,2,-60,0
61,289,92,1,0,1,-60,0
62,289,96,1,0,0,-60,0
63,289,99,1,0,-1,-60,0
64,289,102,1,0,-1,-60,0
65,289,107,1,0,-1,-60,0
66,289,111,1,0,-1,-60,0
67,289,114,1,0,0,-60,0
68,289,118,1,0,1,-60,0
69,289,121,1,0,2,-60,0
70,288,124,1,0,3,-60,0
71,288,126,1,0,4,-60,0
72,288,128,1,0,4,-60,0
73,287,130,1,0,4,-60,0
74,287,132,1,0,4,-60,0
75,287,133,1,0,4,-60,0
76,287,133,1,0,3,-60,0
77,287,133,1,0,3,-60,0
78,287,133,1,0,3,-60,0
79,287,133,1,0,3,-60,0
80,287,133,1,0,3,-60,0
81,287,133,1,0,3,-60,0
82,287,133,1,0,3,-60,0
83,287,133,1,0,3,-60,0
84,287,133,1,0,3,-60,0
85,287,133,1,0,3,-60,0
86,287,133,1,0,3,-60,0
87,287,133,1,0,3,-60,0
88,287,133,1,0,3,-60,0
89,287,133,1,0,3,-60,0
90,287,133,1,0,3,-60,0
91,287,133,1,0,3,-60,0
92,287,133,1,0,3,-60,0
93,287,133,1,0,3,-60,0
94,287,133,1,0,3,-60,0
95,287,133,1,0,3,-60,0
96,287,133,1,0,3,-60,0
97,287,133,1,0,3,-60,0
