t,x,y,fh,fv,r,s,frame:
0,-519,-95,0,0,0,-93,0
1,-519,-95,0,0,0,-93,0
2,-519,-95,0,0,0,-93,0
3,-519,-95,0,0,0,-93,0
4,-519,-95,0,0,0,-93,0
5,-519,-95,0,0,0,-93,0
6,-519,-95,0,0,0,-93,0
7,-519,-95,0,0,0,-93,0
8,-519,-95,0,0,0,-93,0
9,-519,-95,0,0,0,-93,0
10,-519,-95,0,0,0,-93,0
11,-519,-95,0,0,0,-93,0
12,-518,-95,0,0,0,-93,0
13,-518,-94,0,0,0,-93,0
14,-517,-93,0,0,0,-93,0
15,-517,-92,0,0,0,-93,0
16,-516,-91,0,0,0,-93,0
17,-516,-91,0,0,0,-93,0
18,-516,-90,0,0,0,-93,0
19,-516,-90,0,0,0,-93,0
20,-516,-90,0,0,0,-93,0
21,-516,-90,0,0,0,-93,0
22,-516,-90,0,0,0,-93,0
23,-516,-90,0,0,0,-93,0
24,-516,-90,0,0,0,-93,0
25,-516,-90,0,0,0,-93,0
26,-516,-90,0,0,0,-93,0
27,-516,-90,0,0,0,-93,0
28,-516,-90,0,0,0,-93,0
29,-516,-89,0,0,0,-93,0
30,-516,-89,0,0,0,-93,0
31,-516,-89,0,0,0,-93,0
32,-515,-89,0,0,0,-93,0
33,-515,-88,0,0,0,-93,0
34,-515,-88,0,0,0,-93,0
35,-515,-88,0,0,0,-93,0
36,-515,-88,0,0,0,-93,0
37,-515,-88,0,0,0,-93,0
38,-515,-88,0,0,0,-93,0
39,-515,-88,0,0,0,-93,0
40,-515,-88,0,0,0,-93,0
41,-515,-88,0,0,0,-93,0
42,-515,-88,0,0,0,-93,0
43,-515,-88,0,0,0,-93,0
44,-515,-88,0,0,0,-93,0
45,-515,-88,0,0,0,-93,0
46,-515,-88,0,0,0,-93,0
47,-515,-88,0,0,0,-93,0
48,-514,-88,0,0,0,-93,0
49,-513,-87,0,0,0,-93,0
50,-513,-87,0,0,0,-93,0
51,-512,-87,0,0,0,-93,0
52,-512,-87,0,0,0,-93,0
53,-512,-87,0,0,0,-93,0
54,-512,-87,0,0,0,-93,0
55,-512,-87,0,0,0,-93,0
56,-512,-87,0,0,0,-93,0
57,-512,-87,0,0,0,-93,0
58,-511,-87,0,0,0,-93,0
59,-511,-87,0,0,0,-93,0
60,-510,-86,0,0,0,-93,0
61,-510,-86,0,0,0,-93,0
62,-510,-86,0,0,0,-93,0
63,-510,-86,0,0,0,-93,0
64,-510,-86,0,0,0,-93,0
65,-510,-86,0,0,0,-93,0
66,-510,-86,0,0,0,-93,0
67,-509,-86,0,0,0,-93,0
68,-509,-86,0,0,0,-93,0
69,-509,-86,0,0,0,-93,0
70,-509,-86,0,0,0,-93,0
71,-509,-86,0,0,0,-93,0
72,-509,-86,0,0,0,-93,0
73,-508,-86,0,0,0,-93,0
74,-508,-86,0,0,0,-93,0
75,-508,-86,0,0,0,-93,0
76,-508,-86,0,0,0,-93,0
77,-508,-86,0,0,0,-93,0
78,-507,-86,0,0,0,-93,0
79,-507,-86,0,0,0,-93,0
80,-507,-86,0,0,0,-93,0
81,-507,-86,0,0,0,-93,0
82,-506,-86,0,0,0,-93,0
83,-506,-85,0,0,0,-93,0
84,-506,-85,0,0,0,-93,0
85,-505,-85,0,0,0,-93,0
86,-505,-85,0,0,0,-93,0
87,-505,-85,0,0,0,-93,0
88,-505,-85,0,0,0,-93,0
89,-504,-85,0,0,0,-93,0
90,-504,-85,0,0,0,-93,0
91,-504,-85,0,0,0,-93,0
92,-503,-85,0,0,0,-93,0
93,-503,-85,0,0,0,-93,0
94,-503,-85,0,0,0,-93,0
95,-503,-85,0,0,0,-93,0
96,-502,-85,0,0,0,-93,0
97,-502,-85,0,0,0,-93,0
98,-502,-85,0,0,0,-93,0
99,-501,-85,0,0,0,-93,0
100,-501,-85,0,0,0,-93,0
101,-501,-85,0,0,0,-93,0
102,-501,-85,0,0,0,-93,0
103,-501,-85,0,0,0,-93,0
104,-501,-85,0,0,0,-93,0
105,-501,-85,0,0,0,-93,0
106,-501,-85,0,0,0,-93,0
107,-501,-85,0,0,0,-93,0
108,-500,-85,0,0,0,-93,0
109,-500,-85,0,0,0,-93,0
110,-499,-85,0,0,0,-93,0
111,-499,-85,0,0,0,-93,0
112,-499,-85,0,0,0,-93,0
113,-499,-86,0,0,0,-93,0
114,-499,-86,0,0,0,-93,0
115,-498,-86,0,0,0,-93,0
116,-498,-86,0,0,0,-93,0
117,-498,-86,0,0,0,-93,0
118,-498,-86,0,0,0,-93,0
119,-498,-86,0,0,0,-93,0
120,-497,-87,0,0,0,-93,0
121,-497,-87,0,0,0,-93,0
122,-497,-87,0,0,0,-93,0
123,-497,-87,0,0,0,-93,0
124,-497,-87,0,0,0,-93,0
125,-496,-88,0,0,0,-93,0
126,-496,-88,0,0,0,-93,0
127,-496,-88,0,0,0,-93,0
128,-495,-88,0,0,0,-93,0
129,-495,-88,0,0,0,-93,0
130,-495,-88,0,0,0,-93,0
131,-495,-88,0,0,0,-93,0
132,-495,-88,0,0,0,-93,0
133,-495,-88,0,0,0,-93,0
134,-495,-88,0,0,0,-93,0
135,-494,-88,0,0,0,-93,0
136,-494,-88,0,0,0,-93,0
137,-494,-88,0,0,0,-93,0
138,-494,-88,0,0,0,-93,0
139,-494,-88,0,0,0,-93,0
140,-494,-88,0,0,0,-93,0
141,-494,-88,0,0,0,-93,0
142,-494,-88,0,0,0,-93,0
143,-494,-88,0,0,0,-93,0
144,-494,-88,0,0,0,-93,0
145,-494,-89,0,0,0,-93,0
146,-494,-89,0,0,0,-93,0
147,-494,-89,0,0,0,-93,0
148,-494,-89,0,0,0,-93,0
149,-493,-89,0,0,0,-93,0
150,-493,-89,0,0,0,-93,0
151,-493,-90,0,0,0,-93,0
152,-493,-90,0,0,0,-93,0
153,-492,-90,0,0,0,-93,0
154,-492,-90,0,0,0,-93,0
155,-492,-91,0,0,0,-93,0
156,-491,-91,0,0,0,-93,0
157,-491,-91,0,0,0,-93,0
158,-491,-92,0,0,0,-93,0
159,-491,-92,0,0,0,-93,0
160,-491,-92,0,0,0,-93,0
161,-491,-92,0,0,0,-93,0
162,-490,-92,0,0,0,-93,0
163,-490,-92,0,0,0,-93,0
164,-490,-92,0,0,0,-93,0
165,-490,-92,0,0,0,-93,0
166,-490,-92,0,0,0,-93,0
167,-490,-92,0,0,0,-93,0
168,-490,-92,0,0,0,-93,0
169,-490,-92,0,0,0,-93,0
170,-490,-92,0,0,0,-93,0
171,-490,-92,0,0,0,-93,0
172,-489,-92,0,0,0,-93,0
173,-489,-93,0,0,0,-93,0
174,-488,-93,0,0,0,-93,0
175,-488,-93,0,0,0,-93,0
176,-487,-93,0,0,0,-93,0
177,-487,-93,0,0,0,-93,0
178,-487,-93,0,0,0,-93,0
179,-487,-93,0,0,0,-93,0
180,-487,-93,0,0,0,-93,0
181,-487,-93,0,0,0,-93,0
182,-487,-93,0,0,0,-93,0
183,-487,-93,0,0,0,-93,0
184,-487,-93,0,0,0,-93,0
185,-487,-93,0,0,0,-93,0
186,-487,-93,0,0,0,-93,0
187,-487,-94,0,0,0,-93,0
188,-487,-94,0,0,0,-93,0
189,-487,-94,0,0,0,-93,0
190,-487,-95,0,0,0,-93,0
191,-487,-95,0,0,0,-93,0
192,-487,-95,0,0,0,-93,0
193,-487,-95,0,0,0,-93,0
194,-487,-95,0,0,0,-93,0
195,-487,-95,0,0,0,-93,0
196,-487,-95,0,0,0,-93,0
197,-487,-95,0,0,0,-93,0
198,-487,-95,0,0,0,-93,0
199,-487,-95,0,0,0,-93,0
200,-488,-95,0,0,0,-93,0
201,-488,-95,0,0,0,-93,0
202,-488,-95,0,0,0,-93,0
203,-488,-95,0,0,0,-93,0
204,-489,-96,0,0,0,-93,0
205,-489,-96,0,0,0,-93,0
206,-489,-96,0,0,0,-93,0
207,-489,-96,0,0,0,-93,0
208,-490,-96,0,0,0,-93,0
209,-490,-96,0,0,0,-93,0
210,-491,-96,0,0,0,-93,0
211,-491,-96,0,0,0,-93,0
212,-492,-96,0,0,0,-93,0
213,-492,-96,0,0,0,-93,0
214,-492,-96,0,0,0,-93,0
215,-493,-96,0,0,0,-93,0
216,-493,-96,0,0,0,-93,0
217,-493,-96,0,0,0,-93,0
218,-493,-96,0,0,0,-93,0
219,-493,-96,0,0,0,-93,0
220,-493,-96,0,0,0,-93,0
221,-493,-96,0,0,0,-93,0
222,-493,-95,0,0,0,-93,0
223,-493,-95,0,0,0,-93,0
224,-493,-95,0,0,0,-93,0
225,-494,-94,0,0,0,-93,0
226,-494,-94,0,0,0,-93,0
227,-494,-94,0,0,0,-93,0
228,-495,-94,0,0,0,-93,0
229,-495,-94,0,0,0,-93,0
230,-495,-94,0,0,0,-93,0
231,-495,-94,0,0,0,-93,0
232,-495,-94,0,0,0,-93,0
233,-495,-94,0,0,0,-93,0
234,-495,-94,0,0,0,-93,0
235,-495,-94,0,0,0,-93,0
236,-496,-94,0,0,0,-93,0
237,-496,-93,0,0,0,-93,0
238,-498,-93,0,0,0,-93,0
239,-499,-92,0,0,0,-93,0
240,-500,-92,0,0,0,-93,0
241,-502,-92,0,0,0,-93,0
242,-504,-92,0,0,0,-93,0
243,-506,-92,0,0,0,-93,0
244,-507,-92,0,0,0,-93,0
245,-508,-92,0,0,0,-93,0
246,-508,-92,0,0,0,-93,0
247,-508,-92,0,0,0,-93,0
248,-508,-92,0,0,0,-93,0
249,-509,-92,0,0,0,-93,0
250,-511,-92,0,0,0,-93,0
251,-511,-92,0,0,0,-93,0
252,-511,-92,0,0,0,-93,0
253,-512,-92,0,0,0,-93,0
254,-512,-92,0,0,0,-93,0
255,-512,-92,0,0,0,-93,0
256,-512,-92,0,0,0,-93,0
257,-513,-92,0,0,0,-93,0
258,-513,-92,0,0,0,-93,0
259,-514,-92,0,0,0,-93,0
260,-514,-92,0,0,0,-93,0
261,-514,-92,0,0,0,-93,0
262,-515,-92,0,0,0,-93,0
263,-516,-92,0,0,0,-93,0
264,-516,-92,0,0,0,-93,0
