t,x,y,fh,fv,r,s,frame:
0,214,115,1,0,0,-31,0
1,214,115,1,0,0,-31,0
2,214,115,1,0,0,-31,0
3,214,115,1,0,0,-31,0
4,214,115,1,0,0,-31,0
5,214,115,1,0,0,-31,0
6,214,115,1,0,0,-31,0
7,214,116,1,0,0,-31,0
8,214,116,1,0,0,-31,0
9,214,117,1,0,0,-31,0
10,214,117,1,0,0,-31,0
11,214,118,1,0,0,-31,0
12,213,119,1,0,0,-31,0
13,213,120,1,0,0,-31,0
14,212,121,1,0,0,-31,0
15,212,122,1,0,0,-31,0
16,211,123,1,0,0,-31,0
17,211,123,1,0,0,-31,0
18,210,124,1,0,0,-31,0
19,210,125,1,0,0,-31,0
20,208,126,1,0,0,-31,0
21,206,127,1,0,0,-31,0
22,205,128,1,0,0,-31,0
23,204,129,1,0,0,-31,0
24,202,129,1,0,0,-31,0
25,201,130,1,0,0,-31,0
26,201,130,1,0,0,-31,0
27,200,130,1,0,0,-31,0
28,200,131,1,0,0,-31,0
29,200,131,1,0,0,-31,0
30,200,131,1,0,0,-31,0
31,200,131,1,0,0,-31,0
32,200,131,1,0,0,-31,0
33,198,131,1,0,0,-31,0
34,196,131,1,0,0,-31,0
35,193,131,1,0,0,-31,0
36,190,131,1,0,0,-31,0
37,188,131,1,0,0,-31,0
38,186,131,1,0,0,-31,0
39,185,131,1,0,0,-31,0
40,184,131,1,0,0,-31,0
41,182,131,1,0,0,-31,0
42,180,131,1,0,0,-31,0
43,177,132,1,0,0,-31,0
44,173,133,1,0,0,-31,0
45,172,133,1,0,0,-31,0
46,170,133,1,0,0,-31,0
47,166,134,1,0,0,-31,0
48,163,135,1,0,0,-31,0
49,160,136,1,0,0,-31,0
50,158,137,1,0,0,-31,0
51,155,138,1,0,0,-31,0
52,153,139,1,0,0,-31,0
53,151,140,1,0,0,-30,0
54,148,141,1,0,0,-29,0
55,145,142,1,0,0,-28,0
56,142,143,1,0,0,-27,0
57,138,144,1,0,0,-26,0
58,135,145,1,0,0,-25,0
59,132,146,1,0,0,-24,0
60,129,147,1,0,0,-23,0
61,126,149,1,0,0,-22,0
62,122,152,1,0,0,-21,0
63,118,154,1,0,0,-20,0
64,116,157,1,0,0,-19,0
65,112,160,1,0,0,-18,0
66,110,162,1,0,0,-17,0
67,108,164,1,0,0,-16,0
68,107,166,1,0,0,-15,0
69,106,168,1,0,0,-14,0
70,104,170,1,0,0,-13,0
71,103,171,1,0,0,-12,0
72,102,173,1,0,0,-11,0
73,100,175,1,0,0,-10,0
74,99,176,1,0,0,-9,0
75,98,178,1,0,0,-8,0
76,96,180,1,0,0,-7,0
77,94,183,1,0,0,-6,0
78,92,185,1,0,0,-5,0
79,90,188,1,0,0,-4,0
80,87,193,1,0,0,-3,0
81,85,196,1,0,0,-2,0
82,83,198,1,0,0,-1,0
83,82,200,1,0,0,0,0
84,80,203,1,0,0,1,0
85,79,206,1,0,0,2,0
86,77,210,1,0,0,3,0
87,74,215,1,0,0,4,0
88,72,220,1,0,0,5,0
89,70,224,1,0,0,6,0
90,68,228,1,0,0,7,0
91,66,234,1,0,0,8,0
92,65,238,1,0,0,9,0
93,63,241,1,0,0,10,0
94,62,243,1,0,0,11,0
95,62,245,1,0,0,12,0
96,61,247,1,0,0,13,0
97,60,251,1,0,0,14,0
98,59,253,1,0,0,15,0
99,58,256,1,0,0,16,0
100,57,257,1,0,0,17,0
101,57,259,1,0,0,18,0
102,56,261,1,0,0,19,0
103,54,263,1,0,0,20,0
104,53,268,1,0,0,21,0
105,51,271,1,0,0,22,0
106,51,273,1,0,0,23,0
107,49,278,1,0,0,24,0
108,47,282,1,0,0,25,0
109,46,285,1,0,0,26,0
110,44,289,1,0,0,27,0
111,43,291,1,0,0,28,0
112,42,294,1,0,0,29,0
113,41,299,1,0,0,30,0
114,40,304,1,0,0,31,0
115,38,309,1,0,0,32,0
116,37,313,1,0,0,33,0
117,35,317,1,0,0,34,0
118,35,319,1,0,0,35,0
119,34,321,1,0,0,36,0
120,34,324,1,0,0,37,0
121,33,329,1,0,0,38,0
122,33,336,1,0,0,39,0
123,33,343,1,0,0,40,0
124,33,347,1,0,0,41,0
125,33,350,1,0,0,42,0
126,32,352,1,0,0,43,0
127,32,353,1,0,0,44,0
128,31,355,1,0,0,45,0
129,31,359,1,0,0,46,0
130,31,359,1,0,0,47,0
131,29,359,1,0,0,47,0
132,29,359,1,0,0,47,0
133,28,359,1,0,0,47,0
134,27,359,1,0,0,47,0
135,26,359,1,0,0,47,0
136,25,359,1,0,0,47,0
137,23,359,1,0,0,47,0
138,22,359,1,0,0,47,0
139,21,359,1,0,0,47,0
140,20,359,1,0,0,47,0
141,20,359,1,0,0,47,0
142,19,359,1,0,0,47,0
143,18,359,1,0,0,47,0
144,18,359,1,0,0,47,0
145,17,359,1,0,0,47,0
146,16,359,1,0,0,47,0
147,16,359,1,0,0,47,0
148,15,359,1,0,0,47,0
149,14,359,1,0,0,47,0
150,14,359,1,0,0,47,0
151,14,359,1,0,0,47,0
152,13,359,1,0,0,47,0
153,13,359,1,0,0,47,0
154,13,359,1,0,0,47,0
155,13,359,1,0,0,47,0
156,13,359,1,0,0,47,0
157,13,359,1,0,0,47,0
158,13,359,1,0,0,47,0
159,13,359,1,0,0,47,0
160,12,359,1,0,0,47,0
161,11,359,1,0,0,47,0
162,10,359,1,0,0,47,0
163,9,359,1,0,0,47,0
164,9,359,1,0,0,47,0
165,8,359,1,0,0,47,0
166,8,359,1,0,0,47,0
167,8,359,1,0,0,47,0
168,8,359,1,0,0,47,0
169,7,359,1,0,0,47,0
170,6,359,1,0,0,47,0
171,6,359,1,0,0,47,0
172,6,359,1,0,0,47,0
173,6,359,1,0,0,47,0
174,6,359,1,0,0,47,0
175,6,359,1,0,0,47,0
176,6,359,1,0,0,47,0
177,6,359,1,0,0,47,0
178,5,359,1,0,0,47,0
179,5,359,1,0,0,47,0
180,4,359,1,0,0,47,0
181,4,359,1,0,0,47,0
182,4,359,1,0,0,47,0
183,4,359,1,0,0,47,0
184,4,359,1,0,0,47,0
185,4,359,1,0,0,47,0
186,4,359,1,0,0,47,0
187,4,359,1,0,0,47,0
188,4,359,1,0,0,47,0
189,4,359,1,0,0,47,0
190,4,359,1,0,0,47,0
191,3,359,1,0,0,47,0
192,3,359,1,0,0,47,0
193,3,359,1,0,0,47,0
194,3,359,1,0,0,47,0
195,2,359,1,0,0,47,0
196,2,359,1,0,0,47,0
197,2,359,1,0,0,47,0
198,1,359,1,0,0,47,0
199,0,359,1,0,0,47,0
200,0,359,1,0,0,47,0
201,0,359,1,0,0,47,0
202,0,359,1,0,0,47,0
203,0,359,1,0,0,47,0
204,0,359,1,0,0,47,0
205,-1,359,1,0,0,47,0
206,-1,359,1,0,0,47,0
207,-1,359,1,0,0,47,0
208,-1,359,1,0,0,47,0
209,-1,359,1,0,0,47,0
210,-1,359,1,0,0,47,0
211,-1,359,1,0,0,47,0
212,-1,359,1,0,0,47,0
213,-1,359,1,0,0,47,0
214,-1,359,1,0,0,47,0
215,-1,359,1,0,0,47,0
216,-1,359,1,0,0,47,0
217,-1,359,1,0,0,47,0
218,-1,359,1,0,0,47,0
219,-1,359,1,0,0,47,0
220,-1,359,1,0,0,47,0
221,-1,359,1,0,0,47,0
222,-1,359,1,0,0,47,0
223,-1,359,1,0,0,47,0
224,-1,359,1,0,0,47,0
225,-1,359,1,0,0,47,0
226,-1,359,1,0,0,47,0
227,-1,359,1,0,0,47,0
228,-1,359,1,0,0,47,0
229,-1,359,1,0,0,47,0
230,-1,359,1,0,0,47,0
231,-1,359,1,0,0,47,0
232,-1,359,1,0,0,47,0
233,-1,359,1,0,0,47,0
234,-1,359,1,0,0,47,0
