t,x,y,fh,fv,r,s,frame:
0,-116,-73,0,0,0,-81,0
1,-116,-73,0,0,0,-81,0
2,-116,-73,0,0,0,-81,0
3,-117,-73,0,0,0,-81,0
4,-117,-74,0,0,0,-81,0
5,-117,-74,0,0,0,-81,0
6,-117,-74,0,0,0,-81,0
7,-118,-75,0,0,0,-81,0
8,-118,-76,0,0,0,-81,0
9,-119,-77,0,0,0,-81,0
10,-119,-77,0,0,0,-81,0
11,-119,-77,0,0,0,-81,0
12,-119,-77,0,0,0,-81,0
13,-120,-77,0,0,0,-81,0
14,-120,-77,0,0,0,-81,0
15,-120,-77,0,0,0,-81,0
16,-121,-78,0,0,0,-81,0
17,-122,-78,0,0,0,-81,0
18,-123,-79,0,0,0,-81,0
19,-124,-79,0,0,0,-81,0
20,-125,-80,0,0,0,-81,0
21,-127,-80,0,0,0,-81,0
22,-128,-81,0,0,0,-81,0
23,-130,-81,0,0,0,-81,0
24,-132,-82,0,0,0,-81,0
25,-134,-82,0,0,0,-81,0
26,-136,-83,0,0,0,-81,0
27,-138,-84,0,0,0,-81,0
28,-139,-84,0,0,0,-81,0
29,-141,-84,0,0,0,-81,0
30,-142,-85,0,0,0,-81,0
31,-142,-85,0,0,0,-81,0
32,-142,-85,0,0,0,-81,0
33,-142,-85,0,0,0,-81,0
34,-142,-85,0,0,0,-81,0
35,-142,-85,0,0,0,-81,0
36,-142,-86,0,0,0,-81,0
37,-142,-86,0,0,0,-81,0
38,-142,-86,0,0,0,-81,0
39,-143,-87,0,0,0,-81,0
40,-143,-87,0,0,0,-81,0
41,-143,-88,0,0,0,-81,0
42,-142,-89,0,0,0,-81,0
43,-142,-90,0,0,0,-81,0
44,-141,-91,0,0,0,-81,0
45,-141,-92,0,0,0,-81,0
46,-140,-92,0,0,0,-81,0
47,-140,-92,0,0,0,-81,0
48,-139,-93,0,0,0,-81,0
49,-138,-93,0,0,0,-81,0
50,-138,-93,0,0,0,-81,0
51,-138,-93,0,0,0,-81,0
52,-137,-93,0,0,0,-81,0
53,-137,-93,0,0,0,-81,0
54,-136,-93,0,0,0,-81,0
55,-135,-93,0,0,0,-81,0
56,-134,-93,0,0,0,-81,0
57,-134,-93,0,0,0,-81,0
58,-133,-93,0,0,0,-81,0
59,-133,-93,0,0,0,-81,0
60,-132,-93,0,0,0,-81,0
61,-131,-93,0,0,0,-81,0
62,-131,-93,0,0,0,-81,0
63,-131,-93,0,0,0,-81,0
64,-131,-93,0,0,0,-81,0
65,-131,-93,0,0,0,-81,0
66,-131,-93,0,0,0,-81,0
67,-131,-93,0,0,0,-81,0
68,-131,-93,0,0,0,-81,0
69,-130,-93,0,0,0,-81,0
70,-130,-93,0,0,0,-81,0
71,-130,-93,0,0,0,-81,0
72,-129,-93,0,0,0,-81,0
73,-129,-93,0,0,0,-81,0
74,-128,-93,0,0,0,-81,0
75,-128,-93,0,0,0,-81,0
76,-127,-93,0,0,0,-81,0
77,-127,-93,0,0,0,-81,0
78,-126,-93,0,0,0,-81,0
79,-126,-93,0,0,0,-81,0
80,-126,-93,0,0,0,-81,0
81,-125,-93,0,0,0,-81,0
82,-125,-93,0,0,0,-81,0
83,-124,-93,0,0,0,-81,0
84,-124,-93,0,0,0,-81,0
85,-123,-93,0,0,0,-81,0
86,-122,-93,0,0,0,-81,0
87,-121,-94,0,0,0,-81,0
88,-121,-94,0,0,0,-81,0
89,-120,-94,0,0,0,-81,0
90,-119,-95,0,0,0,-81,0
91,-118,-96,0,0,0,-81,0
92,-118,-96,0,0,0,-81,0
93,-118,-96,0,0,0,-81,0
94,-118,-96,0,0,0,-81,0
95,-118,-96,0,0,0,-81,0
96,-118,-97,0,0,0,-81,0
97,-118,-98,0,0,0,-81,0
98,-118,-98,0,0,0,-81,0
99,-118,-99,0,0,0,-81,0
100,-118,-99,0,0,0,-81,0
101,-119,-100,0,0,0,-81,0
102,-119,-100,0,0,0,-81,0
103,-119,-100,0,0,0,-81,0
104,-119,-100,0,0,0,-81,0
105,-120,-101,0,0,0,-81,0
106,-120,-101,0,0,0,-81,0
107,-120,-101,0,0,0,-81,0
108,-121,-101,0,0,0,-81,0
109,-121,-101,0,0,0,-81,0
110,-121,-101,0,0,0,-81,0
111,-121,-101,0,0,0,-81,0
112,-121,-101,0,0,0,-81,0
113,-121,-101,0,0,0,-81,0
114,-121,-101,0,0,0,-81,0
115,-121,-101,0,0,0,-81,0
116,-121,-100,0,0,0,-81,0
117,-122,-100,0,0,0,-81,0
118,-122,-100,0,0,0,-81,0
119,-122,-99,0,0,0,-81,0
120,-122,-99,0,0,0,-81,0
121,-122,-99,0,0,0,-81,0
122,-122,-98,0,0,0,-81,0
123,-122,-98,0,0,0,-81,0
124,-122,-98,0,0,0,-81,0
125,-122,-97,0,0,0,-81,0
126,-122,-97,0,0,0,-81,0
127,-122,-97,0,0,0,-81,0
128,-122,-96,0,0,0,-81,0
129,-122,-96,0,0,0,-81,0
130,-122,-96,0,0,0,-81,0
131,-121,-95,0,0,0,-81,0
132,-121,-94,0,0,0,-81,0
133,-121,-93,0,0,0,-81,0
134,-120,-93,0,0,0,-81,0
135,-119,-92,0,0,0,-81,0
136,-119,-91,0,0,0,-81,0
137,-118,-91,0,0,0,-81,0
138,-118,-90,0,0,0,-81,0
139,-118,-90,0,0,0,-81,0
140,-118,-90,0,0,0,-81,0
141,-118,-90,0,0,0,-81,0
142,-117,-90,0,0,0,-81,0
143,-117,-90,0,0,0,-81,0
144,-117,-89,0,0,0,-81,0
145,-117,-89,0,0,0,-81,0
146,-116,-88,0,0,0,-81,0
147,-116,-88,0,0,0,-81,0
148,-116,-87,0,0,0,-81,0
149,-116,-86,0,0,0,-81,0
150,-116,-86,0,0,0,-81,0
151,-116,-85,0,0,0,-81,0
152,-117,-85,0,0,0,-81,0
153,-118,-84,0,0,0,-81,0
154,-119,-83,0,0,0,-81,0
155,-119,-83,0,0,0,-81,0
156,-119,-83,0,0,0,-81,0
157,-120,-82,0,0,0,-81,0
158,-120,-82,0,0,0,-81,0
159,-121,-81,0,0,0,-81,0
160,-122,-81,0,0,0,-81,0
161,-123,-80,0,0,0,-81,0
162,-124,-80,0,0,0,-81,0
163,-124,-79,0,0,0,-81,0
164,-125,-79,0,0,0,-81,0
165,-126,-79,0,0,0,-81,0
166,-126,-78,0,0,0,-81,0
167,-127,-78,0,0,0,-81,0
168,-127,-78,0,0,0,-81,0
169,-127,-78,0,0,0,-81,0
170,-127,-78,0,0,0,-81,0
171,-128,-77,0,0,0,-81,0
172,-128,-77,0,0,0,-81,0
173,-128,-76,0,0,0,-81,0
174,-127,-75,0,0,0,-81,0
175,-127,-75,0,0,0,-81,0
176,-126,-74,0,0,0,-81,0
177,-126,-74,0,0,0,-81,0
178,-125,-74,0,0,0,-81,0
179,-125,-73,0,0,0,-81,0
180,-125,-73,0,0,0,-81,0
181,-124,-72,0,0,0,-81,0
182,-124,-72,0,0,0,-81,0
183,-124,-72,0,0,0,-81,0
184,-124,-71,0,0,0,-81,0
185,-124,-71,0,0,0,-81,0
186,-124,-70,0,0,0,-81,0
187,-125,-69,0,0,0,-81,0
188,-125,-68,0,0,0,-81,0
189,-126,-67,0,0,0,-81,0
190,-127,-67,0,0,0,-81,0
191,-127,-66,0,0,0,-81,0
192,-128,-66,0,0,0,-81,0
193,-128,-66,0,0,0,-81,0
194,-128,-66,0,0,0,-81,0
195,-129,-66,0,0,0,-81,0
196,-130,-66,0,0,0,-81,0
197,-130,-66,0,0,0,-81,0
198,-131,-65,0,0,0,-81,0
199,-132,-65,0,0,0,-81,0
200,-132,-65,0,0,0,-81,0
201,-132,-65,0,0,0,-81,0
202,-133,-65,0,0,0,-81,0
203,-133,-65,0,0,0,-81,0
204,-134,-65,0,0,0,-81,0
205,-135,-65,0,0,0,-81,0
206,-135,-65,0,0,0,-81,0
207,-136,-65,0,0,0,-81,0
208,-137,-65,0,0,0,-81,0
209,-137,-65,0,0,0,-81,0
210,-137,-65,0,0,0,-81,0
211,-138,-65,0,0,0,-81,0
212,-138,-66,0,0,0,-81,0
213,-138,-66,0,0,0,-81,0
214,-138,-66,0,0,0,-81,0
215,-139,-66,0,0,0,-81,0
216,-139,-67,0,0,0,-81,0
217,-139,-67,0,0,0,-81,0
218,-140,-68,0,0,0,-81,0
219,-140,-68,0,0,0,-81,0
220,-140,-69,0,0,0,-81,0
221,-140,-69,0,0,0,-81,0
222,-140,-69,0,0,0,-81,0
223,-140,-70,0,0,0,-81,0
224,-140,-70,0,0,0,-81,0
225,-140,-70,0,0,0,-81,0
226,-140,-71,0,0,0,-81,0
227,-139,-71,0,0,0,-81,0
