t,x,y,fh,fv,r,s,frame:
0,-92,183,0,0,0,-146,1
1,-92,183,0,0,0,-146,1
2,-92,183,0,0,0,-146,1
3,-92,183,0,0,0,-146,1
4,-92,183,0,0,0,-146,1
5,-92,183,0,0,0,-146,1
6,-92,183,0,0,0,-146,1
7,-92,183,0,0,0,-146,1
8,-92,183,0,0,0,-146,1
9,-92,183,0,0,0,-146,1
10,-92,183,0,0,0,-146,1
11,-92,183,0,0,0,-146,1
12,-92,183,0,0,0,-146,1
13,-92,183,0,0,0,-146,1
14,-92,183,0,0,0,-146,1
15,-92,183,0,0,0,-146,1
16,-92,183,0,0,0,-146,1
17,-92,183,0,0,0,-146,1
18,-92,183,0,0,0,-146,1
19,-92,183,0,0,0,-146,1
20,-92,183,0,0,0,-146,1
21,-92,183,0,0,0,-146,1
22,-92,183,0,0,0,-146,1
23,-92,183,0,0,0,-146,1
24,-92,183,0,0,0,-146,1
25,-92,183,0,0,0,-146,1
26,-92,183,0,0,0,-146,1
27,-92,183,0,0,0,-146,1
28,-92,183,0,0,0,-146,1
29,-92,183,0,0,0,-146,1
30,-92,183,0,0,0,-146,1
31,-92,183,0,0,0,-146,1
32,-92,183,0,0,0,-146,1
33,-92,183,0,0,0,-146,1
34,-92,183,0,0,0,-146,1
35,-92,183,0,0,0,-146,1
36,-92,183,0,0,0,-146,1
37,-92,183,0,0,0,-146,1
38,-92,183,0,0,0,-146,1
39,-92,183,0,0,0,-146,1
40,-92,183,0,0,0,-146,1
41,-92,183,0,0,0,-146,1
42,-92,183,0,0,0,-146,1
43,-92,183,0,0,0,-146,1
44,-92,183,0,0,0,-146,1
45,-92,183,0,0,0,-146,1
46,-92,183,0,0,0,-146,1
47,-92,183,0,0,0,-146,1
48,-92,183,0,0,0,-146,1
49,-92,183,0,0,0,-146,1
50,-92,183,0,0,0,-146,1
51,-92,183,0,0,0,-146,1
52,-92,183,0,0,0,-146,1
53,-92,183,0,0,0,-146,1
54,-92,183,0,0,0,-146,1
55,-92,183,0,0,0,-146,1
56,-92,183,0,0,0,-146,1
57,-92,183,0,0,0,-146,1
58,-92,183,0,0,0,-146,1
59,-92,183,0,0,0,-146,1
60,-92,183,0,0,0,-146,1
61,-92,183,0,0,0,-146,1
62,-92,183,0,0,0,-146,1
63,-92,183,0,0,0,-146,1
64,-92,183,0,0,0,-146,1
65,-92,183,0,0,0,-146,1
66,-92,183,0,0,0,-146,1
67,-92,183,0,0,0,-146,1
68,-92,183,0,0,0,-146,1
69,-92,183,0,0,0,-146,1
70,-92,183,0,0,0,-146,1
71,7,194,0,0,0,-146,0
72,7,194,0,0,0,-146,0
73,7,194,0,0,0,-146,0
74,7,194,0,0,0,-146,0
75,7,194,0,0,0,-146,0
76,7,194,0,0,0,-146,0
77,7,194,0,0,0,-146,0
78,7,194,0,0,0,-146,0
79,7,194,0,0,0,-146,0
80,7,194,0,0,0,-146,0
81,7,194,0,0,0,-146,0
82,7,194,0,0,0,-146,0
83,7,194,0,0,0,-146,0
84,7,194,0,0,0,-146,0
85,7,194,0,0,0,-146,0
86,7,194,0,0,0,-146,0
87,7,194,0,0,0,-146,0
88,7,194,0,0,0,-146,0
89,7,194,0,0,0,-146,0
90,7,194,0,0,0,-146,0
91,7,194,0,0,0,-146,0
92,7,194,0,0,0,-146,0
93,7,194,0,0,0,-146,0
94,7,194,0,0,0,-146,0
95,7,194,0,0,0,-146,0
96,7,194,0,0,0,-146,0
97,7,194,0,0,0,-146,0
98,7,194,0,0,0,-146,0
99,7,194,0,0,0,-146,0
100,7,194,0,0,0,-146,0
101,7,194,0,0,0,-146,0
102,7,194,0,0,0,-146,0
103,7,194,0,0,0,-146,0
104,7,194,0,0,0,-146,0
105,7,194,0,0,0,-146,1
106,7,194,0,0,0,-146,1
107,7,194,0,0,0,-146,1
108,7,194,0,0,0,-146,1
109,7,194,0,0,0,-146,1
110,7,194,0,0,0,-146,1
111,7,194,0,0,0,-146,1
112,7,194,0,0,0,-146,1
113,7,194,0,0,0,-146,1
114,7,194,0,0,0,-146,1
115,7,194,0,0,0,-146,1
116,7,194,0,0,0,-146,1
117,7,194,0,0,0,-146,1
118,7,194,0,0,0,-146,1
119,7,194,0,0,0,-146,1
120,7,194,0,0,0,-146,1
121,7,194,0,0,0,-146,1
122,7,194,0,0,0,-146,1
123,7,194,0,0,0,-146,1
124,7,194,0,0,0,-146,1
125,7,194,0,0,0,-146,1
126,7,194,0,0,0,-146,1
127,7,194,0,0,0,-146,1
128,7,194,0,0,0,-146,1
129,7,194,0,0,0,-146,1
130,7,194,0,0,0,-146,1
131,7,194,0,0,0,-146,1
132,7,194,0,0,0,-146,1
133,7,194,0,0,0,-146,1
134,7,194,0,0,0,-146,1
135,7,194,0,0,0,-146,1
136,7,194,0,0,0,-146,1
137,7,194,0,0,0,-146,1
138,7,194,0,0,0,-146,1
139,7,194,0,0,0,-146,1
140,7,194,0,0,0,-146,1
141,7,194,0,0,0,-146,1
142,7,194,0,0,0,-146,1
143,7,194,0,0,0,-146,1
144,7,194,0,0,0,-146,1
145,7,194,0,0,0,-146,1
146,7,194,0,0,0,-146,1
147,7,194,0,0,0,-146,1
148,7,194,0,0,0,-146,1
149,7,194,0,0,0,-146,1
150,7,194,0,0,0,-146,1
151,7,194,0,0,0,-146,1
152,7,194,0,0,0,-146,1
153,7,194,0,0,0,-146,1
154,7,194,0,0,0,-146,1
155,7,194,0,0,0,-146,1
156,7,194,0,0,0,-146,1
157,7,194,0,0,0,-146,1
158,7,194,0,0,0,-146,1
159,7,194,0,0,0,-146,1
160,7,194,0,0,0,-146,1
161,7,194,0,0,0,-146,1
162,7,194,0,0,0,-146,1
163,7,194,0,0,0,-146,1
164,7,194,0,0,0,-146,1
165,7,194,0,0,0,-146,1
166,7,194,0,0,0,-146,1
167,7,194,0,0,0,-146,1
168,7,194,0,0,0,-146,1
169,7,194,0,0,0,-146,1
170,7,194,0,0,0,-146,1
171,7,194,0,0,0,-146,1
172,7,194,0,0,0,-146,1
173,7,194,0,0,0,-146,1
174,7,194,0,0,0,-146,1
175,7,194,0,0,0,-146,1
176,7,194,0,0,0,-146,1
177,7,194,0,0,0,-146,1
178,7,194,0,0,0,-146,1
179,7,194,0,0,0,-146,1
180,7,194,0,0,0,-146,1
181,7,194,0,0,0,-146,1
182,7,194,0,0,0,-146,1
183,7,194,0,0,0,-146,1
184,7,194,0,0,0,-146,1
185,7,194,0,0,0,-146,1
186,7,194,0,0,0,-146,1
187,7,194,0,0,0,-146,1
188,7,194,0,0,0,-146,1
189,7,194,0,0,0,-146,1
190,7,194,0,0,0,-146,1
191,7,194,0,0,0,-146,1
192,339,194,0,0,0,-146,0
193,339,194,0,0,0,-146,0
194,339,194,0,0,0,-146,0
195,339,194,0,0,0,-146,0
196,339,194,0,0,0,-146,0
197,339,194,0,0,0,-146,0
198,339,194,0,0,0,-146,0
199,339,194,0,0,0,-146,0
200,339,194,0,0,0,-146,0
201,339,194,0,0,0,-146,0
202,339,194,0,0,0,-146,0
203,339,194,0,0,0,-146,0
204,339,194,0,0,0,-146,0
205,339,194,0,0,0,-146,0
206,339,194,0,0,0,-146,0
