t,x,y,fh,fv,r,s,frame:
0,257,243,0,0,0,-93,0
1,257,243,0,0,0,-93,0
2,257,243,0,0,0,-93,0
3,257,243,0,0,0,-93,0
4,257,243,0,0,0,-93,0
5,257,243,0,0,0,-93,0
6,257,243,0,0,0,-93,0
7,257,243,0,0,0,-93,0
8,257,243,0,0,0,-93,0
9,257,243,0,0,0,-93,0
10,257,243,0,0,0,-93,0
11,257,243,0,0,0,-93,0
12,257,243,0,0,0,-93,0
13,257,243,0,0,0,-93,0
14,257,243,0,0,0,-93,0
15,257,243,0,0,0,-93,0
16,257,243,0,0,0,-93,0
17,257,243,0,0,0,-93,0
18,257,243,0,0,0,-93,0
19,257,243,0,0,0,-93,0
20,257,243,0,0,0,-93,0
21,257,243,0,0,0,-93,0
22,257,243,0,0,0,-93,0
23,257,243,0,0,0,-93,0
24,257,243,0,0,0,-93,0
25,257,243,0,0,0,-93,0
26,257,243,0,0,0,-93,0
27,257,243,0,0,0,-93,0
28,257,243,0,0,0,-93,0
29,257,242,0,0,0,-93,0
30,258,241,0,0,0,-93,0
31,258,240,0,0,0,-93,0
32,258,238,0,0,0,-93,0
33,258,235,0,0,0,-93,0
34,258,232,0,0,0,-93,0
35,257,230,0,0,0,-93,0
36,257,228,0,0,0,-93,0
37,257,227,0,0,0,-93,0
38,257,226,0,0,0,-93,0
39,257,225,0,0,0,-93,0
40,257,224,0,0,0,-93,0
41,257,222,0,0,0,-93,0
42,257,220,0,0,0,-93,0
43,257,218,0,0,0,-93,0
44,259,216,0,0,0,-93,0
45,260,214,0,0,0,-93,0
46,263,212,0,0,0,-93,0
47,264,211,0,0,0,-93,0
48,264,210,0,0,0,-93,0
49,265,209,0,0,0,-93,0
50,266,207,0,0,0,-93,0
51,267,206,0,0,0,-93,0
52,268,204,0,0,0,-93,0
53,269,201,0,0,0,-93,0
54,269,199,0,0,0,-93,0
55,270,196,0,0,0,-93,0
56,270,194,0,0,0,-93,0
57,270,191,0,0,0,-93,0
58,269,189,0,0,0,-93,0
59,267,186,0,0,0,-93,0
60,267,183,0,0,0,-93,0
61,266,181,0,0,0,-93,0
62,265,178,0,0,0,-93,0
63,264,176,0,0,0,-93,0
64,263,174,0,0,0,-93,0
65,263,172,0,0,0,-93,0
66,262,170,0,0,0,-93,0
67,261,169,0,0,0,-93,0
68,261,168,0,0,0,-93,0
69,261,167,0,0,0,-93,0
70,261,166,0,0,0,-93,0
71,261,161,0,0,0,-93,0
72,262,159,0,0,0,-93,0
73,263,157,0,0,0,-93,0
74,265,154,0,0,0,-93,0
75,266,150,0,0,0,-93,0
76,267,147,0,0,0,-93,0
77,269,143,0,0,0,-93,0
78,269,141,0,0,0,-93,0
79,269,140,0,0,0,-93,0
80,270,138,0,0,0,-93,0
81,270,136,0,0,0,-93,0
82,270,134,0,0,0,-93,0
83,270,131,0,0,0,-93,0
84,269,128,0,0,0,-93,0
85,268,125,0,0,0,-93,0
86,267,123,0,0,0,-93,0
87,266,121,0,0,0,-93,0
88,264,116,0,0,0,-93,0
89,262,113,0,0,0,-93,0
90,260,109,0,0,0,-93,0
91,258,106,0,0,0,-93,0
92,258,104,0,0,0,-93,0
93,258,103,0,0,0,-93,0
94,258,102,0,0,0,-93,0
95,258,100,0,0,0,-93,0
96,259,98,0,0,0,-93,0
97,261,95,0,0,0,-93,0
98,264,91,0,0,0,-93,0
99,267,87,0,0,0,-93,0
100,269,84,0,0,0,-93,0
101,269,83,0,0,0,-93,0
102,269,83,0,0,0,-93,0
103,269,83,0,0,0,-93,0
104,269,83,0,0,0,-93,0
105,269,83,0,0,0,-93,0
106,269,81,0,0,0,-93,0
107,269,80,0,0,0,-93,0
108,268,79,0,0,0,-93,0
109,268,79,0,0,0,-93,0
110,268,79,0,0,0,-93,0
111,268,79,0,0,0,-93,0
112,268,79,0,0,0,-93,0
113,268,79,0,0,0,-93,0
114,268,79,0,0,0,-93,0
115,268,79,0,0,0,-93,0
116,268,79,0,0,0,-93,0
117,268,79,0,0,0,-93,0
118,268,79,0,0,0,-93,0
119,268,79,0,0,0,-93,0
120,268,79,0,0,0,-93,0
121,268,79,0,0,0,-93,0
122,268,79,0,0,0,-93,0
123,268,79,0,0,0,-93,0
124,268,79,0,0,0,-93,0
125,268,79,0,0,0,-93,0
126,268,79,0,0,0,-93,0
127,268,79,0,0,0,-93,0
128,268,79,0,0,0,-93,0
129,268,79,0,0,0,-93,0
130,268,79,0,0,0,-93,0
131,268,79,0,0,0,-93,0
132,268,79,0,0,0,-93,0
133,268,79,0,0,0,-93,0
134,268,79,0,0,0,-93,0
135,268,79,1,0,0,-93,0
136,268,79,1,0,0,-93,0
137,268,79,1,0,0,-93,0
138,268,79,1,0,0,-93,0
139,268,79,1,0,0,-93,0
140,268,79,1,0,0,-93,0
141,268,79,1,0,0,-93,0
142,268,79,1,0,0,-93,0
143,268,79,1,0,0,-93,0
144,268,79,1,0,0,-93,0
145,268,79,1,0,0,-93,0
146,268,79,1,0,0,-93,0
147,268,79,1,0,0,-93,0
148,268,79,1,0,0,-93,0
149,268,79,1,0,0,-93,0
150,268,79,1,0,0,-93,0
151,268,79,1,0,0,-93,0
152,268,79,1,0,0,-93,0
153,268,79,1,0,0,-93,0
154,268,79,1,0,0,-93,0
155,268,79,1,0,0,-93,0
156,268,79,1,0,0,-93,0
157,268,79,1,0,0,-93,0
158,268,79,1,0,0,-93,0
159,268,79,1,0,0,-93,0
160,268,79,1,0,0,-93,0
161,268,79,1,0,0,-93,0
162,268,79,1,0,0,-93,0
163,268,79,1,0,0,-93,0
164,268,79,1,0,0,-93,0
165,268,79,1,0,0,-93,0
166,268,79,1,0,0,-93,0
167,268,79,1,0,0,-93,0
168,268,79,1,0,0,-93,0
169,268,79,1,0,0,-93,0
170,268,79,1,0,0,-93,0
171,268,79,1,0,0,-93,0
172,268,79,1,0,0,-93,0
173,268,79,1,0,0,-93,0
174,268,79,1,0,0,-93,0
175,268,79,1,0,0,-93,0
176,268,79,1,0,0,-93,0
177,268,79,1,0,0,-93,0
178,268,79,1,0,0,-93,0
179,268,79,1,0,0,-93,0
180,268,79,1,0,0,-93,0
181,268,79,1,0,0,-93,0
182,268,79,1,0,0,-93,0
183,268,79,1,0,0,-93,0
184,268,79,1,0,0,-93,0
185,268,79,1,0,0,-93,0
186,268,79,1,0,0,-93,0
187,268,79,1,0,0,-93,0
188,268,79,1,0,0,-93,0
189,268,79,1,0,0,-93,0
190,268,79,1,0,0,-93,0
191,268,79,1,0,0,-93,0
192,268,79,1,0,0,-93,0
193,268,79,1,0,0,-93,0
194,268,79,1,0,0,-93,0
195,268,79,1,0,0,-93,0
196,268,79,1,0,0,-93,0
197,268,79,1,0,0,-93,0
198,268,79,1,0,0,-93,0
199,268,79,1,0,0,-93,0
200,268,79,1,0,0,-93,0
201,268,79,1,0,0,-93,0
202,268,79,1,0,0,-93,0
203,268,79,1,0,0,-93,0
204,268,79,1,0,0,-93,0
205,268,79,1,0,0,-93,0
206,268,79,1,0,0,-93,0
207,268,79,1,0,0,-93,0
208,268,79,1,0,0,-93,0
209,268,79,1,0,0,-93,0
210,268,79,1,0,0,-93,0
211,268,79,1,0,0,-93,0
212,268,79,1,0,0,-93,0
213,268,79,1,0,0,-93,0
214,268,79,1,0,0,-93,0
215,268,79,1,0,0,-93,0
216,268,79,1,0,0,-93,0
217,268,79,1,0,0,-93,0
218,268,79,1,0,0,-93,0
219,268,79,1,0,0,-93,0
220,268,79,1,0,0,-93,0
221,268,79,1,0,0,-93,0
222,268,79,1,0,0,-93,0
223,268,79,1,0,0,-93,0
224,268,79,1,0,0,-93,0
225,268,79,1,0,0,-93,0
226,268,79,1,0,0,-93,0
227,268,79,1,0,0,-93,0
228,268,79,1,0,0,-93,0
229,268,79,1,0,0,-93,0
230,268,79,1,0,0,-93,0
231,268,79,1,0,0,-93,0
232,268,79,1,0,0,-93,0
233,268,79,1,0,0,-93,0
234,268,79,1,0,0,-93,0
235,268,79,1,0,0,-93,0
236,268,79,1,0,0,-93,0
237,268,79,1,0,0,-93,0
238,268,79,1,0,0,-93,0
239,268,79,1,0,0,-93,0
240,268,79,1,0,0,-93,0
241,268,79,1,0,0,-93,0
242,268,79,1,0,0,-93,0
243,268,79,1,0,0,-93,0
244,268,79,1,0,0,-93,0
245,268,79,1,0,0,-93,0
246,268,79,1,0,0,-93,0
247,268,79,1,0,0,-93,0
248,268,79,1,0,0,-93,0
249,268,79,1,0,0,-93,0
250,268,79,1,0,0,-93,0
251,268,79,1,0,0,-93,0
252,268,79,1,0,0,-93,0
253,268,79,1,0,0,-93,0
254,268,79,1,0,0,-93,0
255,268,79,1,0,0,-93,0
256,268,79,1,0,0,-93,0
257,268,79,1,0,0,-93,0
258,268,79,1,0,0,-93,0
259,268,79,1,0,0,-93,0
260,268,79,1,0,0,-93,0
261,268,79,1,0,0,-93,0
262,268,79,1,0,0,-93,0
263,268,79,1,0,0,-93,0
264,268,79,1,1,0,-93,0
265,268,79,1,1,0,-93,0
266,268,79,1,1,0,-93,0
267,268,79,1,1,0,-93,0
268,268,79,1,1,0,-93,0
269,268,79,1,1,0,-93,0
270,268,79,1,1,0,-93,0
271,268,79,1,1,0,-93,0
272,268,79,1,1,0,-93,0
273,268,79,1,1,0,-93,0
274,268,79,1,1,0,-93,0
275,268,79,1,1,0,-93,0
276,268,79,1,1,0,-93,0
277,268,79,1,1,0,-93,0
278,268,79,1,1,0,-93,0
279,267,80,1,1,0,-93,0
280,267,80,1,1,0,-93,0
281,266,80,1,1,0,-93,0
282,266,81,1,1,0,-93,0
283,263,82,1,1,0,-93,0
284,261,84,1,1,0,-93,0
285,260,85,1,1,0,-93,0
286,259,87,1,1,0,-93,0
287,258,88,1,1,0,-93,0
288,258,90,1,1,0,-93,0
289,258,91,1,1,0,-93,0
290,258,92,1,1,0,-93,0
291,259,94,1,1,0,-93,0
292,261,95,1,1,0,-93,0
293,262,96,1,1,0,-93,0
294,263,98,1,1,0,-93,0
295,264,99,1,1,0,-93,0
296,265,101,1,1,0,-93,0
297,265,103,1,1,0,-93,0
298,266,106,1,1,0,-93,0
299,266,110,1,1,0,-93,0
300,266,115,1,1,0,-93,0
301,266,121,1,1,0,-93,0
302,265,125,1,1,0,-93,0
303,265,127,1,1,0,-93,0
304,264,130,1,1,0,-93,0
305,264,131,1,1,0,-93,0
306,263,133,1,1,0,-93,0
307,263,135,1,1,0,-93,0
308,263,138,1,1,0,-93,0
309,263,142,1,1,0,-93,0
310,265,146,1,1,0,-93,0
311,268,151,1,1,0,-93,0
312,270,155,1,1,0,-93,0
313,272,157,1,1,0,-93,0
314,272,157,1,1,0,-93,0
315,272,158,1,1,0,-93,0
316,273,161,1,1,0,-93,0
317,273,165,1,1,0,-93,0
318,273,170,1,1,0,-93,0
319,273,179,1,1,0,-93,0
320,272,181,1,1,0,-93,0
321,272,183,1,1,0,-93,0
322,271,184,1,1,0,-93,0
