t,x,y,fh,fv,r,s,frame:
0,15,137,0,0,0,-73,0
1,15,137,0,0,0,-73,0
2,15,137,0,0,0,-73,0
3,15,137,0,0,0,-73,0
4,15,137,0,0,0,-73,0
5,15,137,0,0,0,-73,0
6,15,137,0,0,0,-73,0
7,15,137,0,0,0,-73,0
8,15,137,0,0,0,-73,0
9,15,137,0,0,0,-73,0
10,15,137,0,0,0,-73,0
11,15,137,0,0,0,-73,0
12,15,137,0,0,0,-73,0
13,15,137,0,0,0,-73,0
14,15,137,0,0,0,-73,0
15,15,137,0,0,0,-73,0
16,15,137,0,0,0,-73,0
17,15,137,0,0,0,-73,0
18,15,137,0,0,0,-73,0
19,15,137,0,0,0,-73,0
20,15,137,0,0,0,-73,0
21,15,137,0,0,0,-73,0
22,15,137,0,0,0,-73,0
23,15,137,0,0,0,-73,0
24,15,137,0,0,0,-73,0
25,15,137,0,0,0,-73,0
26,15,137,0,0,0,-73,0
27,15,137,0,0,0,-73,0
28,15,137,0,0,0,-73,0
29,15,137,0,0,0,-73,0
30,15,137,0,0,0,-73,0
31,15,137,0,0,0,-73,0
32,15,137,0,0,0,-73,0
33,15,137,0,0,0,-73,0
34,15,137,0,0,0,-73,0
35,15,137,0,0,0,-73,0
36,15,137,0,0,0,-73,0
37,15,137,0,0,0,-73,0
38,15,137,0,0,0,-73,0
39,15,137,0,0,0,-73,0
40,15,137,0,0,0,-73,0
41,15,137,0,0,0,-73,0
42,15,137,0,0,0,-73,0
43,15,137,0,0,0,-73,0
44,15,137,0,0,0,-73,0
45,15,137,0,0,0,-73,0
46,15,137,0,0,0,-73,0
47,15,137,0,0,0,-73,0
48,15,137,0,0,0,-73,0
49,15,137,0,0,0,-73,0
50,15,137,0,0,0,-73,0
51,15,137,0,0,0,-73,0
52,15,137,0,0,0,-73,0
53,15,137,0,0,0,-73,0
54,15,137,0,0,0,-73,0
55,15,137,0,0,0,-73,0
56,15,137,0,0,0,-73,0
57,15,137,0,0,0,-73,0
58,15,137,0,0,0,-73,0
59,15,137,0,0,0,-73,0
60,15,137,0,0,0,-73,0
61,15,137,0,0,0,-73,0
62,15,137,0,0,0,-73,0
63,15,137,0,0,0,-73,0
64,15,137,0,0,0,-73,0
65,15,137,0,0,0,-73,0
66,15,137,0,0,0,-73,0
67,15,137,0,0,0,-73,0
68,15,137,0,0,0,-73,0
69,15,137,0,0,0,-73,0
70,15,137,0,0,0,-73,0
71,15,137,0,0,0,-73,0
72,15,137,0,0,0,-73,0
73,15,137,0,0,0,-73,0
74,15,137,0,0,0,-73,0
75,15,137,0,0,0,-73,0
76,15,136,0,0,0,-73,0
77,15,135,0,0,0,-73,0
78,15,133,0,0,0,-73,0
79,15,131,0,0,0,-73,0
80,15,130,0,0,0,-73,0
81,15,128,0,0,0,-73,0
82,15,128,0,0,0,-73,0
83,15,127,0,0,0,-73,0
84,15,127,0,0,0,-73,0
85,15,127,0,0,0,-73,0
86,15,127,0,0,0,-73,0
87,15,127,0,0,0,-73,0
88,15,129,0,0,0,-73,0
89,15,131,0,0,0,-73,0
90,15,132,0,0,0,-73,0
91,15,134,0,0,0,-73,0
92,15,134,0,0,0,-73,0
93,15,134,0,0,0,-73,0
94,15,134,0,0,0,-73,0
95,15,134,0,0,0,-73,0
96,15,134,0,0,0,-73,0
97,15,134,0,0,0,-73,0
98,15,134,0,0,0,-73,0
99,15,131,0,0,0,-73,0
100,14,129,0,0,0,-73,0
101,14,127,0,0,0,-73,0
102,14,127,0,0,0,-73,0
103,14,127,0,0,0,-73,0
104,14,127,0,0,0,-73,0
105,14,127,0,0,0,-73,0
106,14,128,0,0,0,-73,0
107,14,131,0,0,0,-73,0
