t,x,y,fh,fv,r,s,frame:
0,90,311,0,0,0,-156,0
1,90,311,0,0,0,-156,0
2,90,311,0,0,0,-156,0
3,90,311,0,0,0,-156,0
4,90,311,0,0,0,-156,0
5,90,311,0,0,0,-156,0
6,92,311,0,0,0,-156,0
7,96,311,0,0,0,-156,0
8,102,310,0,0,0,-156,0
9,107,309,0,0,0,-156,0
10,111,309,0,0,0,-156,0
11,112,308,0,0,0,-156,0
12,112,308,0,0,0,-156,0
13,112,308,0,0,0,-156,0
14,113,308,0,0,0,-156,0
15,114,310,0,0,0,-156,0
16,119,315,0,0,0,-156,0
17,121,317,0,0,0,-156,0
18,121,318,0,0,0,-156,0
19,123,318,0,0,0,-156,0
20,123,318,0,0,0,-156,0
21,124,318,0,0,0,-156,0
22,124,318,0,0,0,-156,0
23,127,318,0,0,0,-156,0
24,131,318,0,0,0,-156,0
25,136,317,0,0,0,-156,0
26,141,315,0,0,0,-156,0
27,145,314,0,0,0,-156,0
28,149,314,0,0,0,-156,0
29,152,313,0,0,0,-156,0
30,155,313,0,0,0,-156,0
31,157,312,0,0,0,-156,0
32,160,312,0,0,0,-156,0
33,161,312,0,0,0,-156,0
34,164,313,0,0,0,-156,0
35,166,315,0,0,0,-156,0
36,169,316,0,0,0,-156,0
37,171,317,0,0,0,-156,0
38,174,318,0,0,0,-156,0
39,177,319,0,0,0,-156,0
40,180,320,0,0,0,-156,0
41,184,320,0,0,0,-156,0
42,187,320,0,0,0,-156,0
43,192,318,0,0,0,-156,0
44,197,317,0,0,0,-156,0
45,201,315,0,0,0,-156,0
46,204,314,0,0,0,-156,0
47,205,314,0,0,0,-156,0
48,205,314,0,0,0,-156,0
49,206,314,0,0,0,-156,0
50,207,314,0,0,0,-156,0
51,208,315,0,0,0,-156,0
52,212,318,0,0,0,-156,0
53,215,319,0,0,0,-156,0
54,221,320,0,0,0,-156,0
55,224,320,0,0,0,-156,0
56,226,320,0,0,0,-156,0
57,229,320,0,0,0,-156,0
58,231,319,0,0,0,-156,0
59,233,318,0,0,0,-156,0
60,235,317,0,0,0,-156,0
61,238,316,0,0,0,-156,0
62,241,316,0,0,0,-156,0
63,243,316,0,0,0,-156,0
64,244,316,0,0,0,-156,0
65,245,316,0,0,0,-156,0
66,248,316,0,0,0,-156,0
67,250,316,0,0,0,-156,0
68,251,316,0,0,0,-156,0
69,253,316,0,0,0,-156,0
70,253,316,0,0,0,-156,0
71,253,316,0,0,0,-156,0
72,253,316,0,0,0,-156,0
73,253,316,0,0,0,-156,0
74,253,316,0,0,0,-156,0
75,253,316,0,0,0,-156,0
76,253,316,0,0,0,-156,0
77,253,316,0,0,0,-156,0
78,253,316,0,0,0,-156,0
79,253,316,0,0,0,-156,0
80,253,316,0,0,0,-156,0
81,253,316,0,0,0,-156,0
82,253,316,0,0,0,-156,0
83,253,316,0,0,0,-156,0
84,253,316,0,0,0,-156,0
85,253,316,0,0,0,-156,0
86,253,316,0,0,0,-156,0
87,253,316,0,0,0,-156,0
88,253,316,0,0,0,-156,0
89,253,316,0,0,0,-156,0
90,253,316,0,0,0,-156,0
91,253,316,0,0,0,-156,0
92,253,316,0,0,0,-156,0
93,253,316,0,0,0,-156,0
94,253,316,0,0,0,-156,0
95,253,316,0,0,0,-156,0
96,253,316,0,0,0,-156,0
97,253,316,0,0,0,-156,0
98,253,316,0,0,0,-156,0
99,253,316,0,0,0,-156,0
100,253,316,1,0,0,-156,0
101,253,316,1,0,0,-156,0
102,253,316,1,0,0,-156,0
103,253,316,1,0,0,-156,0
104,253,316,1,0,0,-156,0
105,253,316,1,0,0,-156,0
106,253,316,1,0,0,-156,0
107,253,316,1,0,0,-156,0
108,253,316,1,0,0,-156,0
109,253,316,1,0,0,-156,0
110,253,316,1,0,0,-156,0
111,253,316,1,0,0,-156,0
112,253,316,1,0,0,-156,0
113,253,316,1,0,0,-156,0
114,253,316,1,0,0,-156,0
115,253,316,1,0,0,-156,0
116,253,316,1,0,0,-156,0
117,253,316,1,0,0,-156,0
118,253,316,1,0,0,-156,0
119,253,316,1,0,0,-156,0
120,251,315,1,0,0,-156,0
121,250,315,1,0,0,-156,0
122,250,315,1,0,0,-156,0
123,249,315,1,0,0,-156,0
124,249,315,1,0,0,-156,0
125,248,315,1,0,0,-156,0
126,247,315,1,0,0,-156,0
127,246,316,1,0,0,-156,0
128,246,316,1,0,0,-156,0
129,246,316,1,0,0,-156,0
130,246,316,1,0,0,-156,0
131,246,316,1,0,0,-156,0
132,245,316,1,0,0,-156,0
133,244,316,1,0,0,-156,0
