t,x,y,fh,fv,r,s,frame:
0,-343,229,0,0,0,-133,0
1,-343,229,0,0,0,-133,0
2,-343,229,0,0,0,-133,0
3,-343,229,0,0,0,-133,0
4,-343,229,0,0,0,-133,0
5,-343,229,0,0,0,-133,0
6,-343,229,0,0,0,-133,0
7,-343,229,0,0,0,-133,0
8,-343,229,0,0,0,-133,0
9,-343,229,0,0,0,-133,0
10,-343,229,0,0,0,-132,0
11,-344,229,0,0,0,-131,0
12,-344,228,0,0,0,-130,0
13,-344,227,0,0,0,-129,0
14,-345,226,0,0,0,-128,0
15,-345,225,0,0,0,-127,0
16,-345,225,0,0,0,-126,0
17,-345,225,0,0,0,-125,0
18,-345,225,0,0,0,-124,0
19,-345,225,0,0,0,-123,0
20,-345,224,0,0,0,-122,0
21,-345,224,0,0,0,-121,0
22,-345,224,0,0,0,-120,0
23,-345,224,0,0,0,-119,0
24,-345,224,0,0,0,-118,0
25,-345,222,0,0,0,-117,0
26,-345,220,0,0,0,-116,0
27,-345,219,0,0,0,-115,0
28,-345,218,0,0,0,-114,0
29,-345,218,0,0,0,-113,0
30,-345,218,0,0,0,-112,0
31,-345,218,0,0,0,-111,0
32,-345,214,0,0,0,-110,0
33,-345,211,0,0,0,-109,0
34,-345,207,0,0,0,-108,0
35,-345,204,0,0,0,-107,0
36,-345,200,0,0,0,-106,0
37,-346,196,0,0,0,-105,0
38,-346,193,0,0,0,-104,0
39,-346,190,0,0,0,-103,0
40,-346,187,0,0,0,-102,0
41,-346,186,0,0,0,-101,0
42,-346,184,0,0,0,-100,0
43,-346,182,0,0,0,-99,0
44,-346,179,0,0,0,-98,0
45,-346,176,0,0,0,-97,0
46,-346,174,0,0,0,-96,0
47,-346,172,0,0,0,-95,0
48,-346,171,0,0,0,-94,0
49,-346,170,0,0,0,-93,0
50,-346,169,0,0,0,-92,0
51,-346,169,0,0,0,-91,0
52,-346,169,0,0,0,-90,0
53,-346,167,0,0,0,-89,0
54,-346,166,0,0,0,-88,0
55,-346,166,0,0,0,-87,0
56,-346,165,0,0,0,-86,0
57,-346,163,0,0,0,-85,0
58,-347,162,0,0,0,-84,0
59,-347,160,0,0,0,-83,0
60,-347,158,0,0,0,-82,0
61,-347,157,0,0,0,-81,0
62,-347,155,0,0,0,-80,0
63,-347,154,0,0,0,-79,0
64,-347,153,0,0,0,-78,0
65,-347,151,0,0,0,-77,0
66,-347,150,0,0,0,-76,0
67,-348,146,0,0,0,-75,0
68,-348,144,0,0,0,-74,0
69,-348,142,0,0,0,-73,0
70,-348,140,0,0,0,-72,0
71,-348,139,0,0,0,-71,0
72,-348,137,0,0,0,-70,0
73,-348,136,0,0,0,-69,0
74,-348,135,0,0,0,-68,0
75,-348,133,0,0,0,-67,0
76,-348,132,0,0,0,-66,0
77,-348,131,0,0,0,-65,0
78,-348,129,0,0,0,-64,0
79,-348,127,0,0,0,-63,0
80,-348,125,0,0,0,-62,0
81,-348,123,0,0,0,-61,0
82,-348,121,0,0,0,-60,0
83,-348,118,0,0,0,-59,0
84,-348,116,0,0,0,-58,0
85,-348,114,0,0,0,-57,0
86,-348,113,0,0,0,-56,0
87,-348,110,0,0,0,-55,0
88,-348,109,0,0,0,-54,0
89,-348,107,0,0,0,-53,0
90,-348,106,0,0,0,-52,0
91,-348,105,0,0,0,-51,0
92,-348,104,0,0,0,-50,0
93,-348,104,0,0,0,-49,0
94,-348,103,0,0,0,-48,0
95,-348,103,0,0,0,-47,0
96,-348,102,0,0,0,-46,0
97,-348,101,0,0,0,-45,0
98,-348,100,0,0,0,-44,0
99,-348,100,0,0,0,-43,0
100,-348,99,0,0,0,-42,0
101,-348,97,0,0,0,-41,0
102,-348,94,0,0,0,-40,0
103,-348,91,0,0,0,-39,0
104,-348,86,0,0,0,-38,0
105,-348,84,0,0,0,-37,0
106,-348,83,0,0,0,-36,0
107,-348,80,0,0,0,-35,0
108,-348,77,0,0,0,-34,0
109,-348,75,0,0,0,-33,0
110,-348,73,0,0,0,-32,0
111,-348,71,0,0,0,-31,0
112,-348,71,0,0,0,-30,0
113,-348,70,0,0,0,-29,0
114,-348,69,0,0,0,-28,0
115,-348,69,0,0,0,-27,0
116,-348,69,0,0,0,-26,0
117,-348,69,0,0,0,-25,0
118,-348,69,0,0,0,-24,0
119,-348,69,0,0,0,-23,0
