t,x,y,fh,fv,r,s,frame:
0,-218,128,0,0,78,-32,0
1,-218,128,0,0,78,-32,0
2,-218,128,0,0,78,-32,0
3,-218,127,0,0,78,-32,0
4,-218,126,0,0,78,-32,0
5,-218,123,0,0,78,-32,0
6,-217,119,0,0,78,-32,0
7,-216,117,0,0,76,-32,0
8,-216,114,0,0,74,-32,0
9,-215,110,0,0,72,-32,0
10,-214,108,0,0,70,-32,0
11,-213,105,0,0,68,-32,0
12,-212,101,0,0,66,-32,0
13,-211,96,0,0,64,-32,0
14,-209,93,0,0,62,-32,0
15,-207,89,0,0,60,-32,0
16,-206,85,0,0,58,-32,0
17,-204,83,0,0,56,-32,0
18,-203,80,0,0,54,-32,0
19,-201,76,0,0,52,-32,0
20,-199,73,0,0,50,-32,0
21,-196,69,0,0,48,-32,0
22,-194,65,0,0,46,-32,0
23,-191,62,0,0,44,-32,0
24,-188,58,0,0,42,-32,0
25,-186,55,0,0,40,-32,0
26,-183,51,0,0,38,-32,0
27,-181,49,0,0,36,-32,0
28,-179,45,0,0,34,-32,0
29,-176,42,0,0,32,-32,0
30,-175,40,0,0,30,-32,0
31,-171,37,0,0,28,-32,0
32,-169,34,0,0,26,-32,0
33,-165,30,0,0,24,-32,0
34,-160,26,0,0,22,-32,0
35,-155,22,0,0,20,-32,0
36,-147,17,0,0,18,-32,0
37,-142,14,0,0,16,-32,0
38,-134,9,0,0,14,-32,0
39,-127,5,0,0,12,-32,0
40,-120,2,0,0,10,-32,0
41,-111,-1,0,0,8,-32,0
42,-100,-5,0,0,6,-32,0
43,-92,-8,0,0,4,-32,0
44,-81,-11,0,0,2,-32,0
45,-74,-12,0,0,0,-32,0
46,-54,-17,0,0,-2,-32,0
47,-43,-18,0,0,-2,-32,0
48,-34,-19,0,0,-2,-32,0
49,-28,-19,0,0,-2,-32,0
50,-22,-19,0,0,-2,-32,0
51,-16,-17,0,0,-2,-32,0
52,-9,-16,0,0,-2,-32,0
53,-3,-14,0,0,-2,-32,0
54,3,-13,0,0,-2,-32,0
55,8,-11,0,0,-2,-32,0
56,14,-9,0,0,-2,-32,0
57,22,-6,0,0,-2,-32,0
58,34,-2,0,0,-2,-32,0
59,41,0,0,0,-2,-32,0
60,48,3,0,0,-2,-32,0
61,54,6,0,0,-2,-32,0
62,60,9,0,0,-2,-32,0
63,64,12,0,0,-2,-32,0
64,72,18,0,0,-2,-32,0
65,80,23,0,0,-2,-32,0
66,85,28,0,0,-2,-32,0
67,88,32,0,0,-2,-32,0
68,91,37,0,0,-2,-32,0
69,94,41,0,0,-2,-32,0
70,95,46,0,0,-2,-32,0
71,97,52,0,0,-2,-32,0
72,98,56,0,0,-2,-32,0
73,100,61,0,0,-2,-32,0
74,100,64,0,0,-2,-32,0
75,101,67,0,0,-2,-32,0
76,101,70,0,0,-2,-32,0
77,102,73,0,0,-2,-32,0
78,102,75,0,0,-2,-32,0
79,102,76,0,0,-2,-32,0
80,102,77,0,0,-2,-32,0
81,102,78,0,0,-2,-32,0
82,102,78,0,0,-2,-32,0
83,102,78,0,0,-2,-32,0
84,102,78,0,0,-2,-32,0
85,102,78,0,0,-2,-32,0
86,102,78,0,0,-2,-32,0
87,102,80,0,0,-2,-32,0
88,102,81,0,0,-2,-32,0
89,102,82,0,0,-2,-32,0
90,101,82,0,0,-2,-32,0
91,101,82,0,0,-2,-32,0
92,101,82,0,0,-2,-32,0
93,101,82,0,0,-2,-32,0
94,101,82,0,0,-2,-32,0
95,101,82,0,0,-2,-32,0
96,101,82,0,0,-2,-32,0
97,101,82,0,0,-2,-32,0
98,101,82,0,0,-2,-32,0
99,101,82,0,0,-2,-32,0
100,101,82,0,0,-2,-32,0
101,101,82,0,0,-2,-32,0
102,101,82,0,0,-2,-32,0
103,101,82,0,0,-2,-32,0
104,101,82,0,0,-2,-32,0
105,101,82,0,0,-2,-32,0
106,101,82,0,0,-2,-32,0
107,101,82,0,0,-2,-32,0
108,101,82,0,0,-2,-32,0
109,101,82,0,0,-2,-32,0
110,101,82,0,0,-2,-32,0
111,101,82,0,0,-2,-32,0
112,101,82,0,0,-2,-32,0
113,101,82,0,0,-2,-32,0
114,101,82,0,0,-2,-32,0
115,101,81,0,0,-2,-32,0
116,104,80,0,0,-2,-32,0
117,108,77,0,0,-2,-32,0
118,113,74,0,0,-2,-32,0
119,118,72,0,0,-2,-32,0
120,122,71,0,0,-2,-32,0
121,126,71,0,0,-2,-32,0
122,129,72,0,0,-2,-32,0
123,134,76,0,0,-2,-32,0
124,136,78,0,0,-2,-32,0
125,137,81,0,0,-2,-32,0
126,139,84,0,0,-2,-32,0
127,140,86,0,0,-2,-32,0
128,142,88,0,0,-2,-32,0
129,143,89,0,0,-2,-32,0
130,144,91,0,0,-2,-32,0
131,144,91,0,0,-2,-32,0
132,145,91,0,0,-2,-32,0
133,146,91,0,0,-2,-32,0
134,150,88,0,0,-2,-32,0
135,152,85,0,0,-2,-32,0
136,157,81,0,0,-2,-32,0
137,163,77,0,0,-2,-32,0
138,168,74,0,0,-2,-32,0
139,173,74,0,0,-2,-32,0
140,177,74,0,0,-2,-32,0
141,177,75,0,0,-2,-32,0
142,180,79,0,0,-2,-32,0
143,183,83,0,0,-2,-32,0
144,187,89,0,0,-2,-32,0
145,190,93,0,0,-2,-32,0
146,192,95,0,0,-2,-32,0
147,192,95,0,0,-2,-32,0
148,193,95,0,0,-2,-32,0
149,195,94,0,0,-2,-32,0
150,200,92,0,0,-2,-32,0
151,205,89,0,0,-2,-32,0
152,212,84,0,0,-2,-32,0
153,218,80,0,0,-2,-32,0
154,224,78,0,0,-2,-32,0
155,227,77,0,0,-2,-32,0
156,230,78,0,0,-2,-32,0
157,234,81,0,0,-2,-32,0
158,240,88,0,0,-2,-32,0
159,245,93,0,0,-2,-32,0
160,247,94,0,0,-2,-32,0
161,252,98,0,0,-2,-32,0
162,253,99,0,0,-2,-32,0
163,255,99,0,0,-2,-32,0
164,257,99,0,0,-2,-32,0
165,259,99,0,0,-2,-32,0
166,263,96,0,0,-2,-32,0
167,269,91,0,0,-2,-32,0
168,276,86,0,0,-2,-32,0
169,285,80,0,0,-2,-32,0
170,293,77,0,0,-2,-32,0
171,298,76,0,0,-2,-32,0
172,301,76,0,0,-2,-32,0
173,304,77,0,0,-2,-32,0
174,307,80,0,0,-2,-32,0
175,312,86,0,0,-2,-32,0
176,316,90,0,0,-2,-32,0
177,319,91,0,0,-2,-32,0
178,322,92,0,0,-2,-32,0
179,326,92,0,0,-2,-32,0
180,332,89,0,0,-2,-32,0
181,341,86,0,0,-2,-32,0
182,347,83,0,0,-2,-32,0
183,355,78,0,0,-2,-32,0
184,362,76,0,0,-2,-32,0
185,368,74,0,0,-2,-32,0
186,372,74,0,0,-2,-32,0
187,376,76,0,0,-2,-32,0
188,382,81,0,0,-2,-32,0
189,387,87,0,0,-2,-32,0
190,392,92,0,0,-2,-32,0
191,395,96,0,0,-2,-32,0
192,397,96,0,0,-2,-32,0
193,397,97,0,0,-2,-32,0
194,397,97,0,0,-2,-32,0
195,398,97,0,0,-2,-32,0
196,400,96,0,0,-2,-32,0
197,404,94,0,0,-2,-32,0
198,409,91,0,0,-2,-32,0
199,415,87,0,0,-2,-32,0
200,421,85,0,0,-2,-32,0
201,425,84,0,0,-2,-32,0
202,429,85,0,0,-2,-32,0
203,433,89,0,0,-2,-32,0
204,437,92,0,0,-2,-32,0
205,439,96,0,0,-2,-32,0
206,440,97,0,0,-2,-32,0
207,442,98,0,0,-2,-32,0
208,442,99,0,0,-2,-32,0
209,443,99,0,0,-2,-32,0
210,444,99,0,0,-2,-32,0
211,446,98,0,0,-2,-32,0
212,450,96,0,0,-2,-32,0
213,453,94,0,0,-2,-32,0
214,457,92,0,0,-2,-32,0
215,461,91,0,0,-2,-32,0
216,463,91,0,0,-2,-32,0
217,465,91,0,0,-2,-32,0
218,466,92,0,0,-2,-32,0
219,466,92,0,0,-2,-32,0
220,466,93,0,0,-2,-32,0
221,467,95,0,0,-2,-32,0
222,469,97,0,0,-2,-32,0
223,469,97,0,0,-2,-32,0
224,470,98,0,0,-2,-32,0
225,470,98,0,0,-2,-32,0
226,470,98,0,0,-2,-32,0
227,470,98,0,0,-2,-32,0
228,470,98,0,0,-2,-32,0
229,470,98,0,0,-2,-32,0
230,470,98,0,0,-2,-32,0
