t,x,y,fh,fv,r,s,frame:
0,229,-185,0,0,0,0,1
1,229,-185,0,0,0,0,1
2,229,-185,0,0,0,0,1
3,229,-185,0,0,0,0,1
4,229,-185,0,0,0,0,1
5,229,-185,0,0,0,0,1
6,229,-185,0,0,0,0,1
7,229,-185,0,0,0,0,1
8,229,-185,0,0,0,0,1
9,229,-185,0,0,0,0,1
10,229,-185,0,0,0,0,1
11,229,-185,0,0,0,0,1
12,229,-185,0,0,0,0,1
13,229,-185,0,0,0,0,1
14,229,-185,0,0,0,0,1
15,229,-185,0,0,0,0,1
16,229,-185,0,0,0,0,1
17,229,-185,0,0,0,0,1
18,229,-185,0,0,0,0,1
19,229,-185,0,0,0,0,1
20,229,-185,0,0,0,0,1
21,229,-185,0,0,0,0,1
22,229,-185,0,0,0,0,1
23,229,-185,0,0,0,0,1
24,229,-185,0,0,0,0,1
25,229,-185,0,0,0,0,1
26,229,-185,0,0,0,0,1
27,229,-185,0,0,0,0,1
28,229,-185,0,0,0,0,1
29,229,-185,0,0,0,0,1
30,229,-185,0,0,0,0,1
31,229,-185,0,0,0,0,1
32,229,-185,0,0,0,0,1
33,229,-185,0,0,0,0,1
34,229,-185,0,0,0,0,1
35,229,-185,0,0,0,0,1
36,229,-185,0,0,0,0,1
37,229,-185,0,0,0,0,1
38,229,-185,0,0,0,0,1
39,229,-185,0,0,0,0,1
40,229,-185,0,0,0,0,1
41,229,-185,0,0,0,0,1
42,229,-185,0,0,0,0,1
43,229,-185,0,0,0,0,1
44,229,-185,0,0,0,0,1
45,229,-185,0,0,0,0,1
46,229,-185,0,0,0,0,1
47,229,-185,0,0,0,0,1
48,229,-185,0,0,0,0,1
49,229,-185,0,0,0,0,1
50,229,-185,0,0,0,0,1
51,229,-185,0,0,0,0,1
52,229,-185,0,0,0,0,1
53,229,-185,0,0,0,0,1
54,229,-185,0,0,0,0,1
55,229,-185,0,0,0,0,1
56,229,-185,0,0,0,0,1
57,229,-185,0,0,0,0,1
58,229,-185,0,0,0,0,1
59,229,-185,0,0,0,0,1
60,229,-185,0,0,0,0,1
61,229,-185,0,0,0,0,1
62,229,-185,0,0,0,0,1
63,229,-185,0,0,0,0,1
64,229,-185,0,0,0,0,1
65,229,-185,0,0,0,0,1
66,229,-185,0,0,0,0,1
67,229,-185,0,0,0,0,1
68,229,-185,0,0,0,0,1
69,229,-185,0,0,0,0,1
70,229,-185,0,0,0,0,1
71,229,-185,0,0,0,0,1
72,229,-185,0,0,0,0,1
73,229,-185,0,0,0,0,1
74,229,-185,0,0,0,0,1
75,229,-185,0,0,0,0,1
76,229,-185,0,0,0,0,1
77,229,-185,0,0,0,0,1
78,229,-185,0,0,0,0,1
79,229,-185,0,0,0,0,1
80,229,-185,0,0,0,0,1
81,229,-185,0,0,0,0,1
82,229,-185,0,0,0,0,1
83,229,-185,0,0,0,0,1
84,229,-185,0,0,0,0,1
