t,x,y,fh,fv,r,s,frame:
0,-2,86,1,0,0,-46,0
1,-2,86,1,0,0,-46,0
2,-2,86,1,0,0,-46,0
3,-2,86,1,0,0,-46,0
4,-2,86,1,0,0,-46,0
5,-2,86,1,0,0,-46,0
6,-2,86,1,0,0,-46,0
7,-2,86,1,0,0,-46,0
8,-2,87,1,0,0,-46,0
9,-2,88,1,0,0,-46,0
10,-2,89,1,0,0,-46,0
11,-2,90,1,0,0,-45,0
12,-2,92,1,0,0,-44,0
13,-2,93,1,0,0,-43,0
14,-2,93,1,0,0,-42,0
15,-2,93,1,0,0,-41,0
16,-2,94,1,0,0,-40,0
17,-2,96,1,0,0,-39,0
18,-2,97,1,0,0,-38,0
19,-2,97,1,0,0,-37,0
20,-2,99,1,0,0,-36,0
21,-2,100,1,0,0,-35,0
22,-2,100,1,0,0,-34,0
23,-2,100,1,0,0,-33,0
24,-2,100,1,0,0,-32,0
25,-2,100,1,0,0,-31,0
26,-2,100,1,0,0,-30,0
27,-2,101,1,0,0,-29,0
28,-2,101,1,0,0,-28,0
29,-2,102,1,0,0,-27,0
30,-2,102,1,0,0,-26,0
31,-2,102,1,0,0,-25,0
32,-2,102,1,0,0,-24,0
33,-2,103,1,0,0,-23,0
34,-2,103,1,0,0,-22,0
35,-2,103,1,0,0,-21,0
36,-2,103,1,0,0,-20,0
37,-2,104,1,0,0,-19,0
38,-2,106,1,0,0,-18,0
39,-2,107,1,0,0,-17,0
40,-2,109,1,0,0,-16,0
41,-2,111,1,0,0,-15,0
42,-2,113,1,0,0,-14,0
43,-2,113,1,0,0,-13,0
44,-2,113,1,0,0,-13,0
45,-2,113,1,0,0,-13,0
46,-2,113,1,0,0,-13,0
47,-2,113,1,0,0,-13,0
48,-2,113,1,0,0,-13,0
49,-2,113,1,0,0,-13,0
50,-2,113,1,0,0,-13,0
51,-2,113,1,0,0,-13,0
52,-2,113,1,0,0,-13,0
53,-2,113,1,0,0,-13,0
54,-2,113,1,0,0,-13,0
55,-2,113,1,0,0,-13,0
56,-2,113,1,0,0,-13,0
57,-2,113,1,0,0,-13,0
58,-2,113,1,0,0,-13,0
59,-2,113,1,0,0,-13,0
60,-2,113,1,0,0,-13,0
61,-2,113,1,0,0,-13,0
62,-2,113,1,0,0,-13,0
63,-2,113,1,0,0,-13,0
64,-2,113,1,0,0,-13,0
65,-2,113,1,0,0,-13,0
66,-2,113,1,0,0,-13,0
67,-2,113,1,0,0,-13,0
68,-2,113,1,0,0,-13,0
69,-2,113,1,0,0,-13,0
70,-2,113,1,0,0,-13,0
71,-2,113,1,0,0,-13,0
72,-2,113,1,0,0,-13,0
73,-2,113,1,0,0,-13,0
74,-2,113,1,0,0,-13,0
75,-2,113,1,0,0,-13,0
76,-2,113,1,0,0,-13,0
77,-2,113,1,0,0,-13,0
78,-2,113,1,0,0,-13,0
79,-2,113,1,0,0,-13,0
80,-2,113,1,0,0,-13,0
81,-2,113,1,0,0,-13,0
37,-1,-2,0,0,0,-2,1
38,-1,-2,0,0,0,-2,1
39,-1,-2,0,0,0,-2,1
40,-1,-2,0,0,0,-2,1
41,-1,-2,0,0,0,-2,1
42,-1,-2,0,0,0,-2,1
43,-1,-2,0,0,0,-2,1
44,-1,-2,0,0,0,-2,1
45,-1,-2,0,0,0,-2,1
46,-1,-2,0,0,0,-2,1
47,-1,-2,0,0,0,-2,1
48,-1,-2,0,0,0,-2,1
49,-1,-2,0,0,0,-2,1
50,-1,-2,0,0,0,-2,1
51,-1,-2,0,0,0,-2,1
52,-1,-2,0,0,0,-2,1
53,-1,-2,0,0,0,-2,1
54,-1,-2,0,0,0,-2,1
55,-1,-2,0,0,0,-2,1
56,-1,-2,0,0,0,-2,1
57,-1,-2,0,0,0,-2,1
58,-1,-2,0,0,0,-2,1
59,-1,-2,0,0,0,-2,1
60,-1,-2,0,0,0,-2,1
61,-1,-2,0,0,0,-2,1
62,-1,-2,0,0,0,-2,1
63,-1,-2,0,0,0,-2,1
64,-1,-2,0,0,0,-2,1
65,-1,-2,0,0,0,-2,1
66,-1,-2,0,0,0,-2,1
67,-1,-2,0,0,0,-2,1
68,-1,-2,0,0,0,-2,1
69,-1,-2,0,0,0,-2,1
70,-1,-2,0,0,0,-2,1
71,-1,-2,0,0,0,-2,1
72,-1,-2,0,0,0,-2,1
73,-1,-2,0,0,0,-2,1
74,-1,-2,0,0,0,-2,1
75,-1,-2,0,0,0,-2,1
76,-1,-2,0,0,0,-2,1
77,-1,-2,0,0,0,-2,1
78,-1,-2,0,0,0,-2,1
79,-1,-2,0,0,0,-2,1
80,-1,-2,0,0,0,-2,1
81,-1,-2,0,0,0,-2,1
82,-1,-2,0,0,0,-2,1
83,-1,-2,0,0,0,-2,1
84,-1,-2,0,0,0,-2,1
85,-1,-2,0,0,0,-2,1
86,-1,-2,0,0,0,-2,1
87,-1,-2,0,0,0,-2,1
88,-1,-2,0,0,0,-2,1
89,-1,-2,0,0,0,-2,1
90,-1,-2,0,0,0,-2,1
91,-1,-2,0,0,0,-2,1
92,-1,-2,0,0,0,-2,1
93,-1,-2,0,0,0,-2,1
94,-1,-2,0,0,0,-2,1
95,-1,-2,0,0,0,-2,1
96,-1,-2,0,0,0,-2,1
97,-1,-2,0,0,0,-2,1
98,-1,-2,0,0,0,-2,1
99,-1,-2,0,0,0,-2,1
100,-1,-2,0,0,0,-2,1
101,-1,-2,0,0,0,-2,1
102,-1,-2,0,0,0,-2,1
103,-1,-2,0,0,0,-2,1
104,-1,-2,0,0,0,-2,1
105,-1,-2,0,0,0,-2,1
106,-1,-2,0,0,0,-2,1
107,-1,-2,0,0,0,-2,1
108,-1,-2,0,0,0,-2,1
109,-1,-2,0,0,0,-2,1
110,-1,-2,0,0,0,-2,1
111,-1,-2,0,0,0,-2,1
112,-1,-2,0,0,0,-2,1
113,-1,-2,0,0,0,-2,1
114,-1,-2,0,0,0,-2,1
115,-1,-2,0,0,0,-2,1
116,-1,-2,0,0,0,-2,1
117,-1,-2,0,0,0,-2,1
118,-1,-2,0,0,0,-2,1
119,-1,-2,0,0,0,-2,1
120,-1,-2,0,0,0,-2,1
121,-1,-2,0,0,0,-2,1
122,-1,-2,0,0,0,-2,1
123,-1,-2,0,0,0,-2,1
124,-1,-2,0,0,0,-2,1
125,-1,-2,0,0,0,-2,1
126,-1,-2,0,0,0,-2,1
127,-1,-2,0,0,0,-2,1
128,-1,-2,0,0,0,-2,1
129,-1,-2,0,0,0,-2,1
130,-1,-2,0,0,0,-2,1
131,-1,-2,0,0,0,-2,1
132,-1,-2,0,0,0,-2,1
133,-1,-2,0,0,0,-2,1
134,-1,-2,0,0,0,-2,1
135,-1,-2,0,0,0,-2,1
136,-1,-2,0,0,0,-2,1
137,-1,-2,0,0,0,-2,1
138,-1,-2,0,0,0,-2,1
139,-1,-2,0,0,0,-2,1
140,-1,-2,0,0,0,-2,1
141,-1,-2,0,0,0,-2,1
142,-1,-2,0,0,0,-2,1
143,-1,-2,0,0,0,-2,1
144,-1,-2,0,0,0,-2,1
145,-1,-2,0,0,0,-2,1
146,-1,-2,0,0,0,-2,1
147,-1,-2,0,0,0,-2,1
148,-1,-2,0,0,0,-2,1
149,-1,-2,0,0,0,-2,1
150,-1,-2,0,0,0,-2,1
151,-1,-2,0,0,0,-2,1
152,-1,-2,0,0,0,-2,1
153,-1,-2,0,0,0,-2,1
154,-1,-2,0,0,0,-2,1
155,-1,-2,0,0,0,-2,1
156,-1,-2,0,0,0,-2,1
157,-1,-2,0,0,0,-2,1
158,-1,-2,0,0,0,-2,1
159,-1,-2,0,0,0,-2,1
160,-1,-2,0,0,0,-2,1
161,-1,-2,0,0,0,-2,1
162,-1,-2,0,0,0,-2,1
163,-1,-2,0,0,0,-2,1
164,-1,-2,0,0,0,-2,1
165,-1,-2,0,0,0,-2,1
166,-1,-2,0,0,0,-2,1
167,-1,-2,0,0,0,-2,1
168,-1,-2,0,0,0,-2,1
169,-1,-2,0,0,0,-2,1
170,-1,-2,0,0,0,-2,1
171,-1,-2,0,0,0,-2,1
172,-1,-2,0,0,0,-2,1
173,-1,-2,0,0,0,-2,1
174,-1,-2,0,0,0,-2,1
175,-1,-2,0,0,0,-2,1
176,-1,-2,0,0,0,-2,1
177,-1,-2,0,0,0,-2,1
178,-1,-2,0,0,0,-2,1
179,-1,-2,0,0,0,-2,1
180,-1,-2,0,0,0,-2,1
181,-1,-2,0,0,0,-2,1
182,-1,-2,0,0,0,-2,1
183,-1,-2,0,0,0,-2,1
184,-1,-2,0,0,0,-2,1
185,-1,-2,0,0,0,-2,1
186,-1,-2,0,0,0,-2,1
187,-1,-2,0,0,0,-2,1
188,-1,-2,0,0,0,-2,1
189,-1,-2,0,0,0,-2,1
190,-1,-2,0,0,0,-2,1
191,-1,-2,0,0,0,-2,1
192,-1,-2,0,0,0,-2,1
193,-1,-2,0,0,0,-2,1
