t,x,y,fh,fv,r,s,frame:
0,-614,119,1,0,46,-121,1
1,-614,119,1,0,46,-121,1
2,-614,119,1,0,46,-121,1
3,-614,119,1,0,46,-121,1
4,-614,119,1,0,46,-121,1
5,-614,119,1,0,46,-121,1
6,-614,119,1,0,46,-121,1
7,-614,119,1,0,46,-121,1
8,-614,119,1,0,46,-121,1
9,-614,119,1,0,46,-121,1
10,-614,119,1,0,46,-121,1
11,-614,119,1,0,46,-121,1
12,-614,119,1,0,46,-121,1
13,-614,119,1,0,46,-121,1
14,-614,119,1,0,46,-121,1
15,-614,119,1,0,46,-121,1
16,-614,119,1,0,46,-121,1
17,-614,119,1,0,46,-121,1
18,-614,119,1,0,46,-121,1
19,-614,119,1,0,46,-121,1
20,-614,119,1,0,46,-121,1
21,-614,119,1,0,46,-121,1
22,-614,119,1,0,46,-121,1
23,-614,119,1,0,46,-121,1
24,-614,119,1,0,46,-121,1
25,-614,119,1,0,46,-121,1
26,-614,119,1,0,46,-121,1
27,-614,119,1,0,46,-121,1
28,-614,119,1,0,46,-121,1
29,-614,119,1,0,46,-121,1
30,-614,119,1,0,46,-121,1
31,-614,119,1,0,46,-121,1
32,-614,119,1,0,46,-121,1
33,-614,119,1,0,46,-121,1
34,-614,119,1,0,46,-121,1
35,-614,119,1,0,46,-121,1
36,-614,119,1,0,46,-121,1
37,-614,119,1,0,46,-121,1
38,-614,119,1,0,46,-121,1
39,-614,119,1,0,46,-121,1
40,-614,119,1,0,46,-121,1
41,-614,119,1,0,46,-121,1
42,-614,119,1,0,46,-121,1
43,-614,119,1,0,46,-121,1
44,-614,119,1,0,46,-121,1
45,-614,119,1,0,46,-121,1
46,-614,119,1,0,46,-121,1
47,-614,119,1,0,46,-121,1
48,-614,119,1,0,46,-121,1
49,-614,119,1,0,46,-121,1
50,-614,119,1,0,46,-121,1
51,-614,119,1,0,46,-121,1
52,-614,119,1,0,46,-121,1
53,-614,119,1,0,46,-121,1
54,-614,119,1,0,46,-121,1
55,-614,119,1,0,46,-121,1
56,-614,119,1,0,46,-121,1
57,-614,119,1,0,46,-121,1
58,-614,119,1,0,46,-121,1
