t,x,y,fh,fv,r,s,frame:
0,621,122,1,0,46,-101,1
1,621,122,1,0,46,-101,1
2,621,122,1,0,46,-101,1
3,621,122,1,0,46,-101,1
4,621,122,1,0,46,-101,1
5,621,122,1,0,46,-101,1
6,621,122,1,0,46,-101,1
7,621,122,1,0,46,-101,1
8,621,122,1,0,46,-101,1
9,621,122,1,0,46,-101,1
10,621,122,1,0,46,-101,1
11,621,122,1,0,46,-101,1
12,621,122,1,0,46,-101,1
13,621,122,1,0,46,-101,1
14,621,122,1,0,46,-101,1
15,621,122,1,0,46,-101,1
16,621,122,1,0,46,-101,1
17,621,122,1,0,46,-101,1
18,621,122,1,0,46,-101,1
19,621,122,1,0,46,-101,1
20,621,122,1,0,46,-101,1
21,621,122,1,0,46,-101,1
22,621,122,1,0,46,-101,1
23,621,122,1,0,46,-101,1
24,621,122,1,0,46,-101,1
25,621,122,1,0,46,-101,1
26,621,122,1,0,46,-101,1
27,621,122,1,0,46,-101,1
28,621,122,1,0,46,-101,1
29,621,122,1,0,46,-101,1
30,621,122,1,0,46,-101,1
31,621,122,1,0,46,-101,1
32,621,122,1,0,46,-101,1
33,621,122,1,0,46,-101,1
34,621,122,1,0,46,-101,1
35,621,122,1,0,46,-101,1
36,621,122,1,0,46,-101,1
37,621,122,1,0,46,-101,1
38,621,122,1,0,46,-101,1
39,621,122,1,0,46,-101,1
40,621,122,1,0,46,-101,1
41,621,122,1,0,46,-101,1
42,621,122,1,0,46,-101,1
43,621,122,1,0,46,-101,1
44,621,122,1,0,46,-101,1
45,621,122,1,0,46,-101,1
46,621,122,1,0,46,-101,1
47,621,122,1,0,46,-101,1
48,621,122,1,0,46,-101,1
49,621,122,1,0,46,-101,1
50,621,122,1,0,46,-101,1
51,621,122,1,0,46,-101,1
52,621,122,1,0,46,-101,1
53,621,122,1,0,46,-101,1
54,621,122,1,0,46,-101,1
55,621,122,1,0,46,-101,1
56,621,122,1,0,46,-101,1
57,621,122,1,0,46,-101,1
58,621,122,1,0,46,-101,1
59,621,122,1,0,46,-101,1
60,621,122,1,0,46,-101,1
61,621,122,1,0,46,-101,1
62,621,122,1,0,46,-101,1
63,621,122,1,0,46,-101,1
64,621,122,1,0,46,-101,1
65,621,122,1,0,46,-101,1
66,621,122,1,0,46,-101,1
67,621,122,1,0,46,-101,1
68,621,122,1,0,46,-101,1
69,621,122,1,0,46,-101,1
70,621,122,1,0,46,-101,1
71,621,122,1,0,46,-101,1
72,621,122,1,0,46,-101,1
73,621,122,1,0,46,-101,1
74,621,122,1,0,46,-101,1
75,621,122,1,0,46,-101,1
76,621,122,1,0,46,-101,1
77,621,122,1,0,46,-101,1
78,621,122,1,0,46,-101,1
79,621,122,1,0,46,-101,1
80,621,122,1,0,46,-101,1
81,621,122,1,0,46,-101,1
82,621,122,1,0,46,-101,1
83,621,122,1,0,46,-101,1
84,621,122,1,0,46,-101,1
