t,x,y,fh,fv,r,s,frame:
0,-137,269,0,0,0,-139,0
1,-137,269,0,0,0,-139,0
2,-137,269,0,0,0,-139,0
3,-137,269,0,0,0,-139,0
4,-137,269,0,0,0,-139,0
5,-137,269,0,0,0,-139,0
6,-137,269,0,0,0,-139,0
7,-137,269,0,0,0,-139,0
8,-137,269,0,0,0,-139,0
9,-137,269,0,0,0,-139,0
10,-137,269,0,0,0,-139,0
11,-137,269,0,0,0,-139,0
12,-137,269,0,0,0,-139,0
13,-137,269,0,0,0,-139,0
14,-137,269,0,0,0,-139,0
15,-137,269,0,0,0,-139,0
16,-137,269,0,0,0,-139,0
17,-137,269,0,0,0,-139,0
18,-137,269,0,0,0,-139,0
19,-137,269,0,0,0,-139,0
20,-137,269,0,0,0,-139,0
21,-137,269,0,0,0,-139,0
22,-137,269,0,0,0,-139,0
23,-137,269,0,0,0,-139,0
24,-137,269,0,0,0,-139,0
25,-137,269,0,0,0,-139,0
26,-137,269,0,0,0,-139,0
27,-137,269,0,0,0,-139,0
28,-137,269,0,0,0,-139,0
29,-137,269,0,0,0,-139,0
30,-137,269,0,0,0,-139,0
31,-137,269,0,0,0,-139,0
32,-137,269,0,0,0,-139,0
33,-137,269,0,0,0,-139,0
34,-137,269,0,0,0,-139,0
35,-137,269,0,0,0,-139,0
36,-137,269,0,0,0,-139,0
37,-137,269,0,0,0,-139,0
38,-137,269,0,0,0,-139,0
39,-137,269,0,0,0,-139,0
40,-137,269,0,0,0,-139,0
41,-137,269,0,0,0,-139,0
42,-137,269,0,0,0,-139,0
43,-137,269,0,0,0,-139,0
44,-137,269,0,0,0,-139,0
45,-137,269,0,0,0,-139,0
46,-137,269,0,0,0,-139,0
47,-137,269,0,0,0,-139,0
48,-137,269,0,0,0,-139,0
49,-137,269,0,0,0,-139,0
50,-137,269,0,0,0,-139,0
51,-137,269,0,0,0,-139,0
52,-137,269,0,0,0,-139,0
53,-137,269,0,0,0,-139,0
54,-137,269,0,0,0,-139,0
55,-137,269,0,0,0,-139,0
56,-137,269,0,0,0,-139,0
57,-137,269,0,0,0,-139,0
58,-137,269,0,0,0,-139,0
59,-137,269,0,0,0,-139,0
60,-137,269,0,0,0,-139,0
61,-137,269,0,0,0,-139,0
62,-137,269,0,0,0,-139,0
63,-137,269,0,0,0,-139,0
64,-137,269,0,0,0,-139,0
65,-137,269,0,0,0,-139,0
66,-137,269,0,0,0,-139,0
67,-137,269,0,0,0,-139,0
68,-137,269,0,0,0,-139,0
69,-137,269,0,0,0,-139,0
70,-137,269,0,0,0,-139,0
71,-137,269,0,0,0,-139,0
72,-137,269,0,0,0,-139,0
73,-137,269,0,0,0,-139,0
74,-137,269,0,0,0,-139,0
75,-137,269,0,0,0,-139,0
76,-137,269,0,0,0,-139,0
77,-137,269,0,0,0,-139,0
78,-137,269,0,0,0,-139,0
79,-137,269,0,0,0,-139,0
80,-137,269,0,0,0,-139,0
81,-137,269,0,0,0,-139,0
82,-137,269,0,0,0,-139,0
83,-137,269,0,0,0,-139,0
84,-137,269,0,0,0,-139,0
85,-137,269,0,0,0,-139,0
86,-137,269,0,0,0,-139,0
87,-137,269,0,0,0,-139,0
88,-137,269,0,0,0,-139,0
89,-137,269,0,0,0,-139,0
90,-137,269,0,0,0,-139,0
91,-137,269,0,0,0,-139,0
92,-137,269,0,0,0,-139,0
93,-137,269,0,0,0,-139,0
94,-135,236,0,0,15,-139,0
95,-135,236,0,0,15,-139,0
96,-135,236,0,0,15,-139,0
97,-135,236,0,0,15,-139,0
98,-135,236,0,0,15,-139,0
99,-135,236,0,0,15,-139,0
100,-135,236,0,0,15,-139,0
101,-135,236,0,0,15,-139,0
102,-135,236,0,0,15,-139,0
103,-135,236,0,0,15,-139,0
104,-135,236,0,0,15,-139,0
105,-135,236,0,0,15,-139,0
106,-135,236,0,0,15,-139,0
107,-135,236,0,0,15,-139,0
108,-135,237,0,0,15,-139,0
109,-135,237,0,0,15,-139,0
110,-135,237,0,0,15,-139,0
111,-135,238,0,0,15,-139,0
112,-135,238,0,0,15,-139,0
113,-135,238,0,0,15,-139,0
114,-135,238,0,0,15,-139,0
115,-135,238,0,0,15,-139,0
116,-135,238,0,0,15,-139,0
117,-135,238,0,0,15,-139,0
118,-135,238,0,0,15,-139,0
119,-135,238,0,0,15,-139,0
120,-135,238,0,0,15,-139,0
121,-135,238,0,0,15,-139,0
122,-135,237,0,0,15,-139,0
123,-134,237,0,0,15,-139,0
124,-134,237,0,0,15,-139,0
125,-134,237,0,0,15,-139,0
126,-134,237,0,0,15,-139,0
127,-134,238,0,0,15,-139,0
128,-134,238,0,0,15,-139,0
129,-135,240,0,0,15,-139,0
130,-136,241,0,0,15,-139,0
131,-136,242,0,0,15,-139,0
132,-136,242,0,0,15,-139,0
133,-136,242,0,0,15,-139,0
134,-136,242,0,0,15,-139,0
135,-136,242,0,0,15,-139,0
136,-136,242,0,0,15,-139,0
137,-135,240,0,0,15,-139,0
138,-134,239,0,0,15,-139,0
139,-134,239,0,0,15,-139,0
140,-134,239,0,0,15,-139,0
141,-134,239,0,0,15,-139,0
142,-134,239,0,0,15,-139,0
143,-134,239,0,0,15,-139,0
144,-134,239,0,0,15,-139,0
145,-134,240,0,0,15,-139,0
146,-135,242,0,0,15,-139,0
147,-136,243,0,0,15,-139,0
148,-136,244,0,0,15,-139,0
149,-136,244,0,0,15,-139,0
150,-136,245,0,0,15,-139,0
151,-136,245,0,0,15,-139,0
152,-136,245,0,0,15,-139,0
153,-136,245,0,0,15,-139,0
154,-136,244,0,0,15,-139,0
155,-135,242,0,0,15,-139,0
156,-135,242,0,0,15,-139,0
157,-135,242,0,0,15,-139,0
158,-135,242,0,0,15,-139,0
159,-135,242,0,0,15,-139,0
160,-135,242,0,0,15,-139,0
161,-135,242,0,0,15,-139,0
162,-135,242,0,0,15,-139,0
163,-135,243,0,0,15,-139,0
164,-135,243,0,0,15,-139,0
165,-135,243,0,0,15,-139,0
166,-135,244,0,0,15,-139,0
167,-135,244,0,0,15,-139,0
168,-135,244,0,0,15,-139,0
169,-135,244,0,0,15,-139,0
170,-135,244,0,0,15,-139,0
171,-135,243,0,0,15,-139,0
172,-135,243,0,0,15,-139,0
173,-135,242,0,0,15,-139,0
174,-134,241,0,0,15,-139,0
175,-134,241,0,0,15,-139,0
