t,x,y,fh,fv,r,s,frame:
0,-362,88,0,0,0,-43,0
1,-362,88,0,0,0,-43,0
2,-362,88,0,0,0,-43,0
3,-362,88,0,0,0,-43,0
4,-362,88,0,0,0,-43,0
5,-362,88,0,0,0,-43,0
6,-362,88,0,0,0,-43,0
7,-362,88,0,0,0,-43,0
8,-362,88,0,0,0,-43,0
9,-362,88,0,0,0,-43,0
10,-362,88,0,0,0,-43,0
11,-362,88,0,0,0,-43,0
12,-362,88,0,0,0,-43,0
13,-362,88,0,0,0,-43,0
14,-362,88,0,0,0,-43,0
15,-362,88,0,0,0,-43,0
16,-362,88,0,0,0,-43,0
17,-362,88,0,0,0,-43,0
18,-362,88,0,0,0,-43,0
19,-362,88,0,0,0,-43,0
20,-362,88,0,0,0,-43,0
21,-362,88,0,0,0,-43,0
22,-362,88,0,0,0,-43,0
23,-362,88,0,0,0,-43,0
24,-362,88,0,0,0,-43,0
25,-362,88,0,0,0,-43,0
26,-362,88,0,0,0,-43,0
27,-362,88,0,0,0,-43,0
28,-362,88,0,0,0,-43,0
29,-362,88,0,0,0,-43,0
30,-362,88,0,0,0,-43,0
31,-362,88,0,0,0,-43,0
32,-362,88,0,0,0,-43,0
33,-362,88,0,0,0,-43,0
34,-362,88,0,0,0,-43,0
35,-362,88,0,0,0,-43,0
36,-362,88,0,0,0,-43,0
37,-362,88,0,0,0,-43,0
38,-362,88,0,0,0,-43,0
39,-362,88,0,0,0,-43,0
40,-362,88,0,0,0,-43,0
41,-362,88,0,0,0,-43,0
42,-362,88,0,0,0,-43,0
43,-362,88,0,0,0,-43,0
44,-362,88,0,0,0,-43,0
45,-362,88,0,0,0,-43,0
46,-362,88,0,0,0,-43,0
47,-362,88,0,0,0,-43,0
48,-362,88,0,0,0,-43,0
49,-362,88,0,0,0,-43,0
50,-362,88,0,0,0,-43,0
51,-362,88,0,0,0,-43,0
52,-362,88,0,0,0,-43,0
53,-362,88,0,0,0,-43,0
54,-362,88,0,0,0,-43,0
55,-362,88,0,0,0,-43,0
56,-362,88,0,0,0,-43,0
57,-362,88,0,0,0,-43,0
58,-362,88,0,0,0,-43,0
59,-362,88,0,0,0,-43,0
60,-362,88,0,0,0,-43,0
61,-362,88,0,0,0,-43,0
62,-362,88,0,0,0,-43,0
63,-362,88,0,0,0,-43,0
