t,x,y,fh,fv,r,s,frame:
0,247,83,1,0,0,-36,0
1,247,83,1,0,0,-36,0
2,247,83,1,0,0,-36,0
3,247,83,1,0,0,-36,0
4,247,83,1,0,0,-36,0
5,247,83,1,0,1,-36,0
6,247,83,1,0,2,-36,0
7,247,82,1,0,3,-36,0
8,247,78,1,0,4,-36,0
9,247,72,1,0,5,-36,0
10,247,67,1,0,6,-36,0
11,247,63,1,0,5,-36,0
12,247,60,1,0,4,-36,0
13,247,58,1,0,3,-36,0
14,247,57,1,0,2,-36,0
15,247,56,1,0,1,-36,0
16,247,56,1,0,1,-36,0
17,247,55,1,0,2,-36,0
18,247,53,1,0,3,-36,0
19,248,50,1,0,4,-36,0
20,248,47,1,0,5,-36,0
21,248,44,1,0,6,-36,0
22,248,41,1,0,5,-36,0
23,248,37,1,0,4,-36,0
24,248,35,1,0,3,-36,0
25,248,33,1,0,2,-36,0
26,248,32,1,0,1,-36,0
27,248,32,1,0,0,-36,0
28,248,29,1,0,-1,-36,0
29,249,27,1,0,0,-36,0
30,249,26,1,0,1,-36,0
31,249,25,1,0,2,-36,0
32,249,24,1,0,3,-36,0
33,249,24,1,0,4,-36,0
34,249,24,1,0,3,-36,0
35,249,23,1,0,2,-36,0
36,249,23,1,0,1,-36,0
37,249,22,1,0,0,-36,0
38,249,22,1,0,-1,-36,0
39,249,22,1,0,-1,-36,0
40,249,22,1,0,-1,-36,0
41,249,22,1,0,0,-36,0
42,249,22,1,0,1,-36,0
43,249,22,1,0,2,-36,0
44,249,22,1,0,3,-36,0
45,249,22,1,0,4,-36,0
46,249,22,1,0,5,-36,0
47,249,22,1,0,4,-36,0
48,249,22,1,0,3,-36,0
49,249,22,1,0,2,-36,0
50,249,23,1,0,1,-36,0
51,250,26,1,0,0,-36,0
52,250,30,1,0,0,-36,0
53,251,35,1,0,0,-36,0
54,251,39,1,0,1,-36,0
55,252,44,1,0,2,-36,0
56,252,49,1,0,3,-36,0
57,252,53,1,0,3,-36,0
58,252,57,1,0,3,-36,0
59,252,60,1,0,2,-36,0
60,252,64,1,0,1,-36,0
61,252,68,1,0,0,-36,0
62,252,70,1,0,0,-36,0
63,252,71,1,0,0,-36,0
64,252,71,1,0,0,-36,0
65,252,71,1,0,0,-36,0
66,252,71,1,0,0,-36,0
67,252,71,1,0,0,-36,0
68,252,71,1,0,0,-36,0
69,252,71,1,0,0,-36,0
70,252,71,1,0,0,-36,0
71,252,71,1,0,0,-36,0
72,252,71,1,0,0,-36,0
73,252,71,1,0,0,-36,0
74,252,71,1,0,0,-36,0
75,252,71,1,0,0,-36,0
76,252,71,1,0,0,-36,0
77,252,71,1,0,0,-36,0
78,252,71,1,0,0,-36,0
79,252,71,1,0,0,-36,0
80,252,71,1,0,0,-36,0
81,252,71,1,0,0,-36,0
82,252,71,1,0,0,-36,0
83,252,71,1,0,0,-36,0
84,252,71,1,0,0,-36,0
85,252,71,1,0,0,-36,0
86,252,71,1,0,0,-36,0
87,252,71,1,0,0,-36,0
88,252,71,1,0,0,-36,0
89,252,71,1,0,0,-36,0
90,252,71,1,0,0,-36,0
91,252,71,1,0,0,-36,0
92,252,71,1,0,0,-36,0
93,252,71,1,0,0,-36,0
94,252,71,1,0,0,-36,0
95,252,71,1,0,0,-36,0
96,252,71,1,0,0,-36,0
97,249,70,1,0,0,-36,0
98,245,67,1,0,0,-36,0
99,240,65,1,0,0,-36,0
100,234,63,1,0,0,-36,0
101,229,62,1,0,0,-36,0
102,223,62,1,0,0,-36,0
103,219,64,1,0,0,-36,0
104,214,71,1,0,0,-36,0
105,211,78,1,0,0,-36,0
106,209,83,1,0,0,-36,0
107,208,87,1,0,0,-36,0
108,208,87,1,0,0,-36,0
109,208,87,1,0,0,-36,0
