t,x,y,fh,fv,r,s,frame:
0,134,91,1,0,0,0,0
1,134,91,1,0,0,0,0
2,134,91,1,0,0,0,0
3,134,91,1,0,0,0,0
4,135,91,1,0,0,0,0
5,135,91,1,0,0,0,0
6,136,91,1,0,0,0,0
7,138,91,1,0,0,0,0
8,141,91,1,0,0,0,0
9,147,91,1,0,0,0,0
10,157,91,1,0,0,0,0
11,161,93,1,0,0,0,0
12,167,95,1,0,0,0,0
13,169,96,1,0,0,0,0
14,173,99,1,0,0,0,0
15,179,102,1,0,0,0,0
16,184,107,1,0,0,0,0
17,187,110,1,0,0,0,0
18,188,112,1,0,0,0,0
19,189,113,1,0,0,0,0
20,190,114,1,0,0,0,0
21,190,114,1,0,0,0,0
22,191,114,1,0,0,0,0
23,198,114,1,0,0,0,0
24,212,113,1,0,0,0,0
25,221,112,1,0,0,0,0
26,229,109,1,0,0,0,0
27,232,108,1,0,0,0,0
28,232,108,1,0,0,0,0
29,232,108,1,0,0,0,0
30,233,108,1,0,0,0,0
31,235,108,1,0,0,0,0
32,241,107,1,0,0,0,0
33,248,107,1,0,0,0,0
34,254,107,1,0,0,0,0
35,261,108,1,0,0,0,0
36,265,110,1,0,0,0,0
37,267,111,1,0,0,0,0
38,267,111,1,0,0,0,0
39,267,111,1,0,0,0,0
40,268,112,1,0,0,0,0
41,272,115,1,0,0,0,0
42,277,116,1,0,0,0,0
43,283,117,1,0,0,0,0
44,288,117,1,0,0,0,0
45,291,116,1,0,0,0,0
46,294,115,1,0,0,0,0
47,296,113,1,0,0,0,0
48,296,113,1,0,0,0,0
49,296,113,1,0,0,0,0
50,296,113,1,0,0,0,0
51,299,111,1,0,0,0,0
52,299,111,1,0,0,0,0
53,299,111,1,0,0,0,0
54,299,111,1,0,0,0,0
55,299,111,1,0,0,0,0
56,299,111,0,0,0,0,0
57,299,111,0,0,0,0,0
58,299,111,0,0,0,0,0
59,299,111,0,0,0,0,0
60,299,111,0,0,0,0,0
61,299,111,0,0,0,0,0
62,298,111,0,0,0,0,0
63,298,111,0,0,0,0,0
64,298,111,0,0,0,0,0
65,297,111,0,0,0,0,0
66,297,111,0,0,0,0,0
67,297,111,0,0,0,0,0
68,297,111,0,0,0,0,0
69,296,111,0,0,0,0,0
70,296,111,0,0,0,0,0
71,296,111,0,0,0,0,0
72,295,109,0,0,0,0,0
73,293,107,0,0,0,0,0
74,291,104,0,0,0,0,0
75,291,102,0,0,0,0,0
76,290,102,0,0,0,0,0
77,289,101,0,0,0,0,0
78,288,100,0,0,0,0,0
79,288,100,0,0,0,0,0
80,287,102,0,0,0,0,0
81,284,106,0,0,0,0,0
82,282,112,0,0,0,0,0
83,279,117,0,0,0,0,0
84,277,120,0,0,0,0,0
85,277,121,0,0,0,0,0
86,277,121,0,0,0,0,0
87,277,121,0,0,0,0,0
88,276,115,0,0,0,0,0
89,274,108,0,0,0,0,0
90,271,96,0,0,0,0,0
91,268,88,0,0,0,0,0
92,267,87,0,0,0,0,0
93,267,87,0,0,0,0,0
94,267,87,0,0,0,0,0
95,266,87,0,0,0,0,0
96,264,95,0,0,0,0,0
97,262,100,0,0,0,0,0
98,261,103,0,0,0,0,0
99,261,104,0,0,0,0,0
100,261,104,0,0,0,0,0
101,261,104,0,0,0,0,0
102,261,104,0,0,0,0,0
103,260,104,0,0,0,0,0
104,260,104,0,0,0,0,0
105,259,104,0,0,0,0,0
106,259,101,0,0,0,0,0
107,258,98,0,0,0,0,0
108,256,95,0,0,0,0,0
109,255,92,0,0,0,0,0
110,254,91,0,0,0,0,0
111,254,91,0,0,0,0,0
112,254,91,0,0,0,0,0
113,252,94,0,0,0,0,0
114,250,98,0,0,0,0,0
115,247,103,0,0,0,0,0
116,243,108,0,0,0,0,0
117,241,112,0,0,0,0,0
118,240,114,0,0,0,0,0
119,239,116,0,0,0,0,0
120,238,117,0,0,0,0,0
121,235,120,0,0,0,0,0
122,235,120,0,0,0,0,0
123,235,120,0,0,0,0,0
124,234,115,0,0,0,0,0
125,229,104,0,0,0,0,0
126,225,93,0,0,0,0,0
127,217,84,0,0,0,0,0
128,213,79,0,0,0,0,0
129,213,79,0,0,0,0,0
130,213,79,0,0,0,0,0
131,213,79,0,0,0,0,0
132,212,81,0,0,0,0,0
133,210,85,0,0,0,0,0
134,205,93,0,0,0,0,0
135,203,98,0,0,0,0,0
136,201,101,0,0,0,0,0
137,199,105,0,0,0,0,0
138,198,107,0,0,0,0,0
139,197,109,0,0,0,0,0
140,196,110,0,0,0,0,0
141,195,110,0,0,0,0,0
142,195,110,0,0,0,0,0
143,195,110,0,0,0,0,0
144,194,106,0,0,0,0,0
145,191,100,0,0,0,0,0
146,188,95,0,0,0,0,0
147,186,92,0,0,0,0,0
148,185,90,0,0,0,0,0
149,184,89,0,0,0,0,0
150,184,89,0,0,0,0,0
151,184,90,0,0,0,0,0
152,181,92,0,0,0,0,0
153,179,96,0,0,0,0,0
154,176,99,0,0,0,0,0
155,174,104,0,0,0,0,0
156,172,107,0,0,0,0,0
157,172,109,0,0,0,0,0
158,171,111,0,0,0,0,0
159,170,112,0,0,0,0,0
160,170,114,0,0,0,0,0
161,169,116,0,0,0,0,0
162,169,117,0,0,0,0,0
163,168,118,0,0,0,0,0
164,168,119,0,0,0,0,0
165,168,119,0,0,0,0,0
166,168,119,0,0,0,0,0
167,167,119,0,0,0,0,0
168,167,119,0,0,0,0,0
169,167,119,0,0,0,0,0
170,167,119,0,0,0,0,0
171,167,119,0,0,0,0,0
172,167,119,0,0,0,0,0
173,167,119,0,0,0,0,0
174,167,119,0,0,0,0,0
175,167,119,0,0,0,0,0
176,167,119,0,0,0,0,0
177,167,119,0,0,0,0,0
178,167,119,0,0,0,0,0
179,167,119,0,0,0,0,0
180,167,119,0,0,0,0,0
181,167,119,0,0,0,0,0
182,167,119,0,0,0,0,0
183,167,119,0,0,0,0,0
184,167,119,0,0,0,0,0
185,167,119,0,0,0,0,0
186,167,119,0,0,0,0,0
187,167,119,0,0,0,0,0
188,167,119,0,0,0,0,0
189,167,119,0,0,0,0,0
190,167,119,0,0,0,0,0
191,167,119,0,0,0,0,0
192,167,119,0,0,0,0,0
193,167,119,0,0,0,0,0
194,167,119,0,0,0,0,0
195,167,119,0,0,0,0,0
196,167,119,0,0,0,0,0
197,167,119,0,0,0,0,0
198,167,119,0,0,0,0,0
199,167,119,0,0,0,0,0
200,167,119,0,0,0,0,0
201,167,119,0,0,0,0,0
202,167,119,0,0,0,0,0
203,167,119,0,0,0,0,0
204,167,119,0,0,0,0,0
