t,x,y,fh,fv,r,s,frame:
0,-192,198,0,0,0,-23,0
1,-192,198,0,0,0,-23,0
2,-192,198,0,0,0,-23,0
3,-192,198,0,0,0,-23,0
4,-192,198,0,0,0,-23,0
5,-192,198,0,0,0,-23,0
6,-192,198,0,0,0,-23,0
7,-192,198,0,0,0,-23,0
8,-192,198,0,0,0,-23,0
9,-192,198,0,0,0,-23,0
10,-192,198,0,0,0,-23,0
11,-191,197,0,0,0,-23,0
12,-190,196,0,0,0,-23,0
13,-189,194,0,0,0,-23,0
14,-188,191,0,0,0,-23,0
15,-186,189,0,0,0,-23,0
16,-185,188,0,0,0,-23,0
17,-184,187,0,0,0,-23,0
18,-180,182,0,0,0,-23,0
19,-176,178,0,0,0,-23,0
20,-171,174,0,0,0,-23,0
21,-167,169,0,0,0,-23,0
22,-163,165,0,0,0,-23,0
23,-157,158,0,0,0,-23,0
24,-151,154,0,0,0,-23,0
25,-149,152,0,0,0,-23,0
26,-147,150,0,0,0,-23,0
27,-140,145,0,0,0,-23,0
28,-135,141,0,0,0,-23,0
29,-123,133,0,0,0,-23,0
30,-115,129,0,0,0,-23,0
31,-110,125,0,0,0,-23,0
32,-108,124,0,0,0,-23,0
33,-101,124,0,0,0,-23,0
34,-98,124,0,0,0,-23,0
35,-96,125,0,0,0,-23,0
36,-93,128,0,0,0,-23,0
37,-88,134,0,0,0,-23,0
38,-80,141,0,0,0,-23,0
39,-69,149,0,0,0,-23,0
40,-55,155,0,0,0,-23,0
41,-45,162,0,0,0,-23,0
42,-38,167,0,0,0,-23,0
43,-32,174,0,0,0,-23,0
44,-25,180,0,0,0,-23,0
45,-21,187,0,0,0,-23,0
46,-16,191,0,0,0,-23,0
47,-13,195,0,0,0,-23,0
48,-11,198,0,0,0,-23,0
49,-11,200,0,0,0,-23,0
50,-9,204,0,0,0,-23,0
51,-7,208,0,0,0,-23,0
52,-6,210,0,0,0,-23,0
53,-6,210,0,0,0,-23,0
54,-4,215,0,0,0,-23,0
55,-3,216,0,0,0,-23,0
56,-3,216,0,0,0,-23,0
57,-3,216,0,0,0,-23,0
58,-3,216,0,0,0,-23,0
59,-3,216,0,0,0,-23,0
60,-3,218,0,0,0,-23,0
61,-3,219,0,0,0,-23,0
62,-3,219,0,0,0,-23,0
63,-3,219,0,0,0,-23,0
64,-3,219,0,0,0,-23,0
65,-3,219,0,0,0,-23,0
66,-3,219,0,0,0,-23,0
67,-3,219,0,0,0,-23,0
68,-3,218,0,0,0,-23,0
69,-1,213,0,0,0,-23,0
70,2,207,0,0,0,-23,0
71,5,200,0,0,0,-23,0
72,7,196,0,0,0,-23,0
73,13,185,0,0,0,-23,0
74,17,179,0,0,0,-23,0
75,22,173,0,0,0,-23,0
76,25,167,0,0,0,-23,0
77,28,164,0,0,0,-23,0
78,32,160,0,0,0,-23,0
79,33,159,0,0,0,-23,0
80,38,155,0,0,0,-23,0
81,40,153,0,0,0,-23,0
82,51,150,0,0,0,-23,0
83,61,149,0,0,0,-23,0
84,67,148,0,0,0,-23,0
85,72,147,0,0,0,-23,0
86,75,146,0,0,0,-23,0
87,76,146,0,0,0,-23,0
88,77,146,0,0,0,-23,0
89,80,146,0,0,0,-23,0
90,92,147,0,0,0,-23,0
91,103,148,0,0,0,-23,0
92,115,149,0,0,0,-23,0
93,123,150,0,0,0,-23,0
94,135,151,0,0,0,-23,0
95,148,153,0,0,0,-23,0
96,155,154,0,0,0,-23,0
97,168,158,0,0,0,-23,0
98,175,160,0,0,0,-23,0
99,178,165,0,0,0,-23,0
100,180,166,0,0,0,-23,0
101,187,173,0,0,0,-23,0
102,190,176,0,0,0,-23,0
103,197,182,0,0,0,-23,0
104,201,185,0,0,0,-23,0
105,204,188,0,0,0,-23,0
106,207,191,0,0,0,-23,0
107,210,196,0,0,0,-23,0
108,212,199,0,0,0,-23,0
109,213,201,0,0,0,-23,0
110,214,205,0,0,0,-23,0
111,216,209,0,0,0,-23,0
112,218,214,0,0,0,-23,0
113,220,218,0,0,0,-23,0
114,222,222,0,0,0,-23,0
115,222,223,0,0,0,-23,0
116,224,226,0,0,0,-23,0
117,224,227,0,0,0,-23,0
118,225,227,0,0,0,-23,0
119,225,227,0,0,0,-23,0
120,225,227,0,0,0,-23,0
121,225,227,0,0,0,-23,0
122,225,227,0,0,0,-23,0
123,225,227,0,0,0,-23,0
124,225,227,0,0,0,-23,0
125,225,227,0,0,0,-23,0
126,225,227,0,0,0,-23,0
127,225,227,0,0,0,-23,0
128,225,227,0,0,0,-23,0
129,225,227,0,0,0,-23,0
130,225,227,0,0,0,-23,0
131,225,224,0,0,0,-23,0
132,226,219,0,0,0,-23,0
133,227,216,0,0,0,-23,0
134,229,211,0,0,0,-23,0
135,231,205,0,0,0,-23,0
136,233,202,0,0,0,-23,0
137,234,199,0,0,0,-23,0
138,237,196,0,0,0,-23,0
139,242,192,0,0,0,-23,0
140,247,190,0,0,0,-23,0
141,253,189,0,0,0,-23,0
142,257,188,0,0,0,-23,0
143,261,187,0,0,0,-23,0
144,264,187,0,0,0,-23,0
145,269,187,0,0,0,-23,0
146,273,187,0,0,0,-23,0
147,276,187,0,0,0,-23,0
148,278,187,0,0,0,-23,0
149,282,191,0,0,0,-23,0
150,287,195,0,0,0,-23,0
151,290,199,0,0,0,-23,0
152,293,203,0,0,0,-23,0
153,296,207,0,0,0,-23,0
154,298,213,0,0,0,-23,0
155,299,215,0,0,0,-23,0
156,303,220,0,0,0,-23,0
157,304,222,0,0,0,-23,0
158,304,222,0,0,0,-23,0
159,304,222,0,0,0,-23,0
160,304,222,0,0,0,-23,0
161,305,218,0,0,0,-23,0
162,307,214,0,0,0,-23,0
163,311,208,0,0,0,-23,0
164,317,204,0,0,0,-23,0
165,322,200,0,0,0,-23,0
166,325,197,0,0,0,-23,0
167,329,195,0,0,0,-23,0
168,337,192,0,0,0,-23,0
169,346,192,0,0,0,-23,0
170,354,192,0,0,0,-23,0
171,360,192,0,0,0,-23,0
172,365,192,0,0,0,-23,0
173,365,192,0,0,0,-23,0
174,365,192,0,0,0,-23,0
175,367,195,0,0,0,-23,0
176,371,199,0,0,0,-23,0
177,374,202,0,0,0,-23,0
178,376,205,0,0,0,-23,0
179,377,207,0,0,0,-23,0
180,378,208,0,0,0,-23,0
181,380,210,0,0,0,-23,0
182,380,211,0,0,0,-23,0
183,380,211,0,0,0,-23,0
184,380,211,0,0,0,-23,0
185,381,211,0,0,0,-23,0
186,382,211,0,0,0,-23,0
187,382,211,0,0,0,-23,0
188,382,211,0,0,0,-23,0
189,382,211,0,0,0,-23,0
190,382,211,0,0,0,-23,0
191,382,211,0,0,0,-23,0
192,382,211,0,0,0,-23,0
193,382,211,0,0,0,-23,0
194,382,211,0,0,0,-23,0
195,382,211,0,0,0,-23,0
196,382,211,0,0,0,-23,0
197,382,211,0,0,0,-23,0
198,382,211,0,0,0,-23,0
199,382,211,0,0,0,-23,0
200,382,211,0,0,0,-23,0
201,382,211,0,0,0,-23,0
202,382,211,0,0,0,-23,0
203,382,211,0,0,0,-23,0
204,382,211,0,0,0,-23,0
205,382,211,0,0,0,-23,0
206,382,211,0,0,0,-23,0
207,382,211,0,0,0,-23,0
208,382,211,0,0,0,-23,0
209,382,211,0,0,0,-23,0
210,382,210,0,0,0,-23,0
211,380,205,0,0,0,-23,0
212,378,201,0,0,0,-23,0
213,377,198,0,0,0,-23,0
214,375,194,0,0,0,-23,0
215,372,190,0,0,0,-23,0
216,369,186,0,0,0,-23,0
217,367,183,0,0,0,-23,0
218,360,175,0,0,0,-23,0
219,355,171,0,0,0,-23,0
220,352,168,0,0,0,-23,0
221,349,164,0,0,0,-23,0
222,342,156,0,0,0,-23,0
223,337,151,0,0,0,-23,0
224,331,146,0,0,0,-23,0
225,328,143,0,0,0,-23,0
226,320,136,0,0,0,-23,0
227,315,133,0,0,0,-23,0
228,310,128,0,0,0,-23,0
229,305,125,0,0,0,-23,0
230,301,123,0,0,0,-23,0
231,298,121,0,0,0,-23,0
232,298,121,0,0,0,-23,0
233,298,121,0,0,0,-23,0
234,298,121,0,0,0,-23,0
235,297,121,0,0,0,-23,0
236,294,120,0,0,0,-23,0
237,288,119,0,0,0,-23,0
238,281,118,0,0,0,-23,0
239,272,118,0,0,0,-23,0
240,267,118,0,0,0,-23,0
241,263,118,0,0,0,-23,0
242,260,118,0,0,0,-23,0
243,259,118,0,0,0,-23,0
244,257,119,0,0,0,-23,0
245,254,121,0,0,0,-23,0
246,249,124,0,0,0,-23,0
247,242,128,0,0,0,-23,0
248,236,132,0,0,0,-23,0
249,229,136,0,0,0,-23,0
250,223,142,0,0,0,-23,0
251,218,148,0,0,0,-23,0
252,214,155,0,0,0,-23,0
253,208,162,0,0,0,-23,0
254,204,168,0,0,0,-23,0
255,202,172,0,0,0,-23,0
256,199,177,0,0,0,-23,0
257,197,183,0,0,0,-23,0
258,190,192,0,0,0,-23,0
259,186,198,0,0,0,-23,0
260,183,202,0,0,0,-23,0
261,181,205,0,0,0,-23,0
262,180,206,0,0,0,-23,0
263,180,207,0,0,0,-23,0
264,178,209,0,0,0,-23,0
265,176,212,0,0,0,-23,0
266,173,214,0,0,0,-23,0
267,173,215,0,0,0,-23,0
268,173,215,0,0,0,-23,0
269,173,215,0,0,0,-23,0
270,173,215,0,0,0,-23,0
271,173,215,0,0,0,-23,0
272,173,215,0,0,0,-23,0
273,172,215,0,0,0,-23,0
274,172,215,0,0,0,-23,0
275,172,215,0,0,0,-23,0
276,172,215,0,0,0,-23,0
277,172,215,0,0,0,-23,0
278,172,215,0,0,0,-23,0
279,172,215,0,0,0,-23,0
280,172,215,0,0,0,-23,0
281,172,215,0,0,0,-23,0
282,172,215,0,0,0,-23,0
283,172,215,0,0,0,-23,0
284,172,215,0,0,0,-23,0
285,172,215,0,0,0,-23,0
286,172,215,0,0,0,-23,0
287,172,212,0,0,0,-23,0
288,171,205,0,0,0,-23,0
289,170,198,0,0,0,-23,0
290,168,190,0,0,0,-23,0
291,166,183,0,0,0,-23,0
292,164,175,0,0,0,-23,0
293,159,166,0,0,0,-23,0
294,154,158,0,0,0,-23,0
295,147,148,0,0,0,-23,0
296,142,142,0,0,0,-23,0
297,139,136,0,0,0,-23,0
298,137,133,0,0,0,-23,0
299,135,131,0,0,0,-23,0
300,127,125,0,0,0,-23,0
301,122,122,0,0,0,-23,0
302,119,121,0,0,0,-23,0
303,116,119,0,0,0,-23,0
304,112,117,0,0,0,-23,0
305,108,116,0,0,0,-23,0
306,102,116,0,0,0,-23,0
307,97,115,0,0,0,-23,0
308,95,115,0,0,0,-23,0
309,92,115,0,0,0,-23,0
310,87,115,0,0,0,-23,0
311,80,118,0,0,0,-23,0
312,75,120,0,0,0,-23,0
313,71,123,0,0,0,-23,0
314,66,126,0,0,0,-23,0
315,62,131,0,0,0,-23,0
316,58,136,0,0,0,-23,0
317,54,141,0,0,0,-23,0
318,50,147,0,0,0,-23,0
319,46,153,0,0,0,-23,0
320,43,156,0,0,0,-23,0
321,41,160,0,0,0,-23,0
322,39,164,0,0,0,-23,0
323,37,169,0,0,0,-23,0
324,34,175,0,0,0,-23,0
325,31,181,0,0,0,-23,0
326,26,190,0,0,0,-23,0
327,24,197,0,0,0,-23,0
328,22,202,0,0,0,-23,0
329,20,206,0,0,0,-23,0
330,17,210,0,0,0,-23,0
331,16,212,0,0,0,-23,0
332,12,219,0,0,0,-23,0
333,12,222,0,0,0,-23,0
334,11,222,0,0,0,-23,0
335,11,223,0,0,0,-23,0
336,11,223,0,0,0,-23,0
337,11,223,0,0,0,-23,0
338,12,220,0,0,0,-23,0
339,8,211,0,0,0,-23,0
340,2,204,0,0,0,-23,0
341,0,199,0,0,0,-23,0
342,-3,196,0,0,0,-23,0
343,-5,193,0,0,0,-23,0
344,-9,190,0,0,0,-23,0
345,-16,186,0,0,0,-23,0
346,-20,182,0,0,0,-23,0
347,-24,180,0,0,0,-23,0
348,-27,179,0,0,0,-23,0
349,-31,179,0,0,0,-23,0
350,-33,179,0,0,0,-23,0
351,-36,180,0,0,0,-23,0
352,-39,183,0,0,0,-23,0
353,-43,188,0,0,0,-23,0
354,-48,194,0,0,0,-23,0
355,-53,199,0,0,0,-23,0
356,-55,202,0,0,0,-23,0
357,-56,203,0,0,0,-23,0
358,-57,206,0,0,0,-23,0
359,-57,206,0,0,0,-23,0
360,-57,206,0,0,0,-23,0
361,-57,206,0,0,0,-23,0
362,-57,203,0,0,0,-23,0
363,-61,197,0,0,0,-23,0
364,-63,193,0,0,0,-23,0
365,-67,189,0,0,0,-23,0
366,-72,184,0,0,0,-23,0
367,-77,181,0,0,0,-23,0
368,-82,179,0,0,0,-23,0
369,-90,177,0,0,0,-23,0
370,-98,175,0,0,0,-23,0
371,-106,174,0,0,0,-23,0
372,-109,174,0,0,0,-23,0
373,-110,174,0,0,0,-23,0
374,-111,174,0,0,0,-23,0
375,-115,177,0,0,0,-23,0
376,-119,180,0,0,0,-23,0
377,-121,182,0,0,0,-23,0
378,-125,189,0,0,0,-23,0
379,-128,194,0,0,0,-23,0
380,-132,199,0,0,0,-23,0
381,-134,203,0,0,0,-23,0
382,-134,204,0,0,0,-23,0
383,-134,204,0,0,0,-23,0
384,-134,206,0,0,0,-23,0
385,-134,206,0,0,0,-23,0
386,-134,207,0,0,0,-23,0
387,-136,210,0,0,0,-23,0
388,-137,212,0,0,0,-23,0
389,-138,214,0,0,0,-23,0
390,-139,215,0,0,0,-23,0
391,-139,215,0,0,0,-23,0
392,-139,215,0,0,0,-23,0
393,-139,215,0,0,0,-23,0
394,-138,215,0,0,0,-23,0
395,-138,213,0,0,0,-23,0
396,-138,203,0,0,0,-23,0
397,-138,194,0,0,0,-23,0
398,-138,187,0,0,0,-23,0
399,-141,180,0,0,0,-23,0
400,-143,175,0,0,0,-23,0
401,-145,171,0,0,0,-23,0
402,-147,168,0,0,0,-23,0
403,-149,165,0,0,0,-23,0
404,-151,162,0,0,0,-23,0
405,-154,159,0,0,0,-23,0
406,-154,158,0,0,0,-23,0
407,-155,157,0,0,0,-23,0
408,-156,156,0,0,0,-23,0
409,-157,155,0,0,0,-23,0
410,-159,153,0,0,0,-23,0
411,-161,151,0,0,0,-23,0
412,-163,149,0,0,0,-23,0
413,-165,149,0,0,0,-23,0
414,-167,148,0,0,0,-23,0
415,-171,147,0,0,0,-23,0
416,-172,147,0,0,0,-23,0
417,-173,147,0,0,0,-23,0
418,-174,147,0,0,0,-23,0
419,-175,147,0,0,0,-23,0
420,-180,149,0,0,0,-23,0
421,-183,153,0,0,0,-23,0
422,-187,158,0,0,0,-23,0
423,-189,161,0,0,0,-23,0
424,-191,163,0,0,0,-23,0
425,-191,165,0,0,0,-23,0
426,-192,167,0,0,0,-23,0
427,-192,169,0,0,0,-23,0
428,-193,175,0,0,0,-23,0
429,-194,177,0,0,0,-23,0
430,-194,178,0,0,0,-23,0
431,-194,180,0,0,0,-23,0
432,-194,181,0,0,0,-23,0
433,-194,183,0,0,0,-23,0
434,-195,186,0,0,0,-23,0
435,-195,189,0,0,0,-23,0
436,-195,189,0,0,0,-23,0
