t,x,y,fh,fv,r,s,frame:
0,513,238,0,0,0,0,0
1,511,238,0,0,0,0,0
2,507,237,0,0,0,0,0
3,497,236,0,0,0,0,0
4,490,235,0,0,0,0,0
5,483,234,0,0,0,0,0
6,479,233,0,0,0,0,0
7,476,233,0,0,0,0,0
8,472,232,0,0,0,0,0
9,470,230,0,0,0,0,0
10,467,230,0,0,0,0,0
11,466,229,0,0,0,0,0
12,465,228,0,0,0,0,0
13,464,227,0,0,0,0,0
14,462,224,0,0,0,0,0
15,459,221,0,0,0,0,0
16,457,217,0,0,0,0,0
17,455,214,0,0,0,0,0
18,455,213,0,0,0,0,0
19,455,213,0,0,0,0,0
20,455,213,0,0,0,0,0
21,455,213,0,0,0,0,0
22,455,213,0,0,0,0,0
23,455,212,0,0,0,0,0
24,455,211,0,0,0,0,0
25,455,210,0,0,0,0,0
26,455,209,0,0,0,0,0
27,455,207,0,0,0,0,0
28,455,206,0,0,0,0,0
29,456,205,0,0,0,0,0
30,456,204,0,0,0,0,0
31,456,203,0,0,0,0,0
32,457,202,0,0,0,0,0
33,458,201,0,0,0,0,0
34,459,200,0,0,0,0,0
35,459,199,0,0,0,0,0
36,460,198,0,0,0,0,0
37,461,198,0,0,0,0,0
38,462,197,0,0,0,0,0
39,463,197,0,0,0,0,0
40,464,196,0,0,0,0,0
41,465,196,0,0,0,0,0
42,465,196,0,0,0,0,0
43,467,195,0,0,0,0,0
44,470,195,0,0,0,0,0
45,474,194,0,0,0,0,0
46,478,193,0,0,0,0,0
47,481,193,0,0,0,0,0
48,482,192,0,0,0,0,0
49,484,192,0,0,0,0,0
50,485,192,0,0,0,0,0
51,486,192,0,0,0,0,0
52,489,192,0,0,0,0,0
53,491,192,0,0,0,0,0
54,492,192,0,0,0,0,0
55,493,192,0,0,0,0,0
56,493,191,0,0,0,0,0
57,494,191,0,0,0,0,0
58,495,190,0,0,0,0,0
59,499,189,0,0,0,0,0
60,501,188,0,0,0,0,0
61,503,187,0,0,0,0,0
62,505,184,0,0,0,0,0
63,509,182,0,0,0,0,0
64,511,180,0,0,0,0,0
65,513,177,0,0,0,0,0
66,514,176,0,0,0,0,0
67,516,174,0,0,0,0,0
68,516,172,0,0,0,0,0
69,517,170,0,0,0,0,0
70,518,168,0,0,0,0,0
71,518,167,0,0,0,0,0
72,518,165,0,0,0,0,0
73,518,164,0,0,0,0,0
74,516,160,0,0,0,0,0
75,515,159,0,0,0,0,0
76,514,158,0,0,0,0,0
77,512,156,0,0,0,0,0
78,509,155,0,0,0,0,0
79,506,154,0,0,0,0,0
80,503,154,0,0,0,0,0
81,498,153,0,0,0,0,0
82,494,152,0,0,0,0,0
83,488,152,0,0,0,0,0
84,482,152,0,0,0,0,0
85,477,152,0,0,0,0,0
86,470,152,0,0,0,0,0
87,465,152,0,0,0,0,0
88,458,153,0,0,0,0,0
89,453,153,0,0,0,0,0
90,444,155,0,0,0,0,0
91,438,156,0,0,0,0,0
92,428,156,0,0,0,0,0
93,422,158,0,0,0,0,0
94,415,158,0,0,0,0,0
95,405,159,0,0,0,0,0
96,396,160,0,0,0,0,0
97,387,162,0,0,0,0,0
98,375,164,0,0,0,0,0
99,361,166,0,0,0,0,0
100,349,167,0,0,0,0,0
101,338,167,0,0,0,0,0
102,323,169,0,0,0,0,0
103,312,169,0,0,0,0,0
104,300,171,0,0,0,0,0
105,286,172,0,0,0,0,0
106,273,174,0,0,0,0,0
107,252,175,0,0,0,0,0
108,240,175,0,0,0,0,0
109,225,176,0,0,0,0,0
110,210,176,0,0,0,0,0
111,197,178,0,0,0,0,0
112,183,178,0,0,0,0,0
113,166,178,0,0,0,0,0
114,148,179,0,0,0,0,0
115,132,179,0,0,0,0,0
116,117,179,0,0,0,0,0
117,104,179,0,0,0,0,0
118,92,179,0,0,0,0,0
119,78,179,0,0,0,0,0
120,68,179,0,0,0,0,0
121,53,179,0,0,0,0,0
122,39,179,0,0,0,0,0
123,21,179,0,0,0,0,0
124,6,179,0,0,0,0,0
125,-8,179,0,0,0,0,0
126,-18,179,0,0,0,0,0
127,-31,179,0,0,0,0,0
128,-41,179,0,0,0,0,0
129,-55,179,0,0,0,0,0
130,-69,179,0,0,0,0,0
131,-86,179,0,0,0,0,0
132,-99,179,0,0,0,0,0
133,-114,179,0,0,0,0,0
134,-138,178,0,0,0,0,0
135,-148,176,0,0,0,0,0
136,-158,176,0,0,0,0,0
137,-181,176,0,0,0,0,0
138,-197,175,0,0,0,0,0
139,-212,174,0,0,0,0,0
140,-230,172,0,0,0,0,0
141,-244,171,0,0,0,0,0
142,-260,169,0,0,0,0,0
143,-281,167,0,0,0,0,0
144,-299,165,0,0,0,0,0
145,-316,162,0,0,0,0,0
146,-338,158,0,0,0,0,0
147,-356,155,0,0,0,0,0
148,-371,151,0,0,0,0,0
149,-385,146,0,0,0,0,0
150,-399,141,0,0,0,0,0
151,-412,134,0,0,0,0,0
152,-424,128,0,0,0,0,0
153,-434,124,0,0,0,0,0
154,-442,122,0,0,0,0,0
155,-453,116,0,0,0,0,0
156,-458,111,0,0,0,0,0
157,-464,108,0,0,0,0,0
158,-470,104,0,0,0,0,0
159,-475,101,0,0,0,0,0
160,-478,99,0,0,0,0,0
161,-480,96,0,0,0,0,0
162,-483,93,0,0,0,0,0
163,-484,91,0,0,0,0,0
164,-486,88,0,0,0,0,0
165,-488,86,0,0,0,0,0
166,-490,84,0,0,0,0,0
167,-492,82,0,0,0,0,0
168,-493,81,0,0,0,0,0
169,-494,79,0,0,0,0,0
170,-494,78,0,0,0,0,0
171,-494,77,0,0,0,0,0
172,-495,76,0,0,0,0,0
173,-496,75,0,0,0,0,0
174,-496,73,0,0,0,0,0
175,-498,70,0,0,0,0,0
176,-499,67,0,0,0,0,0
177,-499,65,0,0,0,0,0
178,-500,63,0,0,0,0,0
179,-501,59,0,0,0,0,0
180,-501,55,0,0,0,0,0
181,-502,52,0,0,0,0,0
182,-502,51,0,0,0,0,0
183,-503,49,0,0,0,0,0
184,-503,49,0,0,0,0,0
185,-503,48,0,0,0,0,0
186,-503,47,0,0,0,0,0
187,-503,45,0,0,0,0,0
188,-503,43,0,0,0,0,0
189,-503,42,0,0,0,0,0
190,-503,40,0,0,0,0,0
191,-503,38,0,0,0,0,0
192,-503,37,0,0,0,0,0
193,-503,37,0,0,0,0,0
194,-502,35,0,0,0,0,0
195,-501,33,0,0,0,0,0
196,-500,31,0,0,0,0,0
197,-499,29,0,0,0,0,0
198,-497,26,0,0,0,0,0
199,-495,24,0,0,0,0,0
200,-493,22,0,0,0,0,0
201,-492,20,0,0,0,0,0
202,-489,17,0,0,0,0,0
203,-487,14,0,0,0,0,0
204,-485,12,0,0,0,0,0
205,-484,9,0,0,0,0,0
206,-482,7,0,0,0,0,0
207,-481,5,0,0,0,0,0
208,-479,3,0,0,0,0,0
209,-478,1,0,0,0,0,0
210,-477,0,0,0,0,0,0
211,-475,-4,0,0,0,0,0
212,-473,-7,1,0,0,0,0
213,-471,-9,1,0,0,0,0
214,-468,-12,1,0,0,0,0
215,-466,-16,1,0,0,0,0
216,-464,-20,1,0,0,0,0
217,-462,-24,1,0,0,0,0
218,-461,-26,1,0,0,0,0
219,-460,-30,1,0,0,0,0
220,-459,-33,1,0,0,0,0
221,-459,-35,1,0,0,0,0
222,-458,-38,1,0,0,0,0
223,-458,-40,1,0,0,0,0
224,-458,-42,1,0,0,0,0
225,-458,-47,1,0,0,0,0
226,-458,-51,1,0,0,0,0
227,-460,-55,1,0,0,0,0
228,-460,-56,1,0,0,0,0
229,-461,-58,1,0,0,0,0
230,-461,-60,1,0,0,0,0
231,-461,-62,1,0,0,0,0
232,-462,-64,1,0,0,0,0
233,-462,-66,1,0,0,0,0
234,-463,-69,1,0,0,0,0
235,-464,-70,1,0,0,0,0
236,-464,-72,1,0,0,0,0
237,-464,-72,1,0,0,0,0
238,-464,-73,1,0,0,0,0
239,-465,-74,1,0,0,0,0
240,-466,-75,1,0,0,0,0
241,-467,-76,1,0,0,0,0
242,-467,-77,1,0,0,0,0
243,-468,-78,1,0,0,0,0
244,-468,-78,1,0,0,0,0
245,-470,-80,1,0,0,0,0
246,-473,-83,1,0,0,0,0
247,-476,-85,1,0,0,0,0
248,-478,-87,1,0,0,0,0
249,-480,-89,1,0,0,0,0
250,-481,-90,1,0,0,0,0
251,-482,-91,1,0,0,0,0
252,-484,-92,1,0,0,0,0
253,-486,-95,1,0,0,0,0
254,-488,-98,1,0,0,0,0
255,-489,-100,1,0,0,0,0
256,-491,-102,1,0,0,0,0
257,-492,-104,1,0,0,0,0
258,-493,-106,1,0,0,0,0
259,-493,-108,1,0,0,0,0
260,-494,-110,1,0,0,0,0
261,-495,-112,1,0,0,0,0
262,-495,-112,1,0,0,0,0
263,-495,-114,1,0,0,0,0
264,-495,-114,1,0,0,0,0
265,-495,-114,1,0,0,0,0
266,-495,-114,1,0,0,0,0
267,-495,-114,1,0,0,0,0
268,-495,-114,1,0,0,0,0
269,-495,-114,1,0,0,0,0
270,-495,-115,1,0,0,0,0
271,-495,-115,1,0,0,0,0
272,-495,-116,1,0,0,0,0
273,-494,-117,1,0,0,0,0
274,-493,-119,1,0,0,0,0
275,-492,-121,1,0,0,0,0
276,-491,-121,1,0,0,0,0
277,-488,-125,1,0,0,0,0
278,-487,-127,1,0,0,0,0
279,-485,-129,1,0,0,0,0
280,-484,-130,1,0,0,0,0
281,-481,-132,1,0,0,0,0
282,-478,-136,1,0,0,0,0
283,-473,-140,1,0,0,0,0
284,-469,-143,1,0,0,0,0
285,-465,-146,1,0,0,0,0
286,-460,-149,1,0,0,0,0
287,-455,-151,1,0,0,0,0
288,-451,-153,1,0,0,0,0
289,-447,-155,1,0,0,0,0
290,-443,-157,1,0,0,0,0
291,-438,-158,1,0,0,0,0
292,-433,-159,1,0,0,0,0
293,-426,-160,1,0,0,0,0
294,-422,-160,1,0,0,0,0
295,-417,-161,1,0,0,0,0
296,-413,-162,1,0,0,0,0
297,-408,-162,1,0,0,0,0
298,-402,-162,1,0,0,0,0
299,-394,-163,1,0,0,0,0
300,-390,-163,1,0,0,0,0
301,-375,-163,1,0,0,0,0
302,-368,-163,1,0,0,0,0
303,-360,-163,1,0,0,0,0
304,-351,-163,1,0,0,0,0
305,-340,-163,1,0,0,0,0
306,-327,-163,1,0,0,0,0
307,-316,-163,1,0,0,0,0
308,-303,-163,1,0,0,0,0
309,-287,-163,1,0,0,0,0
310,-271,-163,1,0,0,0,0
311,-246,-163,1,0,0,0,0
312,-228,-163,1,0,0,0,0
313,-206,-163,1,0,0,0,0
314,-188,-163,1,0,0,0,0
315,-171,-163,1,0,0,0,0
316,-160,-163,1,0,0,0,0
317,-131,-164,1,0,0,0,0
318,-112,-166,1,0,0,0,0
319,-97,-166,1,0,0,0,0
320,-79,-166,1,0,0,0,0
321,-64,-166,1,0,0,0,0
322,-56,-166,1,0,0,0,0
323,-56,-166,1,0,0,0,0
324,-39,-166,1,0,0,0,0
325,-2,-164,1,0,0,0,0
326,13,-163,1,0,0,0,0
327,23,-163,1,0,0,0,0
328,40,-163,1,0,0,0,0
329,55,-161,1,0,0,0,0
330,80,-161,1,0,0,0,0
331,82,-160,1,0,0,0,0
332,100,-159,1,0,0,0,0
333,126,-157,1,0,0,0,0
334,134,-156,1,0,0,0,0
335,159,-153,1,0,0,0,0
336,175,-153,1,0,0,0,0
337,188,-153,1,0,0,0,0
338,203,-153,1,0,0,0,0
339,216,-153,1,0,0,0,0
340,230,-153,1,0,0,0,0
341,242,-153,1,0,0,0,0
342,251,-154,1,0,0,0,0
343,260,-154,1,0,0,0,0
344,271,-157,1,0,0,0,0
345,279,-158,1,0,0,0,0
346,292,-160,1,0,0,0,0
347,303,-163,1,0,0,0,0
348,314,-164,1,0,0,0,0
349,327,-164,1,0,0,0,0
350,338,-164,1,0,0,0,0
351,343,-164,1,0,0,0,0
352,348,-164,1,0,0,0,0
353,349,-164,1,0,0,0,0
354,349,-164,1,0,0,0,0
355,350,-164,1,0,0,0,0
356,354,-164,1,0,0,0,0
357,360,-163,1,0,0,0,0
358,370,-161,1,0,0,0,0
359,380,-160,1,0,0,0,0
360,391,-157,1,0,0,0,0
361,399,-155,1,0,0,0,0
362,412,-151,1,0,0,0,0
363,416,-148,1,0,0,0,0
364,421,-147,1,0,0,0,0
365,423,-146,1,0,0,0,0
366,425,-145,1,0,0,0,0
367,428,-143,1,0,0,0,0
368,429,-142,1,0,0,0,0
369,431,-141,1,0,0,0,0
370,434,-139,1,0,0,0,0
371,437,-137,1,0,0,0,0
372,438,-136,1,0,0,0,0
373,440,-135,1,0,0,0,0
374,441,-132,1,0,0,0,0
375,443,-130,1,0,0,0,0
376,444,-128,1,0,0,0,0
377,445,-126,1,0,0,0,0
378,445,-125,1,0,0,0,0
379,445,-124,1,0,0,0,0
380,445,-122,1,0,0,0,0
381,445,-122,1,0,0,0,0
382,445,-121,1,0,0,0,0
383,444,-119,1,0,0,0,0
384,443,-118,1,0,0,0,0
385,442,-117,1,0,0,0,0
386,441,-115,1,0,0,0,0
387,438,-113,1,0,0,0,0
388,437,-112,1,0,0,0,0
389,433,-109,1,0,0,0,0
390,430,-107,1,0,0,0,0
391,429,-106,1,0,0,0,0
392,429,-106,1,0,0,0,0
393,427,-105,1,0,0,0,0
394,426,-104,1,0,0,0,0
395,424,-103,1,0,0,0,0
396,423,-103,1,0,0,0,0
397,422,-101,1,0,0,0,0
398,421,-101,1,0,0,0,0
399,420,-100,1,0,0,0,0
400,419,-99,1,0,0,0,0
401,418,-98,1,0,0,0,0
402,418,-97,1,0,0,0,0
403,417,-95,1,0,0,0,0
404,416,-94,1,0,0,0,0
405,415,-92,1,0,0,0,0
406,415,-92,1,0,0,0,0
407,414,-91,1,0,0,0,0
408,414,-91,1,0,0,0,0
409,414,-90,1,0,0,0,0
410,414,-89,1,0,0,0,0
411,414,-88,1,0,0,0,0
412,414,-87,1,0,0,0,0
413,414,-86,1,0,0,0,0
414,415,-85,1,0,0,0,0
415,415,-84,1,0,0,0,0
416,417,-83,1,0,0,0,0
417,420,-81,1,0,0,0,0
418,422,-79,1,0,0,0,0
419,424,-78,1,0,0,0,0
420,427,-77,1,0,0,0,0
421,432,-75,1,0,0,0,0
422,438,-74,1,0,0,0,0
423,445,-72,1,0,0,0,0
424,452,-71,1,0,0,0,0
425,459,-69,1,0,0,0,0
426,466,-67,1,0,0,0,0
427,467,-67,1,0,0,0,0
428,468,-66,1,0,0,0,0
429,471,-65,1,0,0,0,0
430,473,-64,1,0,0,0,0
431,475,-63,1,0,0,0,0
432,475,-63,1,0,0,0,0
433,475,-63,1,0,0,0,0
434,477,-63,1,0,0,0,0
435,481,-61,1,0,0,0,0
436,485,-59,1,0,0,0,0
437,491,-56,1,0,0,0,0
438,497,-54,1,0,0,0,0
439,504,-52,1,0,0,0,0
