t,x,y,fh,fv,r,s,frame:
0,514,246,0,0,0,-139,0
1,514,246,0,0,0,-139,0
2,514,246,0,0,0,-139,0
3,514,246,0,0,0,-139,0
4,514,246,0,0,0,-139,0
5,514,246,0,0,0,-139,0
6,514,246,0,0,0,-139,0
7,514,246,0,0,0,-139,0
8,515,246,0,0,0,-139,0
9,516,245,0,0,0,-139,0
10,516,245,0,0,0,-139,0
11,517,243,0,0,0,-139,0
12,518,242,0,0,0,-139,0
13,518,241,0,0,0,-139,0
14,519,240,0,0,0,-139,0
15,519,240,0,0,0,-139,0
16,519,239,0,0,0,-139,0
17,520,238,0,0,0,-139,0
18,520,237,0,0,0,-139,0
19,520,237,0,0,0,-139,0
20,520,236,0,0,0,-139,0
21,520,235,0,0,0,-139,0
22,520,234,0,0,0,-139,0
23,520,233,0,0,0,-139,0
24,520,232,0,0,0,-139,0
25,520,232,0,0,0,-139,0
26,520,231,0,0,0,-139,0
27,520,230,0,0,0,-139,0
28,520,230,0,0,0,-139,0
29,520,229,0,0,0,-139,0
30,520,229,0,0,0,-139,0
31,520,229,0,0,0,-139,0
32,519,229,0,0,0,-139,0
33,518,229,0,0,0,-139,0
34,518,229,0,0,0,-139,0
35,518,228,0,0,0,-139,0
36,517,228,0,0,0,-139,0
37,516,228,0,0,0,-139,0
38,515,228,0,0,0,-139,0
39,514,228,0,0,0,-139,0
40,513,228,0,0,0,-139,0
41,511,228,0,0,0,-139,0
42,509,228,0,0,0,-139,0
43,508,228,0,0,0,-139,0
44,507,228,0,0,0,-139,0
45,504,228,0,0,0,-139,0
46,503,227,0,0,0,-139,0
47,501,227,0,0,0,-139,0
48,499,227,0,0,0,-139,0
49,498,227,0,0,0,-139,0
50,496,227,0,0,0,-139,0
51,494,227,0,0,0,-139,0
52,493,227,0,0,0,-139,0
53,492,227,0,0,0,-139,0
54,491,227,0,0,0,-139,0
55,490,227,0,0,0,-139,0
56,489,228,0,0,0,-139,0
57,489,228,0,0,0,-139,0
58,489,228,0,0,0,-139,0
59,489,228,0,0,0,-139,0
60,489,228,0,0,0,-139,0
61,489,228,0,0,0,-139,0
62,489,228,0,0,0,-139,0
63,489,228,0,0,0,-139,0
64,489,228,0,0,0,-139,0
65,489,228,0,0,0,-139,0
66,489,228,0,0,0,-139,0
67,489,228,0,0,0,-139,0
68,489,228,0,0,0,-139,0
69,489,228,0,0,0,-139,0
70,489,228,0,0,0,-139,0
71,489,228,0,0,0,-139,0
72,489,228,0,0,0,-139,0
73,489,228,0,0,0,-139,0
74,489,228,0,0,0,-139,0
75,489,228,0,0,0,-139,0
76,489,228,0,0,0,-139,0
77,489,228,0,0,0,-139,0
78,489,228,0,0,0,-139,0
79,489,228,0,0,0,-139,0
80,489,228,0,0,0,-139,0
81,488,228,0,0,0,-139,0
82,483,228,0,0,0,-139,0
83,476,228,0,0,0,-139,0
84,469,228,0,0,0,-139,0
85,463,228,0,0,0,-139,0
86,459,228,0,0,0,-139,0
87,453,227,0,0,0,-139,0
88,449,227,0,0,0,-139,0
89,446,227,0,0,0,-139,0
90,443,227,0,0,0,-139,0
91,438,227,0,0,0,-139,0
92,436,227,0,0,0,-139,0
93,427,227,0,0,0,-139,0
94,420,226,0,0,0,-139,0
95,412,226,0,0,0,-139,0
96,405,226,0,0,0,-139,0
97,396,226,0,0,0,-139,0
98,385,225,0,0,0,-139,0
99,370,225,0,0,0,-139,0
100,352,225,0,0,0,-139,0
101,334,224,0,0,0,-139,0
102,328,224,0,0,0,-139,0
103,307,224,0,0,0,-139,0
104,300,224,0,0,0,-139,0
105,290,224,0,0,0,-139,0
106,281,224,0,0,0,-139,0
107,270,224,0,0,0,-139,0
108,257,224,0,0,0,-139,0
109,252,224,0,0,0,-139,0
110,248,224,0,0,0,-139,0
111,239,223,0,0,0,-139,0
112,223,223,0,0,0,-139,0
113,195,223,0,0,0,-139,0
114,174,223,0,0,0,-139,0
115,145,221,0,0,0,-139,0
116,119,221,0,0,0,-139,0
117,94,220,0,0,0,-139,0
118,64,218,0,0,0,-139,0
119,45,218,0,0,0,-139,0
120,26,218,0,0,0,-139,0
121,18,218,0,0,0,-139,0
122,0,218,0,0,0,-139,0
123,-11,218,0,0,0,-139,0
124,-34,217,0,0,0,-139,0
125,-47,215,0,0,0,-139,0
126,-62,214,0,0,0,-139,0
127,-82,213,0,0,0,-139,0
128,-96,211,0,0,0,-139,0
129,-104,210,0,0,0,-139,0
130,-121,209,0,0,0,-139,0
131,-141,206,0,0,0,-139,0
132,-157,205,0,0,0,-139,0
133,-175,203,0,0,0,-139,0
134,-193,202,0,0,0,-139,0
135,-209,202,0,0,0,-139,0
136,-223,201,0,0,0,-139,0
137,-238,199,0,0,0,-139,0
138,-255,198,0,0,0,-139,0
139,-267,196,0,0,0,-139,0
140,-284,195,0,0,0,-139,0
141,-298,195,0,0,0,-139,0
142,-308,194,0,0,0,-139,0
143,-321,192,0,0,0,-139,0
144,-335,192,0,0,0,-139,0
145,-346,191,0,0,0,-139,0
146,-355,190,0,0,0,-139,0
147,-365,189,0,0,0,-139,0
148,-371,188,0,0,0,-139,0
149,-378,187,0,0,0,-139,0
150,-383,184,0,0,0,-139,0
151,-391,181,0,0,0,-139,0
152,-396,180,0,0,0,-139,0
153,-400,177,0,0,0,-139,0
154,-405,176,0,0,0,-139,0
155,-409,174,0,0,0,-139,0
156,-412,172,0,0,0,-139,0
157,-414,170,0,0,0,-139,0
158,-418,168,0,0,0,-139,0
159,-423,165,0,0,0,-139,0
160,-427,162,0,0,0,-139,0
161,-431,160,0,0,0,-139,0
162,-437,157,0,0,0,-139,0
163,-440,154,0,0,0,-139,0
164,-443,153,0,0,0,-139,0
165,-447,151,0,0,0,-139,0
166,-450,148,0,0,0,-139,0
167,-454,146,0,0,0,-139,0
168,-458,144,0,0,0,-139,0
169,-460,142,0,0,0,-139,0
170,-467,140,0,0,0,-139,0
171,-470,138,0,0,0,-139,0
172,-474,135,0,0,0,-139,0
173,-478,133,0,0,0,-139,0
174,-480,132,0,0,0,-139,0
175,-484,129,0,0,0,-139,0
176,-489,126,0,0,0,-139,0
177,-494,123,0,0,0,-139,0
178,-496,122,0,0,0,-139,0
179,-498,120,0,0,0,-139,0
180,-500,119,0,0,0,-139,0
181,-502,117,0,0,0,-139,0
182,-504,115,0,0,0,-139,0
183,-507,113,0,0,0,-139,0
184,-510,111,0,0,0,-139,0
185,-512,109,0,0,0,-139,0
186,-513,108,0,0,0,-139,0
187,-513,108,0,0,0,-139,0
188,-513,108,0,0,0,-139,0
189,-513,108,0,0,0,-139,0
190,-513,107,0,0,0,-139,0
191,-514,107,0,0,0,-139,0
192,-514,107,0,0,0,-139,0
193,-514,107,0,0,0,-139,0
194,-514,107,0,0,0,-139,0
195,-514,107,0,0,0,-139,0
196,-514,107,0,0,0,-139,0
197,-514,106,0,0,0,-139,0
198,-514,106,0,0,0,-139,0
199,-514,106,0,0,0,-139,0
200,-514,106,0,0,0,-139,0
201,-514,106,0,0,0,-139,0
202,-515,106,1,0,0,-139,0
203,-515,106,1,0,0,-139,0
204,-515,106,1,0,0,-139,0
205,-515,106,1,0,0,-139,0
206,-515,106,1,0,0,-139,0
207,-515,106,1,0,0,-139,0
208,-515,106,1,0,0,-139,0
209,-515,106,1,0,0,-139,0
210,-515,105,1,0,0,-139,0
211,-515,103,1,0,0,-139,0
212,-515,102,1,0,0,-139,0
213,-516,99,1,0,0,-139,0
214,-516,97,1,0,0,-139,0
215,-516,96,1,0,0,-139,0
216,-517,95,1,0,0,-139,0
217,-517,95,1,0,0,-139,0
218,-517,94,1,0,0,-139,0
219,-517,93,1,0,0,-139,0
220,-517,92,1,0,0,-139,0
221,-517,91,1,0,0,-139,0
222,-517,90,1,0,0,-139,0
223,-517,88,1,0,0,-139,0
224,-517,86,1,0,0,-139,0
225,-517,86,1,0,0,-139,0
226,-517,85,1,0,0,-139,0
227,-517,84,1,0,0,-139,0
228,-517,83,1,0,0,-139,0
229,-515,80,1,0,0,-139,0
230,-513,78,1,0,0,-139,0
231,-512,76,1,0,0,-139,0
232,-511,75,1,0,0,-139,0
233,-510,74,1,0,0,-139,0
234,-510,74,1,0,0,-139,0
235,-509,73,1,0,0,-139,0
236,-508,73,1,0,0,-139,0
237,-508,72,1,0,0,-139,0
238,-507,72,1,0,0,-139,0
239,-506,71,1,0,0,-139,0
240,-505,71,1,0,0,-139,0
241,-504,71,1,0,0,-139,0
242,-502,70,1,0,0,-139,0
243,-500,69,1,0,0,-139,0
244,-499,69,1,0,0,-139,0
245,-499,69,1,0,0,-139,0
246,-499,69,1,0,0,-139,0
247,-499,69,1,0,0,-139,0
248,-498,69,1,0,0,-139,0
249,-498,69,1,0,0,-139,0
250,-497,69,1,0,0,-139,0
251,-495,69,1,0,0,-139,0
252,-493,69,1,0,0,-139,0
253,-491,69,1,0,0,-139,0
254,-491,69,1,0,0,-139,0
255,-491,69,1,0,0,-139,0
256,-491,69,1,0,0,-139,0
257,-491,69,1,0,0,-139,0
258,-491,69,1,0,0,-139,0
259,-491,69,1,0,0,-139,0
260,-489,70,1,0,0,-139,0
261,-487,72,1,0,0,-139,0
262,-486,73,1,0,0,-139,0
263,-483,75,1,0,0,-139,0
264,-481,78,1,0,0,-139,0
265,-480,79,1,0,0,-139,0
266,-480,80,1,0,0,-139,0
267,-479,80,1,0,0,-139,0
268,-479,81,1,0,0,-139,0
269,-478,82,1,0,0,-139,0
270,-478,83,1,0,0,-139,0
271,-478,84,1,0,0,-139,0
272,-477,86,1,0,0,-139,0
273,-477,87,1,0,0,-139,0
274,-477,88,1,0,0,-139,0
275,-477,90,1,0,0,-139,0
276,-478,92,1,0,0,-139,0
277,-478,93,1,0,0,-139,0
278,-479,95,1,0,0,-139,0
279,-482,97,1,0,0,-139,0
280,-483,100,1,0,0,-139,0
281,-484,101,1,0,0,-139,0
282,-485,102,1,0,0,-139,0
283,-487,103,1,0,0,-139,0
284,-488,104,1,0,0,-139,0
285,-489,105,1,0,0,-139,0
286,-490,107,1,0,0,-139,0
287,-492,108,1,0,0,-139,0
288,-493,109,1,0,0,-139,0
289,-494,110,1,0,0,-139,0
