t,x,y,fh,fv,r,s,frame:
0,5,-244,0,0,-1920,-121,0
1,4,-236,0,0,-1935,-121,0
2,4,-229,0,0,-1950,-121,0
3,4,-223,0,0,-1965,-121,0
4,4,-217,0,0,-1980,-121,0
5,4,-211,0,0,-1995,-121,0
6,4,-205,0,0,-2010,-121,0
7,4,-197,0,0,-2025,-121,0
8,4,-188,0,0,-2040,-121,0
9,4,-179,0,0,-2055,-121,0
10,3,-170,0,0,-2070,-121,0
11,2,-162,0,0,-2085,-121,0
12,2,-152,0,0,-2100,-121,0
13,1,-141,0,0,-2115,-121,0
14,1,-127,0,0,-2130,-121,0
15,1,-111,0,0,-2145,-121,0
16,1,-103,0,0,-2160,-121,0
17,1,-97,0,0,-2175,-121,0
18,1,-89,0,0,-2190,-121,0
19,1,-79,0,0,-2205,-121,0
20,1,-62,0,0,-2220,-121,0
21,0,-48,0,0,-2235,-121,0
22,-2,-38,0,0,-2250,-121,0
23,-3,-26,0,0,-2265,-121,0
24,-3,-15,0,0,-2280,-121,0
25,-3,-4,0,0,-2295,-121,0
26,-3,6,0,0,-2310,-121,0
27,-2,14,0,0,-2325,-121,0
28,-1,23,0,0,-2340,-121,0
29,0,32,0,0,-2355,-121,0
30,1,40,0,0,-2370,-121,0
31,1,50,0,0,-2385,-121,0
32,2,59,0,0,-2400,-121,0
33,2,68,0,0,-2415,-121,0
34,2,80,0,0,-2430,-121,0
35,4,93,0,0,-2445,-121,0
36,4,107,0,0,-2460,-121,0
37,4,117,0,0,-2475,-121,0
38,4,124,0,0,-2490,-121,0
39,4,132,0,0,-2505,-121,0
40,4,141,0,0,-2520,-121,0
41,4,153,0,0,-2535,-121,0
42,4,163,0,0,-2550,-121,0
43,4,173,0,0,-2565,-121,0
44,5,182,0,0,-2580,-121,0
45,5,196,0,0,-2595,-121,0
46,5,202,0,0,-2610,-121,0
47,5,208,0,0,-2625,-121,0
48,5,212,0,0,-2640,-121,0
49,6,217,0,0,-2655,-121,0
50,6,220,0,0,-2670,-121,0
51,6,224,0,0,-2685,-121,0
52,6,228,0,0,-2700,-121,0
53,6,232,0,0,-2715,-121,0
54,6,238,0,0,-2730,-121,0
55,6,242,0,0,-2745,-121,0
56,6,246,0,0,-2760,-121,0
57,6,249,0,0,-2775,-121,0
58,6,253,0,0,-2790,-121,0
59,6,256,0,0,-2805,-121,0
60,6,258,0,0,-2820,-121,0
61,6,262,0,0,-2835,-121,0
62,6,266,0,0,-2850,-121,0
63,6,270,0,0,-2865,-121,0
64,6,272,0,0,-2880,-121,0
65,6,274,0,0,-2895,-121,0
66,6,276,0,0,-2910,-121,0
67,6,279,0,0,-2925,-121,0
68,6,281,0,0,-2940,-121,0
69,6,283,0,0,-2955,-121,0
70,6,285,0,0,-2970,-121,0
71,6,287,0,0,-2985,-121,0
72,5,289,0,0,-3000,-121,0
73,5,291,0,0,-3015,-121,0
74,5,293,0,0,-3030,-121,0
75,4,295,0,0,-3045,-121,0
76,4,296,0,0,-3060,-121,0
77,4,298,0,0,-3075,-121,0
78,4,299,0,0,-3090,-121,0
79,4,300,0,0,-3105,-121,0
80,3,301,0,0,-3120,-121,0
81,3,302,0,0,-3135,-121,0
82,3,303,0,0,-3150,-121,0
83,2,305,0,0,-3165,-121,0
84,2,306,0,0,-3180,-121,0
85,1,307,0,0,-3195,-121,0
86,0,308,0,0,-3210,-121,0
87,0,308,0,0,-3225,-121,0
88,-1,309,0,0,-3240,-121,0
89,-3,309,0,0,-3255,-121,0
90,-3,309,0,0,-3270,-121,0
91,-4,309,0,0,-3285,-121,0
92,-4,309,0,0,-3300,-121,0
93,-4,309,0,0,-3315,-121,0
94,-4,309,0,0,-3330,-121,0
95,-5,309,0,0,-3345,-121,0
96,-6,309,0,0,-3360,-121,0
97,-6,309,0,0,-3375,-121,0
98,-8,307,0,0,-3390,-121,0
99,-9,306,0,0,-3405,-121,0
100,-10,304,0,0,-3420,-121,0
101,-10,302,0,0,-3435,-121,0
102,-10,300,0,0,-3450,-121,0
103,-10,298,0,0,-3465,-121,0
104,-10,294,0,0,-3480,-121,0
105,-10,289,0,0,-3495,-121,0
106,-9,285,0,0,-3510,-121,0
107,-7,280,0,0,-3525,-121,0
108,-6,275,0,0,-3540,-121,0
109,-3,266,0,0,-3555,-121,0
110,-1,259,0,0,-3570,-121,0
111,1,252,0,0,-3585,-121,0
112,2,246,0,0,-3600,-121,0
113,4,238,0,0,-3615,-121,0
114,7,230,0,0,-3630,-121,0
115,8,223,0,0,-3645,-121,0
116,9,215,0,0,-3660,-121,0
117,10,208,0,0,-3675,-121,0
118,12,201,0,0,-3690,-121,0
119,13,186,0,0,-3705,-121,0
120,14,176,0,0,-3720,-121,0
