t,x,y,fh,fv,r,s,frame:
0,542,262,0,0,0,-138,0
1,542,262,0,0,0,-138,0
2,542,262,0,0,0,-138,0
3,542,262,0,0,0,-138,0
4,542,262,0,0,0,-138,0
5,542,262,0,0,0,-138,0
6,542,263,0,0,0,-138,0
7,542,263,0,0,0,-138,0
8,542,264,0,0,0,-138,0
9,542,264,0,0,0,-138,0
10,542,266,0,0,0,-138,0
11,542,267,0,0,0,-138,0
12,541,268,0,0,0,-138,0
13,540,270,0,0,0,-138,0
14,540,271,0,0,0,-138,0
15,538,274,0,0,0,-138,0
16,538,275,0,0,0,-138,0
17,537,276,0,0,0,-138,0
18,535,279,0,0,0,-138,0
19,534,280,0,0,0,-138,0
20,533,282,0,0,0,-138,0
21,532,283,0,0,0,-138,0
22,530,284,0,0,0,-138,0
23,529,285,0,0,0,-138,0
24,528,286,0,0,0,-138,0
25,526,287,0,0,0,-138,0
26,525,288,0,0,0,-138,0
27,524,289,0,0,0,-138,0
28,522,290,0,0,0,-138,0
29,519,291,0,0,0,-138,0
30,516,292,0,0,0,-138,0
31,514,293,0,0,0,-138,0
32,510,294,0,0,0,-138,0
33,508,294,0,0,0,-138,0
34,506,294,0,0,0,-138,0
35,504,294,0,0,0,-138,0
36,501,295,0,0,0,-138,0
37,498,295,0,0,0,-138,0
38,493,295,0,0,0,-138,0
39,490,296,0,0,0,-138,0
40,484,297,0,0,0,-138,0
41,480,297,0,0,0,-138,0
42,477,297,0,0,0,-138,0
43,472,297,0,0,0,-138,0
44,466,297,0,0,0,-138,0
45,462,297,0,0,0,-138,0
46,460,297,0,0,0,-138,0
47,456,296,0,0,0,-138,0
48,453,295,0,0,0,-138,0
49,447,292,0,0,0,-138,0
50,444,291,0,0,0,-138,0
51,440,289,1,0,0,-138,0
52,438,288,1,0,0,-138,0
53,435,287,1,0,0,-138,0
54,425,282,1,0,0,-138,0
55,420,280,1,0,0,-138,0
56,415,278,1,0,0,-138,0
57,407,275,1,0,0,-138,0
58,403,273,1,0,0,-138,0
59,401,271,1,0,0,-138,0
60,399,269,1,0,0,-138,0
61,397,266,1,0,0,-138,0
62,395,263,1,0,0,-138,0
63,394,261,1,0,0,-138,0
64,392,258,1,0,0,-138,0
65,391,255,1,0,0,-138,0
66,388,252,1,0,0,-138,0
67,387,248,1,0,0,-138,0
68,386,243,1,0,0,-138,0
69,383,238,1,0,0,-138,0
70,382,235,1,0,0,-138,0
71,380,231,1,0,0,-138,0
72,379,226,1,0,0,-138,0
73,378,223,1,0,0,-138,0
74,377,220,1,0,0,-138,0
75,377,216,1,0,0,-138,0
76,377,211,1,0,0,-138,0
77,377,208,1,0,0,-138,0
78,376,206,1,0,0,-138,0
79,376,204,1,0,0,-138,0
80,376,200,1,0,0,-138,0
81,376,196,1,0,0,-138,0
82,376,194,1,0,0,-138,0
83,376,189,1,0,0,-138,0
84,376,186,1,0,0,-138,0
85,376,183,1,0,0,-138,0
86,377,180,1,0,0,-138,0
87,377,176,1,0,0,-138,0
88,379,170,1,0,0,-138,0
89,381,166,1,0,0,-138,0
90,382,163,1,0,0,-138,0
91,383,160,1,0,0,-138,0
92,385,156,1,0,0,-138,0
93,387,152,1,0,0,-138,0
94,388,149,1,0,0,-138,0
95,390,146,1,0,0,-138,0
96,391,141,1,0,0,-138,0
97,393,135,1,0,0,-138,0
98,396,129,1,0,0,-138,0
99,398,124,1,0,0,-138,0
100,401,118,1,0,0,-138,0
101,404,112,1,0,0,-138,0
102,406,108,1,0,0,-138,0
103,412,98,1,0,0,-138,0
104,415,93,1,0,0,-138,0
105,417,88,1,0,0,-138,0
106,419,86,1,0,0,-138,0
107,421,81,1,0,0,-138,0
108,423,77,1,0,0,-138,0
109,425,72,1,0,0,-138,0
110,429,65,1,0,0,-138,0
111,430,63,1,0,0,-138,0
112,433,58,1,0,0,-138,0
113,437,50,1,0,0,-138,0
