t,x,y,fh,fv,r,s,frame:
0,1,0,1,0,-45,0,0
1,1,0,1,0,-45,0,0
2,1,0,1,0,-45,0,0
3,1,0,1,0,-45,0,0
4,1,0,1,0,-45,0,0
5,1,0,1,0,-45,0,0
6,1,0,1,0,-45,0,0
7,1,0,1,0,-45,0,0
8,1,0,1,0,-45,0,0
9,1,0,1,0,-40,0,0
10,1,0,1,0,-35,0,0
11,1,0,1,0,-30,0,0
12,1,0,1,0,-25,0,0
13,1,0,1,0,-20,0,0
14,1,0,1,0,-15,0,0
15,1,0,1,0,-10,0,0
16,1,0,1,0,-5,0,0
17,1,0,1,0,0,0,0
18,1,0,1,0,5,0,0
19,1,0,1,0,10,0,0
20,1,0,1,0,15,0,0
21,1,0,1,0,20,0,0
22,1,0,1,0,25,0,0
23,1,0,1,0,30,0,0
24,1,0,1,0,35,0,0
25,1,0,1,0,40,0,0
26,1,0,1,0,45,0,0
27,1,0,1,0,50,0,0
28,1,0,1,0,55,0,0
29,1,0,1,0,60,0,0
30,1,0,1,0,65,0,0
31,1,0,1,0,70,0,0
32,1,0,1,0,75,0,0
33,1,0,1,0,80,0,0
34,1,0,1,0,85,0,0
35,1,0,1,0,90,0,0
36,1,0,1,0,95,0,0
37,1,0,1,0,100,0,0
38,1,0,1,0,105,0,0
39,1,0,1,0,105,0,0
40,2,0,1,0,105,0,0
41,2,0,1,0,105,0,0
42,2,0,1,0,105,0,0
43,2,0,1,0,105,0,0
44,2,0,1,0,105,0,0
45,2,0,1,0,105,0,0
46,1,0,1,0,105,0,0
47,1,0,1,0,105,0,0
48,1,0,1,0,105,0,0
49,-1,1,1,0,105,0,0
50,-3,1,1,0,105,0,0
51,-5,1,1,0,105,0,0
52,-5,1,1,0,105,0,0
53,-6,1,1,0,105,0,0
54,-6,1,1,0,105,0,0
55,-6,1,1,0,105,0,0
56,-6,0,1,0,105,0,0
57,-6,-1,1,0,105,0,0
58,-6,-2,1,0,105,0,0
59,-6,-3,1,0,105,0,0
60,-6,-3,1,0,105,0,0
61,-6,-3,1,0,105,0,0
62,-6,-4,1,0,105,0,0
63,-6,-4,1,0,105,0,0
64,-6,-4,1,0,105,0,0
65,-7,-4,1,0,105,0,0
66,-7,-4,1,0,105,0,0
67,-7,-4,1,0,105,0,0
68,-7,-4,1,0,105,0,0
69,-7,-4,1,0,105,0,0
70,-7,-4,1,0,105,0,0
71,-7,-4,1,0,105,0,0
72,-7,-4,1,0,105,0,0
73,-7,-3,1,0,105,0,0
74,-6,-1,1,0,105,0,0
75,-5,0,1,0,105,0,0
76,-4,1,1,0,105,0,0
77,-3,2,1,0,105,0,0
78,-1,3,1,0,105,0,0
79,0,3,1,0,105,0,0
80,1,3,1,0,105,0,0
81,2,3,1,0,105,0,0
82,2,3,1,0,105,0,0
83,4,3,1,0,105,0,0
84,6,3,1,0,105,0,0
85,6,2,1,0,105,0,0
86,7,1,1,0,105,0,0
87,7,0,1,0,105,0,0
88,8,-1,1,0,105,0,0
89,8,-2,1,0,105,0,0
90,8,-2,1,0,105,0,0
91,8,-3,1,0,105,0,0
92,8,-3,1,0,105,0,0
93,8,-3,1,0,105,0,0
94,8,-3,1,0,105,0,0
95,8,-3,1,0,105,0,0
96,8,-3,1,0,105,0,0
97,8,-3,1,0,105,0,0
98,8,-3,1,0,105,0,0
99,8,-3,1,0,105,0,0
100,7,-3,1,0,105,0,0
101,7,-2,1,0,105,0,0
102,5,-1,1,0,105,0,0
103,4,0,1,0,105,0,0
104,4,0,1,0,105,0,0
105,3,1,1,0,105,0,0
106,3,1,1,0,105,0,0
107,2,2,1,0,105,0,0
108,1,2,1,0,105,0,0
109,1,2,1,0,105,0,0
110,1,2,1,0,105,0,0
111,1,2,1,0,105,0,0
112,1,2,1,0,105,0,0
113,0,2,1,0,105,0,0
114,0,2,1,0,105,0,0
115,-1,1,1,0,105,0,0
116,-2,0,1,0,105,0,0
117,-2,-1,1,0,105,0,0
118,-2,-1,1,0,105,0,0
119,-2,-1,1,0,105,0,0
120,-2,-2,1,0,105,0,0
121,-2,-3,1,0,105,0,0
122,-2,-3,1,0,105,0,0
123,-2,-3,1,0,105,0,0
124,-2,-3,1,0,105,0,0
125,-2,-3,1,0,105,0,0
126,-2,-3,1,0,105,0,0
127,-2,-3,1,0,105,0,0
128,-2,-3,1,0,105,0,0
129,-2,-3,1,0,105,0,0
130,-2,-2,1,0,105,0,0
131,-2,-2,1,0,105,0,0
132,-2,-2,1,0,105,0,0
133,-2,-2,1,0,105,0,0
134,-2,-2,1,0,105,0,0
135,-1,-2,1,0,105,0,0
136,-1,-2,1,0,105,0,0
137,-1,-2,1,0,105,0,0
138,-1,-2,1,0,105,0,0
139,-1,-2,1,0,105,0,0
140,-1,-2,1,0,105,0,0
141,-1,-2,1,0,105,0,0
142,-1,-2,1,0,105,0,0
143,-1,-1,1,0,105,0,0
144,-1,-1,1,0,105,0,0
145,-1,-1,1,0,105,0,0
146,-1,-1,1,0,105,0,0
147,-1,-1,1,0,105,0,0
148,-1,-1,1,0,105,0,0
149,-1,-1,1,0,105,0,0
150,-1,-1,1,0,105,0,0
151,-1,-1,1,0,100,0,0
152,-1,-1,1,0,95,0,0
153,-1,-1,1,0,90,0,0
154,-1,-1,1,0,85,0,0
155,-1,-1,1,0,80,0,0
156,-1,-1,1,0,75,0,0
157,-1,-1,1,0,70,0,0
158,-1,-1,1,0,65,0,0
159,-1,-1,1,0,60,0,0
160,-1,-1,1,0,55,0,0
161,-1,-1,1,0,50,0,0
162,-1,-1,1,0,45,0,0
163,-1,-1,1,0,40,0,0
164,-1,-1,1,0,35,0,0
165,-1,-1,1,0,30,0,0
166,-1,-1,1,0,25,0,0
167,-1,-1,1,0,20,0,0
168,-1,-1,1,0,15,0,0
169,-1,-1,1,0,10,0,0
170,-1,-1,1,0,5,0,0
171,-1,-1,1,0,0,0,0
172,-1,-1,1,0,-5,0,0
173,-1,-1,1,0,-10,0,0
174,-1,-1,1,0,-15,0,0
175,-1,-1,1,0,-20,0,0
176,-1,-1,1,0,-25,0,0
177,-1,-1,1,0,-30,0,0
178,-1,-1,1,0,-30,0,0
179,-1,-1,1,0,-30,0,0
180,-1,-1,1,0,-35,0,0
181,-1,-1,1,0,-40,0,0
182,-1,-1,1,0,-45,0,0
183,-1,-1,1,0,-45,0,0
184,-1,-1,1,0,-45,0,0
185,-1,-1,1,0,-45,0,0
186,-1,-1,1,0,-45,0,0
187,-1,-1,1,0,-45,0,0
188,-1,-1,1,0,-45,0,0
189,-1,-1,1,0,-45,0,0
190,-1,-1,1,0,-45,0,0
191,-1,-1,1,0,-45,0,0
192,-1,-1,1,0,-45,0,0
193,-1,-1,1,0,-45,0,0
194,-1,-1,1,0,-45,0,0
195,-1,-1,1,0,-45,0,0
196,-1,-1,1,0,-45,0,0
197,-1,-1,1,0,-45,0,0
198,-1,-1,1,0,-45,0,0
199,-1,-1,1,0,-45,0,0
200,-1,-1,1,0,-45,0,0
201,-1,-1,1,0,-45,0,0
202,-1,-1,1,0,-45,0,0
203,-1,-1,1,0,-45,0,0
204,-1,-1,1,0,-45,0,0
205,-1,-1,1,0,-45,0,0
206,-1,-1,1,0,-45,0,0
207,-1,-1,1,0,-45,0,0
208,-1,-1,1,0,-45,0,0
209,-1,-1,1,0,-45,0,0
210,-1,-1,1,0,-45,0,0
211,-1,-1,1,0,-45,0,0
212,-1,-1,1,0,-45,0,0
213,-1,-1,1,0,-45,0,0
214,-1,-1,1,0,-45,0,0
215,-1,-1,1,0,-45,0,0
216,-1,-1,1,0,-45,0,0
217,-1,-1,1,0,-45,0,0
218,-1,-1,1,0,-45,0,0
219,-1,-1,1,0,-45,0,0
220,-1,-1,1,0,-45,0,0
221,-1,-1,1,0,-45,0,0
222,-1,-1,1,0,-45,0,0
223,-1,-1,1,0,-45,0,0
224,-1,-1,1,0,-45,0,0
225,-1,-1,1,0,-45,0,0
226,-1,-1,1,0,-45,0,0
227,-1,-1,1,0,-45,0,0
228,-1,-1,1,0,-45,0,0
229,-1,-1,1,0,-45,0,0
230,-1,-1,1,0,-45,0,0
231,-1,-1,1,0,-45,0,0
232,-1,-1,1,0,-45,0,0
233,-1,-1,1,0,-45,0,0
234,-1,-1,1,0,-45,0,0
235,-1,-1,1,0,-45,0,0
236,-1,-1,1,0,-45,0,0
237,-1,-1,1,0,-45,0,0
238,-1,-1,1,0,-45,0,0
239,-1,-1,1,0,-45,0,0
240,-1,-1,1,0,-45,0,0
241,-1,-1,1,0,-45,0,0
242,-1,-1,1,0,-45,0,0
243,-1,-1,1,0,-45,0,0
244,-1,-1,1,0,-45,0,0
245,-1,-1,1,0,-45,0,0
246,-1,-1,1,0,-45,0,0
