t,x,y,fh,fv,r,s,frame:
0,2,-2,1,0,-43,0,0
1,2,-2,1,0,-43,0,0
2,3,0,1,0,-43,0,0
3,5,4,1,0,-43,0,0
4,10,11,1,0,-43,0,0
5,15,17,1,0,-43,0,0
6,27,28,1,0,-43,0,0
7,40,39,1,0,-43,0,0
8,49,49,1,0,-43,0,0
9,59,60,1,0,-43,0,0
10,62,64,1,0,-43,0,0
11,63,65,1,0,-43,0,0
12,63,65,1,0,-43,0,0
13,63,65,1,0,-43,0,0
14,63,65,1,0,-43,0,0
15,63,65,1,0,-43,0,0
16,63,65,1,0,-43,0,0
17,63,65,1,0,-43,0,0
18,63,65,1,0,-43,0,0
19,63,65,1,0,-43,0,0
20,63,65,1,0,-43,0,0
21,63,65,1,0,-43,0,0
22,63,65,1,0,-43,0,0
23,63,65,1,0,-43,0,0
24,63,65,1,0,-43,0,0
25,64,63,1,0,-43,0,0
26,64,63,1,0,-43,0,0
27,64,63,1,0,-43,0,0
28,64,63,1,0,-43,0,0
29,64,63,1,0,-43,0,0
30,63,63,1,0,-43,0,0
31,61,63,1,0,-43,0,0
32,59,62,1,0,-43,0,0
33,56,60,1,0,-43,0,0
34,54,59,1,0,-43,0,0
35,52,56,1,0,-43,0,0
36,50,54,1,0,-43,0,0
37,48,52,1,0,-43,0,0
38,46,49,1,0,-43,0,0
39,43,45,1,0,-43,0,0
40,39,40,1,0,-43,0,0
41,36,36,1,0,-43,0,0
42,34,32,1,0,-43,0,0
43,33,29,1,0,-43,0,0
44,31,25,1,0,-43,0,0
45,31,22,1,0,-43,0,0
46,30,19,1,0,-43,0,0
47,29,17,1,0,-43,0,0
48,29,15,1,0,-43,0,0
49,29,15,1,0,-43,0,0
50,29,15,1,0,-43,0,0
51,29,13,1,0,-43,0,0
52,27,11,1,0,-43,0,0
53,25,10,1,0,-43,0,0
54,21,7,1,0,-43,0,0
55,18,6,1,0,-43,0,0
56,17,6,1,0,-43,0,0
57,17,6,1,0,-43,0,0
58,17,6,1,0,-43,0,0
59,17,6,1,0,-43,0,0
60,17,6,1,0,-43,0,0
61,16,6,1,0,-43,0,0
62,12,5,1,0,-43,0,0
63,9,5,1,0,-43,0,0
64,8,4,1,0,-43,0,0
65,5,3,1,0,-43,0,0
66,4,3,1,0,-43,0,0
67,4,3,1,0,-43,0,0
68,4,3,1,0,-43,0,0
69,4,3,1,0,-43,0,0
70,4,3,1,0,-43,0,0
71,4,3,1,0,-43,0,0
72,4,3,1,0,-43,0,0
73,4,2,1,0,-43,0,0
74,4,2,1,0,-43,0,0
75,4,2,1,0,-43,0,0
76,4,2,1,0,-43,0,0
77,4,2,1,0,-43,0,0
78,4,2,1,0,-43,0,0
79,4,2,1,0,-43,0,0
80,4,2,1,0,-43,0,0
81,4,2,1,0,-43,0,0
82,4,2,1,0,-43,0,0
83,4,2,1,0,-43,0,0
84,4,2,1,0,-43,0,0
