t,x,y,fh,fv,r,s,frame:
0,2,-3,1,0,-44,0,0
1,2,-3,1,0,-44,0,0
2,2,-3,1,0,-44,0,0
3,2,-3,1,0,-44,0,0
4,2,-3,1,0,-44,0,0
5,2,-3,1,0,-44,0,0
6,2,-3,1,0,-44,0,0
7,2,-3,1,0,-44,0,0
8,2,-3,1,0,-44,0,0
9,2,-3,1,0,-44,0,0
10,2,-3,1,0,-44,0,0
11,2,-3,1,0,-44,0,0
12,2,-3,1,0,-44,0,0
13,2,-3,1,0,-44,0,0
14,2,-3,1,0,-44,0,0
15,2,-3,1,0,-44,0,0
16,2,-3,1,0,-44,0,0
17,2,-3,1,0,-44,0,0
18,2,-2,1,0,-44,0,0
19,2,-2,1,0,-44,0,0
20,2,-2,1,0,-44,0,0
21,2,-2,1,0,-44,0,0
22,2,-2,1,0,-44,0,0
23,3,-1,1,0,-44,0,0
24,3,0,1,0,-44,0,0
25,4,1,1,0,-44,0,0
26,4,1,1,0,-44,0,0
27,5,2,1,0,-44,0,0
28,5,2,1,0,-44,0,0
29,5,2,1,0,-44,0,0
30,6,2,1,0,-44,0,0
31,6,3,1,0,-44,0,0
32,7,3,1,0,-44,0,0
33,8,4,1,0,-44,0,0
34,9,4,1,0,-44,0,0
35,9,4,1,0,-44,0,0
36,9,4,1,0,-44,0,0
37,9,4,1,0,-44,0,0
38,10,4,1,0,-44,0,0
39,13,4,1,0,-44,0,0
40,17,3,1,0,-44,0,0
41,18,3,1,0,-44,0,0
42,18,3,1,0,-44,0,0
43,18,3,1,0,-44,0,0
44,18,3,1,0,-44,0,0
45,18,3,1,0,-44,0,0
46,18,3,1,0,-44,0,0
47,18,3,1,0,-44,0,0
48,18,3,1,0,-44,0,0
49,18,3,1,0,-44,0,0
50,18,3,1,0,-44,0,0
51,19,3,1,0,-44,0,0
52,19,3,1,0,-44,0,0
53,20,2,1,0,-44,0,0
54,20,2,1,0,-44,0,0
55,20,2,1,0,-44,0,0
56,20,2,1,0,-44,0,0
57,20,2,1,0,-44,0,0
58,20,2,1,0,-44,0,0
59,20,2,1,0,-44,0,0
60,21,2,1,0,-44,0,0
61,21,2,1,0,-44,0,0
62,23,2,1,0,-44,0,0
63,23,2,1,0,-44,0,0
64,24,2,1,0,-44,0,0
65,24,2,1,0,-44,0,0
66,24,2,1,0,-44,0,0
67,24,2,1,0,-44,0,0
68,24,2,1,0,-44,0,0
69,24,2,1,0,-44,0,0
70,24,2,1,0,-44,0,0
71,24,2,1,0,-44,0,0
72,24,2,1,0,-44,0,0
73,24,2,1,0,-44,0,0
74,24,2,1,0,-44,0,0
75,24,3,1,0,-44,0,0
76,24,3,1,0,-44,0,0
77,24,3,1,0,-44,0,0
78,24,3,1,0,-44,0,0
79,24,3,1,0,-44,0,0
80,25,4,1,0,-44,0,0
