t,x,y,fh,fv,r,s,frame:
0,2,201,0,0,2,-69,0
1,2,201,0,0,2,-69,0
2,2,201,0,0,2,-69,0
3,2,201,0,0,1,-69,0
4,2,201,0,0,0,-69,0
5,2,201,0,0,-1,-69,0
6,2,201,0,0,-2,-69,0
7,2,201,0,0,-3,-69,0
8,2,201,0,0,-3,-69,0
9,2,201,0,0,-2,-69,0
10,2,201,0,0,-1,-69,0
11,2,201,0,0,0,-69,0
12,2,201,0,0,1,-69,0
13,2,201,0,0,2,-69,0
14,2,201,0,0,2,-69,0
15,2,201,0,0,2,-69,0
16,2,201,0,0,2,-69,0
17,2,201,0,0,1,-69,0
18,2,201,0,0,0,-69,0
19,2,201,0,0,-1,-69,0
20,2,201,0,0,-2,-69,0
21,2,201,0,0,-2,-69,0
22,2,201,0,0,-2,-69,0
23,2,201,0,0,-1,-69,0
24,2,201,0,0,0,-69,0
25,2,201,0,0,1,-69,0
26,2,201,0,0,1,-69,0
27,2,201,0,0,1,-69,0
28,2,201,0,0,0,-69,0
29,2,201,0,0,-1,-69,0
30,2,201,0,0,-2,-69,0
31,2,201,0,0,-3,-69,0
32,2,201,0,0,-3,-69,0
33,2,201,0,0,-3,-69,0
34,2,201,0,0,-2,-69,0
35,2,201,0,0,-1,-69,0
36,2,201,0,0,0,-69,0
37,2,201,0,0,1,-69,0
38,2,201,0,0,1,-69,0
39,2,201,0,0,1,-69,0
40,2,201,0,0,0,-69,0
41,2,201,0,0,-1,-69,0
42,2,201,0,0,-2,-69,0
43,2,201,0,0,-3,-69,0
44,2,201,0,0,-3,-69,0
45,2,201,0,0,-2,-69,0
46,2,201,0,0,-1,-69,0
47,2,201,0,0,0,-69,0
48,2,201,0,0,1,-69,0
49,2,201,0,0,2,-69,0
50,2,201,0,0,2,-69,0
51,2,201,0,0,2,-69,0
52,2,201,0,0,1,-69,0
53,2,201,0,0,0,-69,0
