t,x,y,fh,fv,r,s,frame:
0,-20,153,0,0,0,-39,0
1,-20,153,0,0,1,-39,0
2,-20,153,0,0,2,-39,0
3,-20,153,0,0,3,-39,0
4,-20,153,0,0,4,-39,0
5,-20,153,0,0,5,-39,0
6,-20,153,0,0,5,-39,0
7,-20,153,0,0,4,-39,0
8,-20,153,0,0,3,-39,0
9,-20,153,0,0,2,-39,0
10,-20,153,0,0,1,-39,0
11,-20,153,0,0,0,-39,0
12,-20,153,0,0,0,-39,0
13,-20,153,0,0,1,-39,0
14,-20,153,0,0,2,-39,0
15,-20,153,0,0,3,-39,0
16,-20,153,0,0,4,-39,0
17,-20,153,0,0,5,-39,0
18,-20,153,0,0,5,-39,0
19,-20,153,0,0,5,-39,0
20,-20,153,0,0,4,-39,0
21,-20,153,0,0,3,-39,0
22,-20,153,0,0,2,-39,0
23,-20,153,0,0,1,-39,0
24,-20,153,0,0,2,-39,0
25,-20,153,0,0,3,-39,0
26,-20,153,0,0,4,-39,0
27,-20,153,0,0,5,-39,0
28,-20,153,0,0,6,-39,0
29,-20,153,0,0,6,-39,0
30,-20,153,0,0,5,-39,0
31,-20,153,0,0,4,-39,0
32,-20,153,0,0,3,-39,0
33,-20,153,0,0,2,-39,0
34,-20,153,0,0,1,-39,0
35,-20,153,0,0,0,-39,0
36,-20,153,0,0,1,-39,0
37,-20,153,0,0,2,-39,0
38,-20,153,0,0,3,-39,0
39,-20,153,0,0,4,-39,0
40,-20,153,0,0,5,-39,0
41,-20,153,0,0,5,-39,0
42,-20,153,0,0,4,-39,0
43,-20,153,0,0,3,-39,0
44,-20,153,0,0,2,-39,0
45,-20,153,0,0,1,-39,0
46,-20,153,0,0,0,-39,0
47,-20,153,0,0,-1,-39,0
48,-20,153,0,0,0,-39,0
49,-20,153,0,0,1,-39,0
50,-20,153,0,0,2,-39,0
51,-20,153,0,0,3,-39,0
52,-20,153,0,0,4,-39,0
53,-20,153,0,0,4,-39,0
54,-20,153,0,0,4,-39,0
55,-20,153,0,0,3,-39,0
56,-20,153,0,0,2,-39,0
57,-20,153,0,0,1,-39,0
58,-20,153,0,0,0,-39,0
59,-20,153,0,0,-1,-39,0
60,-20,153,0,0,0,-39,0
61,-20,153,0,0,1,-39,0
62,-20,153,0,0,2,-39,0
63,-20,153,0,0,3,-39,0
64,-20,153,0,0,4,-39,0
65,-20,153,0,0,4,-39,0
66,-20,153,0,0,4,-39,0
67,-20,153,0,0,3,-39,0
68,-20,153,0,0,2,-39,0
69,-20,153,0,0,1,-39,0
70,-20,153,0,0,0,-39,0
71,-20,153,0,0,-1,-39,0
72,-20,153,0,0,-1,-39,0
73,-20,153,0,0,0,-39,0
74,-20,153,0,0,1,-39,0
75,-20,153,0,0,2,-39,0
76,-20,153,0,0,3,-39,0
77,-20,153,0,0,3,-39,0
78,-20,153,0,0,2,-39,0
79,-20,153,0,0,1,-39,0
80,-20,153,0,0,0,-39,0
81,-20,153,0,0,-1,-39,0
82,-20,153,0,0,-2,-39,0
83,-20,153,0,0,-3,-39,0
84,-20,153,0,0,-2,-39,0
85,-20,153,0,0,-1,-39,0
86,-20,153,0,0,0,-39,0
87,-20,153,0,0,1,-39,0
88,-20,153,0,0,2,-39,0
89,-20,153,0,0,3,-39,0
90,-20,153,0,0,3,-39,0
91,-20,153,0,0,2,-39,0
92,-20,153,0,0,1,-39,0
93,-20,153,0,0,0,-39,0
94,-20,153,0,0,-1,-39,0
95,-20,153,0,0,-2,-39,0
96,-20,153,0,0,-3,-39,0
97,-20,153,0,0,-3,-39,0
98,-20,153,0,0,-2,-39,0
99,-20,153,0,0,-1,-39,0
100,-20,153,0,0,0,-39,0
101,-20,153,0,0,1,-39,0
102,-20,153,0,0,2,-39,0
103,-20,153,0,0,3,-39,0
104,-20,153,0,0,3,-39,0
105,-20,153,0,0,2,-39,0
106,-20,153,0,0,1,-39,0
107,-20,153,0,0,0,-39,0
108,-20,153,0,0,-1,-39,0
109,-20,153,0,0,-1,-39,0
110,-20,153,0,0,0,-39,0
111,-20,153,0,0,1,-39,0
112,-20,153,0,0,2,-39,0
113,-20,153,0,0,3,-39,0
114,-20,153,0,0,4,-39,0
115,-20,153,0,0,4,-39,0
116,-20,153,0,0,4,-39,0
117,-20,153,0,0,3,-39,0
118,-20,153,0,0,2,-39,0
119,-20,153,0,0,1,-39,0
120,-20,153,0,0,0,-39,0
121,-20,153,0,0,-1,-39,0
122,-20,153,0,0,-1,-39,0
123,-20,153,0,0,0,-39,0
124,-20,153,0,0,1,-39,0
125,-20,153,0,0,2,-39,0
126,-20,153,0,0,3,-39,0
127,-20,153,0,0,4,-39,0
128,-20,153,0,0,4,-39,0
129,-20,153,0,0,4,-39,0
130,-20,153,0,0,3,-39,0
131,-20,153,0,0,2,-39,0
132,-20,153,0,0,1,-39,0
133,-20,153,0,0,0,-39,0
134,-20,153,0,0,-1,-39,0
135,-20,153,0,0,-2,-39,0
136,-20,153,0,0,-2,-39,0
137,-20,153,0,0,-2,-39,0
138,-20,153,0,0,-2,-39,0
139,-20,153,0,0,-2,-39,0
140,-20,153,0,0,-2,-39,0
141,-20,153,0,0,-2,-39,0
142,-20,153,0,0,-2,-39,0
143,-20,153,0,0,-2,-39,0
144,-20,153,0,0,-2,-39,0
145,-20,153,0,0,-2,-39,0
146,-20,153,0,0,-2,-39,0
147,-20,153,0,0,-2,-39,0
