t,x,y,fh,fv,r,s,frame:
0,1,53,0,0,0,0,0
1,1,53,0,0,0,0,0
2,1,53,0,0,0,0,0
3,1,53,0,0,0,0,0
4,1,53,0,0,0,0,0
5,1,53,0,0,0,0,0
6,1,53,0,0,0,0,0
7,1,53,0,0,0,0,0
8,1,53,0,0,0,0,0
9,1,53,0,0,0,0,0
10,1,53,0,0,0,0,0
11,1,53,0,0,0,0,0
12,1,53,0,0,0,0,0
13,1,53,0,0,0,0,0
14,1,53,0,0,0,0,0
15,1,53,0,0,0,0,0
16,2,53,0,0,0,0,0
17,2,53,0,0,0,0,0
18,2,53,0,0,0,0,0
19,2,53,0,0,0,0,0
20,2,53,0,0,0,0,0
21,2,53,0,0,0,0,0
22,2,53,0,0,0,0,0
23,3,53,0,0,0,0,0
24,4,53,0,0,0,0,0
25,4,53,0,0,0,0,0
26,4,53,0,0,0,0,0
27,4,53,0,0,0,0,0
28,4,53,0,0,0,0,0
29,4,53,0,0,0,0,0
30,4,53,0,0,0,0,0
31,4,53,0,0,0,0,0
32,4,53,0,0,0,0,0
33,4,53,0,0,0,0,0
34,4,53,0,0,0,0,0
35,4,53,0,0,0,0,0
36,4,53,0,0,0,0,0
37,4,53,0,0,0,0,0
38,4,53,0,0,0,0,0
39,5,53,0,0,0,0,0
40,5,53,0,0,0,0,0
41,5,53,0,0,0,0,0
42,5,53,0,0,0,0,0
43,5,53,0,0,0,0,0
44,5,53,0,0,0,0,0
45,5,53,0,0,0,0,0
46,5,53,0,0,0,0,0
47,5,53,0,0,0,0,0
48,5,53,0,0,0,0,0
49,5,53,0,0,0,0,0
50,5,53,0,0,0,0,0
51,5,53,0,0,0,0,0
52,5,53,0,0,0,0,0
53,5,53,0,0,0,0,0
54,5,53,0,0,0,0,0
55,5,53,0,0,0,0,0
56,5,53,0,0,0,0,0
57,5,53,0,0,0,0,0
58,5,53,0,0,0,0,0
59,6,53,0,0,0,0,0
60,6,53,0,0,0,0,0
61,6,53,0,0,0,0,0
