t,x,y,fh,fv,r,s,frame:
0,-2,-3,0,0,0,0,0
1,-2,-3,0,0,0,0,0
2,-2,-3,0,0,0,0,0
3,-2,-3,0,0,0,0,0
4,-2,-3,0,0,0,0,0
5,-2,-3,0,0,0,0,0
6,-2,-3,0,0,0,0,0
7,-2,-3,0,0,0,0,0
8,-2,-3,0,0,0,0,0
9,-2,-3,0,0,0,0,0
10,-2,-3,0,0,0,0,0
11,-2,-3,0,0,0,0,0
12,-2,-3,0,0,0,0,0
13,-2,-3,0,0,0,0,0
14,-2,-3,0,0,0,0,0
15,-2,-3,0,0,0,0,0
16,-2,-3,0,0,0,0,0
17,-2,-3,0,0,0,0,0
18,-2,-3,0,0,0,0,0
19,-2,-3,0,0,0,0,0
20,-2,-3,0,0,0,0,0
21,-1,-3,0,0,0,0,0
22,-1,-3,0,0,0,0,0
23,-1,-3,0,0,0,0,0
24,-1,-3,0,0,0,0,0
25,-1,-3,0,0,0,0,0
26,-1,-3,0,0,0,0,0
27,-1,-3,0,0,0,0,0
28,-1,-3,0,0,0,0,0
29,-1,-3,0,0,0,0,0
30,-1,-3,0,0,0,0,0
31,-1,-3,0,0,0,0,0
32,-1,-3,0,0,0,0,0
33,-1,-3,0,0,0,0,0
34,-1,-3,0,0,0,0,0
35,-1,-3,0,0,0,0,0
36,-1,-3,0,0,0,0,0
37,-1,-3,0,0,0,0,0
38,-1,-3,0,0,0,0,0
39,-1,-3,0,0,0,0,0
40,-1,-3,0,0,0,0,0
41,-1,-3,0,0,0,0,0
42,0,-3,0,0,0,0,0
43,0,-3,0,0,0,0,0
44,0,-3,0,0,0,0,0
45,0,-3,0,0,0,0,0
46,0,-3,0,0,0,0,0
47,0,-3,0,0,0,0,0
48,0,-3,0,0,0,0,0
49,0,-3,0,0,0,0,0
50,0,-3,0,0,0,0,0
51,0,-3,0,0,0,0,0
52,0,-3,0,0,0,0,0
53,0,-3,0,0,0,0,0
54,0,-3,0,0,0,0,0
55,0,-3,0,0,0,0,0
56,0,-3,0,0,0,0,0
57,0,-3,0,0,0,0,0
58,1,-4,0,0,0,0,0
59,1,-4,0,0,0,0,0
60,1,-4,0,0,0,0,0
