t,x,y,fh,fv,r,s,frame:
0,1,-100,0,0,0,0,0
1,1,-100,0,0,0,0,0
2,1,-100,0,0,0,0,0
3,1,-100,0,0,0,0,0
4,1,-100,0,0,0,0,0
5,1,-100,0,0,0,0,0
6,1,-100,0,0,0,0,0
7,1,-100,0,0,0,0,0
8,1,-100,0,0,0,0,0
9,1,-100,0,0,0,0,0
10,1,-100,0,0,0,0,0
11,1,-100,0,0,0,0,0
12,1,-100,0,0,0,0,0
13,1,-100,0,0,0,0,0
14,1,-100,0,0,0,0,0
15,1,-100,0,0,0,0,0
16,1,-100,0,0,0,0,0
17,1,-100,0,0,0,0,0
18,1,-100,0,0,0,0,0
19,1,-100,0,0,0,0,0
20,1,-100,0,0,0,0,0
21,1,-100,0,0,0,0,0
22,1,-100,0,0,0,0,0
23,1,-100,0,0,0,0,0
24,1,-100,0,0,0,0,0
25,1,-100,0,0,0,0,0
26,1,-100,0,0,0,0,0
27,1,-100,0,0,0,0,0
28,1,-100,0,0,0,0,0
29,1,-100,0,0,0,0,0
30,1,-100,0,0,0,0,0
31,1,-100,0,0,0,0,0
32,1,-100,0,0,0,0,0
33,1,-100,0,0,0,0,0
34,1,-100,0,0,0,0,0
35,1,-100,0,0,0,0,0
36,1,-100,0,0,0,0,0
37,1,-100,0,0,0,0,0
38,1,-100,0,0,0,0,0
39,1,-100,0,0,0,0,0
40,1,-100,0,0,0,0,0
41,1,-100,0,0,0,0,0
42,1,-100,0,0,0,0,0
43,1,-100,0,0,0,0,0
44,1,-100,0,0,0,0,0
45,1,-100,0,0,0,0,0
46,1,-100,0,0,0,0,0
47,1,-100,0,0,0,0,0
48,1,-100,0,0,0,0,0
49,1,-100,0,0,0,0,0
50,1,-100,0,0,0,0,0
51,1,-100,0,0,0,0,0
52,2,-100,0,0,0,0,0
53,2,-100,0,0,0,0,0
54,2,-100,0,0,0,0,0
55,2,-100,0,0,0,0,0
56,2,-100,0,0,0,0,0
57,2,-100,0,0,0,0,0
58,2,-100,0,0,0,0,0
59,2,-100,0,0,0,0,0
60,2,-100,0,0,0,0,0
61,2,-100,0,0,0,0,0
62,2,-100,0,0,0,0,0
63,2,-100,0,0,0,0,0
64,3,-100,0,0,0,0,0
65,3,-100,0,0,0,0,0
66,3,-100,0,0,0,0,0
67,3,-100,0,0,0,0,0
68,3,-100,0,0,0,0,0
69,3,-100,0,0,0,0,0
70,3,-100,0,0,0,0,0
71,3,-100,0,0,0,0,0
72,3,-100,0,0,0,0,0
73,3,-100,0,0,0,0,0
74,3,-100,0,0,0,0,0
75,3,-100,0,0,0,0,0
76,3,-100,0,0,0,0,0
77,3,-100,0,0,0,0,0
78,3,-100,0,0,0,0,0
79,3,-100,0,0,0,0,0
80,3,-100,0,0,0,0,0
81,3,-100,0,0,0,0,0
82,3,-100,0,0,0,0,0
83,3,-100,0,0,0,0,0
84,3,-100,0,0,0,0,0
85,3,-100,0,0,0,0,0
86,3,-100,0,0,0,0,0
87,3,-100,0,0,0,0,0
88,4,-100,0,0,0,0,0
89,4,-100,0,0,0,0,0
90,4,-100,0,0,0,0,0
91,4,-101,0,0,0,0,0
92,5,-101,0,0,0,0,0
93,5,-101,0,0,0,0,0
94,5,-101,0,0,0,0,0
95,5,-101,0,0,0,0,0
96,5,-101,0,0,0,0,0
97,5,-101,0,0,0,0,0
98,5,-101,0,0,0,0,0
99,5,-101,0,0,0,0,0
100,5,-101,0,0,0,0,0
101,5,-101,0,0,0,0,0
102,5,-101,0,0,0,0,0
103,5,-101,0,0,0,0,0
104,5,-101,0,0,0,0,0
105,5,-101,0,0,0,0,0
106,5,-101,0,0,0,0,0
107,5,-101,0,0,0,0,0
108,5,-101,0,0,0,0,0
109,5,-101,0,0,0,0,0
110,5,-101,0,0,0,0,0
111,5,-101,0,0,0,0,0
112,5,-101,0,0,0,0,0
113,5,-101,0,0,0,0,0
114,5,-101,0,0,0,0,0
115,5,-101,0,0,0,0,0
116,5,-101,0,0,0,0,0
117,5,-101,0,0,0,0,0
118,5,-101,0,0,0,0,0
119,5,-101,0,0,0,0,0
120,5,-101,0,0,0,0,0
121,5,-101,0,0,0,0,0
122,5,-101,0,0,0,0,0
123,5,-101,0,0,0,0,0
124,6,-101,0,0,0,0,0
125,6,-101,0,0,0,0,0
126,6,-101,0,0,0,0,0
127,6,-101,0,0,0,0,0
128,7,-101,0,0,0,0,0
129,7,-101,0,0,0,0,0
130,7,-101,0,0,0,0,0
131,7,-101,0,0,0,0,0
132,7,-101,0,0,0,0,0
133,7,-101,0,0,0,0,0
134,7,-101,0,0,0,0,0
135,7,-101,0,0,0,0,0
136,7,-101,0,0,0,0,0
137,7,-101,0,0,0,0,0
138,7,-101,0,0,0,0,0
139,7,-101,0,0,0,0,0
140,7,-101,0,0,0,0,0
141,7,-101,0,0,0,0,0
142,7,-101,0,0,0,0,0
143,7,-101,0,0,0,0,0
144,7,-102,0,0,0,0,0
145,7,-102,0,0,0,0,0
146,7,-102,0,0,0,0,0
147,7,-102,0,0,0,0,0
148,7,-102,0,0,0,0,0
149,7,-102,0,0,0,0,0
150,7,-102,0,0,0,0,0
151,7,-102,0,0,0,0,0
152,7,-102,0,0,0,0,0
153,7,-102,0,0,0,0,0
154,7,-102,0,0,0,0,0
155,7,-102,0,0,0,0,0
156,7,-102,0,0,0,0,0
157,7,-102,0,0,0,0,0
158,7,-102,0,0,0,0,0
159,7,-102,0,0,0,0,0
160,7,-102,0,0,0,0,0
161,7,-102,0,0,0,0,0
162,7,-102,0,0,0,0,0
163,7,-102,0,0,0,0,0
164,7,-102,0,0,0,0,0
165,7,-102,0,0,0,0,0
166,7,-102,0,0,0,0,0
167,7,-102,0,0,0,0,0
168,7,-102,0,0,0,0,0
169,7,-102,0,0,0,0,0
170,7,-102,0,0,0,0,0
171,7,-102,0,0,0,0,0
172,7,-102,0,0,0,0,0
173,7,-102,0,0,0,0,0
174,7,-102,0,0,0,0,0
175,7,-102,0,0,0,0,0
176,7,-102,0,0,0,0,0
177,7,-102,0,0,0,0,0
178,7,-102,0,0,0,0,0
179,7,-102,0,0,0,0,0
180,7,-102,0,0,0,0,0
181,7,-102,0,0,0,0,0
182,7,-102,0,0,0,0,0
183,7,-102,0,0,0,0,0
184,7,-102,0,0,0,0,0
185,7,-102,0,0,0,0,0
186,7,-102,0,0,0,0,0
187,7,-102,0,0,0,0,0
188,7,-102,0,0,0,0,0
189,7,-102,0,0,0,0,0
190,7,-102,0,0,0,0,0
191,7,-102,0,0,0,0,0
192,7,-102,0,0,0,0,0
193,7,-102,0,0,0,0,0
194,7,-102,0,0,0,0,0
195,7,-102,0,0,0,0,0
196,7,-102,0,0,0,0,0
197,7,-102,0,0,0,0,0
198,7,-102,0,0,0,0,0
199,7,-102,0,0,0,0,0
200,7,-102,0,0,0,0,0
201,7,-102,0,0,0,0,0
202,7,-102,0,0,0,0,0
203,7,-102,0,0,0,0,0
204,7,-102,0,0,0,0,0
205,7,-102,0,0,0,0,0
206,7,-102,0,0,0,0,0
207,7,-102,0,0,0,0,0
208,7,-102,0,0,0,0,0
209,7,-102,0,0,0,0,0
210,7,-102,0,0,0,0,0
211,7,-102,0,0,0,0,0
212,7,-102,0,0,0,0,0
213,7,-102,0,0,0,0,0
214,7,-102,0,0,0,0,0
215,7,-102,0,0,0,0,0
216,7,-102,0,0,0,0,0
217,7,-102,0,0,0,0,0
218,7,-102,0,0,0,0,0
219,7,-102,0,0,0,0,0
220,7,-102,0,0,0,0,0
221,7,-102,0,0,0,0,0
222,7,-102,0,0,0,0,0
223,7,-102,0,0,0,0,0
224,7,-102,0,0,0,0,0
225,7,-102,0,0,0,0,0
226,7,-102,0,0,0,0,0
227,7,-102,0,0,0,0,0
228,7,-102,0,0,0,0,0
229,7,-102,0,0,0,0,0
230,7,-102,0,0,0,0,0
231,7,-102,0,0,0,0,0
232,7,-102,0,0,0,0,0
233,7,-102,0,0,0,0,0
234,7,-102,0,0,0,0,0
235,7,-102,0,0,0,0,0
236,7,-102,0,0,0,0,0
237,7,-102,0,0,0,0,0
238,7,-102,0,0,0,0,0
239,7,-102,0,0,0,0,0
240,7,-102,0,0,0,0,0
241,7,-102,0,0,0,0,0
242,7,-102,0,0,0,0,0
243,7,-102,0,0,0,0,0
244,7,-102,0,0,0,0,0
245,7,-102,0,0,0,0,0
246,7,-102,0,0,0,0,0
247,7,-102,0,0,0,0,0
248,7,-102,0,0,0,0,0
249,7,-102,0,0,0,0,0
250,7,-102,0,0,0,0,0
251,7,-102,0,0,0,0,0
