t,x,y,fh,fv,r,s,frame:
0,11,206,0,0,0,0,0
1,11,206,0,0,0,0,0
2,11,206,0,0,0,0,0
3,11,206,0,0,0,0,0
4,11,206,0,0,0,0,0
5,11,206,0,0,0,0,0
6,11,206,0,0,0,0,0
7,11,206,0,0,0,0,0
8,11,206,0,0,0,0,0
9,11,206,0,0,0,0,0
10,11,206,0,0,0,0,0
11,11,206,0,0,0,0,0
12,11,206,0,0,0,0,0
13,11,206,0,0,0,0,0
14,11,206,0,0,0,0,0
15,11,206,0,0,0,0,0
16,11,206,0,0,0,0,0
17,11,206,0,0,0,0,0
18,11,206,0,0,0,0,0
19,11,206,0,0,0,0,0
20,11,206,0,0,0,0,0
21,11,206,0,0,0,0,0
22,11,206,0,0,0,0,0
23,11,206,0,0,0,0,0
24,11,206,0,0,0,0,1
25,11,206,0,0,0,0,1
26,11,206,0,0,0,0,1
27,11,206,0,0,0,0,1
28,11,206,0,0,0,0,1
29,11,206,0,0,0,0,1
30,11,206,0,0,0,0,1
31,11,206,0,0,0,0,1
32,11,206,0,0,0,0,1
33,11,206,0,0,0,0,1
34,11,206,0,0,0,0,1
35,11,206,0,0,0,0,1
36,11,206,0,0,0,0,1
37,11,206,0,0,0,0,1
38,11,206,0,0,0,0,1
39,11,206,0,0,0,0,1
40,11,206,0,0,0,0,1
41,11,206,0,0,0,0,1
42,11,206,0,0,0,0,1
43,11,206,0,0,0,0,1
44,11,206,0,0,0,0,1
45,11,206,0,0,0,0,1
46,11,206,0,0,0,0,1
47,11,206,0,0,0,0,1
48,11,206,0,0,0,0,1
49,11,206,0,0,0,0,1
50,11,206,0,0,0,0,1
51,11,206,0,0,0,0,1
52,11,206,0,0,0,0,1
53,11,206,0,0,0,0,1
54,11,206,0,0,0,0,1
55,11,206,0,0,0,0,1
56,11,206,0,0,0,0,1
57,11,206,0,0,0,0,1
58,11,206,0,0,0,0,1
59,11,206,0,0,0,0,1
60,11,206,0,0,0,0,1
61,11,206,0,0,0,0,1
62,11,206,0,0,0,0,1
63,11,206,0,0,0,0,1
64,11,206,0,0,0,0,1
65,11,206,0,0,0,0,1
66,11,206,0,0,0,0,0
67,11,206,0,0,0,0,0
68,11,206,0,0,0,0,0
69,11,206,0,0,0,0,0
70,11,206,0,0,0,0,0
71,11,206,0,0,0,0,0
72,11,206,0,0,0,0,0
73,11,206,0,0,0,0,0
74,11,206,0,0,0,0,0
75,11,206,0,0,0,0,0
76,11,206,0,0,0,0,0
77,11,206,0,0,0,0,0
78,11,206,0,0,0,0,0
79,11,206,0,0,0,0,0
80,11,206,0,0,0,0,0
81,11,206,0,0,0,0,0
82,11,206,0,0,0,0,0
83,11,206,0,0,0,0,0
84,11,206,0,0,0,0,0
85,11,206,0,0,0,0,0
86,11,206,0,0,0,0,0
87,11,206,0,0,0,0,0
88,11,206,0,0,0,0,0
89,11,206,0,0,0,0,0
90,11,206,0,0,0,0,0
91,11,206,0,0,0,0,0
92,11,206,0,0,0,0,0
93,11,206,0,0,0,0,0
94,11,206,0,0,0,0,0
95,11,206,0,0,0,0,0
96,11,206,0,0,0,0,0
97,11,206,0,0,0,0,0
98,11,206,0,0,0,0,0
99,11,206,0,0,0,0,0
100,11,206,0,0,0,0,0
101,11,206,0,0,0,0,0
102,11,206,0,0,0,0,0
103,11,206,0,0,0,0,0
104,11,206,0,0,0,0,0
105,11,206,0,0,0,0,1
106,11,206,0,0,0,0,1
107,11,206,0,0,0,0,1
108,11,206,0,0,0,0,1
109,11,206,0,0,0,0,1
110,11,206,0,0,0,0,1
111,11,206,0,0,0,0,1
112,11,206,0,0,0,0,1
113,11,206,0,0,0,0,1
114,11,206,0,0,0,0,1
115,11,206,0,0,0,0,1
116,11,206,0,0,0,0,1
117,11,206,0,0,0,0,1
118,11,206,0,0,0,0,1
119,11,206,0,0,0,0,1
120,11,206,0,0,0,0,1
121,11,206,0,0,0,0,1
122,11,206,0,0,0,0,1
123,11,206,0,0,0,0,1
124,11,206,0,0,0,0,1
125,11,206,0,0,0,0,1
126,11,206,0,0,0,0,1
127,11,206,0,0,0,0,1
128,11,206,0,0,0,0,1
129,11,206,0,0,0,0,1
130,11,206,0,0,0,0,1
131,11,206,0,0,0,0,1
132,11,206,0,0,0,0,1
133,11,206,0,0,0,0,1
134,11,206,0,0,0,0,1
135,11,206,0,0,0,0,1
136,11,206,0,0,0,0,1
137,11,206,0,0,0,0,1
138,11,206,0,0,0,0,1
139,11,206,0,0,0,0,1
140,11,206,0,0,0,0,1
141,11,206,0,0,0,0,1
142,11,206,0,0,0,0,1
143,11,206,0,0,0,0,1
144,11,206,0,0,0,0,1
