t,x,y,fh,fv,r,s,frame:
0,-7,-3,0,0,0,0,0
1,-7,-3,0,0,0,0,0
2,-7,-3,0,0,0,0,0
3,-7,-3,0,0,0,0,0
4,-7,-3,0,0,0,0,0
5,-6,-3,0,0,0,0,0
6,-6,-3,0,0,0,0,0
7,-6,-2,0,0,0,0,0
8,-4,0,0,0,0,0,0
9,-2,2,0,0,0,0,0
10,0,3,0,0,0,0,0
11,2,5,0,0,0,0,0
12,3,6,0,0,0,0,0
13,5,8,0,0,0,0,0
14,6,8,0,0,0,0,0
15,6,9,0,0,0,0,0
16,6,9,0,0,0,0,0
17,6,9,0,0,0,0,0
18,6,9,0,0,0,0,0
19,6,9,0,0,0,0,0
20,6,9,0,0,0,0,0
21,6,9,0,0,0,0,0
22,6,9,0,0,0,0,0
23,6,9,0,0,0,0,0
24,6,9,0,0,0,0,0
25,6,7,0,0,0,0,0
26,6,4,0,0,0,0,0
27,6,0,0,0,0,0,0
28,6,-5,0,0,0,0,0
29,5,-7,0,0,0,0,0
30,5,-7,0,0,0,0,0
31,5,-7,0,0,0,0,0
32,5,-7,0,0,0,0,0
33,5,-7,0,0,0,0,0
34,5,-7,0,0,0,0,0
35,5,-7,0,0,0,0,0
36,5,-7,0,0,0,0,0
37,5,-7,0,0,0,0,0
38,5,-7,0,0,0,0,0
39,5,-7,0,0,0,0,0
40,5,-7,0,0,0,0,0
41,5,-7,0,0,0,0,0
42,5,-7,0,0,0,0,0
43,6,-4,0,0,0,0,1
44,6,-4,0,0,0,0,1
45,6,-4,0,0,0,0,1
46,6,-4,0,0,0,0,1
47,7,-4,0,0,0,0,1
48,7,-3,0,0,0,0,1
49,8,-2,0,0,0,0,1
50,8,-2,0,0,0,0,1
51,8,-1,0,0,0,0,1
52,8,0,0,0,0,0,1
53,8,0,0,0,0,0,1
54,8,0,0,0,0,0,1
55,8,0,0,0,0,0,1
56,8,0,0,0,0,0,1
57,8,0,0,0,0,0,1
58,8,0,0,0,0,0,1
59,8,0,0,0,0,0,1
60,8,0,0,0,0,0,1
61,8,0,0,0,0,0,1
62,8,0,0,0,0,0,1
63,8,0,0,0,0,0,1
64,8,0,0,0,0,0,1
65,8,-1,0,0,0,0,1
66,8,-3,0,0,0,0,1
67,5,-7,0,0,0,0,1
68,4,-9,0,0,0,0,1
69,3,-10,0,0,0,0,1
70,3,-10,0,0,0,0,1
71,3,-10,0,0,0,0,1
72,3,-10,0,0,0,0,0
73,3,-10,0,0,0,0,0
74,3,-10,0,0,0,0,0
75,3,-10,0,0,0,0,0
76,3,-9,0,0,0,0,0
77,3,-7,0,0,0,0,0
78,3,-4,0,0,0,0,0
79,3,-3,0,0,0,0,0
80,3,-1,0,0,0,0,0
81,4,1,0,0,0,0,0
82,5,2,0,0,0,0,0
83,5,3,0,0,0,0,0
84,5,4,0,0,0,0,0
85,5,4,0,0,0,0,0
86,5,4,0,0,0,0,0
87,5,4,0,0,0,0,0
88,5,4,0,0,0,0,0
89,5,4,0,0,0,0,0
90,5,4,0,0,0,0,0
91,5,2,0,0,0,0,0
92,4,0,0,0,0,0,0
93,3,-3,0,0,0,0,0
94,3,-4,0,0,0,0,0
95,3,-4,0,0,0,0,0
96,3,-5,0,0,0,0,1
97,3,-5,0,0,0,0,1
98,3,-5,0,0,0,0,1
99,3,-5,0,0,0,0,1
100,3,-4,0,0,0,0,1
101,4,-2,0,0,0,0,1
102,5,1,0,0,0,0,1
103,7,4,0,0,0,0,1
104,8,8,0,0,0,0,1
105,9,9,0,0,0,0,1
106,9,9,0,0,0,0,1
107,9,9,0,0,0,0,1
108,9,9,0,0,0,0,1
109,9,9,0,0,0,0,1
110,9,9,0,0,0,0,1
111,9,9,0,0,0,0,1
112,9,9,0,0,0,0,1
113,9,8,0,0,0,0,1
114,8,7,0,0,0,0,1
115,8,6,0,0,0,0,1
116,8,5,0,0,0,0,1
117,7,4,0,0,0,0,1
118,7,4,0,0,0,0,1
119,7,4,0,0,0,0,0
120,7,4,0,0,0,0,0
121,7,5,0,0,0,0,0
122,8,7,0,0,0,0,0
123,8,8,0,0,0,0,0
124,9,10,0,0,0,0,0
125,9,10,0,0,0,0,0
126,9,10,0,0,0,0,0
127,9,11,0,0,0,0,0
128,10,11,0,0,0,0,0
129,10,11,0,0,0,0,0
130,10,11,0,0,0,0,0
131,10,11,0,0,0,0,0
132,10,11,0,0,0,0,0
133,10,11,0,0,0,0,0
134,10,11,0,0,0,0,0
135,10,11,0,0,0,0,0
136,10,11,0,0,0,0,0
137,10,10,0,0,0,0,0
138,10,10,0,0,0,0,0
139,10,9,0,0,0,0,0
140,10,9,0,0,0,0,0
141,10,8,0,0,0,0,0
142,10,8,0,0,0,0,0
143,10,8,0,0,0,0,0
144,10,8,0,0,0,0,0
145,10,7,0,0,0,0,0
146,10,7,0,0,0,0,0
147,9,7,0,0,0,0,0
148,9,7,0,0,0,0,0
149,8,6,0,0,0,0,0
150,8,6,0,0,0,0,0
151,8,5,0,0,0,0,0
152,8,5,0,0,0,0,0
153,8,4,0,0,0,0,0
154,8,4,0,0,0,0,0
155,8,4,0,0,0,0,0
156,8,4,0,0,0,0,0
157,8,4,0,0,0,0,0
158,8,4,0,0,0,0,0
159,8,4,0,0,0,0,0
160,8,4,0,0,0,0,0
161,8,4,0,0,0,0,0
162,8,4,0,0,0,0,0
163,7,3,0,0,0,0,0
164,7,3,0,0,0,0,0
165,7,3,0,0,0,0,0
166,7,3,0,0,0,0,0
167,7,3,0,0,0,0,0
168,7,3,0,0,0,0,0
169,7,2,0,0,0,0,0
170,7,2,0,0,0,0,0
171,7,2,0,0,0,0,0
172,7,2,0,0,0,0,0
173,7,2,0,0,0,0,0
174,7,2,0,0,0,0,0
175,7,2,0,0,0,0,0
176,7,1,0,0,0,0,0
177,7,1,0,0,0,0,0
178,7,1,0,0,0,0,0
179,7,0,0,0,0,0,0
180,6,0,0,0,0,0,0
181,6,-3,0,0,0,0,0
182,6,-3,0,0,0,0,0
183,6,-3,0,0,0,0,0
184,6,-3,0,0,0,0,0
185,6,-2,0,0,0,0,0
186,6,-1,0,0,0,0,0
187,6,0,0,0,0,0,0
188,7,1,0,0,0,0,0
189,7,2,0,0,0,0,0
190,7,3,0,0,0,0,0
191,7,4,0,0,0,0,0
192,8,5,0,0,0,0,0
193,8,5,0,0,0,0,0
194,8,6,0,0,0,0,0
195,8,7,0,0,0,0,0
196,8,8,0,0,0,0,0
197,8,8,0,0,0,0,0
198,8,8,0,0,0,0,0
199,8,8,0,0,0,0,0
200,8,8,0,0,0,0,0
201,8,8,0,0,0,0,0
202,8,8,0,0,0,0,0
203,8,8,0,0,0,0,0
204,8,8,0,0,0,0,1
205,8,8,0,0,0,0,1
206,9,8,0,0,0,0,1
207,9,8,0,0,0,0,1
208,9,8,0,0,0,0,1
209,9,8,0,0,0,0,1
210,9,8,0,0,0,0,1
211,10,7,0,0,0,0,1
212,10,6,0,0,0,0,1
213,10,6,0,0,0,0,1
214,10,6,0,0,0,0,1
215,10,6,0,0,0,0,1
216,10,7,0,0,0,0,1
217,10,7,0,0,0,0,1
218,10,10,0,0,0,0,1
219,10,12,0,0,0,0,1
220,11,15,0,0,0,0,1
221,12,19,0,0,0,0,1
222,13,21,0,0,0,0,1
223,14,23,0,0,0,0,1
224,14,23,0,0,0,0,1
225,14,23,0,0,0,0,1
226,14,23,0,0,0,0,1
227,14,23,0,0,0,0,1
228,14,23,0,0,0,0,1
229,14,23,0,0,0,0,1
230,14,23,0,0,0,0,1
231,14,23,0,0,0,0,1
232,14,23,0,0,0,0,1
233,14,20,0,0,0,0,1
234,14,18,0,0,0,0,1
235,13,16,0,0,0,0,1
236,13,14,0,0,0,0,1
237,13,13,0,0,0,0,1
238,13,11,0,0,0,0,1
239,12,9,0,0,0,0,1
240,12,8,0,0,0,0,1
241,12,7,0,0,0,0,1
242,12,6,0,0,0,0,1
243,12,5,0,0,0,0,1
244,11,4,0,0,0,0,1
245,11,4,0,0,0,0,1
246,11,3,0,0,0,0,1
247,11,3,0,0,0,0,1
248,11,3,0,0,0,0,1
249,11,3,0,0,0,0,1
250,11,4,0,0,0,0,1
251,11,7,0,0,0,0,1
252,11,8,0,0,0,0,1
253,12,11,0,0,0,0,1
254,12,14,0,0,0,0,1
255,12,16,0,0,0,0,1
256,13,18,0,0,0,0,1
257,13,18,0,0,0,0,1
258,13,18,0,0,0,0,1
259,13,18,0,0,0,0,1
260,13,18,0,0,0,0,1
261,13,18,0,0,0,0,1
262,13,18,0,0,0,0,1
263,13,18,0,0,0,0,1
264,13,17,0,0,0,0,1
265,13,15,0,0,0,0,1
266,12,13,0,0,0,0,1
267,12,10,0,0,0,0,1
268,12,8,0,0,0,0,1
269,11,7,0,0,0,0,1
270,11,5,0,0,0,0,1
271,10,4,0,0,0,0,1
272,10,3,0,0,0,0,1
273,10,2,0,0,0,0,1
274,9,2,0,0,0,0,1
