t,x,y,fh,fv,r,s,frame:
0,-2,3,0,0,0,0,0
1,-2,3,0,0,0,0,0
2,-2,3,0,0,0,0,0
3,-2,3,0,0,0,0,0
4,-2,3,0,0,0,0,0
5,-2,2,0,0,0,0,0
6,-1,1,0,0,0,0,0
7,0,1,0,0,0,1,0
8,1,-2,0,0,0,2,0
9,2,-4,0,0,0,3,0
10,3,-6,0,0,0,4,0
11,5,-7,0,0,0,5,0
12,6,-8,0,0,0,6,0
13,7,-9,0,0,0,7,0
14,9,-10,0,0,0,8,0
15,11,-11,0,0,0,9,0
16,14,-13,0,0,0,10,0
17,18,-15,0,0,0,11,0
18,23,-17,0,0,0,12,0
19,28,-19,0,0,0,13,0
20,35,-21,0,0,0,14,0
21,41,-23,0,0,0,15,0
22,47,-25,0,0,0,16,0
23,52,-26,0,0,0,17,0
24,59,-27,0,0,0,18,0
25,62,-27,0,0,0,19,0
26,65,-28,0,0,0,20,0
27,69,-29,0,0,0,21,0
28,71,-29,0,0,0,22,0
29,72,-29,0,0,0,23,0
30,74,-28,0,0,0,24,0
31,78,-25,0,0,0,25,0
32,81,-22,0,0,0,26,0
33,84,-20,0,0,0,27,0
34,86,-18,0,0,0,28,0
35,87,-18,0,0,0,29,0
36,87,-18,0,0,0,30,0
37,87,-18,0,0,0,31,0
38,87,-18,0,0,0,32,0
39,87,-18,0,0,0,33,0
40,87,-18,0,0,0,34,0
41,87,-18,0,0,0,35,0
42,87,-18,0,0,0,36,0
43,87,-18,0,0,0,37,0
44,87,-18,0,0,0,38,0
45,87,-17,0,0,0,38,0
46,87,-17,0,0,0,38,0
47,87,-17,0,0,0,38,0
48,87,-17,0,0,0,38,0
49,87,-17,0,0,0,38,0
50,87,-17,0,0,0,38,0
51,91,-17,0,0,0,38,0
52,95,-16,0,0,0,38,0
53,99,-15,0,0,0,39,0
54,106,-12,0,0,0,40,0
55,110,-9,0,0,0,41,0
56,115,-6,0,0,0,42,0
57,119,-2,0,0,0,43,0
58,125,3,0,0,0,44,0
59,129,7,0,0,0,45,0
60,133,11,0,0,0,46,0
61,137,15,0,0,0,47,0
62,140,19,0,0,0,48,0
63,144,23,0,0,0,49,0
