t,x,y,fh,fv,r,s,frame:
0,331,110,0,0,0,-29,0
1,331,110,0,0,0,-29,0
2,331,110,0,0,0,-29,0
3,331,110,0,0,0,-29,0
4,331,110,0,0,0,-29,0
5,331,110,0,0,0,-29,0
6,331,110,0,0,0,-29,0
7,331,110,0,0,0,-29,0
8,333,110,0,0,0,-29,0
9,339,111,0,0,0,-29,0
10,342,112,0,0,0,-29,0
11,343,112,0,0,0,-29,0
12,344,112,0,0,0,-29,0
13,344,112,0,0,0,-29,0
14,345,113,0,0,0,-29,0
15,349,114,0,0,0,-29,0
16,351,114,0,0,0,-29,0
17,352,114,0,0,0,-29,0
18,353,114,0,0,0,-29,0
19,353,114,0,0,0,-29,0
20,353,114,0,0,0,-29,0
21,353,114,0,0,0,-29,0
22,353,114,0,0,0,-29,0
23,353,114,0,0,0,-29,0
24,353,114,0,0,0,-29,0
25,353,114,0,0,0,-29,0
26,353,114,0,0,0,-29,0
27,353,114,0,0,0,-29,0
28,352,114,0,0,0,-29,0
29,352,114,0,0,0,-29,0
30,352,114,0,0,0,-29,0
31,352,114,0,0,0,-29,0
32,352,114,0,0,0,-29,0
33,352,114,0,0,0,-29,0
34,352,114,0,0,-1,-29,0
35,351,114,0,0,-2,-29,0
36,351,114,0,0,-3,-29,0
37,351,114,0,0,-4,-29,0
38,351,114,0,0,-5,-29,0
39,351,114,0,0,-6,-29,0
40,351,114,0,0,-7,-29,0
41,351,114,0,0,-8,-29,0
42,351,114,0,0,-9,-29,0
43,350,114,0,0,-10,-29,0
44,349,114,0,0,-11,-29,0
45,349,114,0,0,-12,-29,0
46,349,114,0,0,-13,-29,0
47,349,114,0,0,-14,-29,0
48,349,114,0,0,-15,-29,0
49,349,114,0,0,-16,-29,0
50,349,114,0,0,-17,-29,0
51,349,114,0,0,-18,-29,0
52,349,114,0,0,-19,-29,0
53,349,114,0,0,-20,-29,0
54,349,114,0,0,-21,-29,0
55,349,114,0,0,-22,-29,0
56,349,114,0,0,-23,-29,0
57,349,115,0,0,-24,-29,0
58,349,116,0,0,-25,-29,0
59,350,118,0,0,-26,-29,0
60,350,120,0,0,-27,-29,0
61,352,121,0,0,-28,-29,0
62,353,123,0,0,-29,-29,0
