t,x,y,fh,fv,r,s,frame:
0,425,112,0,0,0,-28,1
1,425,112,0,0,0,-28,1
2,425,112,0,0,0,-28,1
3,425,112,0,0,0,-28,1
4,425,112,0,0,0,-28,1
5,425,112,0,0,0,-28,1
6,424,112,0,0,0,-28,1
7,424,112,0,0,0,-28,1
8,423,112,0,0,0,-28,1
9,421,112,0,0,0,-28,1
10,420,112,0,0,0,-28,1
11,418,112,0,0,0,-28,1
12,414,113,0,0,0,-28,1
13,412,113,0,0,0,-28,1
14,409,113,0,0,0,-28,1
15,407,113,0,0,0,-28,1
16,405,114,0,0,0,-28,1
17,403,114,0,0,0,-28,1
18,399,114,0,0,0,-28,1
19,395,114,0,0,0,-28,1
20,391,114,0,0,0,-28,1
21,386,114,0,0,0,-28,1
22,381,115,0,0,0,-28,1
23,376,115,0,0,0,-28,1
24,370,115,0,0,0,-28,1
25,364,115,0,0,0,-28,1
26,357,115,0,0,0,-28,1
27,350,115,0,0,0,-28,1
28,344,115,0,0,0,-28,1
29,335,115,0,0,0,-28,1
30,327,115,0,0,0,-28,1
31,319,115,0,0,0,-28,1
32,309,115,0,0,0,-28,1
33,299,115,0,0,0,-28,1
34,288,115,0,0,0,-28,1
35,274,115,0,0,0,-28,1
36,262,115,0,0,0,-28,1
37,250,115,0,0,0,-28,1
38,240,115,0,0,0,-28,1
39,230,115,0,0,0,-28,1
40,220,115,0,0,0,-28,1
41,211,115,0,0,0,-28,1
42,202,115,0,0,0,-28,1
43,193,115,0,0,0,-28,1
44,185,115,0,0,0,-28,1
45,178,115,0,0,0,-28,1
46,163,115,0,0,0,-28,1
47,152,115,0,0,0,-28,1
48,147,115,0,0,0,-28,1
49,139,115,0,0,0,-28,1
50,126,115,0,0,0,-28,1
51,112,115,0,0,0,-28,1
52,104,115,0,0,0,-28,1
53,96,115,0,0,0,-28,1
54,88,115,0,0,0,-28,1
55,81,115,0,0,0,-28,1
56,77,115,0,0,0,-28,1
57,71,115,0,0,0,-28,1
58,67,115,0,0,0,-28,1
59,62,115,0,0,0,-28,1
60,59,116,0,0,0,-28,1
61,56,116,0,0,0,-28,1
62,53,116,0,0,0,-28,1
63,52,116,0,0,0,-28,1
64,50,116,0,0,0,-28,1
65,48,116,0,0,0,-28,1
66,47,116,0,0,0,-28,1
67,47,116,0,0,0,-28,1
68,47,116,0,0,0,-28,1
69,47,116,0,0,0,-28,1
70,47,116,0,0,0,-28,1
71,47,116,0,0,0,-28,1
72,47,116,0,0,0,-28,1
73,47,116,0,0,0,-28,1
74,47,116,0,0,0,-28,1
75,47,116,0,0,0,-28,1
76,47,116,0,0,0,-28,1
77,47,116,0,0,0,-28,1
78,47,116,0,0,0,-28,1
79,47,116,0,0,0,-28,1
80,47,116,0,0,0,-28,1
81,47,116,0,0,0,-28,1
82,47,116,0,0,0,-28,1
83,47,116,0,0,0,-28,1
84,47,116,0,0,0,-28,1
85,47,116,0,0,0,-28,1
86,47,116,0,0,0,-28,1
87,47,116,0,0,0,-28,1
