t,x,y,fh,fv,r,s,frame:
0,-426,4,0,0,0,-46,0
1,-426,4,0,0,0,-46,0
2,-426,4,0,0,0,-46,0
3,-426,4,0,0,0,-46,0
4,-426,4,0,0,0,-46,0
5,-426,4,0,0,0,-46,0
6,-426,4,0,0,0,-46,0
7,-426,4,0,0,0,-46,0
8,-426,4,0,0,0,-46,0
9,-427,4,0,0,0,-46,0
10,-427,4,0,0,0,-46,0
11,-428,4,0,0,0,-46,0
12,-429,4,0,0,0,-46,0
13,-430,4,0,0,0,-46,0
14,-430,4,0,0,0,-46,0
15,-430,4,0,0,0,-46,0
16,-431,4,0,0,0,-46,0
17,-431,4,0,0,0,-46,0
18,-431,4,0,0,0,-46,0
19,-431,4,0,0,0,-46,0
20,-431,4,0,0,0,-46,0
21,-432,4,0,0,0,-46,0
22,-432,4,0,0,0,-46,0
23,-433,4,0,0,0,-46,0
24,-433,4,0,0,0,-46,0
25,-433,5,0,0,0,-46,0
26,-433,6,0,0,0,-46,0
27,-433,6,0,0,0,-46,0
28,-433,6,0,0,0,-46,0
29,-433,6,0,0,0,-46,0
30,-434,6,0,0,0,-46,0
31,-434,6,0,0,0,-46,0
32,-434,6,0,0,0,-46,0
33,-434,6,0,0,0,-46,0
34,-434,6,0,0,0,-46,0
35,-434,6,0,0,0,-46,0
36,-434,6,0,0,0,-46,0
37,-434,6,0,0,0,-46,0
38,-434,6,0,0,0,-46,0
39,-434,6,0,0,0,-46,0
40,-434,6,0,0,0,-46,0
41,-435,6,0,0,0,-46,0
42,-435,6,0,0,0,-46,0
43,-435,6,0,0,0,-46,0
44,-435,7,0,0,0,-46,0
45,-436,7,0,0,0,-46,0
46,-436,7,0,0,0,-46,0
47,-437,7,0,0,0,-46,0
48,-437,7,0,0,0,-46,0
49,-437,7,0,0,0,-46,0
50,-437,7,0,0,0,-46,0
51,-437,7,0,0,0,-46,0
52,-437,7,0,0,0,-46,0
53,-437,7,0,0,0,-46,0
54,-437,7,0,0,0,-46,0
55,-437,7,0,0,0,-46,0
56,-437,7,0,0,0,-46,0
57,-438,7,0,0,0,-46,0
58,-438,7,0,0,0,-46,0
59,-438,7,0,0,0,-46,0
60,-438,7,0,0,0,-46,0
61,-438,7,0,0,0,-46,0
62,-439,7,0,0,0,-46,0
63,-439,7,0,0,0,-46,0
64,-439,7,0,0,0,-46,0
65,-439,7,0,0,0,-46,0
66,-439,7,0,0,0,-46,0
67,-439,7,0,0,0,-46,0
68,-439,7,0,0,0,-46,0
69,-439,7,0,0,0,-46,0
70,-439,7,0,0,0,-46,0
71,-439,7,0,0,0,-46,0
72,-439,7,0,0,0,-46,0
73,-439,7,0,0,0,-46,0
74,-439,7,0,0,0,-46,0
75,-439,7,0,0,0,-46,0
76,-439,7,0,0,0,-46,0
77,-439,7,0,0,0,-46,0
78,-439,7,0,0,0,-46,0
79,-439,7,0,0,0,-46,0
80,-439,7,0,0,0,-46,0
