t,x,y,fh,fv,r,s,frame:
0,433,-251,0,0,0,-91,0
1,433,-251,0,0,0,-91,0
2,433,-251,0,0,0,-91,0
3,433,-251,0,0,0,-91,0
4,433,-251,0,0,0,-91,0
5,433,-251,0,0,0,-91,0
6,433,-251,0,0,0,-91,0
7,433,-251,0,0,0,-91,0
8,433,-251,0,0,0,-91,0
9,433,-251,0,0,0,-91,0
10,433,-251,0,0,0,-91,0
11,433,-251,0,0,0,-91,0
12,433,-251,0,0,0,-91,0
13,433,-251,0,0,0,-91,0
14,433,-251,0,0,0,-91,0
15,433,-251,0,0,0,-91,0
16,433,-251,0,0,0,-91,0
17,433,-251,0,0,0,-91,0
18,433,-251,0,0,0,-91,0
19,433,-251,0,0,0,-91,0
20,433,-251,0,0,0,-91,0
21,433,-251,0,0,0,-91,0
22,433,-251,0,0,0,-91,0
23,433,-251,0,0,0,-91,0
24,433,-251,0,0,0,-91,0
25,433,-251,0,0,0,-91,0
26,433,-251,0,0,0,-91,0
27,433,-251,0,0,0,-91,0
28,433,-251,0,0,0,-91,0
29,433,-251,0,0,0,-91,0
30,433,-251,0,0,0,-91,0
31,432,-251,0,0,0,-91,0
32,432,-250,0,0,0,-91,0
33,432,-250,0,0,0,-91,0
34,432,-250,0,0,0,-91,0
35,432,-250,0,0,0,-91,0
36,432,-250,0,0,0,-91,0
37,431,-250,0,0,0,-91,0
38,431,-250,0,0,0,-91,0
39,431,-250,0,0,0,-91,0
40,431,-250,0,0,0,-91,0
41,431,-250,0,0,0,-91,0
42,430,-249,0,0,0,-91,0
43,430,-249,0,0,0,-91,0
44,430,-249,0,0,0,-91,0
45,430,-249,0,0,0,-91,0
46,430,-249,0,0,0,-91,0
47,430,-249,0,0,0,-91,0
48,430,-249,0,0,0,-91,0
49,430,-249,0,0,0,-91,0
50,430,-249,0,0,0,-91,0
51,430,-249,0,0,0,-91,0
52,430,-249,0,0,0,-91,0
53,430,-249,0,0,0,-91,0
54,430,-249,0,0,0,-91,0
55,430,-249,0,0,0,-91,0
56,430,-249,0,0,0,-91,0
57,430,-249,0,0,0,-91,0
58,429,-249,0,0,0,-91,0
59,429,-249,0,0,0,-91,0
60,429,-249,0,0,0,-91,0
61,429,-249,0,0,0,-91,0
62,429,-249,0,0,0,-91,0
63,428,-249,0,0,0,-91,0
64,428,-249,0,0,0,-91,0
65,428,-249,0,0,0,-91,0
66,428,-249,0,0,0,-91,0
67,427,-249,0,0,0,-91,0
68,427,-249,0,0,0,-91,0
69,427,-249,0,0,0,-91,0
70,427,-249,0,0,0,-91,0
71,427,-250,0,0,0,-91,0
72,427,-250,0,0,0,-91,0
73,427,-250,0,0,0,-91,0
74,427,-250,0,0,0,-91,0
75,427,-250,0,0,0,-91,0
76,426,-250,0,0,0,-91,0
77,426,-250,0,0,0,-91,0
78,426,-250,0,0,0,-91,0
79,426,-250,0,0,0,-91,0
80,426,-250,0,0,0,-91,0
81,425,-250,0,0,0,-91,0
82,425,-251,0,0,0,-91,0
83,425,-251,0,0,0,-91,0
84,425,-251,0,0,0,-91,0
85,425,-251,0,0,0,-91,0
86,425,-251,0,0,0,-91,0
87,425,-251,0,0,0,-91,0
88,424,-251,0,0,0,-91,0
89,424,-251,0,0,0,-91,0
90,424,-251,0,0,0,-91,0
91,424,-251,0,0,0,-91,0
92,424,-251,0,0,0,-91,0
93,424,-251,0,0,0,-91,0
94,424,-251,0,0,0,-91,0
95,424,-251,0,0,0,-91,0
96,424,-251,0,0,0,-91,0
97,423,-251,0,0,0,-91,0
98,423,-251,0,0,0,-91,0
99,423,-251,0,0,0,-91,0
100,423,-251,0,0,0,-91,0
101,423,-251,0,0,0,-91,0
102,422,-251,0,0,0,-91,0
103,422,-251,0,0,0,-91,0
104,422,-251,0,0,0,-91,0
105,422,-251,0,0,0,-91,0
106,422,-251,0,0,0,-91,0
107,422,-251,0,0,0,-91,0
108,421,-251,0,0,0,-91,0
109,421,-251,0,0,0,-91,0
110,421,-251,0,0,0,-91,0
111,421,-251,0,0,0,-91,0
112,421,-251,0,0,0,-91,0
113,421,-251,0,0,0,-91,0
114,421,-251,0,0,0,-91,0
115,421,-251,0,0,0,-91,0
116,421,-251,0,0,0,-91,0
117,421,-251,0,0,0,-91,0
118,421,-251,0,0,0,-91,0
119,421,-252,0,0,0,-91,0
120,420,-252,0,0,0,-91,0
121,420,-252,0,0,0,-91,0
122,420,-252,0,0,0,-91,0
123,420,-252,0,0,0,-91,0
124,420,-252,0,0,0,-91,0
125,420,-252,0,0,0,-91,0
126,420,-252,0,0,0,-91,0
127,420,-252,0,0,0,-91,0
128,420,-252,0,0,0,-91,0
129,420,-252,0,0,0,-91,0
130,420,-252,0,0,0,-91,0
131,420,-252,0,0,0,-91,0
132,420,-252,0,0,0,-91,0
133,420,-252,0,0,0,-91,0
134,420,-252,0,0,0,-91,0
135,420,-252,0,0,0,-91,0
136,420,-252,0,0,0,-91,0
137,420,-252,0,0,0,-91,0
138,420,-252,0,0,0,-91,0
139,420,-252,0,0,0,-91,0
140,420,-252,0,0,0,-91,0
141,420,-252,0,0,0,-91,0
142,420,-252,0,0,0,-91,0
143,420,-252,0,0,0,-91,0
144,420,-252,0,0,0,-91,0
145,420,-253,0,0,0,-91,0
146,420,-253,0,0,0,-91,0
147,420,-253,0,0,0,-91,0
148,420,-253,0,0,0,-91,0
149,420,-253,0,0,0,-91,0
150,420,-253,0,0,0,-91,0
151,420,-253,0,0,0,-91,0
152,420,-253,0,0,0,-91,0
153,420,-253,0,0,0,-91,0
154,420,-253,0,0,0,-91,0
155,420,-253,0,0,0,-91,0
156,420,-253,0,0,0,-91,0
157,420,-253,0,0,0,-91,0
158,421,-253,0,0,0,-91,0
159,421,-253,0,0,0,-91,0
160,421,-253,0,0,0,-91,0
161,421,-253,0,0,0,-91,0
162,421,-253,0,0,0,-91,0
163,421,-253,0,0,0,-91,0
164,422,-253,0,0,0,-91,0
165,422,-253,0,0,0,-91,0
166,422,-253,0,0,0,-91,0
167,422,-253,0,0,0,-91,0
168,422,-253,0,0,0,-91,0
169,422,-253,0,0,0,-91,0
170,422,-253,0,0,0,-91,0
171,422,-253,0,0,0,-91,0
172,423,-253,0,0,0,-91,0
173,423,-253,0,0,0,-91,0
174,423,-253,0,0,0,-91,0
175,423,-253,0,0,0,-91,0
176,423,-253,0,0,0,-91,0
177,423,-253,0,0,0,-91,0
178,423,-253,0,0,0,-91,0
179,423,-253,0,0,0,-91,0
180,423,-253,0,0,0,-91,0
181,423,-253,0,0,0,-91,0
182,423,-253,0,0,0,-91,0
183,423,-253,0,0,0,-91,0
184,423,-253,0,0,0,-91,0
185,423,-253,0,0,0,-91,0
186,423,-253,0,0,0,-91,0
187,423,-253,0,0,0,-91,0
188,424,-253,0,0,0,-91,0
189,424,-253,0,0,0,-91,0
190,424,-253,0,0,0,-91,0
191,424,-253,0,0,0,-91,0
192,424,-253,0,0,0,-91,0
193,424,-253,0,0,0,-91,0
194,424,-253,0,0,0,-91,0
195,424,-253,0,0,0,-91,0
196,424,-253,0,0,0,-91,0
197,424,-253,0,0,0,-91,0
198,425,-253,0,0,0,-91,0
199,425,-253,0,0,0,-91,0
200,425,-253,0,0,0,-91,0
201,425,-253,0,0,0,-91,0
202,425,-253,0,0,0,-91,0
203,425,-253,0,0,0,-91,0
204,425,-253,0,0,0,-91,0
205,425,-253,0,0,0,-91,0
206,426,-253,0,0,0,-91,0
207,426,-253,0,0,0,-91,0
208,426,-253,0,0,0,-91,0
209,426,-253,0,0,0,-91,0
210,426,-253,0,0,0,-91,0
211,426,-253,0,0,0,-91,0
212,426,-253,0,0,0,-91,0
213,426,-253,0,0,0,-91,0
214,426,-253,0,0,0,-91,0
215,426,-253,0,0,0,-91,0
216,426,-253,0,0,0,-91,0
217,426,-253,0,0,0,-91,0
218,427,-253,0,0,0,-91,0
219,427,-253,0,0,0,-91,0
220,427,-252,0,0,0,-91,0
221,427,-252,0,0,0,-91,0
222,427,-252,0,0,0,-91,0
223,427,-252,0,0,0,-91,0
224,427,-252,0,0,0,-91,0
225,428,-252,0,0,0,-91,0
226,428,-252,0,0,0,-91,0
227,428,-252,0,0,0,-91,0
228,428,-252,0,0,0,-91,0
229,428,-252,0,0,0,-91,0
230,428,-252,0,0,0,-91,0
231,428,-252,0,0,0,-91,0
232,428,-251,0,0,0,-91,0
233,428,-251,0,0,0,-91,0
234,428,-251,0,0,0,-91,0
235,428,-251,0,0,0,-91,0
236,428,-251,0,0,0,-91,0
237,428,-251,0,0,0,-91,0
238,428,-251,0,0,0,-91,0
239,428,-251,0,0,0,-91,0
240,428,-251,0,0,0,-91,0
241,428,-251,0,0,0,-91,0
242,428,-251,0,0,0,-91,0
243,428,-251,0,0,0,-91,0
244,428,-251,0,0,0,-91,0
245,428,-251,0,0,0,-91,0
246,428,-251,0,0,0,-91,0
247,428,-251,0,0,0,-91,0
248,429,-251,0,0,0,-91,0
249,429,-251,0,0,0,-91,0
250,429,-251,0,0,0,-91,0
251,429,-251,0,0,0,-91,0
252,429,-251,0,0,0,-91,0
253,429,-251,0,0,0,-91,0
254,429,-251,0,0,0,-91,0
255,429,-251,0,0,0,-91,0
256,429,-251,0,0,0,-91,0
257,429,-251,0,0,0,-91,0
258,429,-251,0,0,0,-91,0
259,429,-251,0,0,0,-91,0
260,429,-251,0,0,0,-91,0
261,429,-251,0,0,0,-91,0
262,429,-251,0,0,0,-91,0
263,430,-250,0,0,0,-91,0
264,430,-250,0,0,0,-91,0
265,430,-250,0,0,0,-91,0
266,430,-250,0,0,0,-91,0
267,430,-250,0,0,0,-91,0
268,430,-250,0,0,0,-91,0
269,430,-250,0,0,0,-91,0
270,430,-250,0,0,0,-91,0
271,430,-250,0,0,0,-91,0
272,430,-250,0,0,0,-91,0
273,430,-250,0,0,0,-91,0
274,430,-250,0,0,0,-91,0
275,430,-250,0,0,0,-91,0
276,430,-250,0,0,0,-91,0
277,430,-250,0,0,0,-91,0
278,431,-250,0,0,0,-91,0
279,431,-250,0,0,0,-91,0
280,431,-249,0,0,0,-91,0
281,431,-249,0,0,0,-91,0
282,431,-249,0,0,0,-91,0
