t,x,y,fh,fv,r,s,frame:
0,-455,-317,0,0,0,-160,1
1,-455,-317,0,0,0,-160,1
2,-455,-317,0,0,0,-160,1
3,-455,-317,0,0,0,-160,1
4,-455,-317,0,0,0,-160,1
5,-455,-317,0,0,0,-160,1
6,-455,-317,0,0,0,-160,1
7,-455,-317,0,0,0,-160,1
8,-455,-317,0,0,0,-160,1
9,-455,-317,0,0,0,-160,1
10,-455,-317,0,0,0,-160,1
11,-455,-317,0,0,0,-160,1
12,-455,-317,0,0,0,-160,1
13,-455,-317,0,0,0,-160,1
14,-455,-317,0,0,0,-160,1
15,-455,-317,0,0,0,-160,1
16,-455,-317,0,0,0,-160,1
17,-455,-317,0,0,0,-160,1
18,-455,-317,0,0,0,-160,1
19,-455,-317,0,0,0,-160,1
20,-455,-317,0,0,0,-160,1
21,-455,-317,0,0,0,-160,1
22,-455,-317,0,0,0,-160,1
23,-455,-317,0,0,0,-160,1
24,-455,-317,0,0,0,-160,1
25,-455,-317,0,0,0,-160,1
26,-455,-317,0,0,0,-160,1
27,-455,-317,0,0,0,-160,1
28,-455,-317,0,0,0,-160,1
29,-455,-317,0,0,0,-160,1
30,-455,-317,0,0,0,-160,1
31,-455,-317,0,0,0,-160,1
32,-455,-317,0,0,0,-160,1
33,-455,-317,0,0,0,-160,1
34,-455,-317,0,0,0,-160,1
35,-455,-317,0,0,0,-160,1
36,-455,-317,0,0,0,-160,1
37,-455,-317,0,0,0,-160,1
38,-455,-317,0,0,0,-160,1
39,-455,-317,0,0,0,-160,1
40,-455,-317,0,0,0,-160,1
41,-455,-317,0,0,0,-160,1
42,-455,-317,0,0,0,-160,1
43,-455,-317,0,0,0,-160,1
44,-455,-317,0,0,0,-160,1
45,-455,-317,0,0,0,-160,1
46,-455,-317,0,0,0,-160,1
47,-455,-317,0,0,0,-160,1
48,-455,-317,0,0,0,-160,1
49,-455,-317,0,0,0,-160,1
50,-455,-317,0,0,0,-160,1
51,-455,-317,0,0,0,-160,1
52,-455,-317,0,0,0,-160,1
53,-455,-317,0,0,0,-160,1
54,-455,-317,0,0,0,-160,1
55,-455,-317,0,0,0,-160,1
56,-455,-317,0,0,0,-160,1
57,-455,-317,0,0,0,-160,1
58,-455,-317,0,0,0,-160,1
59,-455,-317,0,0,0,-160,1
60,-455,-317,0,0,0,-160,1
61,-455,-317,0,0,0,-160,1
62,-455,-317,0,0,0,-160,1
63,-455,-317,0,0,0,-160,1
64,-455,-317,0,0,0,-160,1
65,-455,-317,0,0,0,-160,1
66,-455,-317,0,0,0,-160,1
67,-455,-317,0,0,0,-160,1
68,-455,-317,0,0,0,-160,1
69,-455,-317,0,0,0,-160,1
70,-455,-317,0,0,0,-160,1
71,-455,-317,0,0,0,-160,1
72,-455,-317,0,0,0,-160,1
73,-455,-317,0,0,0,-160,1
74,-455,-317,0,0,0,-160,1
75,-455,-317,0,0,0,-160,1
76,-455,-317,0,0,0,-160,1
77,-455,-317,0,0,0,-160,1
78,-455,-317,0,0,0,-160,1
79,-455,-317,0,0,0,-160,1
80,-455,-317,0,0,0,-160,1
81,-455,-317,0,0,0,-160,1
82,-455,-317,0,0,0,-160,1
83,-455,-317,0,0,0,-160,1
84,-455,-317,0,0,0,-160,1
85,-455,-317,0,0,0,-160,1
86,-455,-317,0,0,0,-160,1
87,-455,-317,0,0,0,-160,1
88,-455,-317,0,0,0,-160,1
89,-455,-317,0,0,0,-160,1
90,-455,-317,0,0,0,-160,1
91,-455,-317,0,0,0,-160,1
92,-455,-317,0,0,0,-160,1
93,-455,-317,0,0,0,-160,1
94,-455,-317,0,0,0,-160,1
95,-455,-317,0,0,0,-160,1
96,-455,-317,0,0,0,-160,1
97,-455,-317,0,0,0,-160,1
98,-455,-317,0,0,0,-160,1
99,-455,-317,0,0,0,-160,1
100,-455,-317,0,0,0,-160,1
101,-455,-317,0,0,0,-160,1
102,-455,-317,0,0,0,-160,1
103,-455,-317,0,0,0,-160,1
104,-455,-317,0,0,0,-160,1
105,-455,-317,0,0,0,-160,1
106,-455,-317,0,0,0,-160,1
107,-455,-317,0,0,0,-160,1
108,-455,-317,0,0,0,-160,1
109,-455,-317,0,0,0,-160,1
110,-455,-317,0,0,0,-160,1
111,-455,-317,0,0,0,-160,1
112,-455,-317,0,0,0,-160,1
113,-455,-317,0,0,0,-160,1
114,-455,-317,0,0,0,-160,1
115,-455,-317,0,0,0,-160,1
116,-455,-317,0,0,0,-160,1
117,-455,-317,0,0,0,-160,1
118,-455,-317,0,0,0,-160,1
119,-455,-317,0,0,0,-160,1
120,-455,-317,0,0,0,-160,1
121,-455,-317,0,0,0,-160,1
122,-455,-317,0,0,0,-160,1
123,-455,-317,0,0,0,-160,1
124,-455,-317,0,0,0,-160,1
125,-455,-317,0,0,0,-160,1
126,-455,-317,0,0,0,-160,1
127,-455,-317,0,0,0,-160,1
128,-455,-317,0,0,0,-160,1
129,-455,-317,0,0,0,-160,1
130,-455,-317,0,0,0,-160,1
131,-455,-317,0,0,0,-160,1
132,-455,-317,0,0,0,-160,1
133,-455,-317,0,0,0,-160,1
134,-455,-317,0,0,0,-160,1
135,-455,-317,0,0,0,-160,1
136,-455,-317,0,0,0,-160,1
137,-455,-317,0,0,0,-160,1
138,-455,-317,0,0,0,-160,1
139,-455,-317,0,0,0,-160,1
140,-455,-317,0,0,0,-160,1
141,-455,-317,0,0,0,-160,1
142,-455,-317,0,0,0,-160,1
143,-455,-317,0,0,0,-160,1
144,-455,-317,0,0,0,-160,1
145,-455,-317,0,0,0,-160,1
146,-455,-317,0,0,0,-160,1
147,-455,-317,0,0,0,-160,1
148,-455,-317,0,0,0,-160,1
149,-455,-317,0,0,0,-160,1
150,-455,-317,0,0,0,-160,1
151,-455,-317,0,0,0,-160,1
152,-455,-317,0,0,0,-160,1
153,-455,-317,0,0,0,-160,1
154,-455,-317,0,0,0,-160,1
155,-455,-317,0,0,0,-160,1
156,-455,-317,0,0,0,-160,1
157,-455,-317,0,0,0,-160,1
158,-455,-317,0,0,0,-160,1
159,-455,-317,0,0,0,-160,1
160,-455,-317,0,0,0,-160,1
161,-455,-317,0,0,0,-160,1
162,-455,-317,0,0,0,-160,1
163,-455,-317,0,0,0,-160,1
164,-455,-317,0,0,0,-160,1
165,-455,-317,0,0,0,-160,1
166,-455,-317,0,0,0,-160,1
167,-455,-317,0,0,0,-160,1
168,-455,-317,0,0,0,-160,1
169,-455,-317,0,0,0,-160,1
170,-455,-317,0,0,0,-160,1
171,-455,-317,0,0,0,-160,1
172,-455,-317,0,0,0,-160,1
173,-455,-317,0,0,0,-160,1
174,-455,-317,0,0,0,-160,1
175,-455,-317,0,0,0,-160,1
176,-455,-317,0,0,0,-160,1
177,-455,-317,0,0,0,-160,1
178,-455,-317,0,0,0,-160,1
179,-455,-317,0,0,0,-160,1
180,-455,-317,0,0,0,-160,1
181,-455,-317,0,0,0,-160,1
182,-455,-317,0,0,0,-160,1
183,-455,-317,0,0,0,-160,1
184,-455,-317,0,0,0,-160,1
185,-455,-317,0,0,0,-160,1
186,-455,-317,0,0,0,-160,1
187,-455,-317,0,0,0,-160,1
188,-455,-317,0,0,0,-160,1
189,-455,-317,0,0,0,-160,1
190,-455,-317,0,0,0,-160,1
191,-455,-317,0,0,0,-160,1
192,-455,-317,0,0,0,-160,1
193,-455,-317,0,0,0,-160,1
194,-455,-317,0,0,0,-160,1
195,-455,-317,0,0,0,-160,1
196,-455,-317,0,0,0,-160,1
197,-455,-317,0,0,0,-160,1
198,-455,-317,0,0,0,-160,1
199,-455,-317,0,0,0,-160,1
200,-455,-317,0,0,0,-160,1
