t,x,y,fh,fv,r,s,frame:
0,-547,278,0,0,0,-108,0
1,-547,278,0,0,0,-108,0
2,-547,278,0,0,0,-108,0
3,-547,278,0,0,0,-108,0
4,-547,279,0,0,0,-108,0
5,-547,279,0,0,0,-108,0
6,-547,279,0,0,0,-108,0
7,-547,279,0,0,0,-108,0
8,-547,279,0,0,0,-108,0
9,-547,279,0,0,0,-108,0
10,-547,279,0,0,0,-108,0
11,-547,279,0,0,0,-108,0
12,-547,279,0,0,0,-108,0
13,-547,279,0,0,0,-108,0
14,-547,279,0,0,0,-108,0
15,-547,279,0,0,0,-108,0
16,-547,279,0,0,0,-108,0
17,-547,279,0,0,0,-108,0
18,-547,279,0,0,0,-108,0
19,-547,279,0,0,0,-108,0
20,-547,279,0,0,0,-108,0
21,-547,279,0,0,0,-108,0
22,-547,279,0,0,0,-108,0
23,-547,279,0,0,0,-108,0
24,-547,279,0,0,0,-108,0
25,-547,279,0,0,0,-108,0
26,-547,279,0,0,0,-108,0
27,-547,279,0,0,0,-108,0
28,-547,279,0,0,0,-108,0
29,-547,279,0,0,0,-108,0
30,-547,279,0,0,0,-108,0
31,-547,279,0,0,0,-108,0
32,-547,279,0,0,0,-108,0
33,-547,279,0,0,0,-108,0
34,-547,279,0,0,0,-108,0
35,-547,279,0,0,0,-108,0
36,-547,279,0,0,0,-108,0
37,-547,279,0,0,0,-108,0
38,-547,279,0,0,0,-108,0
39,-547,279,0,0,0,-108,0
40,-547,279,0,0,0,-108,0
41,-547,279,0,0,0,-108,0
42,-547,279,0,0,0,-108,0
43,-547,279,0,0,0,-108,0
44,-547,279,0,0,0,-108,0
45,-547,279,0,0,0,-108,0
46,-547,279,0,0,0,-108,0
47,-547,279,0,0,0,-108,0
48,-547,279,0,0,0,-108,0
49,-547,279,0,0,0,-108,0
50,-547,279,0,0,0,-108,0
51,-547,279,0,0,0,-108,0
52,-547,279,0,0,0,-108,0
53,-547,279,0,0,0,-108,0
54,-547,279,0,0,0,-108,0
55,-547,279,0,0,0,-108,0
56,-547,279,0,0,0,-108,0
57,-547,279,0,0,0,-108,0
58,-547,279,0,0,0,-108,0
59,-547,279,0,0,0,-108,0
60,-547,279,0,0,0,-108,0
61,-547,279,0,0,0,-108,0
62,-547,279,0,0,0,-108,0
63,-547,279,0,0,0,-108,0
64,-547,279,0,0,0,-108,0
65,-547,279,0,0,0,-108,0
66,-547,279,0,0,0,-108,0
67,-547,279,0,0,0,-108,0
68,-547,279,0,0,0,-108,0
69,-547,279,0,0,0,-108,0
70,-547,279,0,0,0,-108,0
71,-547,279,0,0,0,-108,0
72,-547,279,0,0,0,-108,0
73,-547,279,0,0,0,-108,0
74,-547,279,0,0,0,-108,0
75,-547,279,0,0,0,-108,0
76,-547,279,0,0,0,-108,0
77,-547,279,0,0,0,-108,0
78,-547,279,0,0,0,-108,0
79,-547,279,0,0,0,-108,0
80,-547,279,0,0,0,-108,0
81,-547,279,0,0,0,-108,0
82,-547,279,0,0,0,-108,0
83,-547,279,0,0,0,-108,0
84,-547,279,0,0,0,-108,0
85,-547,279,0,0,0,-108,0
86,-547,279,0,0,0,-108,0
87,-547,279,0,0,0,-108,0
88,-547,279,0,0,0,-108,0
89,-547,279,0,0,0,-108,0
90,-547,279,0,0,0,-108,0
91,-547,279,0,0,0,-108,0
92,-547,279,0,0,0,-108,0
93,-547,279,0,0,0,-108,0
94,-547,279,0,0,0,-108,0
95,-547,279,0,0,0,-108,0
96,-547,279,0,0,0,-108,0
97,-547,279,0,0,0,-108,0
98,-547,279,0,0,0,-108,0
99,-547,279,0,0,0,-108,0
100,-547,279,0,0,0,-108,0
101,-547,279,0,0,0,-108,0
102,-547,279,0,0,0,-108,0
103,-547,279,0,0,0,-108,0
104,-547,279,0,0,0,-108,0
105,-547,279,0,0,0,-108,0
106,-547,279,0,0,0,-108,0
107,-547,279,0,0,0,-108,0
108,-547,279,0,0,0,-108,0
109,-547,279,0,0,0,-108,0
110,-547,279,0,0,0,-108,0
111,-547,279,0,0,0,-108,0
112,-547,279,0,0,0,-108,0
113,-547,279,0,0,0,-108,0
114,-547,279,0,0,0,-108,0
115,-547,279,0,0,0,-108,0
116,-547,279,0,0,0,-108,0
117,-547,279,0,0,0,-108,0
118,-547,279,0,0,0,-108,0
119,-547,279,0,0,0,-108,0
120,-547,279,0,0,0,-108,0
121,-547,279,0,0,0,-108,0
122,-547,279,0,0,0,-108,0
123,-547,279,0,0,0,-108,0
124,-547,279,0,0,0,-108,0
125,-547,279,0,0,0,-108,0
126,-547,279,0,0,0,-108,0
127,-547,279,0,0,0,-108,0
128,-547,279,0,0,0,-108,0
129,-547,279,0,0,0,-108,0
130,-547,279,0,0,0,-108,0
131,-547,279,0,0,0,-108,0
132,-547,279,0,0,0,-108,0
133,-547,279,0,0,0,-108,0
134,-547,279,0,0,0,-108,0
135,-547,279,0,0,0,-108,0
136,-547,279,0,0,0,-108,0
137,-547,279,0,0,0,-108,0
138,-547,279,0,0,0,-108,0
139,-547,279,0,0,0,-108,0
140,-547,279,0,0,0,-108,0
141,-547,279,0,0,0,-108,0
142,-547,279,0,0,0,-108,0
143,-547,279,0,0,0,-108,0
144,-547,279,0,0,0,-108,0
145,-547,279,0,0,0,-108,0
146,-547,279,0,0,0,-108,0
147,-547,279,0,0,0,-108,0
148,-547,279,0,0,0,-108,0
149,-547,279,0,0,0,-108,0
150,-547,279,0,0,0,-108,0
151,-547,279,0,0,0,-108,0
152,-547,279,0,0,0,-108,0
153,-547,279,0,0,0,-108,0
154,-547,279,0,0,0,-108,0
155,-547,279,0,0,0,-108,0
156,-547,279,0,0,0,-108,0
157,-547,279,0,0,0,-108,0
158,-547,279,0,0,0,-108,0
159,-547,279,0,0,0,-108,0
160,-547,279,0,0,0,-108,0
161,-547,279,0,0,0,-108,0
162,-547,279,0,0,0,-108,0
163,-547,279,0,0,0,-108,0
164,-547,279,0,0,0,-108,0
165,-547,279,0,0,0,-108,0
166,-547,279,0,0,0,-108,0
167,-547,279,0,0,0,-108,0
168,-547,279,0,0,0,-108,0
169,-547,279,0,0,0,-108,0
170,-547,279,0,0,0,-108,0
171,-547,279,0,0,0,-108,0
172,-547,279,0,0,0,-108,0
173,-547,279,0,0,0,-108,0
174,-547,279,0,0,0,-108,0
175,-547,279,0,0,0,-108,0
176,-547,279,0,0,0,-108,0
177,-547,279,0,0,0,-108,0
178,-547,279,0,0,0,-108,0
179,-547,279,0,0,0,-108,0
180,-547,279,0,0,0,-108,0
181,-547,279,0,0,0,-108,0
182,-547,279,0,0,0,-108,0
183,-547,279,0,0,0,-108,0
184,-547,279,0,0,0,-108,0
185,-547,279,0,0,0,-108,0
186,-547,279,0,0,0,-108,0
187,-547,279,0,0,0,-108,0
188,-547,279,0,0,0,-108,0
189,-547,279,0,0,0,-108,0
190,-547,279,0,0,0,-108,0
191,-547,279,0,0,0,-108,0
192,-547,279,0,0,0,-108,0
193,-547,279,0,0,0,-108,0
194,-547,279,0,0,0,-108,0
195,-547,279,0,0,0,-108,0
196,-547,279,0,0,0,-108,0
197,-547,279,0,0,0,-108,0
198,-547,279,0,0,0,-108,0
199,-547,279,0,0,0,-108,0
200,-547,279,0,0,0,-108,0
201,-547,279,0,0,0,-108,0
202,-547,279,0,0,0,-108,0
203,-547,279,0,0,0,-108,0
204,-547,279,0,0,0,-108,0
205,-547,279,0,0,0,-108,0
206,-547,279,0,0,0,-108,0
207,-547,279,0,0,0,-108,0
208,-547,279,0,0,0,-108,0
209,-547,279,0,0,0,-108,0
210,-547,279,0,0,0,-108,0
211,-547,279,0,0,0,-108,0
212,-547,279,0,0,0,-108,0
213,-547,279,0,0,0,-108,0
214,-547,279,0,0,0,-108,0
215,-547,279,0,0,0,-108,0
216,-547,279,0,0,0,-108,0
217,-547,279,0,0,0,-108,0
218,-547,279,0,0,0,-108,0
219,-547,279,0,0,0,-108,0
220,-547,279,0,0,0,-108,0
221,-547,279,0,0,0,-108,0
222,-547,279,0,0,0,-108,0
223,-547,279,0,0,0,-108,0
224,-547,279,0,0,0,-108,0
225,-547,279,0,0,0,-108,0
226,-547,279,0,0,0,-108,0
227,-547,279,0,0,0,-108,0
228,-547,279,0,0,0,-108,0
229,-547,279,0,0,0,-108,0
230,-547,279,0,0,0,-108,0
231,-547,279,0,0,0,-108,0
232,-547,279,0,0,0,-108,0
233,-547,279,0,0,0,-108,0
234,-547,279,0,0,0,-108,0
235,-547,279,0,0,0,-108,0
236,-547,279,0,0,0,-108,0
237,-547,279,0,0,0,-108,0
238,-547,279,0,0,0,-108,0
239,-547,279,0,0,0,-108,0
240,-547,279,0,0,0,-108,0
241,-547,279,0,0,0,-108,0
242,-547,279,0,0,0,-108,0
243,-547,279,0,0,0,-108,0
244,-547,279,0,0,0,-108,0
245,-547,279,0,0,0,-108,0
246,-547,279,0,0,0,-108,0
247,-547,279,0,0,0,-108,0
248,-547,279,0,0,0,-108,0
249,-547,279,0,0,0,-108,0
250,-547,279,0,0,0,-108,0
251,-547,279,0,0,0,-108,0
252,-547,279,0,0,0,-108,0
253,-547,279,0,0,0,-108,0
254,-547,279,0,0,0,-108,0
255,-547,279,0,0,0,-108,0
256,-547,279,0,0,0,-108,0
257,-547,279,0,0,0,-108,0
258,-547,279,0,0,0,-108,0
259,-547,279,0,0,0,-108,0
260,-547,279,0,0,0,-108,0
261,-547,279,0,0,0,-108,0
262,-547,279,0,0,0,-108,0
263,-547,279,0,0,0,-108,0
264,-547,279,0,0,0,-108,0
265,-547,279,0,0,0,-108,0
266,-547,279,0,0,0,-108,0
267,-547,279,0,0,0,-108,0
268,-547,279,0,0,0,-108,0
269,-547,279,0,0,0,-108,0
270,-547,279,0,0,0,-108,0
271,-547,279,0,0,0,-108,0
272,-547,279,0,0,0,-108,0
273,-547,279,0,0,0,-108,0
274,-547,279,0,0,0,-108,0
275,-547,279,0,0,0,-108,0
276,-547,279,0,0,0,-108,0
277,-547,279,0,0,0,-108,0
278,-547,279,0,0,0,-108,0
279,-547,279,0,0,0,-108,0
280,-547,279,0,0,0,-108,0
281,-547,279,0,0,0,-108,0
282,-547,279,0,0,0,-108,0
283,-547,279,0,0,0,-108,0
284,-547,279,0,0,0,-108,0
285,-547,279,0,0,0,-108,0
286,-547,279,0,0,0,-108,0
287,-547,279,0,0,0,-108,0
288,-547,279,0,0,0,-108,0
289,-547,279,0,0,0,-108,0
290,-547,279,0,0,0,-108,0
291,-547,279,0,0,0,-108,0
292,-547,279,0,0,0,-108,0
