t,x,y,fh,fv,r,s,frame:
0,157,54,1,0,0,-160,1
1,157,54,1,0,0,-160,1
2,157,54,1,0,0,-160,1
3,157,54,1,0,0,-160,1
4,157,54,1,0,0,-160,1
5,157,54,1,0,0,-160,1
6,157,54,1,0,0,-160,1
7,157,54,1,0,0,-160,1
8,157,54,1,0,0,-160,1
9,157,54,1,0,0,-160,1
10,157,54,1,0,0,-160,1
11,157,54,1,0,0,-160,1
12,157,54,1,0,0,-160,1
13,157,54,1,0,0,-160,1
14,157,54,1,0,0,-160,1
15,157,54,1,0,0,-160,1
16,157,54,1,0,0,-160,1
17,157,54,1,0,0,-160,1
18,157,54,1,0,0,-160,1
19,157,54,1,0,0,-160,1
20,157,54,1,0,0,-160,1
21,157,54,1,0,0,-160,1
22,157,54,1,0,0,-160,1
23,157,54,1,0,0,-160,1
24,157,54,1,0,0,-160,1
25,157,54,1,0,0,-160,1
26,157,54,1,0,0,-160,1
27,157,54,1,0,0,-160,1
28,157,54,1,0,0,-160,1
29,157,54,1,0,0,-160,1
30,157,54,1,0,0,-160,1
31,157,54,1,0,0,-160,1
32,157,54,1,0,0,-160,1
33,157,54,1,0,0,-160,1
34,157,54,1,0,0,-160,1
35,157,54,1,0,0,-160,1
36,157,54,1,0,0,-160,1
37,157,54,1,0,0,-160,1
38,157,54,1,0,0,-160,1
39,157,54,1,0,0,-160,1
40,157,54,1,0,0,-160,1
41,157,54,1,0,0,-160,1
42,157,54,1,0,0,-160,1
43,157,54,1,0,0,-160,1
44,157,54,1,0,0,-160,1
45,157,54,1,0,0,-160,1
46,157,54,1,0,0,-160,1
47,157,54,1,0,0,-160,1
48,157,54,1,0,0,-160,1
49,157,54,1,0,0,-160,1
50,157,54,1,0,0,-160,1
51,157,54,1,0,0,-160,1
52,157,54,1,0,0,-160,1
53,157,54,1,0,0,-160,1
54,157,54,1,0,0,-160,1
55,157,54,1,0,0,-160,1
56,157,54,1,0,0,-160,1
57,157,54,1,0,0,-160,1
58,157,54,1,0,0,-160,1
59,157,54,1,0,0,-160,1
60,157,54,1,0,0,-160,1
61,157,54,1,0,0,-160,1
62,157,54,1,0,0,-160,1
63,157,54,1,0,0,-160,1
64,157,54,1,0,0,-160,1
65,157,54,1,0,0,-160,1
66,157,54,1,0,0,-160,1
67,157,54,1,0,0,-160,1
68,157,54,1,0,0,-160,1
69,157,54,1,0,0,-160,1
70,157,54,1,0,0,-160,1
71,157,54,1,0,0,-160,1
72,157,54,1,0,0,-160,1
73,157,54,1,0,0,-160,1
74,157,54,1,0,0,-160,1
75,157,54,1,0,0,-160,1
76,157,54,1,0,0,-160,1
77,157,54,1,0,0,-160,1
78,157,54,1,0,0,-160,1
79,157,54,1,0,0,-160,1
80,157,54,1,0,0,-160,1
81,157,54,1,0,0,-160,1
82,157,54,1,0,0,-160,1
83,157,54,1,0,0,-160,1
84,157,54,1,0,0,-160,1
85,157,54,1,0,0,-160,1
86,157,54,1,0,0,-160,1
87,157,54,1,0,0,-160,1
88,157,54,1,0,0,-160,1
89,157,54,1,0,0,-160,1
90,157,54,1,0,0,-160,1
91,157,54,1,0,0,-160,1
92,157,54,1,0,0,-160,1
93,157,54,1,0,0,-160,1
94,157,54,1,0,0,-160,1
95,157,54,1,0,0,-160,1
96,157,54,1,0,0,-160,1
97,157,54,1,0,0,-160,1
98,157,54,1,0,0,-160,1
99,157,54,1,0,0,-160,1
100,157,54,1,0,0,-160,1
101,157,54,1,0,0,-160,1
102,157,54,1,0,0,-160,1
103,157,54,1,0,0,-160,1
104,157,54,1,0,0,-160,1
105,157,54,1,0,0,-160,1
106,157,54,1,0,0,-160,1
107,157,54,1,0,0,-160,1
108,157,54,1,0,0,-160,1
109,157,54,1,0,0,-160,1
110,157,54,1,0,0,-160,1
111,157,54,1,0,0,-160,1
112,157,54,1,0,0,-160,1
113,157,54,1,0,0,-160,1
114,157,54,1,0,0,-160,1
115,157,54,1,0,0,-160,1
116,157,54,1,0,0,-160,1
117,157,54,1,0,0,-160,1
118,157,54,1,0,0,-160,1
119,157,54,1,0,0,-160,1
120,157,54,1,0,0,-160,1
121,157,54,1,0,0,-160,1
122,157,54,1,0,0,-160,1
123,157,54,1,0,0,-160,1
124,157,54,1,0,0,-160,1
125,157,54,1,0,0,-160,1
126,157,54,1,0,0,-160,1
127,157,54,1,0,0,-160,1
128,157,54,1,0,0,-160,1
129,157,54,1,0,0,-160,1
130,157,54,1,0,0,-160,1
131,157,54,1,0,0,-160,1
132,157,54,1,0,0,-160,1
133,157,54,1,0,0,-160,1
134,157,54,1,0,0,-160,1
135,157,54,1,0,0,-160,1
136,157,54,1,0,0,-160,1
137,157,54,1,0,0,-160,1
138,157,54,1,0,0,-160,1
139,157,54,1,0,0,-160,1
140,157,54,1,0,0,-160,1
141,157,54,1,0,0,-160,1
142,157,54,1,0,0,-160,1
143,157,54,1,0,0,-160,1
144,157,54,1,0,0,-160,1
145,157,54,1,0,0,-160,1
146,157,54,1,0,0,-160,1
147,157,54,1,0,0,-160,1
148,157,54,1,0,0,-160,1
149,157,54,1,0,0,-160,1
150,157,54,1,0,0,-160,1
151,157,54,1,0,0,-160,1
152,157,54,1,0,0,-160,1
153,157,54,1,0,0,-160,1
154,157,54,1,0,0,-160,1
155,157,54,1,0,0,-160,1
156,157,54,1,0,0,-160,1
157,157,54,1,0,0,-160,1
158,157,54,1,0,0,-160,1
159,157,54,1,0,0,-160,1
160,157,54,1,0,0,-160,1
161,157,54,1,0,0,-160,1
162,157,54,1,0,0,-160,1
163,157,54,1,0,0,-160,1
164,157,54,1,0,0,-160,1
165,157,54,1,0,0,-160,1
166,157,54,1,0,0,-160,1
167,157,54,1,0,0,-160,1
168,157,54,1,0,0,-160,1
169,157,54,1,0,0,-160,1
170,157,54,1,0,0,-160,1
171,157,54,1,0,0,-160,1
172,157,54,1,0,0,-160,1
173,157,54,1,0,0,-160,1
174,157,54,1,0,0,-160,1
175,157,54,1,0,0,-160,1
176,157,54,1,0,0,-160,1
177,157,54,1,0,0,-160,1
178,157,54,1,0,0,-160,1
179,157,54,1,0,0,-160,1
180,157,54,1,0,0,-160,1
181,157,54,1,0,0,-160,1
182,157,54,1,0,0,-160,1
183,157,54,1,0,0,-160,1
184,157,54,1,0,0,-160,1
185,157,54,1,0,0,-160,1
186,157,54,1,0,0,-160,1
187,157,54,1,0,0,-160,1
188,157,54,1,0,0,-160,1
189,157,54,1,0,0,-160,1
190,157,54,1,0,0,-160,1
191,157,54,1,0,0,-160,1
192,157,54,1,0,0,-160,1
193,157,54,1,0,0,-160,1
194,157,54,1,0,0,-160,1
195,157,54,1,0,0,-160,1
196,578,65,1,0,0,-160,1
197,578,65,1,0,0,-160,1
198,576,65,1,0,0,-160,1
199,573,65,1,0,0,-160,1
200,568,65,1,0,0,-160,1
201,562,65,1,0,0,-160,1
202,555,64,1,0,0,-160,1
203,546,64,1,0,0,-160,1
204,537,64,1,0,0,-160,1
205,529,64,1,0,0,-160,1
206,521,64,1,0,0,-160,1
207,512,64,1,0,0,-160,1
208,498,64,1,0,0,-160,1
209,485,64,1,0,0,-160,1
210,474,64,1,0,0,-160,1
211,465,64,1,0,0,-160,1
212,456,64,1,0,0,-160,1
213,447,65,1,0,0,-160,1
214,439,65,1,0,0,-160,1
215,430,65,1,0,0,-160,1
216,421,65,1,0,0,-160,1
217,410,65,1,0,0,-160,1
218,398,65,1,0,0,-160,1
219,383,65,1,0,0,-160,1
220,369,65,1,0,0,-160,1
221,354,65,1,0,0,-160,1
222,337,64,1,0,0,-160,1
223,311,64,1,0,0,-160,1
224,293,64,1,0,0,-160,1
225,275,64,1,0,0,-160,1
226,257,64,1,0,0,-160,1
227,240,64,1,0,0,-160,1
228,222,64,1,0,0,-160,1
229,209,64,1,0,0,-160,1
230,195,64,1,0,0,-160,1
231,180,64,1,0,0,-160,0
232,168,64,1,0,0,-160,0
233,157,64,1,0,0,-160,0
234,144,64,1,0,0,-160,0
235,135,64,1,0,0,-160,0
236,126,64,1,0,0,-160,0
237,117,64,1,0,0,-160,0
238,108,64,1,0,0,-160,0
