t,x,y,fh,fv,r,s,frame:
0,-379,82,0,0,0,-59,0
1,-379,82,0,0,0,-59,0
2,-379,82,0,0,0,-59,0
3,-379,82,0,0,0,-59,0
4,-379,82,0,0,0,-59,0
5,-379,82,0,0,0,-59,0
6,-379,82,0,0,0,-59,0
7,-379,82,0,0,0,-59,0
8,-379,82,0,0,0,-59,0
9,-379,82,0,0,0,-59,0
10,-379,82,0,0,0,-59,0
11,-379,82,0,0,0,-59,0
12,-379,82,0,0,0,-59,0
13,-379,82,0,0,0,-59,0
14,-379,82,0,0,0,-59,0
15,-379,82,0,0,0,-59,0
16,-379,82,0,0,0,-59,0
17,-379,82,0,0,0,-59,0
18,-379,82,0,0,0,-59,0
19,-379,82,0,0,0,-59,0
20,-379,82,0,0,0,-59,0
21,-379,82,0,0,0,-59,0
22,-379,82,0,0,0,-59,0
23,-379,82,0,0,0,-59,0
24,-379,82,0,0,0,-59,0
25,-379,82,0,0,0,-59,0
26,-379,82,0,0,0,-59,0
27,-379,82,0,0,0,-59,0
28,-379,82,0,0,0,-59,0
29,-379,82,0,0,0,-59,0
30,-379,82,0,0,0,-59,0
31,-379,82,0,0,0,-59,0
32,-379,82,0,0,0,-59,0
33,-379,82,0,0,0,-59,0
34,-379,82,0,0,0,-59,0
35,-379,82,0,0,0,-59,0
36,-379,82,0,0,0,-59,0
37,-379,82,0,0,0,-59,0
38,-379,82,0,0,0,-59,0
39,-379,82,0,0,0,-59,0
40,-379,82,0,0,0,-59,0
41,-379,82,0,0,0,-59,0
42,-379,82,0,0,0,-59,0
43,-379,82,0,0,0,-59,0
44,-379,82,0,0,0,-59,0
45,-379,82,0,0,0,-59,0
46,-379,82,0,0,0,-59,0
47,-379,82,0,0,0,-59,0
48,-379,82,0,0,0,-59,0
49,-379,82,0,0,0,-59,0
50,-379,82,0,0,0,-59,0
51,-379,82,0,0,0,-59,0
52,-379,82,0,0,0,-59,0
53,-379,82,0,0,0,-59,0
54,-379,82,0,0,0,-59,0
55,-379,82,0,0,0,-59,0
56,-379,82,0,0,0,-59,0
57,-379,82,0,0,0,-59,0
58,-379,82,0,0,0,-59,0
59,-379,82,0,0,0,-59,0
60,-379,82,0,0,0,-59,0
61,-379,82,0,0,0,-59,0
62,-379,82,0,0,0,-59,0
63,-379,82,0,0,0,-59,0
64,-379,82,0,0,0,-59,0
65,-379,82,0,0,0,-59,0
66,-379,82,0,0,0,-59,0
67,-379,82,0,0,0,-59,0
68,-379,82,0,0,0,-59,0
69,-379,82,0,0,0,-59,0
70,-379,82,0,0,0,-59,0
71,-379,82,0,0,0,-59,0
72,-379,82,0,0,0,-59,0
73,-379,82,0,0,0,-59,0
74,-379,82,0,0,0,-59,0
75,-379,82,0,0,0,-59,0
76,-379,82,1,0,0,-59,0
77,-379,82,1,0,0,-59,0
78,-379,82,1,0,0,-59,0
79,-379,82,1,0,0,-59,0
80,-379,82,1,0,0,-59,0
81,-379,82,1,0,0,-59,0
82,-379,82,1,0,0,-59,0
83,-379,82,1,0,0,-59,0
84,-379,82,1,0,0,-59,0
85,-379,82,1,0,0,-59,0
86,-379,82,1,0,0,-59,0
87,-379,82,1,0,0,-59,0
88,-380,82,1,0,0,-59,0
89,-380,82,1,0,0,-59,0
90,-381,82,1,0,0,-59,0
91,-383,81,1,0,0,-59,0
92,-384,80,1,0,0,-59,0
93,-384,80,1,0,0,-59,0
94,-385,80,1,0,0,-59,0
95,-385,81,1,0,0,-59,0
96,-387,82,1,0,0,-59,0
97,-389,83,1,0,0,-59,0
98,-389,83,1,0,0,-59,0
99,-390,84,1,0,0,-59,0
100,-390,84,1,0,0,-59,0
101,-390,84,1,0,0,-59,0
102,-390,84,1,0,0,-59,0
103,-390,84,1,0,0,-59,0
104,-391,84,1,0,0,-59,0
105,-392,83,1,0,0,-59,0
106,-392,83,1,0,0,-59,0
107,-392,83,1,0,0,-59,0
108,-392,83,1,0,0,-59,0
109,-392,83,1,0,0,-59,0
110,-392,83,1,0,0,-59,0
111,-392,83,1,0,0,-59,0
112,-392,83,1,0,0,-59,0
113,-392,83,1,0,0,-59,0
114,-392,83,1,0,0,-59,0
115,-392,83,1,0,0,-59,0
116,-392,83,1,0,0,-59,0
117,-392,83,1,0,0,-59,0
118,-392,83,1,0,0,-59,0
119,-392,83,1,0,0,-59,0
120,-392,83,1,0,0,-59,0
121,-392,83,1,0,0,-59,0
122,-392,83,1,0,0,-59,0
123,-392,83,1,0,0,-59,0
124,-392,83,1,0,0,-59,0
125,-392,83,1,0,0,-59,0
126,-392,83,1,0,0,-59,0
127,-392,83,1,0,0,-59,0
128,-392,83,1,0,0,-59,0
129,-392,83,1,0,0,-59,0
130,-392,83,1,0,0,-59,0
131,-392,83,1,0,0,-59,0
