t,x,y,fh,fv,r,s,frame:
0,-537,103,0,0,0,-109,0
1,-537,103,0,0,0,-109,0
2,-537,103,0,0,0,-109,0
3,-537,103,0,0,0,-109,0
4,-537,103,0,0,0,-109,0
5,-537,103,0,0,0,-109,0
6,-537,103,0,0,0,-109,0
7,-537,103,0,0,0,-109,0
8,-537,103,0,0,0,-109,0
9,-537,103,0,0,0,-109,0
10,-537,103,0,0,0,-109,0
11,-537,103,0,0,0,-109,0
12,-537,103,0,0,0,-109,0
13,-537,103,0,0,0,-109,0
14,-537,103,0,0,0,-109,0
15,-537,103,0,0,0,-109,0
16,-537,103,0,0,0,-109,0
17,-537,103,0,0,0,-109,0
18,-537,103,0,0,0,-109,0
19,-537,103,0,0,0,-109,0
20,-537,103,0,0,0,-109,0
21,-537,103,0,0,0,-109,0
22,-537,103,0,0,0,-109,0
23,-537,103,0,0,0,-109,0
24,-537,103,0,0,0,-109,0
25,-537,103,0,0,0,-109,0
26,-537,103,0,0,0,-109,0
27,-537,103,0,0,0,-109,0
28,-537,103,0,0,0,-109,0
29,-537,103,0,0,0,-109,0
30,-537,103,0,0,0,-109,0
31,-537,103,0,0,0,-109,0
32,-537,103,0,0,0,-109,0
33,-537,103,0,0,0,-109,0
34,-537,103,0,0,0,-109,0
35,-537,103,0,0,0,-109,0
36,-537,103,0,0,0,-109,0
37,-537,103,0,0,0,-109,0
38,-537,103,0,0,0,-109,0
39,-537,103,0,0,0,-109,0
40,-537,103,0,0,0,-109,0
41,-537,103,0,0,0,-109,0
42,-537,103,0,0,0,-109,0
43,-537,103,0,0,0,-109,0
44,-537,103,0,0,0,-109,0
45,-537,103,0,0,0,-109,0
46,-537,103,0,0,0,-109,0
47,-537,103,0,0,0,-109,0
48,-537,103,0,0,0,-109,0
49,-537,103,0,0,0,-109,0
50,-537,103,0,0,0,-109,0
51,-537,103,0,0,0,-109,0
52,-537,103,0,0,0,-109,0
53,-537,103,0,0,0,-109,0
54,-537,103,0,0,0,-109,0
55,-537,103,0,0,0,-109,0
56,-537,103,0,0,0,-109,0
57,-537,103,0,0,0,-109,0
58,-537,103,0,0,0,-109,0
59,-537,103,0,0,0,-109,0
60,-537,103,0,0,0,-109,0
61,-537,103,0,0,0,-109,0
62,-537,103,0,0,0,-109,0
63,-537,103,0,0,0,-109,0
64,-537,103,0,0,0,-109,0
65,-537,103,0,0,0,-109,0
66,-537,103,0,0,0,-109,0
67,-537,103,0,0,0,-109,0
68,-537,103,0,0,0,-109,0
69,-537,103,0,0,0,-109,0
70,-537,103,0,0,0,-109,0
71,-537,103,0,0,0,-109,0
72,-537,103,0,0,0,-109,0
73,-537,103,0,0,0,-109,0
74,-537,103,0,0,0,-109,0
75,-537,103,0,0,0,-109,0
76,-537,103,0,0,0,-109,0
77,-537,103,0,0,0,-109,0
78,-537,103,0,0,0,-109,0
79,-537,103,0,0,0,-109,0
80,-537,103,0,0,0,-109,0
81,-537,103,0,0,0,-109,0
82,-537,103,0,0,0,-109,0
83,-537,103,0,0,0,-109,0
84,-537,103,0,0,0,-109,0
85,-537,103,0,0,0,-109,0
86,-537,103,0,0,0,-109,0
87,-537,103,0,0,0,-109,0
88,-537,103,0,0,0,-109,0
89,-537,103,0,0,0,-109,0
90,-537,103,0,0,0,-109,0
91,-537,103,0,0,0,-109,0
92,-537,103,0,0,0,-109,0
93,-537,103,0,0,0,-109,0
94,-537,103,0,0,0,-109,0
95,-537,103,0,0,0,-109,0
96,-537,103,0,0,0,-109,0
97,-537,103,0,0,0,-109,0
98,-537,103,0,0,0,-109,0
99,-537,103,0,0,0,-109,0
100,-537,103,0,0,0,-109,0
101,-537,103,0,0,0,-109,0
102,-537,103,0,0,0,-109,0
103,-537,103,0,0,0,-109,0
104,-537,103,0,0,0,-109,0
105,-537,103,0,0,0,-109,0
106,-537,103,0,0,0,-109,0
107,-537,103,0,0,0,-109,0
108,-537,103,0,0,0,-109,0
109,-537,103,0,0,0,-109,0
110,-537,103,0,0,0,-109,0
111,-537,103,0,0,0,-109,0
112,-537,103,0,0,0,-109,0
113,-537,103,0,0,0,-109,0
114,-537,103,0,0,0,-109,0
115,-537,103,0,0,0,-109,0
116,-537,103,0,0,0,-109,0
117,-537,103,0,0,0,-109,0
118,-537,103,0,0,0,-109,0
119,-537,103,0,0,0,-109,0
120,-537,103,0,0,0,-109,0
121,-537,103,0,0,0,-109,0
122,-537,103,0,0,0,-109,0
123,-537,103,0,0,0,-109,0
124,-537,103,0,0,0,-109,0
125,-537,103,0,0,0,-109,0
126,-537,103,0,0,0,-109,0
127,-537,103,0,0,0,-109,0
128,-537,103,0,0,0,-109,0
129,-537,103,0,0,0,-109,0
130,-537,103,0,0,0,-109,0
131,-537,103,0,0,0,-109,0
132,-537,103,0,0,0,-109,0
133,-537,103,0,0,0,-109,0
134,-537,103,0,0,0,-109,0
135,-537,103,0,0,0,-109,0
136,-537,103,0,0,0,-109,0
137,-537,103,0,0,0,-109,0
138,-537,103,0,0,0,-109,0
139,-537,103,0,0,0,-109,0
140,-537,103,0,0,0,-109,0
141,-537,103,0,0,0,-109,0
142,-537,103,0,0,0,-109,0
143,-537,103,0,0,0,-109,0
144,-537,103,0,0,0,-109,0
145,-537,103,0,0,0,-109,0
146,-537,103,0,0,0,-109,0
147,-537,103,0,0,0,-109,0
148,-537,103,0,0,0,-109,0
149,-537,103,0,0,0,-109,0
150,-537,103,0,0,0,-109,0
151,-537,103,0,0,0,-109,0
152,-537,103,0,0,0,-109,0
153,-537,103,0,0,0,-109,0
154,-537,103,0,0,0,-109,0
155,-537,103,0,0,0,-109,0
156,-537,103,0,0,0,-109,0
157,-537,103,0,0,0,-109,0
158,-537,103,0,0,0,-109,0
159,-537,103,0,0,0,-109,0
160,-537,103,0,0,0,-109,0
161,-537,103,0,0,0,-109,0
162,-537,103,0,0,0,-109,0
163,-537,103,0,0,0,-109,0
164,-537,103,0,0,0,-109,0
165,-537,103,0,0,0,-109,0
166,-537,103,0,0,0,-109,0
167,-537,103,0,0,0,-109,0
168,-537,103,0,0,0,-109,0
169,-537,103,0,0,0,-109,0
170,-537,103,0,0,0,-109,0
171,-537,103,0,0,0,-109,0
172,-537,103,0,0,0,-109,0
173,-537,103,0,0,0,-109,0
174,-537,103,0,0,0,-109,0
175,-537,103,0,0,0,-109,0
176,-537,103,0,0,0,-109,0
177,-537,103,0,0,0,-109,0
178,-537,103,0,0,0,-109,0
179,-537,103,0,0,0,-109,0
180,-537,103,0,0,0,-109,0
181,-537,103,0,0,0,-109,0
182,-537,103,0,0,0,-109,0
183,-537,103,0,0,0,-109,0
184,-537,103,0,0,0,-109,0
185,-537,103,0,0,0,-109,0
186,-537,103,0,0,0,-109,0
187,-537,103,0,0,0,-109,0
188,-537,103,0,0,0,-109,0
189,-537,103,0,0,0,-109,0
190,-537,103,0,0,0,-109,0
191,-537,103,0,0,0,-109,0
192,-537,103,0,0,0,-109,0
193,-537,103,0,0,0,-109,0
194,-537,103,0,0,0,-109,0
195,-537,103,0,0,0,-109,0
196,-537,103,0,0,0,-109,0
197,-537,103,0,0,0,-109,0
198,-537,103,0,0,0,-109,0
199,-537,103,0,0,0,-109,0
200,-537,103,0,0,0,-109,0
201,-537,103,0,0,0,-109,0
202,-537,103,0,0,0,-109,0
203,-537,103,0,0,0,-109,0
204,-537,103,0,0,0,-109,0
205,-537,103,0,0,0,-109,0
206,-537,103,0,0,0,-109,0
207,-537,103,0,0,0,-109,0
208,-537,103,0,0,0,-109,0
209,-537,103,0,0,0,-109,0
210,-537,103,0,0,0,-109,0
211,-537,103,0,0,0,-109,0
212,-537,103,0,0,0,-109,0
213,-537,103,0,0,0,-109,0
214,-537,103,0,0,0,-109,0
215,-537,103,0,0,0,-109,0
216,-537,103,0,0,0,-109,0
217,-537,103,0,0,0,-109,0
218,-537,103,0,0,0,-109,0
219,-537,103,0,0,0,-109,0
220,-537,103,0,0,0,-109,0
221,-537,103,0,0,0,-109,0
222,-537,103,0,0,0,-109,0
223,-537,103,0,0,0,-109,0
224,-537,103,0,0,0,-109,0
225,-537,103,0,0,0,-109,0
226,-537,103,0,0,0,-109,0
227,-537,103,0,0,0,-109,0
228,-537,103,0,0,0,-109,0
229,-537,103,0,0,0,-109,0
