t,x,y,fh,fv,r,s,frame:
0,481,25,0,0,0,-75,0
1,481,25,0,0,0,-75,0
2,481,25,0,0,0,-75,0
3,481,25,0,0,0,-75,0
4,481,25,0,0,0,-75,0
5,481,25,0,0,0,-75,0
6,481,25,0,0,0,-75,0
7,481,25,0,0,0,-75,0
8,481,25,0,0,0,-75,0
9,481,25,0,0,0,-75,0
10,481,25,0,0,0,-75,0
11,481,25,0,0,0,-75,0
12,481,25,0,0,0,-75,0
13,481,25,0,0,0,-75,0
14,481,25,0,0,0,-75,0
15,481,25,0,0,0,-75,0
16,481,25,0,0,0,-75,0
17,481,25,0,0,0,-75,0
18,481,25,0,0,0,-75,0
19,481,25,0,0,0,-75,0
20,481,25,0,0,0,-75,0
21,481,25,0,0,0,-75,0
22,481,25,0,0,0,-75,0
23,481,25,0,0,0,-75,0
24,481,25,0,0,0,-75,0
25,481,25,0,0,0,-75,0
26,481,25,0,0,0,-75,0
27,481,25,0,0,0,-75,0
28,481,25,0,0,0,-75,0
29,481,25,0,0,0,-75,0
30,481,25,0,0,0,-75,0
31,481,25,0,0,0,-75,0
32,481,25,0,0,0,-75,0
33,481,25,0,0,0,-75,0
34,481,25,0,0,0,-75,0
35,481,25,0,0,0,-75,0
36,481,25,0,0,0,-75,0
37,481,25,0,0,0,-75,0
38,481,25,0,0,0,-75,0
39,481,25,0,0,0,-75,0
40,481,25,0,0,0,-75,0
41,481,25,0,0,0,-75,0
42,481,25,0,0,0,-75,0
43,481,25,0,0,0,-75,0
44,481,25,0,0,0,-75,0
45,481,25,0,0,0,-75,0
46,481,25,0,0,0,-75,0
47,481,25,0,0,0,-75,0
48,481,25,0,0,0,-75,0
49,481,25,0,0,0,-75,0
50,481,25,0,0,0,-75,0
51,481,25,0,0,0,-75,0
52,481,25,0,0,0,-75,0
53,481,25,0,0,0,-75,0
54,481,25,0,0,0,-75,0
55,481,25,0,0,0,-75,0
56,481,25,0,0,0,-75,0
57,481,25,0,0,0,-75,0
58,481,25,0,0,0,-75,0
59,481,25,0,0,0,-75,0
60,481,25,0,0,0,-75,0
61,481,25,0,0,0,-75,0
62,481,25,0,0,0,-75,0
63,481,25,0,0,0,-75,0
64,481,25,0,0,0,-75,0
65,481,25,0,0,0,-75,0
66,481,25,0,0,0,-75,0
67,481,25,0,0,0,-75,0
68,481,25,0,0,0,-75,0
69,481,25,0,0,0,-75,0
70,481,25,0,0,0,-75,0
71,481,25,0,0,0,-75,0
72,481,25,0,0,0,-75,0
73,481,25,0,0,0,-75,0
74,481,25,0,0,0,-75,0
75,481,25,0,0,0,-75,0
76,481,25,0,0,0,-75,0
77,481,25,0,0,0,-75,0
78,481,25,0,0,0,-75,0
79,481,25,0,0,0,-75,0
80,481,25,0,0,0,-75,0
81,481,25,0,0,0,-75,0
82,481,25,0,0,0,-75,0
83,481,25,0,0,0,-75,0
84,481,25,0,0,0,-75,0
85,481,25,0,0,0,-75,0
86,481,25,0,0,0,-75,0
87,481,25,0,0,0,-75,0
88,481,25,0,0,0,-75,0
89,481,25,0,0,0,-75,0
90,481,25,0,0,0,-75,0
91,481,25,0,0,0,-75,0
92,481,25,0,0,0,-75,0
93,481,25,0,0,0,-75,0
94,481,25,0,0,0,-75,0
