t,x,y,fh,fv,r,s,frame:
0,314,172,1,0,0,-116,0
1,314,172,1,0,0,-116,0
2,314,172,1,0,0,-116,0
3,314,172,1,0,0,-116,0
4,314,172,1,0,0,-116,0
5,314,172,1,0,0,-116,0
6,314,172,1,0,0,-116,0
7,314,172,1,0,0,-116,0
8,314,172,1,0,0,-116,0
9,314,172,1,0,0,-116,0
10,314,172,1,0,0,-116,0
11,314,172,1,0,0,-116,0
12,314,172,1,0,0,-116,0
13,314,172,1,0,0,-116,0
14,314,172,1,0,0,-116,0
15,314,172,1,0,0,-116,0
16,314,172,1,0,0,-116,0
17,314,172,1,0,0,-116,0
18,314,172,1,0,0,-116,0
19,314,172,1,0,0,-116,0
20,314,172,1,0,0,-116,0
21,314,172,1,0,0,-116,0
22,314,172,1,0,0,-116,0
23,314,172,1,0,0,-116,0
24,314,172,1,0,0,-116,0
25,314,172,1,0,0,-116,0
26,314,172,1,0,0,-116,0
27,314,172,1,0,0,-116,0
28,314,172,1,0,0,-116,0
29,314,172,1,0,0,-116,0
30,314,172,1,0,0,-116,0
31,314,172,1,0,0,-116,0
32,314,172,1,0,0,-116,0
33,314,172,1,0,0,-116,0
34,314,172,1,0,0,-116,0
35,314,172,1,0,0,-116,0
36,314,172,1,0,0,-116,0
37,314,172,1,0,0,-116,0
38,314,172,1,0,0,-116,0
39,314,172,1,0,0,-116,0
40,314,172,1,0,0,-116,0
41,314,172,1,0,0,-116,0
42,314,172,1,0,0,-116,0
43,314,172,1,0,0,-116,0
44,314,172,1,0,0,-116,0
45,314,172,1,0,0,-116,0
46,314,172,1,0,0,-116,0
47,314,172,1,0,0,-116,0
48,314,172,1,0,0,-116,0
49,314,172,1,0,0,-116,0
50,314,172,1,0,0,-116,0
51,314,172,1,0,0,-116,0
52,314,172,1,0,0,-116,0
53,314,172,1,0,0,-116,0
54,314,172,1,0,0,-116,0
55,314,172,1,0,0,-116,0
56,314,172,1,0,0,-116,0
57,314,172,1,0,0,-116,0
58,314,172,1,0,0,-116,0
59,314,172,1,0,0,-116,0
60,314,172,1,0,0,-116,0
61,314,172,1,0,0,-116,0
62,314,172,1,0,0,-116,0
63,314,172,1,0,0,-116,0
64,314,172,1,0,0,-116,0
65,314,172,1,0,0,-116,0
66,314,172,1,0,0,-116,0
67,314,172,1,0,0,-116,0
68,314,172,1,0,0,-116,0
