t,x,y,fh,fv,r,s,frame:
0,-542,259,0,0,0,-79,0
1,-542,259,0,0,0,-79,0
2,-542,259,0,0,0,-79,0
3,-542,259,0,0,0,-79,0
4,-542,259,0,0,0,-79,0
5,-542,259,0,0,0,-79,0
6,-542,259,0,0,0,-79,0
7,-542,259,0,0,0,-79,0
8,-542,259,0,0,0,-79,0
9,-542,259,0,0,0,-79,0
10,-542,259,0,0,0,-79,0
11,-542,259,0,0,0,-79,0
12,-542,259,0,0,0,-79,0
13,-542,259,0,0,0,-79,0
14,-542,259,0,0,0,-79,0
15,-542,259,0,0,0,-79,0
16,-542,259,0,0,0,-79,0
17,-542,259,0,0,0,-79,0
18,-542,259,0,0,0,-79,0
19,-542,259,0,0,0,-79,0
20,-542,259,0,0,0,-79,0
21,-542,259,0,0,0,-79,0
22,-542,259,0,0,0,-79,0
23,-542,259,0,0,0,-79,0
24,-542,259,0,0,0,-79,0
25,-542,259,0,0,0,-79,0
26,-542,259,0,0,0,-79,0
27,-542,259,0,0,0,-79,0
28,-542,259,0,0,0,-79,0
29,-542,259,0,0,0,-79,0
30,-542,259,0,0,0,-79,0
31,-542,259,0,0,0,-79,0
32,-542,259,0,0,0,-79,0
33,-542,259,0,0,0,-79,0
34,-542,259,0,0,0,-79,0
35,-542,259,0,0,0,-79,0
36,-542,259,0,0,0,-79,0
37,-542,259,0,0,0,-79,0
38,-542,259,0,0,0,-79,0
39,-542,259,0,0,0,-79,0
40,-542,259,0,0,0,-79,0
41,-542,259,0,0,0,-79,0
42,-542,259,0,0,0,-79,0
43,-542,259,0,0,0,-79,0
44,-542,259,0,0,0,-79,0
45,-542,259,0,0,0,-79,0
46,-542,259,0,0,0,-79,0
47,-542,259,0,0,0,-79,0
48,-542,259,0,0,0,-79,0
49,-542,259,0,0,0,-79,0
50,-542,259,0,0,0,-79,0
51,-542,259,0,0,0,-79,0
52,-542,259,0,0,0,-79,0
53,-542,259,0,0,0,-79,0
54,-542,259,0,0,0,-79,0
55,-542,259,0,0,0,-79,0
56,-542,259,0,0,0,-79,0
57,-542,259,0,0,0,-79,0
58,-542,259,0,0,0,-79,0
59,-542,259,0,0,0,-79,0
60,-542,259,0,0,0,-79,0
61,-542,259,0,0,0,-79,0
62,-542,259,0,0,0,-79,0
63,-542,259,0,0,0,-79,0
64,-542,259,0,0,0,-79,0
65,-542,259,0,0,0,-79,0
66,-542,259,0,0,0,-79,0
67,-542,259,0,0,0,-79,0
68,-542,259,0,0,0,-79,0
69,-542,259,0,0,0,-79,0
70,-542,259,0,0,0,-79,0
71,-542,259,0,0,0,-79,0
72,-542,259,0,0,0,-79,0
73,-542,259,0,0,0,-79,0
74,-542,259,0,0,0,-79,0
75,-542,259,0,0,0,-79,0
76,-542,259,0,0,0,-79,0
77,-542,259,0,0,0,-79,0
78,-542,259,0,0,0,-79,0
79,-542,259,0,0,0,-79,0
80,-542,259,0,0,0,-79,0
