t,x,y,fh,fv,r,s,frame:
0,562,-281,0,0,0,-108,0
1,562,-281,0,0,0,-108,0
2,562,-281,0,0,0,-108,0
3,562,-281,0,0,0,-108,0
4,562,-281,0,0,0,-108,0
5,562,-281,0,0,0,-108,0
6,562,-281,0,0,0,-108,0
7,562,-281,0,0,0,-108,0
8,562,-281,0,0,0,-108,0
9,562,-281,0,0,0,-108,0
10,562,-281,0,0,0,-108,0
11,562,-281,0,0,0,-108,0
12,562,-281,0,0,0,-108,0
13,562,-281,0,0,0,-108,0
14,562,-281,0,0,0,-108,0
15,562,-281,0,0,0,-108,0
16,562,-281,0,0,0,-108,0
17,562,-281,0,0,0,-108,0
18,562,-281,0,0,0,-108,0
19,562,-281,0,0,0,-108,0
20,562,-281,0,0,0,-108,0
21,562,-281,0,0,0,-108,0
22,562,-281,0,0,0,-108,0
23,562,-281,0,0,0,-108,0
24,562,-281,0,0,0,-108,0
25,562,-281,0,0,0,-108,0
26,562,-281,0,0,0,-108,0
27,562,-281,0,0,0,-108,0
28,562,-281,0,0,0,-108,0
29,562,-281,0,0,0,-108,0
30,562,-281,0,0,0,-108,0
31,562,-281,0,0,0,-108,0
32,562,-281,0,0,0,-108,0
33,562,-281,0,0,0,-108,0
34,562,-281,0,0,0,-108,0
35,562,-281,0,0,0,-108,0
36,562,-281,0,0,0,-108,0
37,562,-281,0,0,0,-108,0
38,562,-281,0,0,0,-108,0
39,562,-281,0,0,0,-108,0
40,562,-281,0,0,0,-108,0
41,562,-281,0,0,0,-108,0
42,562,-281,0,0,0,-108,0
43,562,-281,0,0,0,-108,0
44,562,-281,0,0,0,-108,0
45,562,-281,0,0,0,-108,0
46,562,-281,0,0,0,-108,0
47,562,-281,0,0,0,-108,0
48,562,-281,0,0,0,-108,0
49,562,-281,0,0,0,-108,0
50,562,-281,0,0,0,-108,0
51,562,-281,0,0,0,-108,0
52,562,-281,0,0,0,-108,0
53,562,-281,0,0,0,-108,0
54,562,-281,0,0,0,-108,0
55,562,-281,0,0,0,-108,0
56,562,-281,0,0,0,-108,0
57,562,-281,0,0,0,-108,0
58,562,-281,0,0,0,-108,0
59,562,-281,0,0,0,-108,0
60,562,-281,0,0,0,-108,0
61,562,-281,0,0,0,-108,0
62,562,-281,0,0,0,-108,0
63,562,-281,0,0,0,-108,0
64,562,-281,0,0,0,-108,0
65,562,-281,0,0,0,-108,0
66,562,-281,0,0,0,-108,0
67,562,-281,0,0,0,-108,0
68,562,-281,0,0,0,-108,0
69,562,-281,0,0,0,-108,0
70,562,-281,0,0,0,-108,0
71,562,-281,0,0,0,-108,0
72,562,-281,0,0,0,-108,0
73,562,-281,0,0,0,-108,0
74,562,-281,0,0,0,-108,0
75,562,-281,0,0,0,-108,0
76,562,-281,0,0,0,-108,0
77,562,-281,0,0,0,-108,0
78,562,-281,0,0,0,-108,0
79,562,-281,0,0,0,-108,0
