t,x,y,fh,fv,r,s,frame:
0,-198,102,0,0,0,0,0
1,-198,102,0,0,0,0,0
2,-198,102,0,0,0,0,0
3,-198,102,0,0,0,0,0
4,-198,102,0,0,0,0,0
5,-198,102,0,0,0,0,0
6,-198,102,0,0,0,0,0
7,-195,102,0,0,0,0,0
8,-189,101,0,0,0,0,0
9,-182,99,0,0,0,0,0
10,-171,96,0,0,0,0,0
11,-159,92,0,0,0,0,0
12,-142,89,0,0,0,0,0
13,-130,89,0,0,0,0,0
14,-121,89,0,0,0,0,0
15,-112,89,0,0,0,0,0
16,-109,90,0,0,0,0,0
17,-107,90,0,0,0,0,0
18,-107,91,0,0,0,0,0
19,-105,93,0,0,0,0,0
20,-101,98,0,0,0,0,0
21,-98,101,0,0,0,0,0
22,-93,107,0,0,0,0,0
23,-88,112,0,0,0,0,0
24,-84,116,0,0,0,0,0
25,-81,119,0,0,0,0,0
26,-79,120,0,0,0,0,0
27,-78,121,0,0,0,0,0
28,-77,122,0,0,0,0,0
29,-77,122,0,0,0,0,0
30,-76,122,0,0,0,0,0
31,-74,122,0,0,0,0,0
32,-71,123,0,0,0,0,0
33,-65,123,0,0,0,0,0
34,-55,123,0,0,0,0,0
35,-47,121,0,0,0,0,0
36,-41,120,0,0,0,0,0
37,-34,119,0,0,0,0,0
38,-29,116,0,0,0,0,0
39,-22,113,0,0,0,0,0
40,-22,113,0,0,0,0,0
41,-19,112,0,0,0,0,0
42,-6,107,0,0,0,0,0
43,-2,105,0,0,0,0,0
44,2,105,0,0,0,0,0
45,7,104,0,0,0,0,0
46,13,104,0,0,0,0,0
47,17,104,0,0,0,0,0
48,23,104,0,0,0,0,0
49,28,104,0,0,0,0,0
50,31,105,0,0,0,0,0
51,33,105,0,0,0,0,0
52,33,105,0,0,0,0,0
53,37,106,0,0,0,0,0
54,41,107,0,0,0,0,0
55,44,108,0,0,0,0,0
56,49,110,0,0,0,0,0
57,50,110,0,0,0,0,0
58,51,110,0,0,0,0,0
59,51,110,0,0,0,0,0
60,51,110,0,0,0,0,0
61,52,110,0,0,0,0,0
62,52,110,0,0,0,0,0
63,52,110,0,0,0,0,0
64,52,110,0,0,0,0,0
65,52,111,0,0,0,0,0
66,52,111,0,0,0,0,0
67,52,111,0,0,0,0,0
68,52,111,0,0,0,0,0
69,52,111,0,0,0,0,0
70,52,111,0,0,0,0,0
71,52,111,0,0,0,0,0
72,52,111,0,0,0,0,0
73,52,111,0,0,0,0,0
74,52,111,0,0,0,0,0
75,62,112,1,0,0,0,0
76,62,112,1,0,0,0,0
77,62,112,1,0,0,0,0
78,63,112,1,0,0,0,0
79,63,112,1,0,0,0,0
80,63,112,1,0,0,0,0
81,63,112,1,0,0,0,0
82,63,112,1,0,0,0,0
83,63,112,1,0,0,0,0
84,63,112,1,0,0,0,0
85,63,112,1,0,0,0,0
86,63,112,1,0,0,0,0
87,64,110,1,0,0,0,0
88,64,107,1,0,0,0,0
89,65,104,1,0,0,0,0
90,66,99,1,0,0,0,0
91,66,97,1,0,0,0,0
92,66,96,1,0,0,0,0
93,66,96,1,0,0,0,0
94,66,96,1,0,0,0,0
95,66,96,1,0,0,0,0
96,66,96,1,0,0,0,0
97,66,96,1,0,0,0,0
98,66,95,1,0,0,0,0
99,65,93,1,0,0,0,0
100,63,91,1,0,0,0,0
101,61,89,1,0,0,0,0
102,59,88,1,0,0,0,0
103,57,86,1,0,0,0,0
104,54,85,1,0,0,0,0
105,50,83,1,0,0,0,0
106,47,83,1,0,0,0,0
107,44,82,1,0,0,0,0
108,41,80,1,0,0,0,0
109,39,80,1,0,0,0,0
110,37,79,1,0,0,0,0
111,30,79,1,0,0,0,0
112,23,79,1,0,0,0,0
113,16,79,1,0,0,0,0
114,9,79,1,0,0,0,0
115,2,80,1,0,0,0,0
116,-3,81,1,0,0,0,0
117,-6,81,1,0,0,0,0
118,-7,81,1,0,0,0,0
119,-7,81,1,0,0,0,0
120,-7,81,1,0,0,0,0
121,-7,81,1,0,0,0,0
122,-7,81,1,0,0,0,0
123,-7,81,1,0,0,0,0
124,-7,81,1,0,0,0,0
125,-7,81,1,0,0,0,0
126,-7,81,1,0,0,0,0
127,-7,81,1,0,0,0,0
128,-11,82,1,0,0,0,0
129,-17,83,1,0,0,0,0
130,-23,83,1,0,0,0,0
131,-28,84,1,0,0,0,0
132,-32,84,1,0,0,0,0
133,-37,85,1,0,0,0,0
134,-44,85,1,0,0,0,0
135,-53,86,1,0,0,0,0
136,-61,86,1,0,0,0,0
137,-66,86,1,0,0,0,0
138,-72,86,1,0,0,0,0
139,-78,86,1,0,0,0,0
140,-85,84,1,0,0,0,0
141,-88,82,1,0,0,0,0
142,-92,79,1,0,0,0,0
143,-96,75,1,0,0,0,0
144,-100,71,1,0,0,0,0
145,-105,68,1,0,0,0,0
146,-110,66,1,0,0,0,0
147,-113,64,1,0,0,0,0
148,-116,63,1,0,0,0,0
149,-119,62,1,0,0,0,0
150,-125,61,1,0,0,0,0
151,-132,60,1,0,0,0,0
152,-139,59,1,0,0,0,0
153,-147,59,1,0,0,0,0
154,-152,59,1,0,0,0,0
155,-157,59,1,0,0,0,0
156,-162,60,1,0,0,0,0
157,-167,62,1,0,0,0,0
158,-169,63,1,0,0,0,0
159,-171,63,1,0,0,0,0
160,-174,65,1,0,0,0,0
161,-176,65,1,0,0,0,0
162,-178,66,1,0,0,0,0
163,-183,69,1,0,0,0,0
164,-187,71,1,0,0,0,0
165,-190,73,1,0,0,0,0
166,-192,75,1,0,0,0,0
167,-195,78,1,0,0,0,0
168,-197,80,1,0,0,0,0
169,-199,81,1,0,0,0,0
170,-200,82,1,0,0,0,0
171,-200,83,1,0,0,0,0
172,-201,83,1,0,0,0,0
173,-201,83,1,0,0,0,0
174,-201,83,1,0,0,0,0
175,-201,83,1,0,0,0,0
176,-201,83,1,0,0,0,0
177,-201,83,1,0,0,0,0
178,-202,85,1,0,0,0,0
179,-202,85,1,0,0,0,0
180,-202,86,1,0,0,0,0
181,-203,87,1,0,0,0,0
182,-203,88,1,0,0,0,0
183,-204,89,1,0,0,0,0
184,-205,89,1,0,0,0,0
185,-205,89,1,0,0,0,0
186,-205,89,1,0,0,0,0
187,-205,89,1,0,0,0,0
188,-205,89,1,0,0,0,0
189,-205,89,1,0,0,0,0
190,-205,89,1,0,0,0,0
191,-205,89,1,0,0,0,0
192,-205,89,1,0,0,0,0
193,-205,89,1,0,0,0,0
194,-205,89,1,0,0,0,0
195,-205,89,1,0,0,0,0
196,-205,89,1,0,0,0,0
197,-205,89,1,0,0,0,0
198,-205,89,1,0,0,0,0
199,-205,89,1,0,0,0,0
200,-205,89,1,0,0,0,0
201,-205,89,1,0,0,0,0
202,-205,89,1,0,0,0,0
203,-205,89,1,0,0,0,0
