t,x,y,fh,fv,r,s,frame:
0,-337,78,0,0,0,0,0
1,-337,78,0,0,0,0,0
2,-337,78,0,0,0,0,0
3,-337,78,0,0,0,0,0
4,-337,78,0,0,0,0,0
5,-337,78,0,0,0,0,0
6,-336,77,0,0,0,0,0
7,-332,74,0,0,0,0,0
8,-327,71,0,0,0,0,0
9,-321,69,0,0,0,0,0
10,-315,67,0,0,0,0,0
11,-307,64,0,0,0,0,0
12,-302,62,0,0,0,0,0
13,-298,61,0,0,0,0,0
14,-293,60,0,0,0,0,0
15,-288,60,0,0,0,0,0
16,-285,60,0,0,0,0,0
17,-282,60,0,0,0,0,0
18,-279,61,0,0,0,0,0
19,-276,63,0,0,0,0,0
20,-271,66,0,0,0,0,0
21,-265,68,0,0,0,0,0
22,-261,71,0,0,0,0,0
23,-257,73,0,0,0,0,0
24,-254,76,0,0,0,0,0
25,-252,79,0,0,0,0,0
26,-249,82,0,0,0,0,0
27,-246,87,0,0,0,0,0
28,-244,89,0,0,0,0,0
29,-244,89,0,0,0,0,0
30,-244,89,0,0,0,0,0
31,-244,89,0,0,0,0,0
32,-244,89,0,0,0,0,0
33,-244,89,0,0,0,0,0
34,-244,89,0,0,0,0,0
35,-244,89,0,0,0,0,0
36,-244,89,0,0,0,0,0
37,-244,89,0,0,0,0,0
38,-241,88,0,0,0,0,0
39,-229,83,0,0,0,0,0
40,-221,80,0,0,0,0,0
41,-208,76,0,0,0,0,0
42,-200,73,0,0,0,0,0
43,-192,70,0,0,0,0,0
44,-186,68,0,0,0,0,0
45,-181,67,0,0,0,0,0
46,-175,66,0,0,0,0,0
47,-168,65,0,0,0,0,0
48,-162,64,0,0,0,0,0
49,-158,63,0,0,0,0,0
50,-154,63,0,0,0,0,0
51,-150,63,0,0,0,0,0
52,-144,63,0,0,0,0,0
53,-138,63,0,0,0,0,0
54,-132,63,0,0,0,0,0
55,-128,64,0,0,0,0,0
56,-126,64,0,0,0,0,0
57,-121,65,0,0,0,0,0
58,-117,67,0,0,0,0,0
59,-111,69,0,0,0,0,0
60,-107,70,0,0,0,0,0
61,-105,71,0,0,0,0,0
62,-105,71,0,0,0,0,0
63,-105,71,0,0,0,0,0
64,-105,71,0,0,0,0,0
65,-105,71,0,0,0,0,0
66,-105,71,0,0,0,0,0
67,-105,71,0,0,0,0,0
68,-105,71,0,0,0,0,0
69,-105,71,0,0,0,0,0
70,-105,71,0,0,0,0,0
71,-105,71,0,0,0,0,0
72,-105,71,0,0,0,0,0
73,-105,71,0,0,0,0,0
74,-105,71,0,0,0,0,0
75,-105,71,0,0,0,0,0
76,-105,71,0,0,0,0,0
77,-105,71,0,0,0,0,0
78,-105,71,0,0,0,0,0
79,-105,71,0,0,0,0,0
80,-105,71,0,0,0,0,0
81,-105,71,0,0,0,0,0
82,-105,71,0,0,0,0,0
83,-105,71,0,0,0,0,0
84,-96,74,1,0,0,0,0
85,-96,74,1,0,0,0,0
86,-96,74,1,0,0,0,0
87,-96,74,1,0,0,0,0
88,-96,74,1,0,0,0,0
89,-96,74,1,0,0,0,0
90,-96,74,1,0,0,0,0
91,-96,74,1,0,0,0,0
92,-96,74,1,0,0,0,0
93,-96,74,1,0,0,0,0
94,-96,74,1,0,0,0,0
95,-96,74,1,0,0,0,0
96,-96,74,1,0,0,0,0
97,-96,74,1,0,0,0,0
98,-96,74,1,0,0,0,0
99,-96,74,1,0,0,0,0
100,-96,74,1,0,0,0,0
101,-96,74,1,0,0,0,0
102,-96,74,1,0,0,0,0
103,-96,74,1,0,0,0,0
104,-96,74,1,0,0,0,0
105,-96,74,1,0,0,0,0
106,-96,74,1,0,0,0,0
107,-96,74,1,0,0,0,0
108,-96,74,1,0,0,0,0
109,-96,74,1,0,0,0,0
110,-96,74,1,0,0,0,0
111,-96,74,1,0,0,0,0
112,-96,74,1,0,0,0,0
113,-98,71,1,0,0,0,0
114,-102,68,1,0,0,0,0
115,-105,66,1,0,0,0,0
116,-109,64,1,0,0,0,0
117,-115,61,1,0,0,0,0
118,-119,59,1,0,0,0,0
119,-122,58,1,0,0,0,0
120,-127,57,1,0,0,0,0
121,-131,57,1,0,0,0,0
122,-135,56,1,0,0,0,0
123,-141,55,1,0,0,0,0
124,-145,55,1,0,0,0,0
125,-150,56,1,0,0,0,0
126,-157,57,1,0,0,0,0
127,-163,59,1,0,0,0,0
128,-169,61,1,0,0,0,0
129,-174,64,1,0,0,0,0
130,-177,65,1,0,0,0,0
131,-178,67,1,0,0,0,0
132,-180,69,1,0,0,0,0
133,-182,70,1,0,0,0,0
134,-183,71,1,0,0,0,0
135,-186,73,1,0,0,0,0
136,-190,76,1,0,0,0,0
137,-194,78,1,0,0,0,0
138,-198,79,1,0,0,0,0
139,-201,80,1,0,0,0,0
140,-201,80,1,0,0,0,0
141,-201,80,1,0,0,0,0
142,-201,80,1,0,0,0,0
143,-201,80,1,0,0,0,0
144,-201,80,1,0,0,0,0
145,-202,80,1,0,0,0,0
146,-212,77,1,0,0,0,0
147,-215,76,1,0,0,0,0
148,-221,73,1,0,0,0,0
149,-227,70,1,0,0,0,0
150,-233,68,1,0,0,0,0
151,-238,67,1,0,0,0,0
152,-241,66,1,0,0,0,0
153,-245,65,1,0,0,0,0
154,-248,64,1,0,0,0,0
155,-252,64,1,0,0,0,0
156,-256,64,1,0,0,0,0
157,-259,64,1,0,0,0,0
158,-263,64,1,0,0,0,0
159,-272,64,1,0,0,0,0
160,-277,63,1,0,0,0,0
161,-282,63,1,0,0,0,0
162,-286,63,1,0,0,0,0
163,-291,63,1,0,0,0,0
164,-294,63,1,0,0,0,0
165,-302,63,1,0,0,0,0
166,-307,63,1,0,0,0,0
167,-312,64,1,0,0,0,0
168,-317,67,1,0,0,0,0
169,-320,68,1,0,0,0,0
170,-323,68,1,0,0,0,0
171,-325,69,1,0,0,0,0
172,-328,70,1,0,0,0,0
173,-330,71,1,0,0,0,0
174,-332,71,1,0,0,0,0
175,-333,72,1,0,0,0,0
176,-333,72,1,0,0,0,0
177,-334,72,1,0,0,0,0
178,-336,73,1,0,0,0,0
179,-337,74,1,0,0,0,0
180,-337,74,1,0,0,0,0
181,-337,74,1,0,0,0,0
182,-337,74,1,0,0,0,0
183,-337,74,1,0,0,0,0
184,-337,74,1,0,0,0,0
185,-337,74,1,0,0,0,0
186,-337,74,1,0,0,0,0
187,-337,74,1,0,0,0,0
188,-337,74,1,0,0,0,0
189,-337,74,1,0,0,0,0
190,-337,74,1,0,0,0,0
191,-337,74,1,0,0,0,0
192,-337,74,1,0,0,0,0
193,-337,74,1,0,0,0,0
194,-337,74,1,0,0,0,0
195,-337,74,1,0,0,0,0
196,-337,74,1,0,0,0,0
197,-337,74,1,0,0,0,0
198,-337,74,1,0,0,0,0
199,-337,74,1,0,0,0,0
200,-337,74,1,0,0,0,0
201,-337,74,1,0,0,0,0
202,-337,74,1,0,0,0,0
203,-337,74,1,0,0,0,0
204,-337,74,1,0,0,0,0
