t,x,y,fh,fv,r,s,frame:
0,235,170,1,0,0,-69,0
1,235,170,1,0,0,-69,0
2,235,170,1,0,0,-69,0
3,235,170,1,0,0,-69,0
4,235,170,1,0,0,-69,0
5,235,170,1,0,0,-69,0
6,235,170,1,0,0,-69,0
7,235,170,1,0,0,-69,0
8,235,170,1,0,0,-69,0
9,235,170,1,0,0,-69,0
10,235,170,1,0,0,-69,0
11,235,170,1,0,0,-69,0
12,235,170,1,0,0,-69,0
13,235,170,1,0,0,-69,0
14,235,170,1,0,0,-69,0
15,235,170,1,0,0,-69,0
16,235,170,1,0,0,-69,0
17,235,170,1,0,0,-69,0
18,235,170,1,0,0,-69,0
19,235,170,1,0,0,-69,0
20,235,170,1,0,0,-69,0
21,235,170,1,0,0,-69,0
22,235,170,1,0,0,-69,0
23,235,170,1,0,0,-69,0
24,235,170,1,0,0,-69,0
25,235,170,1,0,0,-69,0
26,235,170,1,0,0,-69,0
27,235,170,1,0,0,-69,0
28,235,170,1,0,0,-69,0
29,235,170,1,0,0,-69,0
30,235,170,1,0,0,-69,0
31,235,170,1,0,0,-69,0
32,235,170,1,0,0,-69,0
33,235,170,1,0,0,-69,0
34,235,170,1,0,0,-69,0
35,235,170,1,0,0,-69,0
36,235,170,1,0,0,-69,0
37,235,170,1,0,0,-69,0
38,235,170,1,0,0,-69,0
39,235,170,1,0,0,-69,0
40,235,170,1,0,0,-69,0
41,235,170,1,0,0,-69,0
42,235,170,1,0,0,-69,0
43,235,170,1,0,0,-69,0
44,235,170,1,0,0,-69,0
45,235,170,1,0,0,-69,0
46,235,170,1,0,0,-69,0
47,235,170,1,0,0,-69,0
48,235,170,1,0,0,-69,0
49,235,170,1,0,0,-69,0
50,235,170,1,0,0,-69,0
51,235,170,1,0,0,-69,0
52,235,170,1,0,0,-69,0
53,235,170,1,0,0,-69,0
54,235,170,1,0,0,-69,0
55,235,170,1,0,0,-69,0
56,235,170,1,0,0,-69,0
57,235,170,1,0,0,-69,0
58,235,170,1,0,0,-69,0
59,235,170,1,0,0,-69,0
60,235,170,1,0,0,-69,0
61,235,170,1,0,0,-69,0
62,235,170,1,0,0,-69,0
63,235,170,1,0,0,-69,0
64,235,170,1,0,0,-69,0
65,248,182,1,0,0,-69,1
66,248,182,1,0,0,-69,1
67,248,182,1,0,0,-69,1
68,248,182,1,0,0,-69,1
69,248,182,1,0,0,-69,1
70,248,182,1,0,0,-69,1
71,248,182,1,0,0,-69,1
72,248,182,1,0,0,-69,1
73,248,182,1,0,0,-69,1
74,248,182,1,0,0,-69,1
75,248,182,1,0,0,-69,1
76,248,182,1,0,0,-69,1
77,248,182,1,0,0,-69,1
78,248,182,1,0,0,-69,1
79,248,182,1,0,0,-69,1
80,248,182,1,0,0,-69,1
81,248,182,1,0,0,-69,1
82,248,182,1,0,0,-69,1
83,248,182,1,0,0,-69,1
84,248,182,1,0,0,-69,1
85,248,182,1,0,0,-69,1
86,248,182,1,0,0,-69,1
87,248,182,1,0,0,-69,1
88,248,182,1,0,0,-69,1
89,248,182,1,0,0,-69,1
90,248,182,1,0,0,-69,1
91,248,182,1,0,0,-69,1
92,248,182,1,0,0,-69,1
93,248,182,1,0,0,-69,1
94,248,182,1,0,0,-69,1
95,248,182,1,0,0,-69,1
96,248,182,1,0,0,-69,1
97,248,182,1,0,0,-69,1
98,248,182,1,0,0,-69,1
99,248,182,1,0,0,-69,1
100,248,182,1,0,0,-69,1
101,248,182,1,0,0,-69,1
102,248,182,1,0,0,-69,1
103,248,182,1,0,0,-69,1
104,248,182,1,0,0,-69,1
105,248,182,1,0,0,-69,1
106,248,182,1,0,0,-69,1
107,248,182,1,0,0,-69,1
108,248,182,1,0,0,-69,1
109,248,182,1,0,0,-69,1
110,248,182,1,0,0,-69,1
111,248,182,1,0,0,-69,1
112,248,182,1,0,0,-69,1
113,248,182,1,0,0,-69,1
114,248,182,1,0,0,-69,1
115,248,182,1,0,0,-69,1
116,248,182,1,0,0,-69,1
117,248,182,1,0,0,-69,1
118,248,182,1,0,0,-69,1
119,248,182,1,0,0,-69,1
120,248,182,1,0,0,-69,1
121,248,182,1,0,0,-69,1
122,248,182,1,0,0,-69,1
123,248,182,1,0,0,-69,1
124,248,182,1,0,0,-69,1
125,248,182,1,0,0,-69,1
126,248,182,1,0,0,-69,1
127,248,182,1,0,0,-69,1
128,248,182,1,0,0,-69,1
129,248,182,1,0,0,-69,1
130,248,182,1,0,0,-69,1
131,248,182,1,0,0,-69,1
132,248,182,1,0,0,-69,1
133,248,182,1,0,0,-69,1
134,248,182,1,0,0,-69,1
135,248,182,1,0,0,-69,1
136,248,182,1,0,0,-69,1
137,248,182,1,0,0,-69,1
138,248,182,1,0,0,-69,1
139,248,182,1,0,0,-69,1
