t,x,y,fh,fv,r,s,frame:
0,0,170,0,0,0,-70,0
1,0,170,0,0,0,-70,0
2,0,170,0,0,0,-70,0
3,0,170,0,0,0,-70,0
4,0,170,0,0,0,-70,0
5,0,170,0,0,0,-70,0
6,0,170,0,0,0,-70,0
7,0,170,0,0,0,-70,0
8,0,170,0,0,0,-70,0
9,0,170,0,0,0,-70,0
10,0,170,0,0,0,-70,0
11,0,170,0,0,0,-70,0
12,0,170,0,0,0,-70,0
13,0,170,0,0,0,-70,0
14,0,170,0,0,0,-70,0
15,0,170,0,0,0,-70,0
16,0,170,0,0,0,-70,0
17,0,170,0,0,0,-70,0
18,0,170,0,0,0,-70,0
19,0,170,0,0,0,-70,0
20,0,170,0,0,0,-70,0
21,0,170,0,0,0,-70,0
22,0,170,0,0,0,-70,0
23,0,170,0,0,0,-70,0
24,0,170,0,0,0,-70,0
25,0,170,0,0,0,-70,0
26,0,170,0,0,0,-70,0
27,0,170,0,0,0,-70,1
28,0,170,0,0,0,-70,1
29,0,170,0,0,0,-70,1
30,0,170,0,0,0,-70,1
31,0,170,0,0,0,-70,1
32,0,170,0,0,0,-70,1
33,0,170,0,0,0,-70,1
34,0,170,0,0,0,-70,1
35,0,170,0,0,0,-70,1
36,0,170,0,0,0,-70,1
37,0,170,0,0,0,-70,1
38,0,170,0,0,0,-70,1
39,0,170,0,0,0,-70,1
40,0,170,0,0,0,-70,1
41,0,170,0,0,0,-70,1
42,0,170,0,0,0,-70,1
43,0,170,0,0,0,-70,1
44,0,170,0,0,0,-70,1
45,0,170,0,0,0,-70,1
46,0,170,0,0,0,-70,1
47,0,170,0,0,0,-70,1
48,0,170,0,0,0,-70,1
49,0,170,0,0,0,-70,1
50,0,170,0,0,0,-70,1
51,0,170,0,0,0,-70,1
52,0,170,0,0,0,-70,1
53,0,170,0,0,0,-70,1
54,0,170,0,0,0,-70,1
55,0,170,0,0,0,-70,1
56,0,170,0,0,0,-70,1
57,0,170,0,0,0,-70,1
58,0,170,0,0,0,-70,1
59,0,170,0,0,0,-70,1
60,0,170,0,0,0,-70,1
61,0,170,0,0,0,-70,1
62,0,170,0,0,0,-70,1
