t,x,y,fh,fv,r,s,frame:
0,-1,0,1,0,-30,0,0
1,-1,0,1,0,-30,0,0
2,-1,0,1,0,-30,0,0
3,-1,0,1,0,-30,0,0
4,-1,0,1,0,-30,0,0
5,-1,0,1,0,-30,0,0
6,-1,0,1,0,-30,0,0
7,-1,0,1,0,-30,0,0
8,-1,0,1,0,-30,0,0
9,-1,0,1,0,-30,0,0
10,-1,0,1,0,-30,0,0
11,-1,0,1,0,-30,0,0
12,-1,0,1,0,-30,0,0
13,-1,0,1,0,-30,0,0
14,-1,0,1,0,-30,0,0
15,-1,0,1,0,-30,0,0
16,-1,0,1,0,-30,0,0
17,-1,0,1,0,-30,0,0
18,-1,0,1,0,-30,0,0
19,-1,0,1,0,-30,0,0
20,-1,0,1,0,-30,0,0
21,-1,0,1,0,-30,0,0
22,-1,0,1,0,-30,0,0
23,-1,0,1,0,-30,0,0
24,-1,0,1,0,-30,0,0
25,-1,0,1,0,-30,0,0
26,-1,0,1,0,-30,0,0
27,-1,0,1,0,-30,0,0
28,-1,0,1,0,-30,0,0
29,-1,0,1,0,-30,0,0
30,-1,0,1,0,-30,0,0
31,-1,0,1,0,-30,0,0
32,-1,0,1,0,-30,0,0
33,-1,0,1,0,-30,0,0
34,-1,0,1,0,-30,0,0
35,-1,0,1,0,-30,0,0
36,-1,0,1,0,-30,0,0
37,-1,0,1,0,-30,0,0
38,-1,0,1,0,-30,0,0
39,-1,0,1,0,-30,0,0
40,-1,0,1,0,-30,0,0
41,-1,0,1,0,-30,0,0
42,-1,0,1,0,-30,0,0
43,-1,0,1,0,-30,0,0
44,-1,0,1,0,-30,0,0
45,-1,0,1,0,-30,0,0
46,-1,0,1,0,-30,0,0
47,-1,0,1,0,-30,0,0
48,-1,0,1,0,-30,0,0
49,-1,0,1,0,-30,0,0
50,-1,0,1,0,-30,0,0
51,-1,0,1,0,-30,0,0
52,-1,1,1,0,-30,0,0
53,0,1,1,0,-30,0,0
54,0,1,1,0,-30,0,0
55,0,1,1,0,-30,0,0
56,0,1,1,0,-30,0,0
57,0,2,1,0,-30,0,0
58,1,2,1,0,-30,0,0
59,1,2,1,0,-30,0,0
60,1,2,1,0,-30,0,0
61,1,2,1,0,-30,0,0
62,1,2,1,0,-30,0,0
63,2,3,1,0,-30,0,0
64,2,3,1,0,-30,0,0
65,2,3,1,0,-30,0,0
66,2,3,1,0,-30,0,0
67,2,3,1,0,-30,0,0
68,2,3,1,0,-30,0,0
69,2,3,1,0,-30,0,0
70,2,3,1,0,-30,0,0
71,2,3,1,0,-30,0,0
72,2,3,1,0,-30,0,0
73,2,3,1,0,-30,0,0
74,2,3,1,0,-30,0,0
75,2,3,1,0,-30,0,0
76,3,3,1,0,-30,0,0
77,3,3,1,0,-30,0,0
78,3,3,1,0,-30,0,0
79,3,3,1,0,-30,0,0
80,3,3,1,0,-30,0,0
81,3,4,1,0,-30,0,0
82,3,4,1,0,-30,0,0
83,3,4,1,0,-30,0,0
84,5,4,1,0,-30,0,0
85,5,4,1,0,-30,0,0
86,5,4,1,0,-30,0,0
87,5,4,1,0,-30,0,0
88,5,4,1,0,-30,0,0
89,5,4,1,0,-30,0,0
90,6,5,1,0,-30,0,0
91,7,5,1,0,-30,0,0
92,8,5,1,0,-30,0,0
93,8,5,1,0,-30,0,0
94,8,5,1,0,-30,0,0
95,8,5,1,0,-30,0,0
96,8,5,1,0,-30,0,0
97,8,5,1,0,-30,0,0
98,8,5,1,0,-30,0,0
99,9,6,1,0,-30,0,0
100,9,6,1,0,-30,0,0
101,9,6,1,0,-30,0,0
102,9,6,1,0,-30,0,0
103,9,6,1,0,-30,0,0
104,9,6,1,0,-30,0,0
105,9,6,1,0,-30,0,0
106,9,6,1,0,-30,0,0
107,10,6,1,0,-30,0,0
108,10,6,1,0,-30,0,0
109,10,6,1,0,-30,0,0
110,10,6,1,0,-30,0,0
111,10,6,1,0,-30,0,0
112,11,6,1,0,-30,0,0
113,11,6,1,0,-30,0,0
114,12,6,1,0,-30,0,0
115,12,6,1,0,-30,0,0
116,12,6,1,0,-30,0,0
117,12,6,1,0,-30,0,0
118,12,6,1,0,-30,0,0
119,12,6,1,0,-30,0,0
120,12,6,1,0,-30,0,0
121,12,6,1,0,-30,0,0
122,12,6,1,0,-30,0,0
123,12,6,1,0,-30,0,0
124,12,6,1,0,-30,0,0
125,12,6,1,0,-30,0,0
126,13,6,1,0,-30,0,0
127,13,6,1,0,-30,0,0
128,13,6,1,0,-30,0,0
129,13,6,1,0,-30,0,0
130,13,6,1,0,-30,0,0
131,13,6,1,0,-30,0,0
132,14,6,1,0,-30,0,0
133,14,6,1,0,-30,0,0
134,14,6,1,0,-30,0,0
135,14,6,1,0,-30,0,0
136,14,6,1,0,-30,0,0
137,14,6,1,0,-30,0,0
138,14,6,1,0,-30,0,0
139,14,6,1,0,-30,0,0
140,14,6,1,0,-30,0,0
141,14,6,1,0,-30,0,0
142,14,6,1,0,-30,0,0
143,15,6,1,0,-30,0,0
144,15,6,1,0,-30,0,0
