t,x,y,fh,fv,r,s,frame:
0,528,-92,0,0,0,-97,0
1,528,-92,0,0,0,-97,0
2,528,-92,0,0,0,-97,0
3,528,-92,0,0,0,-97,0
4,528,-92,0,0,0,-97,0
5,528,-92,0,0,0,-97,0
6,528,-92,0,0,0,-97,0
7,528,-92,0,0,0,-97,0
8,528,-92,0,0,0,-97,0
9,528,-92,0,0,0,-97,0
10,528,-92,0,0,0,-97,0
11,528,-92,0,0,0,-97,0
12,528,-92,0,0,0,-97,0
13,528,-92,0,0,0,-97,0
14,528,-92,0,0,0,-97,0
15,528,-92,0,0,0,-97,0
16,528,-92,0,0,0,-97,0
17,528,-92,0,0,0,-97,0
18,528,-92,0,0,0,-97,0
19,528,-92,0,0,0,-97,0
20,528,-92,0,0,0,-97,0
21,528,-92,0,0,0,-97,0
22,528,-92,0,0,0,-97,0
23,528,-92,0,0,0,-97,0
24,528,-92,0,0,0,-97,0
25,528,-92,0,0,0,-97,0
26,528,-92,0,0,0,-97,0
27,528,-92,0,0,0,-97,0
28,527,-91,0,0,0,-97,0
29,527,-91,0,0,0,-97,0
30,527,-91,0,0,0,-97,0
31,527,-91,0,0,0,-97,0
32,527,-91,0,0,0,-97,0
33,527,-91,0,0,0,-97,0
34,527,-91,0,0,0,-97,0
35,527,-91,0,0,0,-97,0
36,527,-91,0,0,0,-97,0
37,527,-91,0,0,0,-97,0
38,527,-90,0,0,0,-97,0
39,526,-90,0,0,0,-97,0
40,526,-90,0,0,0,-97,0
41,526,-90,0,0,0,-97,0
42,526,-90,0,0,0,-97,0
43,526,-90,0,0,0,-97,0
44,526,-90,0,0,0,-97,0
45,525,-90,0,0,0,-97,0
46,525,-90,0,0,0,-97,0
47,525,-90,0,0,0,-97,0
48,525,-90,0,0,0,-97,0
49,525,-90,0,0,0,-97,0
50,525,-90,0,0,0,-97,0
51,525,-90,0,0,0,-97,0
52,525,-90,0,0,0,-97,0
53,525,-90,0,0,0,-97,0
54,525,-90,0,0,0,-97,0
55,525,-90,0,0,0,-97,0
56,525,-90,0,0,0,-97,0
57,525,-90,0,0,0,-97,0
58,525,-90,0,0,0,-97,0
59,524,-90,0,0,0,-97,0
60,524,-90,0,0,0,-97,0
61,524,-90,0,0,0,-97,0
62,524,-90,0,0,0,-97,0
63,524,-90,0,0,0,-97,0
64,524,-90,0,0,0,-97,0
65,524,-90,0,0,0,-97,0
66,524,-90,0,0,0,-97,0
67,524,-90,0,0,0,-97,0
68,524,-90,0,0,0,-97,0
69,524,-90,0,0,0,-97,0
70,524,-90,0,0,0,-97,0
71,524,-90,0,0,0,-97,0
72,523,-90,0,0,0,-97,0
73,523,-90,0,0,0,-97,0
74,523,-90,0,0,0,-97,0
75,523,-90,0,0,0,-97,0
76,523,-90,0,0,0,-97,0
77,523,-90,0,0,0,-97,0
78,523,-90,0,0,0,-97,0
79,523,-90,0,0,0,-97,0
80,523,-90,0,0,0,-97,0
81,523,-90,0,0,0,-97,0
82,523,-90,0,0,0,-97,0
83,523,-90,0,0,0,-97,0
84,522,-90,0,0,0,-97,0
85,522,-90,0,0,0,-97,0
86,522,-90,0,0,0,-97,0
87,522,-90,0,0,0,-97,0
88,522,-90,0,0,0,-97,0
89,522,-90,0,0,0,-97,0
90,522,-90,0,0,0,-97,0
91,522,-90,0,0,0,-97,0
92,521,-90,0,0,0,-97,0
93,521,-90,0,0,0,-97,0
94,521,-91,0,0,0,-97,0
95,521,-91,0,0,0,-97,0
96,521,-91,0,0,0,-97,0
97,521,-91,0,0,0,-97,0
98,521,-91,0,0,0,-97,0
99,521,-91,0,0,0,-97,0
100,521,-91,0,0,0,-97,0
101,521,-91,0,0,0,-97,0
102,521,-91,0,0,0,-97,0
103,521,-91,0,0,0,-97,0
104,521,-91,0,0,0,-97,0
105,521,-91,0,0,0,-97,0
106,521,-91,0,0,0,-97,0
107,521,-91,0,0,0,-97,0
108,521,-91,0,0,0,-97,0
109,521,-91,0,0,0,-97,0
110,521,-91,0,0,0,-97,0
111,521,-91,0,0,0,-97,0
112,521,-91,0,0,0,-97,0
113,521,-91,0,0,0,-97,0
114,521,-91,0,0,0,-97,0
115,521,-91,0,0,0,-97,0
116,521,-91,0,0,0,-97,0
117,521,-91,0,0,0,-97,0
118,521,-91,0,0,0,-97,0
119,521,-91,0,0,0,-97,0
120,521,-91,0,0,0,-97,0
121,521,-91,0,0,0,-97,0
122,521,-91,0,0,0,-97,0
123,521,-91,0,0,0,-97,0
124,521,-91,0,0,0,-97,0
125,521,-91,0,0,0,-97,0
126,521,-91,0,0,0,-97,0
127,521,-91,0,0,0,-97,0
128,521,-91,0,0,0,-97,0
129,521,-91,0,0,0,-97,0
130,521,-91,0,0,0,-97,0
131,521,-91,0,0,0,-97,0
132,521,-92,0,0,0,-97,0
133,521,-92,0,0,0,-97,0
134,521,-92,0,0,0,-97,0
135,521,-92,0,0,0,-97,0
136,521,-92,0,0,0,-97,0
137,521,-92,0,0,0,-97,0
138,521,-92,0,0,0,-97,0
139,521,-92,0,0,0,-97,0
140,521,-92,0,0,0,-97,0
141,521,-92,0,0,0,-97,0
142,521,-92,0,0,0,-97,0
143,521,-92,0,0,0,-97,0
144,521,-92,0,0,0,-97,0
145,521,-92,0,0,0,-97,0
146,521,-92,0,0,0,-97,0
147,521,-92,0,0,0,-97,0
148,521,-92,0,0,0,-97,0
149,521,-92,0,0,0,-97,0
150,521,-92,0,0,0,-97,0
151,521,-92,0,0,0,-97,0
152,521,-92,0,0,0,-97,0
153,521,-92,0,0,0,-97,0
154,521,-92,0,0,0,-97,0
155,521,-92,0,0,0,-97,0
156,521,-92,0,0,0,-97,0
157,521,-92,0,0,0,-97,0
158,521,-92,0,0,0,-97,0
159,521,-92,0,0,0,-97,0
160,521,-92,0,0,0,-97,0
161,521,-92,0,0,0,-97,0
162,521,-92,0,0,0,-97,0
163,521,-92,0,0,0,-97,0
164,521,-92,0,0,0,-97,0
165,521,-92,0,0,0,-97,0
166,521,-92,0,0,0,-97,0
167,521,-92,0,0,0,-97,0
168,521,-92,0,0,0,-97,0
169,521,-92,0,0,0,-97,0
