t,x,y,fh,fv,r,s,frame:
0,37,460,0,0,0,0,0
1,36,461,0,0,0,0,0
2,34,463,0,0,0,0,0
3,33,464,0,0,0,0,0
4,33,464,0,0,0,0,0
5,33,464,0,0,0,0,0
6,33,464,0,0,0,0,0
7,33,464,0,0,0,0,0
8,33,464,0,0,0,0,0
9,32,464,0,0,0,0,0
10,32,464,0,0,0,0,0
11,31,463,0,0,0,0,0
12,27,461,0,0,0,0,0
13,22,460,0,0,0,0,0
14,19,459,0,0,0,0,0
15,16,458,0,0,0,0,0
16,14,457,0,0,0,0,0
17,11,456,0,0,0,0,0
18,10,455,0,0,0,0,0
19,8,454,0,0,0,0,0
20,7,452,0,0,0,0,0
21,6,451,0,0,0,0,0
22,5,450,0,0,0,0,0
23,4,448,0,0,0,0,0
24,4,447,0,0,0,0,0
25,3,444,0,0,0,0,0
26,3,441,0,0,0,0,0
27,3,438,0,0,0,0,0
28,3,435,0,0,0,0,0
29,3,433,0,0,0,0,0
30,3,430,0,0,0,0,0
31,3,427,0,0,0,0,0
32,4,425,0,0,0,0,0
33,4,422,0,0,0,0,0
34,5,420,0,0,0,0,0
35,7,417,0,0,0,0,0
36,8,414,0,0,0,0,0
37,10,411,0,0,0,0,0
38,11,410,0,0,0,0,0
39,13,406,0,0,0,0,0
40,16,404,0,0,0,0,0
41,18,401,0,0,0,0,0
42,20,398,0,0,0,0,0
43,22,395,0,0,0,0,0
44,25,392,0,0,0,0,0
45,27,389,0,0,0,0,0
46,31,386,0,0,0,0,0
47,34,382,0,0,0,0,0
48,37,379,0,0,0,0,0
49,40,376,0,0,0,0,0
50,43,372,0,0,0,0,0
51,46,369,0,0,0,0,0
52,47,367,0,0,0,0,0
53,49,365,0,0,0,0,0
54,51,363,0,0,0,0,0
55,54,360,0,0,0,0,0
56,57,356,0,0,0,0,0
57,58,353,0,0,0,0,0
58,59,351,0,0,0,0,0
59,60,349,0,0,0,0,0
60,61,347,0,0,0,0,0
61,62,344,0,0,0,0,0
62,63,342,0,0,0,0,0
63,64,340,0,0,0,0,0
64,64,339,0,0,0,0,0
65,65,337,0,0,0,0,0
66,65,336,0,0,0,0,0
67,65,335,0,0,0,0,0
68,65,334,0,0,0,0,0
69,65,333,0,0,0,0,0
70,65,331,0,0,0,0,0
71,65,329,0,0,0,0,0
72,65,325,0,0,0,0,0
73,64,322,0,0,0,0,0
74,63,318,0,0,0,0,0
75,62,312,0,0,0,0,0
76,60,307,0,0,0,0,0
77,57,303,0,0,0,0,0
78,55,298,0,0,0,0,0
79,52,293,0,0,0,0,0
80,50,288,0,0,0,0,0
81,48,284,0,0,0,0,0
82,46,281,0,0,0,0,0
83,44,278,0,0,0,0,0
84,42,273,0,0,0,0,0
85,39,267,0,0,0,0,0
86,36,263,0,0,0,0,0
87,32,256,0,0,0,0,0
88,31,254,0,0,0,0,0
89,29,250,0,0,0,0,0
90,27,245,0,0,0,0,0
91,27,244,0,0,0,0,0
92,25,237,0,0,0,0,0
93,24,233,0,0,0,0,0
94,23,228,0,0,0,0,0
95,22,223,0,0,0,0,0
96,21,217,0,0,0,0,0
97,19,211,0,0,0,0,0
98,19,207,0,0,0,0,0
99,18,202,0,0,0,0,0
100,18,197,0,0,0,0,0
101,18,191,0,0,0,0,0
102,18,185,0,0,0,0,0
103,18,181,0,0,0,0,0
104,18,175,0,0,0,0,0
105,19,170,0,0,0,0,0
106,20,163,0,0,0,0,0
107,20,160,0,0,0,0,0
108,21,157,0,0,0,0,0
109,22,154,0,0,0,0,0
110,24,150,0,0,0,0,0
111,26,145,0,0,0,0,0
112,28,140,0,0,0,0,0
113,30,136,0,0,0,0,0
114,31,132,0,0,0,0,0
115,32,129,0,0,0,0,0
116,33,126,0,0,0,0,0
117,34,122,0,0,0,0,0
118,35,119,0,0,0,0,0
119,36,116,0,0,0,0,0
120,36,112,0,0,0,0,0
121,37,110,0,0,0,0,0
122,37,108,0,0,0,0,0
123,38,104,0,0,0,0,0
124,38,98,0,0,0,0,0
125,38,95,0,0,0,0,0
126,38,92,0,0,0,0,0
127,38,89,0,0,0,0,0
128,37,85,0,0,0,0,0
129,37,79,0,0,0,0,0
130,37,79,0,0,0,0,0
131,35,72,0,0,0,0,0
132,34,69,0,0,0,0,0
133,33,64,0,0,0,0,0
134,32,60,0,0,0,0,0
135,31,55,0,0,0,0,0
136,30,53,0,0,0,0,0
137,29,50,0,0,0,0,0
138,28,45,0,0,0,0,0
139,27,42,0,0,0,0,0
140,26,38,0,0,0,0,0
141,25,35,0,0,0,0,0
142,24,32,0,0,0,0,0
143,23,29,0,0,0,0,0
144,22,26,0,0,0,0,0
145,21,22,0,0,0,0,0
146,21,19,0,0,0,0,0
147,20,15,0,0,0,0,0
148,19,11,0,0,0,0,0
149,18,8,0,0,0,0,0
150,18,6,0,0,0,0,0
151,17,3,0,0,0,0,0
152,17,0,0,0,0,0,0
153,16,-5,0,0,0,0,0
154,16,-7,0,0,0,0,0
155,16,-9,0,0,0,0,0
156,16,-9,0,0,0,0,0
157,15,-11,0,0,0,0,0
