t,x,y,fh,fv,r,s,frame:
0,159,-37,0,0,0,0,0
1,159,-37,0,0,0,0,0
2,159,-37,0,0,0,0,0
3,159,-37,0,0,0,0,0
4,159,-37,0,0,0,0,0
5,159,-37,0,0,0,0,0
6,159,-37,0,0,0,0,0
7,159,-36,0,0,0,0,0
8,158,-35,0,0,0,0,0
9,158,-33,0,0,0,0,0
10,158,-32,0,0,0,0,0
11,158,-32,0,0,0,0,0
12,158,-31,0,0,0,0,0
13,157,-31,0,0,0,0,0
14,157,-30,0,0,0,0,0
15,157,-29,0,0,0,0,0
16,157,-27,0,0,0,0,0
17,156,-26,0,0,0,0,0
18,156,-25,0,0,0,0,0
19,156,-24,0,0,0,0,0
20,156,-24,0,0,0,0,0
21,156,-22,0,0,0,0,0
22,156,-21,0,0,0,0,0
23,155,-20,0,0,0,0,0
24,155,-19,0,0,0,0,0
25,155,-18,0,0,0,0,0
26,155,-17,0,0,0,0,0
27,155,-16,0,0,0,0,0
28,155,-15,0,0,0,0,0
29,155,-14,0,0,0,0,0
30,155,-12,0,0,0,0,0
31,155,-11,0,0,0,0,0
32,155,-10,0,0,0,0,0
33,155,-9,0,0,0,0,0
34,155,-7,0,0,0,0,0
35,155,-6,0,0,0,0,0
36,155,-4,0,0,0,0,0
37,155,-2,0,0,0,0,0
38,155,-1,0,0,0,0,0
39,155,1,0,0,0,0,0
40,156,2,0,0,0,0,0
41,156,3,0,0,0,0,0
42,156,3,0,0,0,0,0
43,156,4,0,0,0,0,0
44,157,5,0,0,0,0,0
45,157,6,0,0,0,0,0
46,158,7,0,0,0,0,0
47,158,8,0,0,0,0,0
48,158,9,0,0,0,0,0
49,159,9,0,0,0,0,0
50,159,10,0,0,0,0,0
51,160,12,0,0,0,0,0
52,161,13,0,0,0,0,0
53,162,15,0,0,0,0,0
54,163,16,0,0,0,0,0
55,163,17,0,0,0,0,0
56,164,18,0,0,0,0,0
57,165,19,0,0,0,0,0
58,166,21,0,0,0,0,0
59,167,22,0,0,0,0,0
60,168,24,0,0,0,0,0
61,170,26,0,0,0,0,0
62,171,26,0,0,0,0,0
63,173,29,0,0,0,0,0
64,175,30,0,0,0,0,0
65,176,31,0,0,0,0,0
66,178,33,0,0,0,0,0
67,179,34,0,0,0,0,0
68,181,35,0,0,0,0,0
69,183,36,0,0,0,0,0
70,184,37,0,0,0,0,0
71,186,38,0,0,0,0,0
72,187,38,0,0,0,0,0
73,188,39,0,0,0,0,0
74,189,39,0,0,0,0,0
75,189,39,0,0,0,0,0
76,189,39,0,0,0,0,0
77,189,39,0,0,0,0,0
78,189,39,0,0,0,0,0
79,189,39,0,0,0,0,0
80,191,40,0,0,0,0,0
81,193,40,0,0,0,0,0
82,195,40,0,0,0,0,0
83,198,41,0,0,0,0,0
84,200,41,0,0,0,0,0
85,202,42,0,0,0,0,0
86,204,42,0,0,0,0,0
87,206,42,0,0,0,0,0
88,207,43,0,0,0,0,0
89,209,43,0,0,0,0,0
90,211,44,0,0,0,0,0
91,214,45,0,0,0,0,0
92,215,45,0,0,0,0,0
93,217,45,0,0,0,0,0
94,218,45,0,0,0,0,0
95,220,45,0,0,0,0,0
96,223,45,0,0,0,0,0
97,226,45,0,0,0,0,0
98,227,45,0,0,0,0,0
99,231,45,0,0,0,0,0
100,233,45,0,0,0,0,0
101,234,45,0,0,0,0,0
102,237,45,0,0,0,0,0
103,240,45,0,0,0,0,0
104,242,45,0,0,0,0,0
105,244,45,0,0,0,0,0
106,245,44,0,0,0,0,0
107,246,44,0,0,0,0,0
108,250,43,0,0,0,0,0
109,251,43,0,0,0,0,0
110,254,42,0,0,0,0,0
111,256,42,0,0,0,0,0
112,259,41,0,0,0,0,0
113,260,41,0,0,0,0,0
114,261,40,0,0,0,0,0
115,263,40,0,0,0,0,0
116,264,39,0,0,0,0,0
117,265,39,0,0,0,0,0
118,266,39,0,0,0,0,0
119,267,38,0,0,0,0,0
120,268,38,0,0,0,0,0
121,269,37,0,0,0,0,0
122,270,37,0,0,0,0,0
123,271,36,0,0,0,0,0
124,274,35,0,0,0,0,0
125,275,35,0,0,0,0,0
126,276,34,0,0,0,0,0
127,279,33,0,0,0,0,0
128,282,32,0,0,0,0,0
129,283,32,0,0,0,0,0
130,286,31,0,0,0,0,0
131,288,31,0,0,0,0,0
132,290,30,0,0,0,0,0
133,292,29,0,0,0,0,0
134,294,29,0,0,0,0,0
135,295,28,0,0,0,0,0
136,296,28,0,0,0,0,0
137,297,28,0,0,0,0,0
138,298,27,0,0,0,0,0
139,299,27,0,0,0,0,0
140,301,26,0,0,0,0,0
141,301,25,0,0,0,0,0
142,305,24,0,0,0,0,0
143,306,24,0,0,0,0,0
144,307,22,0,0,0,0,0
145,310,22,0,0,0,0,0
146,311,21,0,0,0,0,0
147,312,21,0,0,0,0,0
148,314,20,0,0,0,0,0
149,316,19,0,0,0,0,0
150,318,17,0,0,0,0,0
151,320,16,0,0,0,0,0
152,323,15,0,0,0,0,0
153,325,14,0,0,0,0,0
154,327,13,0,0,0,0,0
155,329,12,0,0,0,0,0
156,331,11,0,0,0,0,0
157,333,11,0,0,0,0,0
158,334,10,0,0,0,0,0
159,337,8,0,0,0,0,0
160,338,7,0,0,0,0,0
161,340,6,0,0,0,0,0
162,342,5,0,0,0,0,0
163,344,3,0,0,0,0,0
164,346,2,0,0,0,0,0
165,347,2,0,0,0,0,0
166,348,1,0,0,0,0,0
167,349,0,0,0,0,0,0
168,351,-1,0,0,0,0,0
169,352,-2,0,0,0,0,0
170,354,-2,0,0,0,0,0
171,356,-3,0,0,0,0,0
172,357,-4,0,0,0,0,0
173,359,-6,0,0,0,0,0
174,360,-6,0,0,0,0,0
175,361,-7,0,0,0,0,0
176,363,-9,0,0,0,0,0
177,365,-10,0,0,0,0,0
178,366,-10,0,0,0,0,0
179,368,-12,0,0,0,0,0
180,369,-13,0,0,0,0,0
181,370,-13,0,0,0,0,0
182,371,-14,0,0,0,0,0
183,372,-15,0,0,0,0,0
184,373,-15,0,0,0,0,0
185,374,-16,0,0,0,0,0
186,375,-17,0,0,0,0,0
187,376,-18,0,0,0,0,0
188,378,-19,0,0,0,0,0
189,379,-21,0,0,0,0,0
190,381,-23,0,0,0,0,0
191,382,-23,0,0,0,0,0
192,383,-25,0,0,0,0,0
193,384,-25,0,0,0,0,0
194,384,-26,0,0,0,0,0
195,385,-26,0,0,0,0,0
196,385,-27,0,0,0,0,0
197,385,-28,0,0,0,0,0
198,386,-29,0,0,0,0,0
199,386,-30,0,0,0,0,0
200,387,-32,0,0,0,0,0
201,388,-33,0,0,0,0,0
202,388,-34,0,0,0,0,0
203,389,-35,0,0,0,0,0
204,389,-36,0,0,0,0,0
205,390,-37,0,0,0,0,0
206,390,-38,0,0,0,0,0
207,391,-41,0,0,0,0,0
208,391,-41,0,0,0,0,0
209,392,-44,0,0,0,0,0
210,392,-46,0,0,0,0,0
211,393,-48,0,0,0,0,0
212,393,-50,0,0,0,0,0
213,393,-52,0,0,0,0,0
214,394,-54,0,0,0,0,0
215,394,-55,0,0,0,0,0
216,394,-56,0,0,0,0,0
217,394,-58,0,0,0,0,0
218,394,-60,0,0,0,0,0
219,395,-62,0,0,0,0,0
220,395,-64,0,0,0,0,0
221,395,-66,0,0,0,0,0
222,395,-68,0,0,0,0,0
223,395,-70,0,0,0,0,0
224,395,-72,0,0,0,0,0
225,395,-73,0,0,0,0,0
226,395,-75,0,0,0,0,0
227,395,-76,0,0,0,0,0
228,394,-78,0,0,0,0,0
229,394,-79,0,0,0,0,0
230,394,-80,0,0,0,0,0
231,393,-81,0,0,0,0,0
232,392,-82,0,0,0,0,0
233,391,-84,0,0,0,0,0
234,391,-85,0,0,0,0,0
235,390,-86,0,0,0,0,0
236,389,-87,0,0,0,0,0
237,389,-89,0,0,0,0,0
238,388,-90,0,0,0,0,0
239,387,-91,0,0,0,0,0
240,386,-93,0,0,0,0,0
241,385,-94,0,0,0,0,0
242,384,-96,0,0,0,0,0
243,382,-98,0,0,0,0,0
244,379,-101,0,0,0,0,0
245,378,-102,0,0,0,0,0
246,376,-103,0,0,0,0,0
247,375,-104,0,0,0,0,0
248,374,-105,0,0,0,0,0
249,373,-106,0,0,0,0,0
250,372,-107,0,0,0,0,0
251,370,-108,0,0,0,0,0
252,369,-109,0,0,0,0,0
253,368,-109,0,0,0,0,0
254,366,-110,0,0,0,0,0
255,365,-110,0,0,0,0,0
256,363,-111,0,0,0,0,0
257,360,-111,0,0,0,0,0
258,358,-112,0,0,0,0,0
259,355,-112,0,0,0,0,0
260,353,-112,0,0,0,0,0
261,350,-113,0,0,0,0,0
262,348,-113,0,0,0,0,0
263,345,-113,0,0,0,0,0
264,344,-114,0,0,0,0,0
265,342,-114,0,0,0,0,0
266,341,-114,0,0,0,0,0
267,341,-114,0,0,0,0,0
268,340,-115,0,0,0,0,0
269,339,-115,0,0,0,0,0
270,338,-115,0,0,0,0,0
271,336,-115,0,0,0,0,0
272,335,-115,0,0,0,0,0
273,331,-116,0,0,0,0,0
274,329,-116,0,0,0,0,0
275,328,-116,0,0,0,0,0
276,326,-117,0,0,0,0,0
277,325,-117,0,0,0,0,0
278,323,-117,0,0,0,0,0
279,319,-118,0,0,0,0,0
280,316,-118,0,0,0,0,0
281,315,-118,0,0,0,0,0
282,312,-118,0,0,0,0,0
283,311,-118,0,0,0,0,0
284,307,-118,0,0,0,0,0
285,304,-118,0,0,0,0,0
286,302,-118,0,0,0,0,0
287,299,-118,0,0,0,0,0
288,296,-118,0,0,0,0,0
289,294,-118,0,0,0,0,0
290,292,-118,0,0,0,0,0
291,291,-118,0,0,0,0,0
292,290,-118,0,0,0,0,0
293,288,-118,0,0,0,0,0
294,285,-117,0,0,0,0,0
295,283,-117,0,0,0,0,0
296,280,-117,0,0,0,0,0
297,277,-117,0,0,0,0,0
298,275,-117,0,0,0,0,0
299,275,-117,0,0,0,0,0
300,273,-117,0,0,0,0,0
301,272,-117,0,0,0,0,0
302,272,-117,0,0,0,0,0
303,269,-117,0,0,0,0,0
304,267,-116,0,0,0,0,0
305,265,-116,0,0,0,0,0
306,262,-116,0,0,0,0,0
307,260,-115,0,0,0,0,0
308,258,-115,0,0,0,0,0
309,256,-114,0,0,0,0,0
310,254,-114,0,0,0,0,0
311,253,-114,0,0,0,0,0
312,250,-113,0,0,0,0,0
313,247,-112,0,0,0,0,0
314,244,-112,0,0,0,0,0
315,242,-111,0,0,0,0,0
316,238,-110,0,0,0,0,0
317,236,-109,0,0,0,0,0
318,233,-108,0,0,0,0,0
319,231,-107,0,0,0,0,0
320,229,-106,0,0,0,0,0
321,226,-104,0,0,0,0,0
322,224,-103,0,0,0,0,0
323,222,-102,0,0,0,0,0
324,221,-100,0,0,0,0,0
325,219,-100,0,0,0,0,0
326,217,-99,0,0,0,0,0
327,216,-98,0,0,0,0,0
328,214,-97,0,0,0,0,0
329,212,-96,0,0,0,0,0
330,210,-94,0,0,0,0,0
331,208,-93,0,0,0,0,0
332,206,-92,0,0,0,0,0
333,205,-91,0,0,0,0,0
334,203,-90,0,0,0,0,0
335,201,-88,0,0,0,0,0
336,199,-87,0,0,0,0,0
337,198,-86,0,0,0,0,0
338,197,-85,0,0,0,0,0
339,196,-84,0,0,0,0,0
340,194,-82,0,0,0,0,0
341,193,-81,0,0,0,0,0
342,192,-80,0,0,0,0,0
343,190,-79,0,0,0,0,0
344,189,-78,0,0,0,0,0
345,188,-76,0,0,0,0,0
346,185,-74,0,0,0,0,0
347,185,-74,0,0,0,0,0
348,183,-72,0,0,0,0,0
349,182,-71,0,0,0,0,0
350,181,-70,0,0,0,0,0
351,180,-69,0,0,0,0,0
352,179,-67,0,0,0,0,0
353,178,-66,0,0,0,0,0
354,177,-66,0,0,0,0,0
355,177,-65,0,0,0,0,0
356,176,-65,0,0,0,0,0
357,175,-64,0,0,0,0,0
358,174,-63,0,0,0,0,0
359,173,-62,0,0,0,0,0
360,172,-61,0,0,0,0,0
361,171,-61,0,0,0,0,0
362,170,-60,0,0,0,0,0
363,169,-59,0,0,0,0,0
364,168,-58,0,0,0,0,0
365,167,-57,0,0,0,0,0
366,166,-57,0,0,0,0,0
367,165,-56,0,0,0,0,0
368,165,-55,0,0,0,0,0
369,164,-54,0,0,0,0,0
370,163,-54,0,0,0,0,0
371,163,-53,0,0,0,0,0
372,162,-52,0,0,0,0,0
373,162,-51,0,0,0,0,0
374,161,-51,0,0,0,0,0
375,160,-49,0,0,0,0,0
376,160,-49,0,0,0,0,0
377,159,-48,0,0,0,0,0
378,159,-47,0,0,0,0,0
379,158,-47,0,0,0,0,0
380,158,-46,0,0,0,0,0
381,158,-46,0,0,0,0,0
382,158,-45,0,0,0,0,0
383,157,-45,0,0,0,0,0
384,157,-43,0,0,0,0,0
385,157,-43,0,0,0,0,0
386,156,-41,0,0,0,0,0
387,156,-40,0,0,0,0,0
388,155,-39,0,0,0,0,0
389,155,-39,0,0,0,0,0
390,155,-38,0,0,0,0,0
391,154,-38,0,0,0,0,0
392,154,-37,0,0,0,0,0
393,154,-37,0,0,0,0,0
394,154,-36,0,0,0,0,0
395,154,-36,0,0,0,0,0
396,154,-36,0,0,0,0,0
397,154,-36,0,0,0,0,0
398,154,-36,0,0,0,0,0
399,154,-36,0,0,0,0,0
400,154,-36,0,0,0,0,0
