t,x,y,fh,fv,r,s,frame:
0,-541,-29,0,0,0,-69,0
1,-541,-29,0,0,0,-69,0
2,-541,-29,0,0,0,-69,0
3,-541,-29,0,0,0,-69,0
4,-541,-29,0,0,0,-69,0
5,-541,-29,0,0,0,-69,0
6,-541,-29,0,0,0,-69,0
7,-541,-29,0,0,0,-69,0
8,-541,-29,0,0,0,-69,0
9,-541,-29,0,0,5,-69,0
10,-541,-29,0,0,10,-69,0
11,-541,-29,0,0,15,-69,0
12,-541,-30,0,0,20,-69,0
13,-541,-36,0,0,25,-69,0
14,-540,-43,0,0,30,-69,0
15,-540,-48,0,0,30,-69,0
16,-540,-55,0,0,30,-69,0
17,-540,-67,0,0,25,-69,0
18,-540,-71,0,0,20,-69,0
19,-540,-74,0,0,15,-69,0
20,-540,-77,0,0,10,-69,0
21,-541,-80,0,0,15,-69,0
22,-541,-83,0,0,20,-69,0
23,-541,-87,0,0,25,-69,0
24,-542,-91,0,0,30,-69,0
25,-543,-94,0,0,35,-69,0
26,-545,-98,0,0,30,-69,0
27,-545,-100,0,0,25,-69,0
28,-545,-102,0,0,20,-69,0
29,-545,-105,0,0,15,-69,0
30,-545,-109,0,0,10,-69,0
31,-546,-115,0,0,5,-69,0
32,-546,-119,0,0,0,-69,0
33,-546,-125,0,0,5,-69,0
34,-546,-126,0,0,10,-69,0
35,-546,-128,0,0,15,-69,0
36,-546,-129,0,0,20,-69,0
37,-546,-132,0,0,25,-69,0
38,-546,-135,0,0,20,-69,0
39,-546,-140,0,0,15,-69,0
40,-546,-147,0,0,10,-69,0
41,-546,-149,0,0,5,-69,0
42,-546,-149,0,0,0,-69,0
43,-546,-149,0,0,-5,-69,0
44,-546,-149,0,0,-10,-69,0
45,-546,-149,0,0,-5,-69,0
46,-546,-149,0,0,0,-69,0
47,-546,-149,0,0,5,-69,0
48,-546,-149,0,0,10,-69,0
49,-546,-149,0,0,15,-69,0
50,-546,-149,0,0,10,-69,0
51,-546,-149,0,0,5,-69,0
52,-546,-147,0,0,0,-69,0
53,-546,-144,0,0,-5,-69,0
54,-545,-142,0,0,-10,-69,0
55,-545,-139,0,0,-15,-69,0
56,-544,-136,0,0,-20,-69,0
57,-543,-132,0,0,-15,-69,0
58,-543,-128,0,0,-10,-69,0
59,-542,-126,0,0,-5,-69,0
60,-542,-124,0,0,0,-69,0
61,-542,-122,0,0,5,-69,0
62,-541,-120,0,0,5,-69,0
63,-540,-116,0,0,5,-69,0
64,-539,-113,0,0,0,-69,0
65,-538,-111,0,0,-5,-69,0
66,-537,-109,0,0,-10,-69,0
67,-537,-108,0,0,-15,-69,0
68,-537,-105,0,0,-20,-69,0
69,-537,-102,0,0,-15,-69,0
70,-536,-98,0,0,-10,-69,0
71,-535,-96,0,0,-5,-69,0
72,-535,-93,0,0,0,-69,0
73,-535,-91,0,0,5,-69,0
74,-535,-89,0,0,10,-69,0
75,-535,-86,0,0,15,-69,0
76,-535,-84,0,0,20,-69,0
77,-535,-82,0,0,15,-69,0
78,-534,-80,0,0,10,-69,0
79,-534,-78,0,0,5,-69,0
80,-534,-76,0,0,0,-69,0
81,-534,-74,0,0,-5,-69,0
82,-534,-71,0,0,-10,-69,0
83,-534,-68,0,0,-15,-69,0
84,-534,-64,0,0,-10,-69,0
85,-534,-60,0,0,-5,-69,0
86,-534,-57,0,0,0,-69,0
87,-534,-55,0,0,5,-69,0
88,-534,-53,0,0,10,-69,0
89,-534,-51,0,0,15,-69,0
90,-535,-49,0,0,15,-69,0
91,-535,-47,0,0,15,-69,0
92,-535,-45,0,0,10,-69,0
93,-535,-44,0,0,5,-69,0
94,-535,-43,0,0,0,-69,0
95,-535,-41,0,0,-5,-69,0
96,-536,-38,0,0,-10,-69,0
97,-537,-34,0,0,-10,-69,0
98,-537,-31,0,0,-10,-69,0
