t,x,y,fh,fv,r,s,frame:
0,501,-6,0,0,0,11,0
1,501,-6,0,0,0,11,0
2,501,-6,0,0,0,11,0
3,501,-6,0,0,0,11,0
4,501,-6,0,0,0,11,0
5,501,-6,0,0,3,11,0
6,501,-6,0,0,6,11,0
7,501,-6,0,0,9,11,0
8,501,-6,0,0,12,11,0
9,501,-6,0,0,9,11,0
10,501,-6,0,0,6,11,0
11,501,-6,0,0,3,11,0
12,501,-6,0,0,0,11,0
13,501,-6,0,0,-3,11,0
14,501,-6,0,0,-3,11,0
15,501,-6,0,0,0,11,0
16,501,-6,0,0,3,11,0
17,501,-6,0,0,6,11,0
18,501,-6,0,0,9,11,0
19,501,-6,0,0,12,11,0
20,501,-6,0,0,15,11,0
21,501,-6,0,0,12,11,0
22,501,-6,0,0,9,11,0
23,501,-6,0,0,6,11,0
24,501,-6,0,0,6,11,0
25,501,-6,0,0,6,11,0
26,501,-6,0,0,9,11,0
27,501,-6,0,0,12,11,0
28,501,-6,0,0,15,11,0
29,501,-6,0,0,18,11,0
30,501,-6,0,0,21,11,0
31,501,-6,0,0,18,11,0
32,501,-6,0,0,15,11,0
33,501,-6,0,0,12,11,0
34,501,-6,0,0,9,11,0
35,501,-6,0,0,6,11,0
36,501,-6,0,0,9,11,0
37,501,-6,0,0,12,11,0
38,501,-6,0,0,15,11,0
39,501,-6,0,0,18,11,0
40,501,-6,0,0,15,11,0
41,501,-6,0,0,12,11,0
42,501,-6,0,0,9,11,0
43,501,-6,0,0,6,11,0
44,501,-6,0,0,3,11,0
45,501,-6,0,0,3,11,0
46,501,-6,0,0,3,11,0
47,501,-6,0,0,3,11,0
48,501,-6,0,0,3,11,0
49,501,-6,0,0,3,11,0
50,501,-6,0,0,3,11,0
51,501,-6,0,0,3,11,0
52,501,-6,0,0,0,11,0
53,501,-6,0,0,-3,11,0
54,501,-6,0,0,-6,11,0
55,501,-6,0,0,-9,11,0
56,501,-6,0,0,-9,11,0
57,501,-6,0,0,-9,11,0
58,501,-6,0,0,-9,11,0
59,501,-6,0,0,-9,11,0
60,501,-6,0,0,-9,11,0
61,501,-6,0,0,-9,11,0
62,501,-6,0,0,-9,11,0
63,501,-6,0,0,-9,11,0
64,501,-6,0,0,-9,11,0
65,501,-6,0,0,-9,11,0
66,501,-6,0,0,-9,11,0
67,501,-6,0,0,-9,11,0
